topic,subject,relation,object,question,output_gemma_1.1_2b_it,eval_gemma_1.1_2b_it,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
health_medication,antibiotic,has characteristic,antibiotic resistance,What does antibiotic have characteristic?,"Antibiotics possess antibacterial properties, enabling them to combat and destroy harmful bacteria",0.0,"['antibiotic resistance', 'Antibiotics possess antibacterial properties, enabling them to combat and destroy harmful bacteria', 'antiviral properties', 'anti-inflammatory effects']",What characteristic does an antibiotic have?,Does an antibiotic have the characteristic of antibiotic resistance?,"Does an antibiotic have the characteristic of possessing antibacterial properties, enabling them to combat and destroy harmful bacteria?",What is a common use of antibiotics?,What has the characteristic of antibiotic resistance?,"A. Antibiotics possess antibacterial properties, enabling them to combat and destroy harmful bacteria  B. anti-inflammatory effects  C. antibiotic resistance  D. antiviral properties",C,What is a common cause of the characteristic that antibiotic has?,Overuse of antibiotics,What is a common illness that can result from the cause of the characteristic that antibiotic has?,Clostridium difficile infection,What is a common treatment for the illness that can result from the cause of the characteristic that antibiotic has?,Metronidazole,What is a common side effect of the treatment for the illness that can result from the cause of the characteristic that antibiotic has?,Nausea,What is a common remedy for the side effect of the treatment for the illness that can result from the cause of the characteristic that antibiotic has?,Ginger tea
health_medication,botulinum toxin type A,subject has role,acetylcholine release inhibitors,What is the subject has role of botulinum toxin type A?,Botulinum toxin type A is responsible for muscle paralysis,0.0,"['acetylcholine release inhibitors', 'Botulinum toxin type A is responsible for muscle paralysis', 'neurotoxin', 'cosmetic treatment']",What role does botulinum toxin type A play?,Is the role of botulinum toxin type A acetylcholine release inhibitors?,Is the role of botulinum toxin type A responsible for muscle paralysis?,What is a common medical use of botulinum toxin type A?,What substance acts as an acetylcholine release inhibitor?,A. cosmetic treatment  B. acetylcholine release inhibitors  C. Botulinum toxin type A is responsible for muscle paralysis  D. neurotoxin,B,What is the primary medical use of the acetylcholine release inhibitors that the botulinum toxin type A has a role in?,Treatment of muscle spasms,Which condition is commonly treated with the primary medical use of the acetylcholine release inhibitors that the botulinum toxin type A has a role in?,Cervical dystonia,Which muscle group is affected by the condition commonly treated with the primary medical use of the acetylcholine release inhibitors that the botulinum toxin type A has a role in?,Neck muscles,Which nerve is primarily involved in the muscle group affected by the condition commonly treated with the primary medical use of the acetylcholine release inhibitors that the botulinum toxin type A has a role in?,Accessory nerve,Which cranial nerve number corresponds to the nerve primarily involved in the muscle group affected by the condition commonly treated with the primary medical use of the acetylcholine release inhibitors that the botulinum toxin type A has a role in?,Cranial nerve XI
health_medication,corticotropin,encoded by,POMC,What was corticotropin encoded by?,Corticotropin is encoded by the pituitary gland,0.0,"['POMC', 'Corticotropin is encoded by the pituitary gland', 'ACTH', 'CRH']",Which gene encodes corticotropin?,Is corticotropin encoded by POMC?,Is corticotropin encoded by the pituitary gland?,What is the primary function of corticotropin?,What does POMC encode?,A. CRH  B. POMC  C. Corticotropin is encoded by the pituitary gland  D. ACTH,B,What is the function of the gene that corticotropin is encoded by?,"It encodes a precursor protein that is cleaved to produce several peptides, including ACTH and MSH.",Which hormone is produced by the precursor protein encoded by the gene that corticotropin is encoded by?,Adrenocorticotropic hormone (ACTH),Which gland secretes the hormone produced by the precursor protein encoded by the gene that corticotropin is encoded by?,Pituitary gland,Which part of the brain regulates the gland that secretes the hormone produced by the precursor protein encoded by the gene that corticotropin is encoded by?,Hypothalamus,Which system in the body includes the part of the brain that regulates the gland that secretes the hormone produced by the precursor protein encoded by the gene that corticotropin is encoded by?,Endocrine system
health_medication,corticotropin,subject has role,hormone,What is the subject has role of corticotropin?,Corticotropin regulates the release of adrenocorticoids from the adrenal cortex,0.0,"['hormone', 'Corticotropin regulates the release of adrenocorticoids from the adrenal cortex', 'enzyme', 'neurotransmitter']",What role does corticotropin play?,Is the subject has role of corticotropin a hormone?,Is the subject has role of corticotropin that it regulates the release of adrenocorticoids from the adrenal cortex?,What gland is corticotropin associated with?,What is the role of the hormone in relation to corticotropin?,A. enzyme  B. hormone  C. Corticotropin regulates the release of adrenocorticoids from the adrenal cortex  D. neurotransmitter,B,What is the function of the hormone that is the subject has role of corticotropin?,Stimulates the adrenal cortex to secrete glucocorticoids,Which gland secretes the hormone that stimulates the adrenal cortex to secrete glucocorticoids and is the subject has role of corticotropin?,Pituitary gland,Where is the gland located that secretes the hormone that stimulates the adrenal cortex to secrete glucocorticoids and is the subject has role of corticotropin?,Base of the brain,Which part of the brain is the base of the brain where the gland is located that secretes the hormone that stimulates the adrenal cortex to secrete glucocorticoids and is the subject has role of corticotropin?,Hypothalamus,What is the primary function of the part of the brain where the gland is located that secretes the hormone that stimulates the adrenal cortex to secrete glucocorticoids and is the subject has role of corticotropin?,"Regulates body temperature, hunger, and thirst"
health_medication,immunoglobulin G,subject has role,immunologic factor,What is the subject has role of immunoglobulin G?,Immunoglobulin G helps neutralize and eliminate viral and bacterial antigens,0.0,"['immunologic factor', 'Immunoglobulin G helps neutralize and eliminate viral and bacterial antigens', 'antibody', 'immune response']",What role does immunoglobulin G play?,Is the subject has role of immunoglobulin G an immunologic factor?,Is the subject has role of immunoglobulin G to help neutralize and eliminate viral and bacterial antigens?,What type of protein is immunoglobulin G?,What is the role of the immunologic factor in relation to immunoglobulin G?,A. Immunoglobulin G helps neutralize and eliminate viral and bacterial antigens  B. immune response  C. immunologic factor  D. antibody,C,What is the function of the immunologic factor that is the subject has role of immunoglobulin G?,It plays a crucial role in the immune response by identifying and neutralizing pathogens such as bacteria and viruses.,Which cells produce the immunologic factor that is the subject has role of immunoglobulin G?,B cells,Where in the body are the cells located that produce the immunologic factor that is the subject has role of immunoglobulin G?,Bone marrow,Which organ system includes the bone marrow where the cells are located that produce the immunologic factor that is the subject has role of immunoglobulin G?,Skeletal system,Which other major organ system works closely with the skeletal system that includes the bone marrow where the cells are located that produce the immunologic factor that is the subject has role of immunoglobulin G?,Circulatory system
health_medication,Serpin family A member 1,molecular function,protein binding,What is the molecular function of Serpin family A member 1?,Serpin family A member 1 is involved in blood coagulation and proteinase inhibition,0.0,"['protein binding', 'Serpin family A member 1 is involved in blood coagulation and proteinase inhibition', 'enzyme regulation', 'cell signaling']",What role does Serpin family A member 1 play at the molecular level?,Is the molecular function of Serpin family A member 1 protein binding?,Is the molecular function of Serpin family A member 1 blood coagulation and proteinase inhibition?,What family does Serpin family A member 1 belong to?,Which protein has the molecular function of protein binding?,A. enzyme regulation  B. Serpin family A member 1 is involved in blood coagulation and proteinase inhibition  C. cell signaling  D. protein binding,D,Which protein does the Serpin family A member 1 bind to?,Elastase,What is the primary function of the protein that Serpin family A member 1 binds to?,Breaks down elastin,In which organ is the protein that Serpin family A member 1 binds to primarily active?,Lungs,What disease is associated with the malfunction of the organ where the protein that Serpin family A member 1 binds to is primarily active?,Chronic obstructive pulmonary disease (COPD),What is a common symptom of the disease associated with the malfunction of the organ where the protein that Serpin family A member 1 binds to is primarily active?,Shortness of breath
health_medication,Serpin family A member 1,subject has role,Trypsin inhibitor,What is the subject has role of Serpin family A member 1?,Serpin family A member 1 plays a role in blood coagulation by regulating the,0.0,"['Trypsin inhibitor', 'Serpin family A member 1 plays a role in blood coagulation by regulating the', 'Protease inhibitor', 'Enzyme regulator']",What role does Serpin family A member 1 play?,Does Serpin family A member 1 have the role of Trypsin inhibitor?,Does Serpin family A member 1 play a role in blood coagulation by regulating the?,What is a well-known function of the Serpin family?,What is the role of Trypsin inhibitor in relation to Serpin family A member 1?,A. Serpin family A member 1 plays a role in blood coagulation by regulating the  B. Enzyme regulator  C. Protease inhibitor  D. Trypsin inhibitor,D,"What is the function of the Trypsin inhibitor, which is the subject has role of Serpin family A member 1?",Inhibits the activity of trypsin,"Which organ produces trypsin, the enzyme inhibited by the Trypsin inhibitor, which is the subject has role of Serpin family A member 1?",Pancreas,"What is the primary function of the pancreas, which produces trypsin, the enzyme inhibited by the Trypsin inhibitor, which is the subject has role of Serpin family A member 1?",Produces digestive enzymes and hormones,"Which hormone is produced by the pancreas, which also produces trypsin, the enzyme inhibited by the Trypsin inhibitor, which is the subject has role of Serpin family A member 1?",Insulin,"What is the primary function of insulin, the hormone produced by the pancreas, which also produces trypsin, the enzyme inhibited by the Trypsin inhibitor, which is the subject has role of Serpin family A member 1?",Regulates blood glucose levels
health_medication,aviptadil,has part(s),vasoactive intestinal peptide,What does aviptadil have part(s )?,Aviptadil has the part of a selective serotonin reuptake inhibitor (,0.0,"['vasoactive intestinal peptide', 'Aviptadil has the part of a selective serotonin reuptake inhibitor (', 'dopamine receptor agonist', 'beta-adrenergic blocker']",What component does aviptadil contain?,Does aviptadil have part(s) of vasoactive intestinal peptide?,Does aviptadil have part(s) of a selective serotonin reuptake inhibitor?,What is a common use of aviptadil in medical treatments?,What contains the vasoactive intestinal peptide as a part?,A. vasoactive intestinal peptide  B. Aviptadil has the part of a selective serotonin reuptake inhibitor (  C. dopamine receptor agonist  D. beta-adrenergic blocker,A,What is the function of the vasoactive intestinal peptide that aviptadil has part(s)?,It acts as a neurotransmitter and vasodilator.,"Which receptor does the neurotransmitter and vasodilator, vasoactive intestinal peptide that aviptadil has part(s), bind to?",VPAC1 and VPAC2 receptors,"In which tissues are the VPAC1 and VPAC2 receptors, that bind to the neurotransmitter and vasodilator, vasoactive intestinal peptide that aviptadil has part(s), predominantly found?","VPAC1 is found in the lung, liver, and intestines, while VPAC2 is found in the central nervous system and pancreas.","What is the primary function of the lung tissue where the VPAC1 receptor, that binds to the neurotransmitter and vasodilator, vasoactive intestinal peptide that aviptadil has part(s), is found?",The primary function of the lung tissue is gas exchange.,"Which gas is primarily exchanged in the lung tissue where the VPAC1 receptor, that binds to the neurotransmitter and vasodilator, vasoactive intestinal peptide that aviptadil has part(s), is found?",Oxygen
health_medication,calfactant,subject has role,pulmonary surfactant,What is the subject has role of calfactant?,Calfactant is responsible for the formation and maintenance of subcutaneous fat pads,0.0,"['pulmonary surfactant', 'Calfactant is responsible for the formation and maintenance of subcutaneous fat pads', 'respiratory enzyme', 'digestive aid']",What role does calfactant play?,Is the subject has role of calfactant pulmonary surfactant?,Is the subject has role of calfactant the formation and maintenance of subcutaneous fat pads?,What is a common use of calfactant in medical treatments?,What substance acts as a pulmonary surfactant?,A. pulmonary surfactant  B. digestive aid  C. Calfactant is responsible for the formation and maintenance of subcutaneous fat pads  D. respiratory enzyme,A,What is the primary function of the pulmonary surfactant that is the subject has role of calfactant?,Reduces surface tension in the lungs,Which cells produce the pulmonary surfactant that is the subject has role of calfactant and reduces surface tension in the lungs?,Type II alveolar cells,In which part of the respiratory system are the Type II alveolar cells located that produce the pulmonary surfactant that is the subject has role of calfactant and reduces surface tension in the lungs?,Alveoli,Which gas exchange process occurs in the alveoli where the Type II alveolar cells are located that produce the pulmonary surfactant that is the subject has role of calfactant and reduces surface tension in the lungs?,Oxygen and carbon dioxide exchange,Which circulatory system component is involved in the gas exchange process that occurs in the alveoli where the Type II alveolar cells are located that produce the pulmonary surfactant that is the subject has role of calfactant and reduces surface tension in the lungs?,Capillaries
health_medication,beractant,subject has role,pulmonary surfactant,What is the subject has role of beractant?,The subject has a role of reactant,0.0,"['pulmonary surfactant', 'The subject has a role of reactant', 'enzyme', 'hormone']",What role does beractant play?,Is the subject has role of beractant pulmonary surfactant?,Is the subject has role of beractant The subject has a role of reactant?,What is a common use of beractant in medical treatments?,What substance acts as a pulmonary surfactant?,A. hormone  B. enzyme  C. pulmonary surfactant  D. The subject has a role of reactant,C,"What is the primary function of the pulmonary surfactant, which is the subject has role of beractant?",To reduce surface tension in the lungs,"Which cells produce the pulmonary surfactant, which is the subject has role of beractant?",Type II alveolar cells,"In which part of the respiratory system are the Type II alveolar cells located that produce the pulmonary surfactant, which is the subject has role of beractant?",Alveoli,"Which organ contains the alveoli where the Type II alveolar cells are located that produce the pulmonary surfactant, which is the subject has role of beractant?",Lungs,"Which system of the body includes the lungs that contain the alveoli where the Type II alveolar cells are located that produce the pulmonary surfactant, which is the subject has role of beractant?",Respiratory system
