subject,relation,object,question,label
Vatican City,currency,Euro,What is the currency of Vatican City?,Euro
Vatican City,named after,Vatican Hill,What was Vatican City named after?,Vatican Hill
Vatican City,head of government,Fernando Vérgez Alzaga,Who is the head of government of Vatican City?,Fernando Vérgez Alzaga
Vatican City,flag,flag of Vatican City,What is the flag of Vatican City?,flag of Vatican City
Vatican City,head of state,Pope Francis,Who is the head of state of Vatican City?,Pope Francis
Altes Rathaus Nürnberg,adjacent building,St. Sebaldus,What is the adjacent building of Altes Rathaus Nürnberg?,St. Sebaldus
Altes Rathaus Nürnberg,architectural style,Renaissance architecture,What is the architectural style of Altes Rathaus Nürnberg?,Renaissance architecture
Altes Rathaus Nürnberg,significant event,reconstruction,What is the significant event of Altes Rathaus Nürnberg?,reconstruction
Altes Rathaus Nürnberg,country,Germany,What is the country of Altes Rathaus Nürnberg?,Germany
Vatican City,owned by,Holy See,What was Vatican City owned by?,Holy See
Altes Rathaus Nürnberg,architect,Jakob Wolff,Who does Altes Rathaus Nürnberg architect?,Jakob Wolff
Vatican City,present in work,Civilization V,What is the present in work of Vatican City?,Civilization V
Vatican City,replaces,Papal States,What does Vatican City replace?,Papal States
Vatican City,heritage designation,World Heritage Site,What is the heritage designation of Vatican City?,World Heritage Site
Vatican City,highest point,Vatican Hill,What is the highest point of Vatican City?,Vatican Hill
Ellis Island,located in or next to body of water,Upper New York Bay,What is the located in or next to body of water of Ellis Island?,Upper New York Bay
Vatican City,foundational text,Lateran Treaty,What is the foundational text of Vatican City?,Lateran Treaty
Ellis Island,operator,National Park Service,What is the operator of Ellis Island?,National Park Service
Checkpoint Charlie,located in the administrative territorial entity,Friedrichshain-Kreuzberg,What is the located in the administrative territorial entity of Checkpoint Charlie?,Friedrichshain-Kreuzberg
Brandenburg Gate,located in the administrative territorial entity,Berlin,What is the located in the administrative territorial entity of Brandenburg Gate?,Berlin
Brandenburg Gate,owned by,Berlin,What was Brandenburg Gate owned by?,Berlin
Brandenburg Gate,commissioned by,Friedrich Wilhelm II of Prussia,Who was Brandenburg Gate commissioned by?,Friedrich Wilhelm II of Prussia
Brandenburg Gate,located on street,Pariser Platz,What is the located on street of Brandenburg Gate?,Pariser Platz
Checkpoint Charlie,country,Germany,What is the country of Checkpoint Charlie?,Germany
Brandenburg Gate,made from material,sandstone,What is the made from material of Brandenburg Gate?,sandstone
Brandenburg Gate,named after,Brandenburg an der Havel,What was Brandenburg Gate named after?,Brandenburg an der Havel
Brandenburg Gate,architect,Carl Gotthard Langhans,Who does Brandenburg Gate architect?,Carl Gotthard Langhans
Brandenburg Gate,architectural style,Greek Revival architecture,What is the architectural style of Brandenburg Gate?,Greek Revival architecture
