topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
geography_volcano,Mount Kirishima,located in protected area,Kirishima-Kinkōwan National Park,What is the located in protected area of Mount Kirishima?,The located in protected area of Mount Kirishima is the volcano,0.0,"['Kirishima-Kinkōwan National Park', 'The located in protected area of Mount Kirishima is the volcano', 'Aso-Kuju National Park', 'Fuji-Hakone-Izu National Park']",Which protected area is Mount Kirishima located in?,Is Mount Kirishima located in Kirishima-Kinkōwan National Park?,Is Mount Kirishima located in the volcano?,What is a famous feature of Mount Kirishima?,What is located in Kirishima-Kinkōwan National Park?,A. Fuji-Hakone-Izu National Park  B. Kirishima-Kinkōwan National Park  C. The located in protected area of Mount Kirishima is the volcano  D. Aso-Kuju National Park,B,"What is the total area of the Kirishima-Kinkōwan National Park, which is the protected area where Mount Kirishima is located?",365.86 square kilometers,"In which year was the Kirishima-Kinkōwan National Park, the protected area where Mount Kirishima is located, established?",1934,"Which governing body manages the Kirishima-Kinkōwan National Park, the protected area where Mount Kirishima is located?",Ministry of the Environment (Japan),"What is one of the main attractions within the Kirishima-Kinkōwan National Park, the protected area where Mount Kirishima is located?",Sakurajima,"Which body of water is near the Kirishima-Kinkōwan National Park, the protected area where Mount Kirishima is located?",Kinkō Bay
geography_volcano,Tecuamburro,country,Guatemala,What is the country of Tecuamburro?,Argentina,0.0,"['Guatemala', 'Argentina', 'Mexico', 'Brazil']",Which country is Tecuamburro located in?,Is the country of Tecuamburro Guatemala?,Is the country of Tecuamburro Argentina?,What is the elevation of Tecuamburro?,Which volcano is located in Guatemala?,A. Mexico  B. Guatemala  C. Brazil  D. Argentina,B,What is the capital of the country of Tecuamburro?,Guatemala City,What is the population of the capital of the country of Tecuamburro?,Approximately 1 million,What is the main language spoken in the capital of the country of Tecuamburro?,Spanish,What is the currency used in the country where the capital's main language is Spanish and the country of Tecuamburro?,Guatemalan quetzal,What is the ISO 4217 code for the currency used in the country where the capital's main language is Spanish and the country of Tecuamburro?,GTQ
geography_volcano,Ankaratra,country,Madagascar,What is the country of Ankaratra?,Ankaratra,0.0,"['Madagascar', 'Ankaratra', 'Kenya', 'Tanzania']",Which country is Ankaratra located in?,Is the country of Ankaratra Madagascar?,Is the country of Ankaratra Ankaratra?,What is the highest peak of Ankaratra?,What mountain range is located in Madagascar?,A. Madagascar  B. Kenya  C. Tanzania  D. Ankaratra,A,What is the capital of the country of Ankaratra?,Antananarivo,What is the population of the capital of the country of Ankaratra?,1.3 million,What is the main language spoken in the capital of the country of Ankaratra?,Malagasy,What is the currency used in the country where the capital's main language is Malagasy?,Malagasy ariary,What is the ISO 4217 code for the currency used in the country where the capital's main language is Malagasy?,MGA
geography_volcano,Mount Iwate,located in protected area,Towada-Hachimantai National Park,What is the located in protected area of Mount Iwate?,Iwate-san,0.0,"['Towada-Hachimantai National Park', 'Iwate-san', 'Nikko National Park', 'Fuji-Hakone-Izu National Park']",Which protected area is Mount Iwate located in?,Is Mount Iwate located in Towada-Hachimantai National Park?,Is Mount Iwate located in Iwate-san?,What is the height of Mount Iwate?,Which mountain is located in Towada-Hachimantai National Park?,A. Towada-Hachimantai National Park  B. Iwate-san  C. Fuji-Hakone-Izu National Park  D. Nikko National Park,A,"What is the area of Towada-Hachimantai National Park, the protected area where Mount Iwate is located?",854.09 square kilometers,"Which prefectures does Towada-Hachimantai National Park, the protected area where Mount Iwate is located, span?","Aomori, Akita, and Iwate","What is the capital city of the prefecture Iwate, which is part of Towada-Hachimantai National Park, the protected area where Mount Iwate is located?",Morioka,"What is the population of Morioka, the capital city of the prefecture Iwate, which is part of Towada-Hachimantai National Park, the protected area where Mount Iwate is located?","Approximately 290,000","What is a notable historical site in Morioka, the capital city of the prefecture Iwate, which is part of Towada-Hachimantai National Park, the protected area where Mount Iwate is located?",Morioka Castle
geography_volcano,Antuco,continent,Americas,What is the continent of Antuco?,Antuco,0.0,"['Americas', 'Antuco', 'Europe', 'Asia']",On which continent is Antuco located?,Is the continent of Antuco the Americas?,Is the continent of Antuco Antuco?,What is a notable feature of Antuco?,Which place is located on the continent of the Americas?,A. Asia  B. Europe  C. Americas  D. Antuco,C,What is the largest country in the continent of Antuco?,Brazil,What is the capital of the largest country in the continent of Antuco?,Brasília,What is the population of the capital of the largest country in the continent of Antuco?,Approximately 3 million,What is the main language spoken in the capital of the largest country in the continent of Antuco?,Portuguese,What is the currency used in the country where the capital city speaks Portuguese and is the largest country in the continent of Antuco?,Brazilian Real
geography_volcano,San José,continent,Americas,What is the continent of San José?,South America,0.0,"['Americas', 'South America', 'Europe', 'Asia']",Which continent is San José located in?,Is the continent of San José the Americas?,Is the continent of San José South America?,What is the capital city of Costa Rica?,Which city is located on the continent of the Americas?,A. Americas  B. South America  C. Europe  D. Asia,A,What is the largest country in the continent of San José?,Brazil,What is the capital city of the largest country in the continent of San José?,Brasília,What is the population of the capital city of the largest country in the continent of San José?,Approximately 3 million,What is the main language spoken in the capital city of the largest country in the continent of San José?,Portuguese,"What is the currency used in the country where the capital city is located, which is the largest country in the continent of San José?",Brazilian Real
geography_volcano,Esjufjöll,located in protected area,Vatnajökull National Park,What is the located in protected area of Esjufjöll?,The located in protected area of Esjufjöll is the protected area,0.0,"['Vatnajökull National Park', 'The located in protected area of Esjufjöll is the protected area', 'Thingvellir National Park', 'Snæfellsjökull National Park']",Which protected area is Esjufjöll located in?,Is Esjufjöll located in Vatnajökull National Park?,Is Esjufjöll located in the protected area?,What type of geological feature is Esjufjöll known for?,What is located in Vatnajökull National Park?,A. The located in protected area of Esjufjöll is the protected area  B. Vatnajökull National Park  C. Snæfellsjökull National Park  D. Thingvellir National Park,B,"What is the size of the Vatnajökull National Park, the protected area where Esjufjöll is located?","14,141 square kilometers","What is the highest peak in the Vatnajökull National Park, the protected area where Esjufjöll is located?",Hvannadalshnúkur,"What is the elevation of the highest peak in the Vatnajökull National Park, the protected area where Esjufjöll is located?","2,110 meters","Which glacier is the highest peak in the Vatnajökull National Park, the protected area where Esjufjöll is located, part of?",Öræfajökull,"In which country is the glacier located that contains the highest peak in the Vatnajökull National Park, the protected area where Esjufjöll is located?",Iceland
geography_volcano,Gunung Merbabu,volcano observatory,Volcanological Survey of Indonesia,What is the volcano observatory of Gunung Merbabu?,Gunung Merbabu volcano observatory,0.0,"['Volcanological Survey of Indonesia', 'Gunung Merbabu volcano observatory', 'Indonesian Geological Agency', 'Volcano Research Center']",Which organization monitors the volcanic activity of Gunung Merbabu?,Is the Volcanological Survey of Indonesia the volcano observatory of Gunung Merbabu?,Is the Gunung Merbabu volcano observatory the volcano observatory of Gunung Merbabu?,In which country is Gunung Merbabu located?,Which volcano is monitored by the Volcanological Survey of Indonesia?,A. Indonesian Geological Agency  B. Volcanological Survey of Indonesia  C. Gunung Merbabu volcano observatory  D. Volcano Research Center,B,Who is the head of the volcano observatory of Gunung Merbabu?,Kasbani,Which university did the head of the volcano observatory of Gunung Merbabu attend?,Bandung Institute of Technology,In which city is the university located that the head of the volcano observatory of Gunung Merbabu attended?,Bandung,In which province is the city located where the university that the head of the volcano observatory of Gunung Merbabu attended is situated?,West Java,In which country is the province located where the city is situated that contains the university the head of the volcano observatory of Gunung Merbabu attended?,Indonesia
geography_volcano,Volcán Tacaná,continent,Americas,What is the continent of Volcán Tacaná?,The continent of Volcán Tacaná is located in the Pacific Ocean,0.0,"['Americas', 'The continent of Volcán Tacaná is located in the Pacific Ocean', 'Asia', 'Europe']",On which continent is Volcán Tacaná located?,Is the continent of Volcán Tacaná the Americas?,Is the continent of Volcán Tacaná located in the Pacific Ocean?,What is the elevation of Volcán Tacaná?,Which volcano is located on the continent of the Americas?,A. Americas  B. Europe  C. The continent of Volcán Tacaná is located in the Pacific Ocean  D. Asia,A,What is the country where Volcán Tacaná is located?,Mexico,What is the capital city of the country where Volcán Tacaná is located?,Mexico City,What is the population of the capital city of the country where Volcán Tacaná is located?,Approximately 9 million,What is the main language spoken in the capital city of the country where Volcán Tacaná is located?,Spanish,What is the currency used in the country where the capital city is located that is the main language spoken in the capital city of the country where Volcán Tacaná is located?,Mexican Peso
geography_volcano,Mount Wrangell,named after,Ferdinand von Wrangel,Who was Mount Wrangell named after?,Mount Wrangell was named after a man named Wrangell,0.0,"['Ferdinand von Wrangel', 'Mount Wrangell was named after a man named Wrangell', 'Alexander von Humboldt', 'James Cook']",Who is the namesake of Mount Wrangell?,Was Mount Wrangell named after Ferdinand von Wrangel?,Was Mount Wrangell named after a man named Wrangell?,What type of geological feature is Mount Wrangell?,Which mountain was named after Ferdinand von Wrangel?,A. Mount Wrangell was named after a man named Wrangell  B. Alexander von Humboldt  C. James Cook  D. Ferdinand von Wrangel,D,What was the occupation of the person Mount Wrangell was named after?,Explorer,"Which country did the explorer, who Mount Wrangell was named after, serve?",Russia,"In which century did the explorer, who Mount Wrangell was named after, serve Russia?",19th century,"What is the name of the sea that was explored by the explorer, who served Russia in the 19th century and after whom Mount Wrangell was named?",Chukchi Sea,"Which ocean is the Chukchi Sea, explored by the 19th-century Russian explorer after whom Mount Wrangell was named, part of?",Arctic Ocean
