subject,relation,object,question,label
Kiratto Pri Chan,original language of film or TV show,Japanese,What is the original language of film or TV show of Kiratto Pri Chan?,Japanese
Kiratto Pri Chan,followed by,Pretty All Friends Selection,What was Kiratto Pri Chan followed by?,Pretty All Friends Selection
Kiratto Pri Chan,developer,Syn Sophia,Who is the developer of Kiratto Pri Chan?,Syn Sophia
Kiratto Pri Chan,publisher,T-ARTS,What is the publisher of Kiratto Pri Chan?,T-ARTS
Macross Delta the Movie: Passionate Walküre,original language of film or TV show,Japanese,What is the original language of film or TV show of Macross Delta the Movie: Passionate Walküre?,Japanese
Kiratto Pri Chan,production company,Tatsunoko Production,What is the production company of Kiratto Pri Chan?,Tatsunoko Production
Digimon Adventure Tri. 5,country of origin,Japan,What is the country of origin of Digimon Adventure Tri. 5?,Japan
Macross Delta the Movie: Passionate Walküre,production company,Satelight,What is the production company of Macross Delta the Movie: Passionate Walküre?,Satelight
Kiratto Pri Chan,director,Hiroshi Ikehata,Who is the director of Kiratto Pri Chan?,Hiroshi Ikehata
Kiratto Pri Chan,country of origin,Japan,What is the country of origin of Kiratto Pri Chan?,Japan
Macross Delta the Movie: Passionate Walküre,director,Shōji Kawamori,Who is the director of Macross Delta the Movie: Passionate Walküre?,Shōji Kawamori
Macross Delta the Movie: Passionate Walküre,language of work or name,Japanese,What is the language of work or name of Macross Delta the Movie: Passionate Walküre?,Japanese
Macross Delta the Movie: Passionate Walküre,form of creative work,feature film,What is the form of creative work of Macross Delta the Movie: Passionate Walküre?,feature film
Macross Delta the Movie: Passionate Walküre,screenwriter,Shōji Kawamori,Who is the screenwriter of Macross Delta the Movie: Passionate Walküre?,Shōji Kawamori
Digimon Adventure Tri. 5,distribution format,video on demand,What is the distribution format of Digimon Adventure Tri. 5?,video on demand
Digimon Adventure Tri. 5,original language of film or TV show,Japanese,What is the original language of film or TV show of Digimon Adventure Tri. 5?,Japanese
Macross Delta the Movie: Passionate Walküre,based on,Macross Delta,What was Macross Delta the Movie: Passionate Walküre based on?,Macross Delta
Kiratto Pri Chan,language of work or name,Japanese,What is the language of work or name of Kiratto Pri Chan?,Japanese
Digimon Adventure Tri. 5,part of the series,Digimon Adventure tri.,What is the part of the series of Digimon Adventure Tri. 5?,Digimon Adventure tri.
Digimon Adventure Tri. 3,country of origin,Japan,What is the country of origin of Digimon Adventure Tri. 3?,Japan
Macross Delta the Movie: Passionate Walküre,country of origin,Japan,What is the country of origin of Macross Delta the Movie: Passionate Walküre?,Japan
Digimon Adventure Tri. 5,follows,Digimon Adventure Tri. 4,What does Digimon Adventure Tri. 5 follow?,Digimon Adventure Tri. 4
Macross Delta the Movie: Passionate Walküre,genre,mecha,What is the genre of Macross Delta the Movie: Passionate Walküre?,mecha
Digimon Adventure Tri. 5,followed by,Digimon Adventure Tri. 6,What was Digimon Adventure Tri. 5 followed by?,Digimon Adventure Tri. 6
Digimon Adventure Tri. 3,original language of film or TV show,Japanese,What is the original language of film or TV show of Digimon Adventure Tri. 3?,Japanese
Digimon Adventure Tri. 3,part of the series,Digimon Adventure tri.,What is the part of the series of Digimon Adventure Tri. 3?,Digimon Adventure tri.
Digimon Adventure Tri. 3,director,Keitarō Motonaga,Who is the director of Digimon Adventure Tri. 3?,Keitarō Motonaga
Digimon Adventure Tri. 3,distribution format,video on demand,What is the distribution format of Digimon Adventure Tri. 3?,video on demand
Digimon Adventure Tri. 3,follows,Digimon Adventure Tri. 2,What does Digimon Adventure Tri. 3 follow?,Digimon Adventure Tri. 2
Digimon Adventure Tri. 3,followed by,Digimon Adventure Tri. 4,What was Digimon Adventure Tri. 3 followed by?,Digimon Adventure Tri. 4
Keifuku-san,country of origin,Japan,What is the country of origin of Keifuku-san?,Japan
Double Decker! Doug & Kirill,country of origin,Japan,What is the country of origin of Double Decker! Doug & Kirill?,Japan
Digimon Adventure Tri. 6,original language of film or TV show,Japanese,What is the original language of film or TV show of Digimon Adventure Tri. 6?,Japanese
Double Decker! Doug & Kirill,original language of film or TV show,Japanese,What is the original language of film or TV show of Double Decker! Doug & Kirill?,Japanese
Double Decker! Doug & Kirill,character designer,Masakazu Katsura,Who is the character designer of Double Decker! Doug & Kirill?,Masakazu Katsura
Keifuku-san,original language of film or TV show,Japanese,What is the original language of film or TV show of Keifuku-san?,Japanese
Double Decker! Doug & Kirill,distributed by,Crunchyroll,What was Double Decker! Doug & Kirill distributed by?,Crunchyroll
Digimon Adventure Tri. 6,follows,Digimon Adventure Tri. 5,What does Digimon Adventure Tri. 6 follow?,Digimon Adventure Tri. 5
Digimon Adventure Tri. 6,part of the series,Digimon Adventure tri.,What is the part of the series of Digimon Adventure Tri. 6?,Digimon Adventure tri.
Keifuku-san,original broadcaster,Tokyo Metropolitan Television,What is the original broadcaster of Keifuku-san?,Tokyo Metropolitan Television
Digimon Adventure Tri. 6,country of origin,Japan,What is the country of origin of Digimon Adventure Tri. 6?,Japan
Double Decker! Doug & Kirill,distribution format,video on demand,What is the distribution format of Double Decker! Doug & Kirill?,video on demand
Kinnikuman Nisei,main subject,sport,What is the main subject of Kinnikuman Nisei?,sport
Kinnikuman Nisei,intended public,shōnen,What is the intended public of Kinnikuman Nisei?,shōnen
Digimon Adventure Tri. 6,distribution format,video on demand,What is the distribution format of Digimon Adventure Tri. 6?,video on demand
Fukusuke,director,Ryūichi Yokoyama,Who is the director of Fukusuke?,Ryūichi Yokoyama
"Hey, Your Cat Ears Are Showing!",original language of film or TV show,Japanese,"What is the original language of film or TV show of Hey, Your Cat Ears Are Showing!?",Japanese
Kinnikuman Nisei,country of origin,Japan,What is the country of origin of Kinnikuman Nisei?,Japan
Kinnikuman Nisei,language of work or name,Japanese,What is the language of work or name of Kinnikuman Nisei?,Japanese
