topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
technology_software,Ideco ICS,operating system,Linux,Linux,What is the operating system of Ideco ICS?,Ideco ICS does not specify an operating system. It's a hardware,0.0,"['Linux', ""Ideco ICS does not specify an operating system. It's a hardware"", 'Windows', 'macOS']",Which operating system does Ideco ICS use?,A. macOS  B. Ideco ICS does not specify an operating system. It's a hardware  C. Linux  D. Windows,C,Is the operating system of Ideco ICS Linux?,Is the operating system of Ideco ICS 'Ideco ICS does not specify an operating system. It's a hardware'?,What type of product is Ideco ICS known for?,Which company uses Linux as its operating system?,What is the primary programming language used to develop the operating system of Ideco ICS?,C,Who is the creator of the primary programming language used to develop the operating system of Ideco ICS?,Dennis Ritchie,Which company did the creator of the primary programming language used to develop the operating system of Ideco ICS work for?,Bell Labs,In which year was the company that the creator of the primary programming language used to develop the operating system of Ideco ICS worked for founded?,1925,Who was the founder of the company that the creator of the primary programming language used to develop the operating system of Ideco ICS worked for?,Alexander Graham Bell
technology_software,News Channel,language of work or name,Japanese,Japanese,What is the language of work or name of News Channel?,"English (for work) and various (for news channels, depending on the region",0.0,"['Japanese', 'English', 'Spanish', 'French']",In which language does News Channel operate?,"A. English (for work) and various (for news channels, depending on the region  B. Japanese  C. French  D. Spanish",B,Is the language of work or name of News Channel Japanese?,Is the language of work or name of News Channel English?,What type of content is typically broadcasted on News Channel?,Which channel operates in Japanese?,What is the primary country where the language of work or name of the News Channel is spoken?,United States,What is the capital city of the primary country where the language of work or name of the News Channel is spoken?,"Washington, D.C.",Which river flows through the capital city of the primary country where the language of work or name of the News Channel is spoken?,Potomac River,What is the name of the famous monument located near the river that flows through the capital city of the primary country where the language of work or name of the News Channel is spoken?,Washington Monument,Who was the first president of the country where the famous monument is located near the river that flows through the capital city of the primary country where the language of work or name of the News Channel is spoken?,George Washington
technology_software,BIRD Internet Routing Daemon,copyright license,GNU General Public License,GNU General Public License,What is the copyright license of BIRD Internet Routing Daemon?,BSD,0.0,"['GNU General Public License', 'BSD', 'MIT License', 'Apache License']",Under which copyright license is the BIRD Internet Routing Daemon distributed?,A. BSD  B. GNU General Public License  C. Apache License  D. MIT License,B,Is the copyright license of BIRD Internet Routing Daemon the GNU General Public License?,Is the copyright license of BIRD Internet Routing Daemon the BSD?,What is the primary function of the BIRD Internet Routing Daemon?,Which software is licensed under the GNU General Public License?,Who holds the copyright license for the BIRD Internet Routing Daemon?,CZ.NIC,What is the primary function of the organization that holds the copyright license for the BIRD Internet Routing Daemon?,Internet infrastructure and security,In which country is the organization that holds the copyright license for the BIRD Internet Routing Daemon based?,Czech Republic,What is the capital city of the country where the organization that holds the copyright license for the BIRD Internet Routing Daemon is based?,Prague,What is the population of the capital city of the country where the organization that holds the copyright license for the BIRD Internet Routing Daemon is based?,Approximately 1.3 million
technology_software,Open 3D Engine,replaces,Amazon Lumberyard,Amazon Lumberyard,What does Open 3D Engine replace?,Replaces proprietary game engines or custom solutions for game development,0.0,"['Amazon Lumberyard', 'Replaces proprietary game engines or custom solutions for game development', 'Unity', 'Unreal Engine']",Which software does Open 3D Engine replace?,A. Unity  B. Amazon Lumberyard  C. Unreal Engine  D. Replaces proprietary game engines or custom solutions for game development,B,Does Open 3D Engine replace Amazon Lumberyard?,Does Open 3D Engine replace proprietary game engines or custom solutions for game development?,What is a key feature of Open 3D Engine?,What replaces Amazon Lumberyard?,What software does the Open 3D Engine replace?,Amazon Lumberyard,Who developed the software that the Open 3D Engine replaces?,Amazon,In which year was the software developed that the Open 3D Engine replaces?,2016,What is the primary programming language used in the software that the Open 3D Engine replaces?,C++,What is the primary use case for the software that the Open 3D Engine replaces?,Game development
technology_software,Bun,programmed in,Zig,Zig,What was Bun programmed in?,Go,0.0,"['Zig', 'Go', 'Python', 'Rust']",In which programming language was Bun developed?,A. Go  B. Rust  C. Python  D. Zig,D,Was Bun programmed in Zig?,Was Bun programmed in Go?,What is a popular feature of Bun?,Which software was programmed in Zig?,What is the primary programming language used to program Bun?,JavaScript,Who created the primary programming language used to program Bun?,Brendan Eich,Which company was Brendan Eich working for when he created the primary programming language used to program Bun?,Netscape Communications Corporation,In which year was the company founded where Brendan Eich created the primary programming language used to program Bun?,1994,In which city was the company founded where Brendan Eich created the primary programming language used to program Bun?,Mountain View
technology_software,TVer,country,Japan,Japan,What is the country of TVer?,Russia,0.0,"['Japan', 'Russia', 'China', 'South Korea']",Which country is TVer located in?,A. South Korea  B. Japan  C. Russia  D. China,B,Is the country of TVer Japan?,Is the country of TVer Russia?,What is the primary language spoken in TVer?,Which service is located in Japan?,What is the capital of the country where TVer is located?,Moscow,Which river flows through the capital of the country where TVer is located?,Moskva River,What is the length of the river that flows through the capital of the country where TVer is located?,502 kilometers,Which sea does the river that flows through the capital of the country where TVer is located ultimately drain into?,Caspian Sea,Which country borders the sea that the river flowing through the capital of the country where TVer is located ultimately drains into?,Kazakhstan
technology_software,"Nothing, Forever",broadcast by,Twitch,Twitch,"What was Nothing, Forever broadcast by?",BBC Radio 4 Extra,0.0,"['Twitch', 'BBC Radio 4 Extra', 'YouTube', 'Netflix']","Which platform broadcast Nothing, Forever?",A. Netflix  B. BBC Radio 4 Extra  C. Twitch  D. YouTube,C,"Was Nothing, Forever broadcast by Twitch?","Was Nothing, Forever broadcast by BBC Radio 4 Extra?","What genre is Nothing, Forever known for?",What show was broadcast by Twitch?,"What is the genre of the show that is broadcast by the network that airs Nothing, Forever?",Comedy,"Who is the creator of the show that is broadcast by the network that airs Nothing, Forever?",Skyler Higley,"Which city is the creator of the show that is broadcast by the network that airs Nothing, Forever from?",Chicago,"What is the population of the city where the creator of the show that is broadcast by the network that airs Nothing, Forever is from?",2.7 million,"What is the nickname of the city with a population of 2.7 million where the creator of the show that is broadcast by the network that airs Nothing, Forever is from?",The Windy City
technology_software,Mailchimp,chief executive officer,Ben Chestnut,Ben Chestnut,Who is the chief executive officer of Mailchimp?,Dan Kurzius,0.0,"['Ben Chestnut', 'Dan Kurzius', 'Alex Johnson', 'Sarah Lee']",Who holds the position of chief executive officer at Mailchimp?,A. Alex Johnson  B. Ben Chestnut  C. Dan Kurzius  D. Sarah Lee,B,Is Ben Chestnut the chief executive officer of Mailchimp?,Is Dan Kurzius the chief executive officer of Mailchimp?,What is a popular service provided by Mailchimp?,Who is Ben Chestnut the chief executive officer of?,Who is the spouse of the chief executive officer of Mailchimp?,Teresa Basich,Which company did the spouse of the chief executive officer of Mailchimp work for?,Salesforce,In which city is the headquarters of the company where the spouse of the chief executive officer of Mailchimp worked located?,San Francisco,In which state is the city located where the headquarters of the company that the spouse of the chief executive officer of Mailchimp worked for is situated?,California,In which country is the state located where the city is situated that contains the headquarters of the company the spouse of the chief executive officer of Mailchimp worked for?,United States
technology_software,Pixel Game Maker MV,distribution format,digital distribution,digital distribution,What is the distribution format of Pixel Game Maker MV?,.zip,0.0,"['digital distribution', '.zip', 'physical copy', 'DVD']",In what format is Pixel Game Maker MV distributed?,A. DVD  B. .zip  C. physical copy  D. digital distribution,D,Is the distribution format of Pixel Game Maker MV digital distribution?,Is the distribution format of Pixel Game Maker MV .zip?,What type of software is Pixel Game Maker MV?,Which software is distributed in a digital distribution format?,Which company is responsible for the distribution format of Pixel Game Maker MV?,Kadokawa Corporation,What is the primary industry of the company responsible for the distribution format of Pixel Game Maker MV?,Publishing,Which country is the primary industry of the company responsible for the distribution format of Pixel Game Maker MV based in?,Japan,What is the capital city of the country where the primary industry of the company responsible for the distribution format of Pixel Game Maker MV is based?,Tokyo,What is the population of the capital city of the country where the primary industry of the company responsible for the distribution format of Pixel Game Maker MV is based?,Approximately 14 million
technology_software,Ben and Ed,software engine,Unreal Engine 4,Unreal Engine 4,What is the software engine of Ben and Ed?,Unity,0.0,"['Unreal Engine 4', 'Unity', 'CryEngine', 'Godot']",Which software engine is used by Ben and Ed?,A. Unity  B. Godot  C. Unreal Engine 4  D. CryEngine,C,Is the software engine of Ben and Ed Unreal Engine 4?,Is the software engine of Ben and Ed Unity?,What genre of game is Ben and Ed?,Which game uses Unreal Engine 4 as its software engine?,Who developed the software engine for Ben and Ed?,Sluggerfly,In which country is the developer of the software engine for Ben and Ed based?,Germany,What is the capital city of the country where the developer of the software engine for Ben and Ed is based?,Berlin,Which river flows through the capital city of the country where the developer of the software engine for Ben and Ed is based?,Spree,Into which larger river does the river that flows through the capital city of the country where the developer of the software engine for Ben and Ed is based eventually flow?,Havel
