topic,subject,relation,object,question,output_gemma_1.1_2b_it,eval_gemma_1.1_2b_it,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
technology_database,United States Patent and Trademark Office,headquarters location,Alexandria,What is the headquarters location of United States Patent and Trademark Office?,"Washington, D.C",0.0,"['Alexandria', 'Washington, D.C', 'New York', 'Los Angeles']",Where is the headquarters of the United States Patent and Trademark Office located?,Is the headquarters location of the United States Patent and Trademark Office in Alexandria?,"Is the headquarters location of the United States Patent and Trademark Office in Washington, D.C?",What is the primary function of the United States Patent and Trademark Office?,Which organization's headquarters is located in Alexandria?,"A. New York  B. Washington, D.C  C. Los Angeles  D. Alexandria",D,What is the population of the headquarters location of United States Patent and Trademark Office?,"159,200","Who is the mayor of the city with the population of 159,200, which is the headquarters location of United States Patent and Trademark Office?",Justin Wilson,"Which university did the mayor of the city with the population of 159,200, which is the headquarters location of United States Patent and Trademark Office, attend?",Virginia Commonwealth University,"In which city is the university located that the mayor of the city with the population of 159,200, which is the headquarters location of United States Patent and Trademark Office, attended?",Richmond,"In which state is the city located where the university is situated that the mayor of the city with the population of 159,200, which is the headquarters location of United States Patent and Trademark Office, attended?",Virginia
technology_database,United States Patent and Trademark Office,parent organization,United States Department of Commerce,What is the parent organization of United States Patent and Trademark Office?,U.S. Patent and Trademark Office,0.0,"['United States Department of Commerce', 'U.S. Patent and Trademark Office', 'United States Department of Justice', 'United States Department of the Treasury']",Which organization is the parent of the United States Patent and Trademark Office?,Is the United States Department of Commerce the parent organization of the United States Patent and Trademark Office?,Is the U.S. Patent and Trademark Office the parent organization of the United States Patent and Trademark Office?,What is the primary function of the United States Patent and Trademark Office?,What organization is the United States Department of Commerce the parent of?,A. United States Department of the Treasury  B. United States Department of Commerce  C. United States Department of Justice  D. U.S. Patent and Trademark Office,B,Who is the head of the parent organization of United States Patent and Trademark Office?,Gina Raimondo,Which university did the head of the parent organization of United States Patent and Trademark Office attend for their undergraduate studies?,Harvard University,In which city is the university that the head of the parent organization of United States Patent and Trademark Office attended located?,Cambridge,In which state is the city located where the university that the head of the parent organization of United States Patent and Trademark Office attended is situated?,Massachusetts,In which country is the state located where the city is situated that contains the university the head of the parent organization of United States Patent and Trademark Office attended?,United States
technology_database,Unifrance,chairperson,Serge Toubiana,Who is the chairperson of Unifrance?,Unifrance does not have a chairperson as it is a cooperative society,0.0,"['Serge Toubiana', 'Unifrance does not have a chairperson as it is a cooperative society', 'Jean-Pierre Jeunet', 'Agnès Varda']",Who holds the position of chairperson at Unifrance?,Is Serge Toubiana the chairperson of Unifrance?,Is Unifrance does not have a chairperson as it is a cooperative society the chairperson of Unifrance?,What is Unifrance known for promoting?,Who is Serge Toubiana the chairperson of?,A. Serge Toubiana  B. Unifrance does not have a chairperson as it is a cooperative society  C. Agnès Varda  D. Jean-Pierre Jeunet,A,Who is the spouse of the chairperson of Unifrance?,Florence Malraux,What is the profession of the spouse of the chairperson of Unifrance?,Film editor,Which famous director did the spouse of the chairperson of Unifrance work with?,François Truffaut,Which film by François Truffaut did the spouse of the chairperson of Unifrance edit?,The Wild Child,In which year was the film edited by the spouse of the chairperson of Unifrance released?,1970
technology_database,Memrise,headquarters location,Oxford,What is the headquarters location of Memrise?,"San Francisco, CA",0.0,"['Oxford', 'San Francisco, CA', 'London', 'New York']",Where is the headquarters of Memrise located?,Is the headquarters location of Memrise in Oxford?,"Is the headquarters location of Memrise in San Francisco, CA?",What type of service does Memrise provide?,Which company has its headquarters located in Oxford?,"A. San Francisco, CA  B. Oxford  C. London  D. New York",B,What is the population of the headquarters location of Memrise?,"154,600",What is the name of the university located in the headquarters location of Memrise?,University of Oxford,Who is the founder of the university located in the headquarters location of Memrise?,Unknown (The University of Oxford does not have a single known founder),What is the motto of the university located in the headquarters location of Memrise?,Dominus Illuminatio Mea,In which year was the university located in the headquarters location of Memrise established?,1096
technology_database,National Industrial Property Institute,headquarters location,Courbevoie,What is the headquarters location of National Industrial Property Institute?,"Chicago, USA",0.0,"['Courbevoie', 'Chicago, USA', 'Paris', 'Lyon']",Where is the headquarters of the National Industrial Property Institute located?,Is the headquarters location of National Industrial Property Institute in Courbevoie?,"Is the headquarters location of National Industrial Property Institute in Chicago, USA?",What is the primary function of the National Industrial Property Institute?,Which organization has its headquarters located in Courbevoie?,"A. Lyon  B. Courbevoie  C. Chicago, USA  D. Paris",B,What is the population of the headquarters location of National Industrial Property Institute?,"82,198",What is the area of the headquarters location of National Industrial Property Institute?,4.17 square kilometers,What is the postal code of the headquarters location of National Industrial Property Institute?,92400,In which department is the headquarters location of National Industrial Property Institute situated?,Hauts-de-Seine,In which region is the department located where the headquarters location of National Industrial Property Institute is situated?,Île-de-France
technology_database,Open Food Facts,operator,Open Food Facts (association),What is the operator of Open Food Facts?,Data,0.0,"['Open Food Facts (association)', 'Data', 'Food Data Organization', 'Nutrition Facts Group']",Who operates Open Food Facts?,Is the operator of Open Food Facts the Open Food Facts (association)?,Is the operator of Open Food Facts Data?,What type of information does Open Food Facts provide?,What does the Open Food Facts (association) operate?,A. Nutrition Facts Group  B. Open Food Facts (association)  C. Food Data Organization  D. Data,B,Who is the president of the operator of Open Food Facts?,Stéphane Gigandet,What is the nationality of the president of the operator of Open Food Facts?,French,Which city is the president of the operator of Open Food Facts from?,Paris,In which country is the city located where the president of the operator of Open Food Facts is from?,France,What is the official language of the country where the city is located that the president of the operator of Open Food Facts is from?,French
technology_database,Memrise,country,United Kingdom,What is the country of Memrise?,"Memrise is a language learning app based in San Francisco, California, USA",0.0,"['United Kingdom', 'Memrise is a language learning app based in San Francisco, California, USA', 'United States', 'Canada']",Which country is Memrise based in?,Is the country of Memrise the United Kingdom?,"Is the country of Memrise San Francisco, California, USA?",What type of service does Memrise provide?,Which company is based in the United Kingdom?,"A. United States  B. Canada  C. United Kingdom  D. Memrise is a language learning app based in San Francisco, California, USA",C,What is the capital of the country of Memrise?,London,What is the population of the capital of the country of Memrise?,Approximately 9 million,What is the most famous landmark in the capital of the country of Memrise?,Big Ben,Who designed the most famous landmark in the capital of the country of Memrise?,Augustus Pugin,In which year was the most famous landmark in the capital of the country of Memrise completed?,1859
technology_database,Tebeosfera,language of work or name,Spanish,What is the language of work or name of Tebeosfera?,Tebeosfera is an ancient Egyptian language,0.0,"['Spanish', 'Tebeosfera is an ancient Egyptian language', 'French', 'German']",In which language is Tebeosfera written?,Is the language of work or name of Tebeosfera Spanish?,Is the language of work or name of Tebeosfera Tebeosfera is an ancient Egyptian language?,What type of publication is Tebeosfera known for?,What is written in Spanish that is related to Tebeosfera?,A. German  B. Spanish  C. French  D. Tebeosfera is an ancient Egyptian language,B,What is the country where the language of work or name of Tebeosfera is primarily spoken?,Spain,What is the capital city of the country where the language of work or name of Tebeosfera is primarily spoken?,Madrid,What is the population of the capital city of the country where the language of work or name of Tebeosfera is primarily spoken?,Approximately 3.3 million,What is the main river that flows through the capital city of the country where the language of work or name of Tebeosfera is primarily spoken?,Manzanares,What is the length of the main river that flows through the capital city of the country where the language of work or name of Tebeosfera is primarily spoken?,92 km
technology_database,Tebeosfera,catalog,Directory of Open Access Journals,What is the catalog of Tebeosfera?,Tebeosfera is a comprehensive catalog of the celestial objects and phenomena observed by,0.0,"['Directory of Open Access Journals', 'Tebeosfera is a comprehensive catalog of the celestial objects and phenomena observed by', 'Library of Congress', 'Google Scholar']",Which catalog is associated with Tebeosfera?,Is the Directory of Open Access Journals the catalog of Tebeosfera?,Is Tebeosfera a comprehensive catalog of the celestial objects and phenomena observed by?,What type of content does Tebeosfera primarily focus on?,What catalog includes the Directory of Open Access Journals?,A. Directory of Open Access Journals  B. Google Scholar  C. Tebeosfera is a comprehensive catalog of the celestial objects and phenomena observed by  D. Library of Congress,A,Who is the publisher of the catalog of Tebeosfera?,Infrastructure Services for Open Access,What is the mission of the publisher of the catalog of Tebeosfera?,To increase the visibility and ease of use of open access scientific and scholarly journals,Which organization supports the mission of the publisher of the catalog of Tebeosfera?,OpenAIRE,What is the primary goal of the organization that supports the mission of the publisher of the catalog of Tebeosfera?,To promote open science and improve the discoverability of research outputs,Which European Union program funds the organization that supports the mission of the publisher of the catalog of Tebeosfera?,Horizon 2020
technology_database,Tebeosfera,main subject,comics,What is the main subject of Tebeosfera?,Tebeosfera focuses on the study of Earth's ancient atmosphere,0.0,"['comics', ""Tebeosfera focuses on the study of Earth's ancient atmosphere"", 'literature', 'movies']",What is the primary focus of Tebeosfera?,Is the main subject of Tebeosfera comics?,Is the main subject of Tebeosfera the study of Earth's ancient atmosphere?,What type of publication is Tebeosfera?,What is the main subject that focuses on comics?,A. movies  B. Tebeosfera focuses on the study of Earth's ancient atmosphere  C. comics  D. literature,C,Who is a notable author in the main subject of Tebeosfera?,Stan Lee,What is a famous work by a notable author in the main subject of Tebeosfera?,Spider-Man,Which company published a famous work by a notable author in the main subject of Tebeosfera?,Marvel Comics,Who is a co-founder of the company that published a famous work by a notable author in the main subject of Tebeosfera?,Martin Goodman,In which year was the company co-founded by a co-founder of the company that published a famous work by a notable author in the main subject of Tebeosfera established?,1939
