topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
event_film,British Film Festival Dinard,month of the year,September,September,When is the month of the year of British Film Festival Dinard?,July,0.0
event_film,Valladolid International Film Festival,month of the year,October,October,When is the month of the year of Valladolid International Film Festival?,November,0.0
event_film,Fajr International Film Festival,month of the year,February,February,When is the month of the year of Fajr International Film Festival?,June,0.0
event_film,Tampere Film Festival,month of the year,March,March,When is the month of the year of Tampere Film Festival?,April,0.0
event_film,Festival d'Automne à Paris,location,Palais Galliera,Palais Galliera,What is the location of Festival d'Automne à Paris?,"Paris, France",0.0
event_film,Valladolid International Film Festival,location,Teatro Calderón,Teatro Calderón,Who is the location of Valladolid International Film Festival?,Mexico,0.0
event_film,Tampere Film Festival,main subject,short film,short film,What is the main subject of Tampere Film Festival?,Films,0.0
event_film,Cairo International Film Festival,chairperson,Mohamed Hefzy,Mohamed Hefzy,Who is the chairperson of Cairo International Film Festival?,Name not provided in the question. Please check the official website for the current chair,0.0
event_film,Cairo International Film Festival,location,Cairo Opera House,Cairo Opera House,What is the location of Cairo International Film Festival?,"Cairo, Egypt",0.0
event_film,Telluride Film Festival,location,Telluride,Telluride,What is the location of Telluride Film Festival?,Colorado,0.0
event_film,Berlin International Film Festival,discoverer or inventor,Oscar Martay,Oscar Martay,Who is the discoverer or inventor of Berlin International Film Festival?,Albert Hagen & Arnold Fanck (1951),0.0
event_film,Taormina Film Fest,month of the year,June,June,When is the month of the year of Taormina Film Fest?,July,0.0
event_film,Chicago International Film Festival,located in the administrative territorial entity,Cook County,Cook County,What is the located in the administrative territorial entity of Chicago International Film Festival?,Chicago,0.0
event_film,Taormina Film Fest,located in the administrative territorial entity,Province of Messina,Province of Messina,What is the located in the administrative territorial entity of Taormina Film Fest?,Taormina,0.0
event_film,Carthage Film Festival,founded by,Tahar Cheriaa,Tahar Cheriaa,Who was Carthage Film Festival founded by?,Hammadi Aarab (1966),0.0
event_film,Crossing Europe,month of the year,April,April,When is the month of the year of Crossing Europe?,"Crossing Europe is an event, not a month. It takes place in various",0.0
event_film,Crossing Europe,director / manager,Christine Dollhofer,Christine Dollhofer,Who is the director / manager of Crossing Europe?,The director/manager of Crossing Europe is not specified publicly,0.0
event_film,Yerevan International Film Festival,conferred by,Armenian Apostolic Church,Armenian Apostolic Church,What was Yerevan International Film Festival conferred by?,Golden Apricot Award,0.0
event_film,Crossing Europe,location,Linz,Linz,What is the location of Crossing Europe?,Europe,0.0
event_film,Yerevan International Film Festival,founded by,Harutyun Khachatryan,Harutyun Khachatryan,Who was Yerevan International Film Festival founded by?,Armenian National Film Fund,0.0
