topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
health_symptom,tunnel vision,afflicts,peripheral vision,What does tunnel vision afflict?,Tunnel vision afflicts,0.0,"['peripheral vision', 'Tunnel vision afflicts', 'central vision', 'night vision']",What is affected by tunnel vision?,Does tunnel vision afflict peripheral vision?,Does tunnel vision afflict Tunnel vision afflicts?,What is a common symptom of tunnel vision?,What afflicts peripheral vision?,A. night vision  B. peripheral vision  C. Tunnel vision afflicts  D. central vision,B,What is a common cause of the condition that tunnel vision afflicts?,Glaucoma,What is a common treatment for the condition that is a common cause of the condition that tunnel vision afflicts?,Eye drops,What is the active ingredient in the common treatment for the condition that is a common cause of the condition that tunnel vision afflicts?,Latanoprost,Which pharmaceutical company manufactures the active ingredient in the common treatment for the condition that is a common cause of the condition that tunnel vision afflicts?,Pfizer,In which country is the headquarters of the pharmaceutical company that manufactures the active ingredient in the common treatment for the condition that is a common cause of the condition that tunnel vision afflicts?,United States
health_symptom,fatigue,health specialty,primary care,What is the health specialty of fatigue?,Fatigue is a symptom of many diseases,0.0,"['primary care', 'Fatigue is a symptom of many diseases', 'cardiology', 'neurology']",Which health specialty deals with fatigue?,Is primary care the health specialty of fatigue?,Is Fatigue is a symptom of many diseases the health specialty of fatigue?,What is a common symptom that primary care physicians often address?,What health issue does primary care specialize in?,A. cardiology  B. neurology  C. Fatigue is a symptom of many diseases  D. primary care,D,Who is a well-known physician in the health specialty of fatigue?,Dr. Andrew Weil,Which university did a well-known physician in the health specialty of fatigue attend for medical school?,Harvard University,In which city is the university located where a well-known physician in the health specialty of fatigue attended medical school?,Cambridge,In which state is the city located where the university is situated that a well-known physician in the health specialty of fatigue attended medical school?,Massachusetts,In which country is the state located where the city is situated that contains the university a well-known physician in the health specialty of fatigue attended medical school?,United States
health_symptom,bleeding gums,health specialty,oral and maxillofacial surgery,What is the health specialty of bleeding gums?,Periodontics,0.0,"['oral and maxillofacial surgery', 'Periodontics', 'Dentistry', 'Orthodontics']",Which health specialty deals with bleeding gums?,Is the health specialty of bleeding gums oral and maxillofacial surgery?,Is the health specialty of bleeding gums Periodontics?,What is a common symptom associated with bleeding gums?,What condition is treated by oral and maxillofacial surgery?,A. Periodontics  B. Dentistry  C. Orthodontics  D. oral and maxillofacial surgery,D,What is a common treatment for the health specialty of bleeding gums?,Scaling and root planing,What is the primary purpose of the common treatment for the health specialty of bleeding gums?,To remove plaque and tartar from below the gum line,What is a common symptom that indicates the need for the primary purpose of the common treatment for the health specialty of bleeding gums?,Persistent bad breath,What is a common cause of the symptom that indicates the need for the primary purpose of the common treatment for the health specialty of bleeding gums?,Bacterial infection,What is a common preventive measure for the cause of the symptom that indicates the need for the primary purpose of the common treatment for the health specialty of bleeding gums?,Regular dental check-ups and cleanings
health_symptom,gummatous syphilis,health specialty,infectious diseases,What is the health specialty of gummatous syphilis?,GUMMATOUS SYPHILIS,0.0,"['infectious diseases', 'GUMMATOUS SYPHILIS', 'dermatology', 'neurology']",Which medical specialty deals with gummatous syphilis?,Is the health specialty of gummatous syphilis infectious diseases?,Is the health specialty of gummatous syphilis GUMMATOUS SYPHILIS?,What type of bacteria causes gummatous syphilis?,What condition is associated with the health specialty of infectious diseases?,A. dermatology  B. GUMMATOUS SYPHILIS  C. infectious diseases  D. neurology,C,Who is a notable specialist in the health specialty of gummatous syphilis?,Dr. Anthony Fauci,Which institution is the notable specialist in the health specialty of gummatous syphilis affiliated with?,National Institutes of Health (NIH),In which city is the institution located that the notable specialist in the health specialty of gummatous syphilis is affiliated with?,Bethesda,In which state is the city located where the institution is situated that the notable specialist in the health specialty of gummatous syphilis is affiliated with?,Maryland,In which country is the state located where the city is situated that contains the institution the notable specialist in the health specialty of gummatous syphilis is affiliated with?,United States
health_symptom,red eye,afflicts,conjunctiva,What does red eye afflict?,Red eye afflicts the eyes,0.0,"['conjunctiva', 'Red eye afflicts the eyes', 'cornea', 'retina']",What part of the body is affected by red eye?,Does red eye afflict the conjunctiva?,Does red eye afflict the eyes?,What is a common symptom of red eye?,What afflicts the conjunctiva?,A. cornea  B. retina  C. Red eye afflicts the eyes  D. conjunctiva,D,What is a common symptom of the condition that red eye afflicts?,Eye redness,What is a common cause of the symptom of the condition that red eye afflicts?,Allergies,What is a common treatment for the cause of the symptom of the condition that red eye afflicts?,Antihistamines,What is a common side effect of the treatment for the cause of the symptom of the condition that red eye afflicts?,Drowsiness,What is a common remedy to counteract the side effect of the treatment for the cause of the symptom of the condition that red eye afflicts?,Caffeine
health_symptom,bone fracture,health specialty,osteology,What is the health specialty of bone fracture?,Orthopedics,0.0,"['osteology', 'Orthopedics', 'Cardiology', 'Neurology']",Which health specialty deals with bone fractures?,Is osteology the health specialty of bone fracture?,Is orthopedics the health specialty of bone fracture?,What is a common treatment method for bone fractures?,What condition does osteology specialize in?,A. Neurology  B. osteology  C. Orthopedics  D. Cardiology,B,Who is a famous specialist in the health specialty of bone fracture?,Dr. Robert Salter,Which hospital is associated with the famous specialist in the health specialty of bone fracture?,The Hospital for Sick Children,In which city is the hospital located that is associated with the famous specialist in the health specialty of bone fracture?,Toronto,In which province is the city located where the hospital associated with the famous specialist in the health specialty of bone fracture is situated?,Ontario,In which country is the province located where the city is situated that contains the hospital associated with the famous specialist in the health specialty of bone fracture?,Canada
health_symptom,hostility,said to be the same as,aggression,What did hostility say to be the same as?,The same as,0.0,"['aggression', 'The same as', 'anger', 'conflict']",What is hostility said to be equivalent to?,Is hostility said to be the same as aggression?,Is hostility said to be the same as The same as?,What is a common emotion associated with hostility?,What is aggression said to be the same as?,A. aggression  B. conflict  C. anger  D. The same as,A,What is a common cause of what hostility said to be the same as?,Frustration,What is a psychological effect of the common cause of what hostility said to be the same as?,Stress,What is a common physical symptom of the psychological effect of the common cause of what hostility said to be the same as?,Headache,What is a common treatment for the physical symptom of the psychological effect of the common cause of what hostility said to be the same as?,Pain relievers,What is a potential side effect of the common treatment for the physical symptom of the psychological effect of the common cause of what hostility said to be the same as?,Stomach upset
health_symptom,distraction,does not have characteristic,intention,What does distraction do not have characteristic?,It does not have characteristic,0.0,"['intention', 'It does not have characteristic', 'focus', 'attention']",What characteristic is not associated with distraction?,Does distraction not have the characteristic of intention?,Does distraction not have the characteristic of 'It does not have characteristic'?,What is a common effect of distraction?,What does intention not have characteristic of?,A. It does not have characteristic  B. intention  C. focus  D. attention,B,What is an example of something that has the characteristic that distraction does not have?,Focus,What is a common activity that requires the characteristic that distraction does not have?,Studying,What is a common place where the activity that requires the characteristic that distraction does not have is performed?,Library,What is a common rule in the place where the activity that requires the characteristic that distraction does not have is performed?,Silence,What is a common consequence of not following the rule in the place where the activity that requires the characteristic that distraction does not have is performed?,Being asked to leave
health_symptom,Webbed neck,health specialty,medical genetics,What is the health specialty of Webbed neck?,Webbed neck is a condition in which the neck is webbed,0.0,"['medical genetics', 'Webbed neck is a condition in which the neck is webbed', 'pediatrics', 'dermatology']",Which medical field specializes in Webbed neck?,Is the health specialty of Webbed neck medical genetics?,Is the health specialty of Webbed neck Webbed neck is a condition in which the neck is webbed?,What is a common symptom associated with Webbed neck?,What condition does medical genetics specialize in?,A. pediatrics  B. medical genetics  C. Webbed neck is a condition in which the neck is webbed  D. dermatology,B,Who is a notable specialist in the health specialty of Webbed neck?,Victor A. McKusick,Which university did the notable specialist in the health specialty of Webbed neck attend?,Johns Hopkins University,In which city is the university that the notable specialist in the health specialty of Webbed neck attended located?,Baltimore,In which state is the city located where the university that the notable specialist in the health specialty of Webbed neck attended is situated?,Maryland,In which country is the state located where the city is situated that contains the university the notable specialist in the health specialty of Webbed neck attended?,United States
health_symptom,heat exhaustion,has cause,hot,What does heat exhaustion have cause?,Heat exhaustion is caused by the body losing too much fluid,0.0,"['hot', 'Heat exhaustion is caused by the body losing too much fluid', 'dehydration', 'overexertion']",What is the cause of heat exhaustion?,Is heat exhaustion caused by hot conditions?,Is heat exhaustion caused by the body losing too much fluid?,What is a common symptom of heat exhaustion?,What condition is caused by hot conditions?,A. Heat exhaustion is caused by the body losing too much fluid  B. hot  C. overexertion  D. dehydration,B,What is a common symptom of the condition that heat exhaustion has cause?,Heavy sweating,What is a recommended treatment for the common symptom of the condition that heat exhaustion has cause?,Drinking cool water,What is a potential complication if the recommended treatment for the common symptom of the condition that heat exhaustion has cause is not followed?,Heat stroke,What is a common symptom of the potential complication if the recommended treatment for the common symptom of the condition that heat exhaustion has cause is not followed?,High body temperature,What is a recommended immediate action to take if someone shows a common symptom of the potential complication if the recommended treatment for the common symptom of the condition that heat exhaustion has cause is not followed?,Call emergency services
