topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_country,Somalia,head of state,Hassan Sheikh Mohamud,Who is the head of state of Somalia?,Xasan Sheekh Maxamuud,0.0,"['Hassan Sheikh Mohamud', 'Xasan Sheekh Maxamuud', 'Mohamed Abdullahi Mohamed', 'Sharif Sheikh Ahmed']",Who serves as the head of state for Somalia?,A. Hassan Sheikh Mohamud  B. Xasan Sheekh Maxamuud  C. Mohamed Abdullahi Mohamed  D. Sharif Sheikh Ahmed,A,Is Hassan Sheikh Mohamud the head of state of Somalia?,Is Xasan Sheekh Maxamuud the head of state of Somalia?,What is the capital city of Somalia?,Who is Hassan Sheikh Mohamud the head of state of?,Who is the spouse of the head of state of Somalia?,Zahra Omar Hassan,Which university did the spouse of the head of state of Somalia attend for their undergraduate studies?,Somali National University,In which city is the university that the spouse of the head of state of Somalia attended located?,Mogadishu,In which region is the city located where the university that the spouse of the head of state of Somalia attended is situated?,Banaadir,In which country is the region located where the city is situated that contains the university the spouse of the head of state of Somalia attended?,Somalia
places_country,Ivory Coast,named after,coast,What was Ivory Coast named after?,Cocoa,0.0,"['coast', 'Cocoa', 'elephants', 'gold']",Ivory Coast was named after what?,A. Cocoa  B. gold  C. coast  D. elephants,C,Was Ivory Coast named after a coast?,Was Ivory Coast named after Cocoa?,What is a major export product of Ivory Coast?,Which country was named after a coast?,Who or what is the Ivory Coast named after?,Ivory trade,Which animal's tusks were primarily involved in the trade that Ivory Coast is named after?,Elephants,"In which continent are elephants, whose tusks were traded and led to the naming of Ivory Coast, primarily found?",Africa,Which region in Africa is most known for its historical ivory trade that led to the naming of Ivory Coast?,West Africa,Which ocean borders the region in Africa known for its historical ivory trade that led to the naming of Ivory Coast?,Atlantic Ocean
places_country,Syria,legislative body,People's Assembly of Syria,What is the legislative body of Syria?,People's Council,0.0,"[""People's Assembly of Syria"", ""People's Council"", 'National Assembly', 'Parliament of Syria']",Which legislative body governs Syria?,A. National Assembly  B. People's Assembly of Syria  C. Parliament of Syria  D. People's Council,B,Is the legislative body of Syria the People's Assembly of Syria?,Is the legislative body of Syria the People's Council?,What is the capital city of Syria?,Which country has the People's Assembly of Syria as its legislative body?,Who is the current speaker of the legislative body of Syria?,Hammouda Sabbagh,Which political party does the current speaker of the legislative body of Syria belong to?,Ba'ath Party,Who is the founder of the political party that the current speaker of the legislative body of Syria belongs to?,Michel Aflaq,In which year was the political party founded by Michel Aflaq established?,1947,In which city was the political party founded by Michel Aflaq established?,Damascus
places_country,Belgium,patron saint,Joseph,Who is the patron saint of Belgium?,Saint Hubert,0.0,"['Joseph', 'Saint Hubert', 'Saint Michael', 'Saint Peter']",Who is recognized as the patron saint of Belgium?,A. Saint Peter  B. Saint Michael  C. Saint Hubert  D. Joseph,D,Is Joseph the patron saint of Belgium?,Is Saint Hubert the patron saint of Belgium?,What is the capital city of Belgium?,Which country considers Joseph as its patron saint?,What is the feast day of the patron saint of Belgium?,February 3,Which church celebrates the feast day of the patron saint of Belgium on February 3?,Roman Catholic Church,Who is the head of the church that celebrates the feast day of the patron saint of Belgium on February 3?,Pope,What is the official residence of the head of the church that celebrates the feast day of the patron saint of Belgium?,Apostolic Palace,In which city is the official residence of the head of the church that celebrates the feast day of the patron saint of Belgium located?,Vatican City
places_country,Russia,official religion,non-denominational,What is the official religion of Russia?,Orthodox,0.0,"['non-denominational', 'Orthodox', 'Catholic', 'Islam']",Which religion is officially recognized in Russia?,A. Orthodox  B. non-denominational  C. Catholic  D. Islam,B,Is the official religion of Russia non-denominational?,Is the official religion of Russia Orthodox?,What is the capital city of Russia?,Which country has non-denominational as its official religion?,Who is the head of the official religion of Russia?,Patriarch Kirill of Moscow,What is the title of the head of the official religion of Russia?,Patriarch of Moscow and all Rus',Which cathedral is the seat of the head of the official religion of Russia?,Cathedral of Christ the Saviour,In which city is the Cathedral of Christ the Saviour located?,Moscow,In which country is the city located that contains the Cathedral of Christ the Saviour?,Russia
places_country,Ethiopia,located in/on physical feature,East Africa,What is the located in/on physical feature of Ethiopia?,Danakil Depression,0.0,"['East Africa', 'Danakil Depression', 'West Africa', 'Horn of Africa']",Where is Ethiopia situated in terms of physical geography?,A. Danakil Depression  B. Horn of Africa  C. West Africa  D. East Africa,D,Is Ethiopia located in East Africa?,Is Ethiopia located in the Danakil Depression?,What is the capital city of Ethiopia?,Which country is located in East Africa?,What is the name of the river that Ethiopia is located on?,Blue Nile,Which lake is the source of the river that Ethiopia is located on?,Lake Tana,In which region of Ethiopia is the lake located that is the source of the river Ethiopia is located on?,Amhara Region,What is the capital city of the region where the lake is located that is the source of the river Ethiopia is located on?,Bahir Dar,Which river flows through the capital city of the region where the lake is located that is the source of the river Ethiopia is located on?,Blue Nile
places_country,Benin,located in/on physical feature,West Africa,What is the located in/on physical feature of Benin?,Niger River,0.0,"['West Africa', 'Niger River', 'East Africa', 'Sahara Desert']",Where is Benin situated?,A. Sahara Desert  B. Niger River  C. East Africa  D. West Africa,D,Is Benin located in West Africa?,Is Benin located on the Niger River?,What is the capital city of Benin?,Which country is located in West Africa?,Which river is Benin located on?,Niger River,Which country does the Niger River flow through after passing Benin?,Nigeria,What is the capital city of the country that the Niger River flows through after passing Benin?,Abuja,Which major river flows through the capital city of the country that the Niger River flows through after passing Benin?,Benue River,Which ocean does the major river that flows through the capital city of the country that the Niger River flows through after passing Benin eventually empty into?,Atlantic Ocean
places_country,Argentina,head of state,Javier Milei,Who is the head of state of Argentina?,Santiago  Fernández de Kirchner,0.0,"['Javier Milei', 'Santiago Fernández de Kirchner', 'Mauricio Macri', 'Cristina Fernández de Kirchner']",Who holds the position of head of state in Argentina?,A. Santiago  Fernández de Kirchner  B. Cristina Fernández de Kirchner  C. Mauricio Macri  D. Javier Milei,D,Is Javier Milei the head of state of Argentina?,Is Santiago Fernández de Kirchner the head of state of Argentina?,What is the capital city of Argentina?,Of which country is Javier Milei the head of state?,Who is the spouse of the head of state of Argentina?,Fabiola Yáñez,What is the profession of the spouse of the head of state of Argentina?,Journalist,Which university did the spouse of the head of state of Argentina attend?,University of Palermo,In which city is the university located that the spouse of the head of state of Argentina attended?,Buenos Aires,In which country is the city located where the university that the spouse of the head of state of Argentina attended is situated?,Argentina
places_country,Djibouti,located in/on physical feature,East Africa,What is the located in/on physical feature of Djibouti?,Red Sea,0.0,"['East Africa', 'Red Sea', 'West Africa', 'Indian Ocean']",Where is Djibouti situated?,A. East Africa  B. Red Sea  C. Indian Ocean  D. West Africa,A,Is Djibouti located in East Africa?,Is Djibouti located in the Red Sea?,What is the capital city of Djibouti?,Which country is located in East Africa?,Which ocean is Djibouti located on?,Indian Ocean,Which major sea is connected to the ocean that Djibouti is located on?,Red Sea,Which strait connects the major sea to the ocean that Djibouti is located on?,Bab-el-Mandeb Strait,Which country lies on the opposite side of the strait that connects the major sea to the ocean that Djibouti is located on?,Yemen,What is the capital city of the country that lies on the opposite side of the strait connecting the major sea to the ocean that Djibouti is located on?,Sana'a
places_country,Liechtenstein,central bank,Swiss National Bank,What is the central bank of Liechtenstein?,Liechtensteinische Landesbank,0.0,"['Swiss National Bank', 'Liechtensteinische Landesbank', 'European Central Bank', 'Bank of England']",Which institution serves as the central bank for Liechtenstein?,A. Bank of England  B. Liechtensteinische Landesbank  C. Swiss National Bank  D. European Central Bank,C,Is the Swiss National Bank the central bank of Liechtenstein?,Is the Liechtensteinische Landesbank the central bank of Liechtenstein?,What is the official language spoken in Liechtenstein?,Which country is served by the Swiss National Bank as its central bank?,Who is the president of the central bank of Liechtenstein?,Roland Müller,Which university did the president of the central bank of Liechtenstein attend?,University of St. Gallen,In which country is the university that the president of the central bank of Liechtenstein attended located?,Switzerland,What is the capital city of the country where the university that the president of the central bank of Liechtenstein attended is located?,Bern,In which continent is the country located where the capital city is Bern?,Europe
