topic,type,subject,relation,object,question,label,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
event_film,wh,Andreas Ströhl,director / manager,Munich International Film Festival,Which film festival's director / manager is Andreas Ströhl?,Munich International Film Festival,Viennale,0.0
event_film,wh,Berlin International Film Festival,discoverer or inventor,Oscar Martay,Who is the discoverer or inventor of Berlin International Film Festival?,Oscar Martay,Kurt Ulrich,0.0
event_film,wh,Guwahati,location,Brahmaputra Valley Film Festival,Which film festival's location is Guwahati?,Brahmaputra Valley Film Festival,Guwahati International Film Festival,0.0
event_film,wh,New York Film Festival,location,New York City,What is the location of New York Film Festival?,New York City,Lincoln Center,0.0
event_film,wh,Garden State Film Festival,location,Asbury Park,What is the location of Garden State Film Festival?,Asbury Park,New Jersey,0.0
event_film,wh,Beirut,location,Beirut International Women Film Festival,Which film festival's location is Beirut?,Beirut International Women Film Festival,Beirut International Film Festival,0.0
event_film,wh,Cannes Film Festival,has part(s),Cinéfondation,What does Cannes Film Festival have part(s )?,Cinéfondation,Palme d'Or,0.0
event_film,wh,Cannes Film Festival,founded by,Jean Zay,Who was Cannes Film Festival founded by?,Jean Zay,Louis Lumière,0.0
event_film,wh,Cannes Film Festival,uses,Palais des Festivals et des Congrès,What does Cannes Film Festival use?,Palais des Festivals et des Congrès,Red carpet,0.0
event_film,wh,International Festival of Animated Films,country,Czech Republic,What is the country of International Festival of Animated Films?,Czech Republic,Latvia,0.0
event_film,wh,Oulu Film Centre,organizer,Oulu International Children's and Youth Film Festival,Which film festival's organizer is Oulu Film Centre?,Oulu International Children's and Youth Film Festival,Oulu International Children's Film Festival,0.0
event_film,wh,Oscar Martay,discoverer or inventor,Berlin International Film Festival,Which film festival's discoverer or inventor is Oscar Martay?,Berlin International Film Festival,Cannes,0.0
event_film,wh,Sodankylä,location,Midnight Sun Film Festival,Which film festival's location is Sodankylä?,Midnight Sun Film Festival,Northern Lights,0.0
event_film,wh,Royan,location,Royan Festival,Which film festival's location is Royan?,Royan Festival,Royan Film Festival,0.0
event_film,wh,Israel,country,Haifa International Film Festival,Which film festival's country is Israel?,Haifa International Film Festival,Tel Aviv,0.0
event_film,wh,Hawaii International Film Festival,location,Hawaii,What is the location of Hawaii International Film Festival?,Hawaii,Honolulu,0.0
event_film,wh,Pacific Meridian - International Film Festivals of Asian Pacific countries in Vladivostok,location,Vladivostok,What is the location of Pacific Meridian - International Film Festivals of Asian Pacific countries in Vladivostok?,Vladivostok,Russia,0.0
event_film,wh,Singapore International Film Festival,month of the year,November,When is the month of the year of Singapore International Film Festival?,November,December,0.0
event_film,wh,Yellowknife International Film Festival,located in the administrative territorial entity,Yellowknife,What is the located in the administrative territorial entity of Yellowknife International Film Festival?,Yellowknife,Northwest Territories,0.0
