subjectLabel,relation,objectLabel
Canada,member of,Organization for Economic Cooperation and Development
Canada,member of,International Telecommunication Union
Canada,member of,World Meteorological Organization
Canada,member of,G7
Canada,member of,Interpol
Canada,diplomatic relation,India
Japan,contains the administrative territorial entity,Nagano Prefecture
Guatemala,part of,Middle America
Canada,diplomatic relation,Greece
Japan,described by source,History of Ming
Canada,member of,G20
Canada,member of,Multilateral Investment Guarantee Agency
Japan,contains the administrative territorial entity,Kanagawa Prefecture
Canada,diplomatic relation,Jamaica
Guatemala,member of,World Health Organization
Canada,member of,Organization for Security and Co-operation in Europe
Canada,member of,International Bank for Reconstruction and Development
Japan,contains the administrative territorial entity,Hyōgo Prefecture
Canada,diplomatic relation,Azerbaijan
Canada,diplomatic relation,North Korea
Japan,contains the administrative territorial entity,Kumamoto Prefecture
Canada,diplomatic relation,North Korea
Canada,member of,Missile Technology Control Regime
Canada,member of,Organization of American States
Japan,contains the administrative territorial entity,Ishikawa Prefecture
Guatemala,member of,World Trade Organization
Canada,diplomatic relation,Slovenia
Canada,member of,International Development Association
Canada,member of,International Energy Agency
Canada,member of,African Development Bank
Canada,diplomatic relation,European Union
Japan,contains the administrative territorial entity,Nara Prefecture
Guatemala,member of,Universal Postal Union
Canada,diplomatic relation,Bulgaria
Canada,member of,Caribbean Development Bank
Canada,member of,Organisation internationale de la Francophonie
Canada,member of,North American Free Trade Agreement
Canada,diplomatic relation,Argentina
Japan,contains the administrative territorial entity,Wakayama Prefecture
Japan,contains the administrative territorial entity,Saitama Prefecture
Canada,member of,Asian Development Bank
Canada,located in/on physical feature,North America
Canada,diplomatic relation,Denmark
Canada,diplomatic relation,Cyprus
Canada,diplomatic relation,Mongolia
Canada,member of,League of Nations
Canada,diplomatic relation,Grenada
Canada,member of,Arctic Council
Canada,member of,International Holocaust Remembrance Alliance
Canada,member of,Nuclear Suppliers Group
Canada,member of,World Health Organization
Canada,diplomatic relation,Colombia
Canada,member of,G8
Canada,member of,ASEAN Regional Forum
Canada,diplomatic relation,Poland
Canada,member of,Universal Postal Union
Canada,member of,Five Eyes
Canada,member of,World Trade Organization
Canada,member of,Organisation for the Prohibition of Chemical Weapons
Japan,contains the administrative territorial entity,Mie Prefecture
Canada,member of,World Customs Organization
Canada,diplomatic relation,Czech Republic
Japan,contains the administrative territorial entity,Gunma Prefecture
Canada,diplomatic relation,Colombia
Japan,contains the administrative territorial entity,Miyazaki Prefecture
Guatemala,language used,Awakatek
Japan,contains the administrative territorial entity,Gifu Prefecture
Guatemala,part of,Central America
Canada,diplomatic relation,European Union
Canada,member of,Group on Earth Observations
Guatemala,member of,Interpol
Canada,diplomatic relation,Cyprus
Canada,diplomatic relation,Australia
Canada,diplomatic relation,Venezuela
Canada,member of,Asia-Pacific Economic Cooperation
Canada,separated from,United Kingdom
Japan,contains the administrative territorial entity,Yamaguchi Prefecture
Guatemala,part of,Latin America
Canada,diplomatic relation,Venezuela
Canada,member of,International Finance Corporation
Canada,diplomatic relation,New Zealand
Canada,member of,League of Nations
Canada,member of,International Hydrographic Organization
Canada,diplomatic relation,Georgia
Japan,diplomatic relation,Albania
Grenada,diplomatic relation,Barbados
Guatemala,shares border with,Mexico
Canada,located in time zone,Pacific Time Zone
Canada,diplomatic relation,Barbados
Japan,contains the administrative territorial entity,Ibaraki Prefecture
Japan,instance of,island country
Canada,diplomatic relation,Japan
Canada,member of,International Centre for Settlement of Investment Disputes
Canada,diplomatic relation,Kazakhstan
Canada,diplomatic relation,South Africa
Japan,diplomatic relation,Ukraine
Japan,diplomatic relation,Brazil
Japan,diplomatic relation,Azerbaijan
Canada,foundational text,"Constitution Act, 1867"
Japan,contains the administrative territorial entity,Aichi Prefecture
Canada,diplomatic relation,Germany
Japan,diplomatic relation,United Kingdom
Japan,contains the administrative territorial entity,Iwate Prefecture
Grenada,diplomatic relation,Trinidad and Tobago
Canada,diplomatic relation,Czech Republic
Canada,diplomatic relation,Latvia
Canada,diplomatic relation,Indonesia
Japan,contains the administrative territorial entity,Chiba Prefecture
Guatemala,located in or next to body of water,Caribbean Sea
Japan,diplomatic relation,People's Republic of China
Japan,diplomatic relation,Russia
Japan,diplomatic relation,Malta
Guatemala,official language,Spanish
Japan,contains the administrative territorial entity,Fukushima Prefecture
Canada,diplomatic relation,Cuba
Japan,contains the administrative territorial entity,Kagoshima Prefecture
Canada,diplomatic relation,Ukraine
Canada,diplomatic relation,Cuba
Guatemala,shares border with,Belize
Jamaica,coextensive with,Jamaica
Japan,basic form of government,constitutional monarchy
Guatemala,located in or next to body of water,Pacific Ocean
Canada,diplomatic relation,Latvia
Guatemala,country,Guatemala
Japan,contains the administrative territorial entity,Aomori Prefecture
Canada,diplomatic relation,Lithuania
Guatemala,shares border with,El Salvador
Canada,diplomatic relation,Russia
Japan,diplomatic relation,Egypt
Japan,contains the administrative territorial entity,Miyagi Prefecture
Japan,contains the administrative territorial entity,Tochigi Prefecture
Guatemala,shares border with,Honduras
Japan,diplomatic relation,Georgia
Canada,diplomatic relation,Belgium
Guatemala,located in or next to body of water,Caribbean Sea
Japan,diplomatic relation,France
Japan,anthem,Kimigayo
Guatemala,continent,North America
Japan,diplomatic relation,Mexico
Japan,diplomatic relation,Ethiopia
