subject,relation,object,question,label
Rehab,record label,Island Records,What is the record label of Rehab?,Island Records
Rehab,producer,Mark Ronson,Who is the producer of Rehab?,Mark Ronson
Can't Fight the Moonlight,producer,Trevor Horn,Who is the producer of Can't Fight the Moonlight?,Trevor Horn
Can't Fight the Moonlight,lyricist,Diane Warren,Who is the lyricist of Can't Fight the Moonlight?,Diane Warren
Rehab,followed by,You Know I'm No Good,What was Rehab followed by?,You Know I'm No Good
Can't Fight the Moonlight,composer,Trevor Horn,Who is the composer of Can't Fight the Moonlight?,Trevor Horn
Can't Fight the Moonlight,followed by,But I Do Love You,What was Can't Fight the Moonlight followed by?,But I Do Love You
Innuendo,producer,Queen,What is the producer of Innuendo?,Queen
Rehab,lyricist,Amy Winehouse,Who is the lyricist of Rehab?,Amy Winehouse
Can't Fight the Moonlight,performer,LeAnn Rimes,Who does Can't Fight the Moonlight performer?,LeAnn Rimes
Can't Fight the Moonlight,record label,Curb Records,What is the record label of Can't Fight the Moonlight?,Curb Records
Rehab,language of work or name,English,What is the language of work or name of Rehab?,English
Innuendo,follows,The Miracle,What does Innuendo follow?,The Miracle
And the Beat Goes On,performer,The Whispers,What does And the Beat Goes On performer?,The Whispers
Rehab,distribution format,digital distribution,What is the distribution format of Rehab?,digital distribution
Rehab,performer,Amy Winehouse,Who does Rehab performer?,Amy Winehouse
Rehab,genre,soul,What is the genre of Rehab?,soul
And the Beat Goes On,producer,Dick Griffey,Who is the producer of And the Beat Goes On?,Dick Griffey
And the Beat Goes On,record label,SOLAR Records,What is the record label of And the Beat Goes On?,SOLAR Records
I Knew You Were Trouble,producer,Karl Martin,Who is the producer of I Knew You Were Trouble?,Karl Martin
Innuendo,performer,Queen,What does Innuendo performer?,Queen
Innuendo,followed by,I'm Going Slightly Mad,What was Innuendo followed by?,I'm Going Slightly Mad
Innuendo,record label,Parlophone,What is the record label of Innuendo?,Parlophone
I Knew You Were Trouble,performer,Taylor Swift,Who does I Knew You Were Trouble performer?,Taylor Swift
Innuendo,language of work or name,English,What is the language of work or name of Innuendo?,English
Clocks,language of work or name,English,What is the language of work or name of Clocks?,English
Clocks,followed by,God Put a Smile upon Your Face,What was Clocks followed by?,God Put a Smile upon Your Face
Clocks,distribution format,compact disc,What is the distribution format of Clocks?,compact disc
Clocks,producer,Ken Nelson,Who is the producer of Clocks?,Ken Nelson
Clocks,follows,The Scientist,What does Clocks follow?,The Scientist
Clocks,lyricist,Chris Martin,Who is the lyricist of Clocks?,Chris Martin
Clocks,record label,Parlophone,What is the record label of Clocks?,Parlophone
Clocks,performer,Coldplay,What does Clocks performer?,Coldplay
I Knew You Were Trouble,record label,Republic Records,What is the record label of I Knew You Were Trouble?,Republic Records
I Knew You Were Trouble,language of work or name,English,What is the language of work or name of I Knew You Were Trouble?,English
I Knew You Were Trouble,lyricist,Karl Martin,Who is the lyricist of I Knew You Were Trouble?,Karl Martin
I Knew You Were Trouble,tonality,E-flat minor,What is the tonality of I Knew You Were Trouble?,E-flat minor
Ride,follows,National Anthem,What does Ride follow?,National Anthem
A Different Corner,performer,George Michael,Who does A Different Corner performer?,George Michael
Ride,producer,Rick Rubin,Who is the producer of Ride?,Rick Rubin
A Different Corner,record label,Columbia Records,What is the record label of A Different Corner?,Columbia Records
Ride,performer,Lana Del Rey,Who does Ride performer?,Lana Del Rey
Ride,genre,blue-eyed soul,What is the genre of Ride?,blue-eyed soul
A Different Corner,lyricist,George Michael,Who is the lyricist of A Different Corner?,George Michael
A Different Corner,followed by,I Knew You Were Waiting (For Me),What was A Different Corner followed by?,I Knew You Were Waiting (For Me)
A Different Corner,genre,pop music,What is the genre of A Different Corner?,pop music
A Different Corner,producer,George Michael,Who is the producer of A Different Corner?,George Michael
Ride,distribution format,music download,What is the distribution format of Ride?,music download
Ride,lyricist,Lana Del Rey,Who is the lyricist of Ride?,Lana Del Rey
Ride,followed by,Dark Paradise,What was Ride followed by?,Dark Paradise
Ride,language of work or name,English,What is the language of work or name of Ride?,English
A Moment Like This,distribution format,compact disc,What is the distribution format of A Moment Like This?,compact disc
A Moment Like This,producer,Steve Mac,Who is the producer of A Moment Like This?,Steve Mac
A Moment Like This,lyricist,Jörgen Elofsson,Who is the lyricist of A Moment Like This?,Jörgen Elofsson
A Moment Like This,performer,Kelly Clarkson,Who does A Moment Like This performer?,Kelly Clarkson
A Moment Like This,followed by,Miss Independent,What was A Moment Like This followed by?,Miss Independent
Angel of Death,producer,Rick Rubin,Who is the producer of Angel of Death?,Rick Rubin
A Moment Like This,genre,pop music,What is the genre of A Moment Like This?,pop music
