topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
technology_database,Unifrance,chairperson,Serge Toubiana,Who is the chairperson of Unifrance?,Tristan Thomas,0.0
technology_database,Memrise,headquarters location,Oxford,What is the headquarters location of Memrise?,London,0.0
technology_database,National Industrial Property Institute,headquarters location,Courbevoie,What is the headquarters location of National Industrial Property Institute?,Brasília,0.0
technology_database,Memrise,country,United Kingdom,What is the country of Memrise?,Ireland,0.0
technology_database,Tebeosfera,catalog,Directory of Open Access Journals,What is the catalog of Tebeosfera?,Database,0.0
technology_database,Tebeosfera,editor,Manuel Barrero Martínez,Who is the editor of Tebeosfera?,Jordi Claret,0.0
technology_database,Tebeosfera,founded by,Manuel Barrero Martínez,Who was Tebeosfera founded by?,Juan José Alberdi,0.0
technology_database,International Paralympic Committee,located in the administrative territorial entity,Bonn,What is the located in the administrative territorial entity of International Paralympic Committee?,Austria,0.0
technology_database,International Paralympic Committee,founded by,Robert Steadward,Who was International Paralympic Committee founded by?,Dr. Ludwig Guttmann,0.0
technology_database,International Paralympic Committee,chairperson,Andrew Parsons,Who is the chairperson of International Paralympic Committee?,Andreas Brauhl,0.0
technology_database,Ancestry.com Inc.,owned by,Blackstone,What was Ancestry.com Inc. owned by?,Pearson,0.0
technology_database,Academy of Sciences of Turin,chairperson,Massimo Mori,Who is the chairperson of Academy of Sciences of Turin?,Giovanni Paoli,0.0
technology_database,PubMed,has part(s),PubMed Central,What does PubMed have part(s )?,Database,0.0
technology_database,Norwegian Biodiversity Information Centre,headquarters location,Trondheim,What is the headquarters location of Norwegian Biodiversity Information Centre?,Oslo,0.0
technology_database,Polish Olympic Committee,parent organization,European Olympic Committees,What is the parent organization of Polish Olympic Committee?,PZOl,0.0
technology_database,Norwegian Biodiversity Information Centre,chairperson,Bror Yngve Rahm,Who is the chairperson of Norwegian Biodiversity Information Centre?,Kjetil Hansen,0.0
technology_database,allrecipes.com,owned by,Meredith Corporation,What was allrecipes.com owned by?,QuinStreet,0.0
technology_database,Art UK,headquarters location,Covent Garden,What is the headquarters location of Art UK?,London,0.0
technology_database,Art UK,legal form,charitable organization,What is the legal form of Art UK?,Charitable Incorporated Organisation,0.0
technology_database,Art UK,located in the administrative territorial entity,Covent Garden,What is the located in the administrative territorial entity of Art UK?,England,0.0
technology_database,last.fm,GUI toolkit or framework,Qt,What is the GUI toolkit or framework of last.fm?,wxPython,0.0
technology_database,last.fm,copyright license,GNU General Public License,What is the copyright license of last.fm?,Creative Commons Attribution-NonCommercial-ShareAlike 2.0 UK:,0.0
technology_database,last.fm,operating system,Microsoft Windows,What is the operating system of last.fm?,Linux,0.0
technology_database,Norwegian Centre for Research Data,owned by,Ministry of Education and Research of Norway,What was Norwegian Centre for Research Data owned by?,UiO,0.0
technology_database,Norwegian Centre for Research Data,headquarters location,Bergen,What is the headquarters location of Norwegian Centre for Research Data?,Trondheim,0.0
technology_database,Norwegian Centre for Research Data,chairperson,Petter Aasen,Who is the chairperson of Norwegian Centre for Research Data?,Kjetilå,0.0
technology_database,Vote Smart,headquarters location,Des Moines,What is the headquarters location of Vote Smart?,Montana,0.0
technology_database,"OCLC, Inc.",field of work,library cooperation,"What is the field of work of OCLC, Inc.?",Library Services,0.0
technology_database,British Dragonfly Society,sponsor,David Attenborough,Who does British Dragonfly Society sponsor?,Conservationists,0.0
technology_database,WikiMapia,country,Russia,What is the country of WikiMapia?,International,0.0
technology_database,archINFORM,genre,encyclopedia,What is the genre of archINFORM?,Architecture,0.0
technology_database,Cochrane Database of Systematic Reviews,country of origin,United Kingdom,What is the country of origin of Cochrane Database of Systematic Reviews?,Canada,0.0
technology_database,Eighteenth Century Collections Online,place of publication,Farmington Hills,What is the place of publication of Eighteenth Century Collections Online?,London,0.0
technology_database,Eighteenth Century Collections Online,used by,English Short Title Catalogue,What was Eighteenth Century Collections Online used by?,Scholars,0.0
technology_database,Eighteenth Century Collections Online,uses,English Short Title Catalogue,What does Eighteenth Century Collections Online use?,Microfilm,0.0
technology_database,Eighteenth Century Collections Online,publisher,Gale,Who is the publisher of Eighteenth Century Collections Online?,Adam Matthew Digital,0.0
technology_database,Cochrane Database of Systematic Reviews,published in,Nursing Standard,What was Cochrane Database of Systematic Reviews published in?,1995,0.0
technology_database,Eighteenth Century Collections Online,has part(s),"England illustrated, or, a compendium of the natural history, geography, topography, and antiquities ecclesiastical and civil, of England and Wales",What does Eighteenth Century Collections Online have part(s )?,"Books, journals, and documents",0.0
technology_database,Cochrane Database of Systematic Reviews,author,Pier Paolo Pani,Who is the author of Cochrane Database of Systematic Reviews?,Iain Chalmers,0.0
technology_database,Cuneiform Digital Library Initiative,language of work or name,English,What is the language of work or name of Cuneiform Digital Library Initiative?,Sumerian,0.0
technology_database,Euskaltzaindia,described by source,database,What is the described by source of Euskaltzaindia?,Basque,0.0
