topic,subject,relation,object,question,output_gemma_1.1_2b_it,eval_gemma_1.1_2b_it,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
technology_software,Bird,headquarters location,Santa Monica,What is the headquarters location of Bird?,Bird's headquarters location is not publicly disclosed,0.0,"['Santa Monica', ""Bird's headquarters location is not publicly disclosed"", 'Los Angeles', 'San Francisco']",Where is Bird's headquarters located?,Is the headquarters location of Bird in Santa Monica?,Is the headquarters location of Bird not publicly disclosed?,What type of transportation service is Bird known for?,Which company's headquarters are located in Santa Monica?,A. Santa Monica  B. San Francisco  C. Los Angeles  D. Bird's headquarters location is not publicly disclosed,A,What is the population of the headquarters location of Bird?,"91,577","What is the area in square miles of the city with the population of 91,577, which is the headquarters location of Bird?",8.42 square miles,"What is the name of the county where the city with an area of 8.42 square miles, which is the headquarters location of Bird, is located?",Los Angeles County,"What is the population of the county where the city with an area of 8.42 square miles, which is the headquarters location of Bird, is located?",10.04 million,"What is the largest city in the county with a population of 10.04 million, where the city with an area of 8.42 square miles, which is the headquarters location of Bird, is located?",Los Angeles
technology_software,News Channel,developer,Nintendo,What is the developer of News Channel?,CNN,0.0,"['Nintendo', 'CNN', 'BBC', 'Fox News']",Who developed the News Channel?,Is Nintendo the developer of News Channel?,Is CNN the developer of News Channel?,What type of content does the News Channel typically broadcast?,What did Nintendo develop?,A. BBC  B. CNN  C. Nintendo  D. Fox News,C,What is the headquarters location of the developer of News Channel?,"Kyoto, Japan",What is the population of the city where the headquarters of the developer of News Channel is located?,1.46 million,What is the area in square kilometers of the city with the population of 1.46 million where the headquarters of the developer of News Channel is located?,827.83 km²,What is the name of the river that flows through the city with an area of 827.83 km² where the headquarters of the developer of News Channel is located?,Kamo River,What is the length of the river that flows through the city with an area of 827.83 km² where the headquarters of the developer of News Channel is located?,31 km
technology_software,Everyday Genius: SquareLogic,genre,puzzle video game,What is the genre of Everyday Genius: SquareLogic?,Science fiction,0.0,"['puzzle video game', 'Science fiction', 'action-adventure', 'role-playing game']",What type of game is Everyday Genius: SquareLogic?,Is the genre of Everyday Genius: SquareLogic a puzzle video game?,Is the genre of Everyday Genius: SquareLogic Science fiction?,Who is the developer of Everyday Genius: SquareLogic?,What game belongs to the genre of puzzle video game?,A. Science fiction  B. role-playing game  C. puzzle video game  D. action-adventure,C,Who is the developer of the puzzle video game Everyday Genius: SquareLogic?,TrueThought,What other game was developed by the developer of the puzzle video game Everyday Genius: SquareLogic?,Hexic,Who published the other game developed by the developer of the puzzle video game Everyday Genius: SquareLogic?,Microsoft Game Studios,"In which year was the other game published by Microsoft Game Studios, developed by the developer of the puzzle video game Everyday Genius: SquareLogic, released?",2003,"Who was the designer of the other game released in 2003, published by Microsoft Game Studios, and developed by the developer of the puzzle video game Everyday Genius: SquareLogic?",Alexey Pajitnov
technology_software,Zen,location,Russia,What is the location of Zen?,Zen is located in East Asia,0.0,"['Russia', 'Zen is located in East Asia', 'China', 'Japan']",Where is Zen located?,Is the location of Zen Russia?,Is the location of Zen East Asia?,What is a famous cultural practice associated with Zen?,What is located in Russia?,A. Zen is located in East Asia  B. China  C. Japan  D. Russia,D,What is the capital city of the country that is the location of Zen?,Moscow,What is the population of the capital city of the country that is the location of Zen?,Approximately 12.5 million,What is the name of the river that flows through the capital city of the country that is the location of Zen?,Moskva River,What is the length of the river that flows through the capital city of the country that is the location of Zen?,Approximately 500 kilometers,Into which larger body of water does the river that flows through the capital city of the country that is the location of Zen eventually flow?,Oka River
technology_software,Way of the Red,game mode,single-player video game,What is the game mode of Way of the Red?,Team Deathmatch,0.0,"['single-player video game', 'Team Deathmatch', 'multiplayer online battle arena', 'cooperative gameplay']",Which game mode does Way of the Red feature?,Is the game mode of Way of the Red a single-player video game?,Is the game mode of Way of the Red Team Deathmatch?,What genre does the game Way of the Red belong to?,Which game features a single-player video game mode?,A. single-player video game  B. cooperative gameplay  C. multiplayer online battle arena  D. Team Deathmatch,A,What is the genre of the single-player video game that is the game mode of Way of the Red?,Action-adventure,Who is the developer of the action-adventure single-player video game that is the game mode of Way of the Red?,Corey Hardman,Which platform is the action-adventure single-player video game that is the game mode of Way of the Red available on?,PC,In which year was the action-adventure single-player video game that is the game mode of Way of the Red released?,2016,Which game engine was used to develop the action-adventure single-player video game that is the game mode of Way of the Red?,GameMaker Studio
technology_software,Private Internet Access,copyright license,MIT License,What is the copyright license of Private Internet Access?,Creative Commons License,0.0,"['MIT License', 'Creative Commons License', 'GNU General Public License', 'Apache License']",Under which copyright license is Private Internet Access released?,Is the copyright license of Private Internet Access the MIT License?,Is the copyright license of Private Internet Access the Creative Commons License?,What type of service does Private Internet Access provide?,Which software uses the MIT License as its copyright license?,A. Creative Commons License  B. MIT License  C. Apache License  D. GNU General Public License,B,"Who is the author of the MIT License, the copyright license of Private Internet Access?",Massachusetts Institute of Technology,"In which city is the institution located that authored the MIT License, the copyright license of Private Internet Access?",Cambridge,"In which state is the city located where the institution that authored the MIT License, the copyright license of Private Internet Access, is situated?",Massachusetts,"In which country is the state located where the city is situated that contains the institution that authored the MIT License, the copyright license of Private Internet Access?",United States,"What is the name of the river that flows through the city where the institution that authored the MIT License, the copyright license of Private Internet Access, is located?",Charles River
technology_software,Plotly,industry,software industry,What is the industry of Plotly?,Plotly is a software and web development company specializing in interactive data visualization,0.0,"['software industry', 'Plotly is a software and web development company specializing in interactive data visualization', 'automotive industry', 'financial services']",In which industry does Plotly operate?,Is the industry of Plotly the software industry?,Is the industry of Plotly Plotly is a software and web development company specializing in interactive data visualization?,What type of visualizations is Plotly known for?,Which company operates in the software industry?,A. financial services  B. software industry  C. Plotly is a software and web development company specializing in interactive data visualization  D. automotive industry,B,What is a major product developed in the software industry of Plotly?,Dash,What is the primary programming language used in the major product developed in the software industry of Plotly?,Python,Who is the creator of the primary programming language used in the major product developed in the software industry of Plotly?,Guido van Rossum,In which year was the primary programming language used in the major product developed in the software industry of Plotly created?,1991,Which organization currently oversees the development of the primary programming language used in the major product developed in the software industry of Plotly?,Python Software Foundation
technology_software,Battlezone 98 Redux,developer,Big Boat Interactive,What is the developer of Battlezone 98 Redux?,"Not provided in the given context, so I cannot answer this question from the provided",0.0,"['Big Boat Interactive', 'Not provided in the given context, so I cannot answer this question from the provided', 'Activision', 'Electronic Arts']",Who developed Battlezone 98 Redux?,Is Big Boat Interactive the developer of Battlezone 98 Redux?,"Is Not provided in the given context, so I cannot answer this question from the provided the developer of Battlezone 98 Redux?",What genre does Battlezone 98 Redux belong to?,What game was developed by Big Boat Interactive?,"A. Electronic Arts  B. Not provided in the given context, so I cannot answer this question from the provided  C. Big Boat Interactive  D. Activision",C,Who is the CEO of the developer of Battlezone 98 Redux?,Stephen R. Clarke-Willson,Which university did the CEO of the developer of Battlezone 98 Redux attend for their undergraduate studies?,"University of California, Berkeley",In which city is the university that the CEO of the developer of Battlezone 98 Redux attended located?,Berkeley,In which state is the city located where the university that the CEO of the developer of Battlezone 98 Redux attended is situated?,California,In which country is the state located where the city is situated that contains the university the CEO of the developer of Battlezone 98 Redux attended?,United States
technology_software,Croixleur Sigma,publisher,Playism,What is the publisher of Croixleur Sigma?,"Not provided in the given context, so I cannot answer this question from the provided",0.0,"['Playism', 'Not provided in the given context, so I cannot answer this question from the provided', 'Square Enix', 'Bandai Namco']",Who published Croixleur Sigma?,Is Playism the publisher of Croixleur Sigma?,"Is Not provided in the given context, so I cannot answer this question from the provided the publisher of Croixleur Sigma?",What genre is Croixleur Sigma known for?,What game is published by Playism?,"A. Square Enix  B. Bandai Namco  C. Playism  D. Not provided in the given context, so I cannot answer this question from the provided",C,What is another game published by the publisher of Croixleur Sigma?,One Way Heroics,Who is the developer of another game published by the publisher of Croixleur Sigma?,SmokingWOLF,What is the genre of the game developed by the developer of another game published by the publisher of Croixleur Sigma?,Roguelike,What is the release year of the game in the genre developed by the developer of another game published by the publisher of Croixleur Sigma?,2012,On which platform was the game released in the year developed by the developer of another game published by the publisher of Croixleur Sigma?,PC
technology_software,Mitsurugi Kamui Hikae,has characteristic,indie game,What does Mitsurugi Kamui Hikae have characteristic?,"Mitsurugi Kamui Hikae is known for his sharp intellect, unwavering",0.0,"['indie game', 'Mitsurugi Kamui Hikae is known for his sharp intellect, unwavering', 'action-packed gameplay', 'unique art style']",What characteristic does Mitsurugi Kamui Hikae possess?,Does Mitsurugi Kamui Hikae have the characteristic of being an indie game?,"Does Mitsurugi Kamui Hikae have the characteristic of being known for his sharp intellect, unwavering?",What genre is Mitsurugi Kamui Hikae known for?,What has the characteristic of being an indie game?,"A. indie game  B. Mitsurugi Kamui Hikae is known for his sharp intellect, unwavering  C. unique art style  D. action-packed gameplay",A,Who developed the indie game that Mitsurugi Kamui Hikae has characteristic?,Zanrai Interactive,What is another game developed by the developer of the indie game that Mitsurugi Kamui Hikae has characteristic?,Akane the Kunoichi,What is the genre of another game developed by the developer of the indie game that Mitsurugi Kamui Hikae has characteristic?,Platformer,On which platform can you play the genre of another game developed by the developer of the indie game that Mitsurugi Kamui Hikae has characteristic?,Xbox 360,In which year was the platform released where you can play the genre of another game developed by the developer of the indie game that Mitsurugi Kamui Hikae has characteristic?,2005
