subject,relation,object,question,label
Diana Gabaldon,sex or gender,female,What is the sex or gender of Diana Gabaldon?,female
Diana Gabaldon,employer,Arizona State University,What is the employer of Diana Gabaldon?,Arizona State University
Diana Gabaldon,educated at,Scripps Institution of Oceanography,What was Diana Gabaldon educated at?,Scripps Institution of Oceanography
Diana Gabaldon,native language,English,What is the native language of Diana Gabaldon?,English
Diana Gabaldon,child,Sam Sykes,Who is the child of Diana Gabaldon?,Sam Sykes
Peter Debye,doctoral advisor,Arnold Sommerfeld,Who is the doctoral advisor of Peter Debye?,Arnold Sommerfeld
Peter Debye,place of death,Ithaca,What is the place of death of Peter Debye?,Ithaca
Diana Gabaldon,influenced by,Robert Louis Stevenson,Who was Diana Gabaldon influenced by?,Robert Louis Stevenson
Diana Gabaldon,notable work,Outlander,What is the notable work of Diana Gabaldon?,Outlander
Diana Gabaldon,work location,Scottsdale,What is the work location of Diana Gabaldon?,Scottsdale
Peter Debye,sex or gender,male,What is the sex or gender of Peter Debye?,male
Diana Gabaldon,given name,Diana,Who is the given name of Diana Gabaldon?,Diana
Galileo Galilei,notable work,Galilean transformation,What is the notable work of Galileo Galilei?,Galilean transformation
Galileo Galilei,medical condition,blindness,What is the medical condition of Galileo Galilei?,blindness
Galileo Galilei,place of burial,Basilica of Santa Croce,What is the place of burial of Galileo Galilei?,Basilica of Santa Croce
Galileo Galilei,religion or worldview,Latin Church,What is the religion or worldview of Galileo Galilei?,Latin Church
Galileo Galilei,educated at,University of Pisa,What was Galileo Galilei educated at?,University of Pisa
Galileo Galilei,mother,Giulia Ammannati,Who is the mother of Galileo Galilei?,Giulia Ammannati
Galileo Galilei,father,Yeico Cáceres,Who is the father of Galileo Galilei?,Yeico Cáceres
Galileo Galilei,doctoral advisor,Ostilio Ricci,Who is the doctoral advisor of Galileo Galilei?,Ostilio Ricci
Galileo Galilei,place of death,Arcetri,What is the place of death of Galileo Galilei?,Arcetri
Galileo Galilei,sex or gender,male,What is the sex or gender of Galileo Galilei?,male
Henry Heimlich,field of work,physician,What is the field of work of Henry Heimlich?,physician
Galileo Galilei,convicted of,heresy,What was Galileo Galilei convicted of?,heresy
Henry Heimlich,sex or gender,male,What is the sex or gender of Henry Heimlich?,male
Claus Köpcke,employer,Royal Saxon State Railways,What is the employer of Claus Köpcke?,Royal Saxon State Railways
Buckminster Fuller,sex or gender,male,What is the sex or gender of Buckminster Fuller?,male
Henry Heimlich,manner of death,natural causes,What is the manner of death of Henry Heimlich?,natural causes
Claus Köpcke,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Claus Köpcke?,Brockhaus and Efron Encyclopedic Dictionary
Claus Köpcke,sex or gender,male,What is the sex or gender of Claus Köpcke?,male
Buckminster Fuller,movement,high-tech architecture,What is the movement of Buckminster Fuller?,high-tech architecture
Virginia Henderson,place of death,Branford,What is the place of death of Virginia Henderson?,Branford
