topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
human_writer,Yegor Gaidar,father,Timur Gaidar,Who is the father of Yegor Gaidar?,Yegor Gaidar's father was Zhores Gaidar,0.0
human_writer,Lev Ponomaryov,place of birth,Tomsk,What is the place of birth of Lev Ponomaryov?,Kuibyshev,0.0
human_writer,David Beasley,medical condition,COVID-19,What is the medical condition of David Beasley?,Cancer,0.0
human_writer,Joe Biden,notable work,Promises to Keep,What is the notable work of Joe Biden?,Vice Presidency,0.0
human_writer,Sergei Shoigu,conflict,Russian invasion of Ukraine,What is the conflict of Sergei Shoigu?,None,0.0
human_writer,Heidi Heitkamp,work location,"Washington, D.C.",What is the work location of Heidi Heitkamp?,Washington D.C,0.0
human_writer,John Sloss Hobart,work location,"Washington, D.C.",What is the work location of John Sloss Hobart?,New York,0.0
human_writer,Jacob Crocheron,place of birth,Staten Island,What is the place of birth of Jacob Crocheron?,Philadelphia,0.0
human_writer,Ronald Reagan,conflict,World War II,What is the conflict of Ronald Reagan?,Cold War,0.0
human_writer,Vitaly Sevastyanov,place of birth,Krasnouralsk,What is the place of birth of Vitaly Sevastyanov?,Krasnoyarsk,0.0
human_writer,Archibald Stuart,place of birth,Lynchburg,What is the place of birth of Archibald Stuart?,Edinburgh,0.0
human_writer,Henry Ford,cause of death,cerebral hemorrhage,What is the cause of death of Henry Ford?,Arteriosclerosis,0.0
human_writer,Tamara Sinyavskaya,genre,opera,What is the genre of Tamara Sinyavskaya?,Folk,0.0
human_writer,Alexei Tupolev,employer,Moscow State Aviation Technological University,What is the employer of Alexei Tupolev?,Tupolev Design Bureau,0.0
human_writer,Joe Biden,sport,American football,What is the sport of Joe Biden?,Basketball,0.0
human_writer,Archibald Stuart,place of burial,Saltville,What is the place of burial of Archibald Stuart?,Westminster Abbey,0.0
human_writer,Svetlana Zakharova,employer,Bolshoi Ballet,What is the employer of Svetlana Zakharova?,Mariinsky Ballet,0.0
human_writer,Allen T. Caperton,work location,"Washington, D.C.",What is the work location of Allen T. Caperton?,West Virginia,0.0
human_writer,"Carroll A. Campbell, Jr.",manner of death,natural causes,"What is the manner of death of Carroll A. Campbell, Jr.?",Heart attack,0.0
human_writer,Joseph E. McDonald,member of political party,Democratic Party,What is the member of political party of Joseph E. McDonald?,Republican,0.0
human_writer,George Washington,religion or worldview,Episcopal Church,What is the religion or worldview of George Washington?,Deism,0.0
human_writer,Willoughby Newton,member of political party,Whig Party,What is the member of political party of Willoughby Newton?,Liberal,0.0
human_writer,David A. Bokee,work location,"Washington, D.C.",What is the work location of David A. Bokee?,Chicago,0.0
human_writer,Max Warburg,place of death,New York City,What is the place of death of Max Warburg?,Montreal,0.0
human_writer,Bill Orton,work location,"Washington, D.C.",What is the work location of Bill Orton?,Utah,0.0
human_writer,Mikhail Prokhorov,subject has role,billionaire,What is the subject has role of Mikhail Prokhorov?,Nets,0.0
human_writer,Hillary Clinton,mother,Dorothy Howell Rodham,Who is the mother of Hillary Clinton?,Dorothy Rodham,0.0
human_writer,Zhores Alferov,religion or worldview,atheism,What is the religion or worldview of Zhores Alferov?,Atheist,0.0
human_writer,Abraham Lincoln,religion or worldview,Baptists,What is the religion or worldview of Abraham Lincoln?,Unitarianism,0.0
human_writer,Genrikh Yagoda,cause of death,gunshot wound,What is the cause of death of Genrikh Yagoda?,Execution,0.0
human_writer,Ancher Nelsen,work location,"Washington, D.C.",What is the work location of Ancher Nelsen?,New York,0.0
human_writer,Lyubov Sliska,professorship,docent,What is the professorship of Lyubov Sliska?,Professor of Mathematics,0.0
human_writer,Richard Nixon,conflict,World War II,What is the conflict of Richard Nixon?,Watergate,0.0
human_writer,Jacob Crocheron,social classification,slave owner,What is the social classification of Jacob Crocheron?,Upper-class,0.0
human_writer,Dick Fosbury,cause of death,lymphoma,What is the cause of death of Dick Fosbury?,Heart attack,0.0
human_writer,John F. Kennedy,work location,"Washington, D.C.",What is the work location of John F. Kennedy?,The White House,0.0
human_writer,William A. Wheeler,place of birth,Malone,Who is the place of birth of William A. Wheeler?,Yaleville,0.0
human_writer,Vermin Supreme,place of birth,Rockport,What is the place of birth of Vermin Supreme?,New Hampshire,0.0
human_writer,Tatyana Golikova,spouse,Viktor Khristenko,Who is the spouse of Tatyana Golikova?,Igor Golikov,0.0
human_writer,Garret Hobart,place of death,Paterson,Who is the place of death of Garret Hobart?,Glenmont,0.0
human_writer,F. Ray Keyser,place of birth,Chelsea,What is the place of birth of F. Ray Keyser?,Montpelier,0.0
human_writer,Grigory Romanov,military branch,signal corps,What is the military branch of Grigory Romanov?,Navy,0.0
human_writer,Jacob Crocheron,work location,"Washington, D.C.",What is the work location of Jacob Crocheron?,Philadelphia,0.0
human_writer,Millard Fillmore,father,Nathaniel Fillmore,Who is the father of Millard Fillmore?,Philo,0.0
human_writer,Trent Lott,work location,"Washington, D.C.",What is the work location of Trent Lott?,Washington D.C,0.0
human_writer,F. Ray Keyser,place of burial,Vermont,What is the place of burial of F. Ray Keyser?,Arlington National Cemetery,0.0
human_writer,Robert P. Casey,place of burial,Pennsylvania,What is the place of burial of Robert P. Casey?,Holy Cross Cemetery,0.0
human_writer,Magomedsalam Magomedov,sport,association football,What is the sport of Magomedsalam Magomedov?,Wrestling,0.0
