topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels
places_landmark,The Pentagon,location,Arlington County,What is the location of The Pentagon?,"The Pentagon is located in Arlington, Virginia",0.0,What is the population of the location of The Pentagon?,"236,842 (as of 2020)",What is the area in square miles of the location of The Pentagon?,26 square miles,What is the name of the river that flows near the location of The Pentagon?,Potomac River,What is the length of the river that flows near the location of The Pentagon?,405 miles,Which ocean does the river that flows near the location of The Pentagon ultimately drain into?,Atlantic Ocean,"['Arlington County', 'The Pentagon is located in Arlington, Virginia', 'Washington, D.C.', 'Fairfax County']",Where is The Pentagon situated?,Is The Pentagon located in Arlington County?,"Is The Pentagon located in Arlington, Virginia?",What is the primary function of The Pentagon?,What is located in Arlington County?,"A. Arlington County  B. Washington, D.C.  C. The Pentagon is located in Arlington, Virginia  D. Fairfax County",A
places_landmark,Yellowstone National Park,authority,National Park Service,What is the authority of Yellowstone National Park?,The authority of Yellowstone National Park is the authority of the United States of America,0.0,Who is the current director of the authority of Yellowstone National Park?,Charles F. Sams III,Which university did the current director of the authority of Yellowstone National Park attend?,University of Oregon,In which city is the university that the current director of the authority of Yellowstone National Park attended located?,Eugene,In which state is the city located where the university that the current director of the authority of Yellowstone National Park attended is situated?,Oregon,In which country is the state located where the city is situated that contains the university the current director of the authority of Yellowstone National Park attended?,United States,"['National Park Service', 'The authority of Yellowstone National Park is the authority of the United States of America', 'Department of the Interior', 'U.S. Forest Service']",Who oversees Yellowstone National Park?,Is the authority of Yellowstone National Park the National Park Service?,Is the authority of Yellowstone National Park the authority of the United States of America?,In which state is Yellowstone National Park primarily located?,Which national park is under the authority of the National Park Service?,A. Department of the Interior  B. U.S. Forest Service  C. National Park Service  D. The authority of Yellowstone National Park is the authority of the United States of America,C
places_landmark,Al Faisaliah Centre,architectural style,high-tech architecture,What is the architectural style of Al Faisaliah Centre?,The architectural style of Al Faisaliah Centre is modern.  Question,0.0,Who is the architect of the Al Faisaliah Centre?,Norman Foster,Which university did the architect of the Al Faisaliah Centre attend?,University of Manchester,In which city is the university located that the architect of the Al Faisaliah Centre attended?,Manchester,In which country is the city located where the university that the architect of the Al Faisaliah Centre attended is situated?,United Kingdom,What is the population of the country where the city is located that contains the university the architect of the Al Faisaliah Centre attended?,Approximately 67 million,"['high-tech architecture', 'The architectural style of Al Faisaliah Centre is modern.  Question', 'neoclassical', 'brutalism']",Which architectural style does Al Faisaliah Centre follow?,Is the architectural style of Al Faisaliah Centre high-tech architecture?,Is the architectural style of Al Faisaliah Centre modern?,In which city is the Al Faisaliah Centre located?,Which building is designed in the high-tech architecture style?,A. The architectural style of Al Faisaliah Centre is modern.  Question  B. neoclassical  C. brutalism  D. high-tech architecture,D
places_landmark,Alcatraz Island,located in protected area,Golden Gate National Recreation Area,What is the located in protected area of Alcatraz Island?,The island is located in the San Francisco Bay,0.0,"What is the total area of the Golden Gate National Recreation Area, which is the protected area where Alcatraz Island is located?","82,027 acres","Which city is closest to the Golden Gate National Recreation Area, which is the protected area where Alcatraz Island is located?",San Francisco,"What is the population of the city closest to the Golden Gate National Recreation Area, which is the protected area where Alcatraz Island is located?","883,305","What is the name of the famous bridge located in the city closest to the Golden Gate National Recreation Area, which is the protected area where Alcatraz Island is located?",Golden Gate Bridge,"In which year was the famous bridge completed that is located in the city closest to the Golden Gate National Recreation Area, which is the protected area where Alcatraz Island is located?",1937,"['Golden Gate National Recreation Area', 'The island is located in the San Francisco Bay', 'Yosemite National Park', 'Muir Woods National Monument']",In which protected area is Alcatraz Island located?,Is Alcatraz Island located in the Golden Gate National Recreation Area?,Is Alcatraz Island located in the San Francisco Bay?,What famous prison was once located on Alcatraz Island?,What island is located in the Golden Gate National Recreation Area?,A. Muir Woods National Monument  B. Golden Gate National Recreation Area  C. The island is located in the San Francisco Bay  D. Yosemite National Park,B
places_landmark,Riddarholm Church,architectural style,Gothic architecture,What is the architectural style of Riddarholm Church?,Gothic,0.0,Who was the architect of the Riddarholm Church?,Willem Boy,What other notable building did the architect of the Riddarholm Church design?,Gripsholm Castle,In which city is the notable building located that was designed by the architect of the Riddarholm Church?,Mariefred,In which county is the city located where the notable building designed by the architect of the Riddarholm Church is situated?,Södermanland County,In which country is the county located where the city is situated that contains the notable building designed by the architect of the Riddarholm Church?,Sweden,"['Gothic architecture', 'Gothic', 'Baroque', 'Renaissance']",Which architectural style is Riddarholm Church built in?,Is the architectural style of Riddarholm Church Gothic architecture?,Is the architectural style of Riddarholm Church Gothic?,Where is Riddarholm Church located?,Which church is built in the Gothic architecture style?,A. Gothic architecture  B. Gothic  C. Renaissance  D. Baroque,A
places_landmark,Sistine Chapel,founded by,Sixtus IV,What was Sistine Chapel founded by?,Michelangelo,0.0,What is the birth name of the person who founded the Sistine Chapel?,Francesco della Rovere,"Which religious order did the person with the birth name Francesco della Rovere, who founded the Sistine Chapel, belong to?",Franciscan Order,"Who was the founder of the religious order that the person with the birth name Francesco della Rovere, who founded the Sistine Chapel, belonged to?",Saint Francis of Assisi,"In which Italian town was the founder of the religious order that the person with the birth name Francesco della Rovere, who founded the Sistine Chapel, born?",Assisi,"In which region of Italy is the town located where the founder of the religious order that the person with the birth name Francesco della Rovere, who founded the Sistine Chapel, was born?",Umbria,"['Sixtus IV', 'Michelangelo', 'Leonardo da Vinci', 'Raphael']",Who established the Sistine Chapel?,Was the Sistine Chapel founded by Sixtus IV?,Was the Sistine Chapel founded by Michelangelo?,What famous ceiling painting is located in the Sistine Chapel?,What did Sixtus IV found?,A. Sixtus IV  B. Leonardo da Vinci  C. Michelangelo  D. Raphael,A
places_landmark,Edinburgh Castle,operator,Historic Environment Scotland,What is the operator of Edinburgh Castle?,The operator of Edinburgh Castle is the Royal Company of Edinburgh Castle.  Question,0.0,Who is the Chief Executive of the operator of Edinburgh Castle?,Alex Paterson,Which university did the Chief Executive of the operator of Edinburgh Castle attend?,University of Edinburgh,In which year was the university attended by the Chief Executive of the operator of Edinburgh Castle founded?,1582,Who was the monarch of Scotland when the university attended by the Chief Executive of the operator of Edinburgh Castle was founded?,James VI,What was the name of the mother of the monarch of Scotland when the university attended by the Chief Executive of the operator of Edinburgh Castle was founded?,"Mary, Queen of Scots","['Historic Environment Scotland', 'The operator of Edinburgh Castle is the Royal Company of Edinburgh Castle.  Question', 'National Trust for Scotland', 'Edinburgh City Council']",Who operates Edinburgh Castle?,Is the operator of Edinburgh Castle Historic Environment Scotland?,Is the operator of Edinburgh Castle the Royal Company of Edinburgh Castle?,In which city is Edinburgh Castle located?,What does Historic Environment Scotland operate?,A. Edinburgh City Council  B. National Trust for Scotland  C. The operator of Edinburgh Castle is the Royal Company of Edinburgh Castle.  Question  D. Historic Environment Scotland,D
places_landmark,Alexander Nevsky Cathedral,location,Sofia,What is the location of Alexander Nevsky Cathedral?,Moscow,0.0,What is the population of the location of Alexander Nevsky Cathedral?,1.24 million,What is the area in square kilometers of the location with a population of 1.24 million where Alexander Nevsky Cathedral is located?,492 km²,What is the name of the mayor of the location with an area of 492 km² where Alexander Nevsky Cathedral is located?,Yordanka Fandakova,Which political party does the mayor belong to who governs the location with an area of 492 km² where Alexander Nevsky Cathedral is located?,GERB,When was the political party founded that the mayor belongs to who governs the location with an area of 492 km² where Alexander Nevsky Cathedral is located?,2006,"['Sofia', 'Moscow', 'Saint Petersburg', 'Kiev']",Where is Alexander Nevsky Cathedral located?,Is the location of Alexander Nevsky Cathedral Sofia?,Is the location of Alexander Nevsky Cathedral Moscow?,What is a famous architectural style associated with Alexander Nevsky Cathedral?,Which cathedral is located in Sofia?,A. Moscow  B. Kiev  C. Sofia  D. Saint Petersburg,C
places_landmark,Brest Fortress,made from material,brick,What is the made from material of Brest Fortress?,Brest Fortress is made from concrete,0.0,What is the color of the material that Brest Fortress is made from?,red,What is the primary component of the color of the material that Brest Fortress is made from?,iron oxide,What is the chemical formula of the primary component of the color of the material that Brest Fortress is made from?,Fe2O3,"What is the common name of the chemical with the formula Fe2O3, which is the primary component of the color of the material that Brest Fortress is made from?",rust,"What is the process called that produces the chemical known as rust, which is the primary component of the color of the material that Brest Fortress is made from?",oxidation,"['brick', 'Brest Fortress is made from concrete', 'stone', 'wood']",What material is Brest Fortress constructed from?,Is Brest Fortress made from brick?,Is Brest Fortress made from concrete?,Where is Brest Fortress located?,What fortress is made from brick?,A. stone  B. Brest Fortress is made from concrete  C. wood  D. brick,D
places_landmark,Alexander Nevsky Cathedral,architect,Alexander Pomerantsev,Who does Alexander Nevsky Cathedral architect?,The cathedral was designed by the architect Alexander Nevsky,0.0,What is the nationality of the Alexander Nevsky Cathedral architect?,Russian,In which city was the Alexander Nevsky Cathedral architect born?,Moscow,What is the population of the city where the Alexander Nevsky Cathedral architect was born?,Approximately 12.5 million,What is the area of the city with a population of approximately 12.5 million where the Alexander Nevsky Cathedral architect was born?,"2,511 square kilometers","What is the name of the river that flows through the city with an area of 2,511 square kilometers where the Alexander Nevsky Cathedral architect was born?",Moskva River,"['Alexander Pomerantsev', 'The cathedral was designed by the architect Alexander Nevsky', 'Vladimir Shukhov', 'Fyodor Schechtel']",Who is the architect of Alexander Nevsky Cathedral?,Is Alexander Pomerantsev the architect of Alexander Nevsky Cathedral?,Is the cathedral designed by the architect Alexander Nevsky?,In which city is the Alexander Nevsky Cathedral located?,Who is the architect Alexander Pomerantsev associated with?,A. Alexander Pomerantsev  B. The cathedral was designed by the architect Alexander Nevsky  C. Fyodor Schechtel  D. Vladimir Shukhov,A
