topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
technology_software,NetEase Cloud Music,headquarters location,Beijing,What is the headquarters location of NetEase Cloud Music?,"Hangzhou, China",0.0,"['Beijing', 'Hangzhou, China', 'Shanghai', 'Guangzhou']",Where is the headquarters of NetEase Cloud Music located?,"A. Shanghai  B. Hangzhou, China  C. Guangzhou  D. Beijing",D,Is the headquarters location of NetEase Cloud Music in Beijing?,"Is the headquarters location of NetEase Cloud Music in Hangzhou, China?",What type of service is NetEase Cloud Music known for?,Which company's headquarters is located in Beijing?,What is the country of the headquarters location of NetEase Cloud Music?,China,What is the official language of the country where the headquarters of NetEase Cloud Music is located?,Mandarin Chinese,What is the most populous city in the country where the headquarters of NetEase Cloud Music is located?,Shanghai,"What is the GDP ranking of the country where the most populous city is located, which is also the country of the headquarters of NetEase Cloud Music?",2nd,What is the currency used in the country that ranks 2nd in GDP and is the location of the headquarters of NetEase Cloud Music?,Renminbi (Yuan)
technology_software,Real World Racing,distributed by,Steam,What was Real World Racing distributed by?,Codemasters,0.0,"['Steam', 'Codemasters', 'Electronic Arts', 'Ubisoft']",Who was the distributor of Real World Racing?,A. Ubisoft  B. Electronic Arts  C. Steam  D. Codemasters,C,Was Real World Racing distributed by Steam?,Was Real World Racing distributed by Codemasters?,What genre is Real World Racing known for?,What game was distributed by Steam?,Which company distributed Real World Racing?,Playstos Entertainment,Who is the CEO of the company that distributed Real World Racing?,Alessandro Cominu,Which university did the CEO of the company that distributed Real World Racing attend?,Politecnico di Milano,In which city is the university located that the CEO of the company that distributed Real World Racing attended?,Milan,In which country is the city located where the university is situated that the CEO of the company that distributed Real World Racing attended?,Italy
technology_software,DiDi,industry,transportation industry,What is the industry of DiDi?,Ride-hailing,0.0,"['transportation industry', 'Ride-hailing', 'technology industry', 'finance industry']",In which industry does DiDi operate?,A. Ride-hailing  B. finance industry  C. technology industry  D. transportation industry,D,Is the industry of DiDi the transportation industry?,Is the industry of DiDi Ride-hailing?,What is a well-known service provided by DiDi?,Which company operates in the transportation industry?,Who is the CEO of the company in the same industry as DiDi?,Dara Khosrowshahi,Which company is the CEO of the company in the same industry as DiDi leading?,Uber,In which city is the headquarters of the company led by the CEO of the company in the same industry as DiDi located?,San Francisco,In which state is the city located where the headquarters of the company led by the CEO of the company in the same industry as DiDi is situated?,California,In which country is the state located where the city is situated that contains the headquarters of the company led by the CEO of the company in the same industry as DiDi?,United States
technology_software,TILA App,programmed in,React Native,What was TILA App programmed in?,Python,0.0,"['React Native', 'Python', 'JavaScript', 'Swift']",Which programming language was used to develop the TILA App?,A. Python  B. JavaScript  C. React Native  D. Swift,C,Was the TILA App programmed in React Native?,Was the TILA App programmed in Python?,What is a popular feature of the TILA App?,Which app was programmed in React Native?,Who is the developer of the programming language in which the TILA App is programmed?,Guido van Rossum,Which company did the developer of the programming language in which the TILA App is programmed work for in 2005?,Google,What is the headquarters location of the company where the developer of the programming language in which the TILA App is programmed worked in 2005?,"Mountain View, California",In which county is the headquarters located of the company where the developer of the programming language in which the TILA App is programmed worked in 2005?,Santa Clara County,"In which state is the county located where the headquarters of the company is situated, where the developer of the programming language in which the TILA App is programmed worked in 2005?",California
technology_software,Croixleur Sigma,publisher,Playism,What is the publisher of Croixleur Sigma?,NIS America,0.0,"['Playism', 'NIS America', 'Square Enix', 'Bandai Namco']",Who published Croixleur Sigma?,A. NIS America  B. Square Enix  C. Bandai Namco  D. Playism,D,Is Playism the publisher of Croixleur Sigma?,Is NIS America the publisher of Croixleur Sigma?,What genre is Croixleur Sigma known for?,Which game was published by Playism?,What is the name of the developer of the game published by the publisher of Croixleur Sigma?,souvenir circ.,What is the genre of the game developed by the developer of the game published by the publisher of Croixleur Sigma?,Hack and slash,On which platform was the game of the hack and slash genre developed by the developer of the game published by the publisher of Croixleur Sigma initially released?,PC,Which digital distribution service was used for the initial release of the game on PC that is of the hack and slash genre developed by the developer of the game published by the publisher of Croixleur Sigma?,Steam,In which year was the game released on the digital distribution service for PC that is of the hack and slash genre developed by the developer of the game published by the publisher of Croixleur Sigma?,2014
technology_software,MobileCoin,based on,Monero,Who was MobileCoin based on?,Satoshi Nakamoto,0.0,"['Monero', 'Satoshi Nakamoto', 'Bitcoin', 'Ethereum']",MobileCoin was based on which cryptocurrency?,A. Satoshi Nakamoto  B. Ethereum  C. Bitcoin  D. Monero,D,Was MobileCoin based on Monero?,Was MobileCoin based on Satoshi Nakamoto?,What is a well-known feature of MobileCoin?,Which cryptocurrency is Monero the basis for?,What is the underlying technology that MobileCoin is based on?,Blockchain,Which cryptocurrency is known for using the same underlying technology as MobileCoin?,Bitcoin,Who is the creator of the cryptocurrency that uses the same underlying technology as MobileCoin?,Satoshi Nakamoto,What is the pseudonym of the creator of the cryptocurrency that uses the same underlying technology as MobileCoin?,Satoshi Nakamoto,In which year was the cryptocurrency created by the person with the pseudonym Satoshi Nakamoto released?,2009
technology_software,Google Street View,distributed by,Google Play,What was Google Street View distributed by?,Nokia,0.0,"['Google Play', 'Nokia', 'Apple App Store', 'Amazon Appstore']",Through which platform was Google Street View distributed?,A. Apple App Store  B. Nokia  C. Google Play  D. Amazon Appstore,C,Was Google Street View distributed by Google Play?,Was Google Street View distributed by Nokia?,What is a popular search engine developed by Google?,What is distributed by Google Play?,Which company distributes Google Street View?,Google,Who is the CEO of the company that distributes Google Street View?,Sundar Pichai,Which university did the CEO of the company that distributes Google Street View attend for their undergraduate studies?,Indian Institute of Technology Kharagpur,In which city is the university located where the CEO of the company that distributes Google Street View attended for their undergraduate studies?,Kharagpur,In which state is the city located where the university is situated that the CEO of the company that distributes Google Street View attended for their undergraduate studies?,West Bengal
technology_software,Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay,game mode,single-player video game,What is the game mode of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay?,Point-and-click,0.0,"['single-player video game', 'Point-and-click', 'multiplayer', 'co-op']",Which game mode is featured in Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay?,A. Point-and-click  B. co-op  C. single-player video game  D. multiplayer,C,Is the game mode of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay a single-player video game?,Is the game mode of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay Point-and-click?,Who is the main character in Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay?,Which game features a single-player video game mode in its second chapter titled The Siege of Spinner Cay?,What is the primary objective in the game mode of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay?,To find La Esponja Grande,Who is the main character trying to find La Esponja Grande in the game mode of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay?,Guybrush Threepwood,Who is the main antagonist that Guybrush Threepwood faces while trying to find La Esponja Grande in the game mode of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay?,LeChuck,What is the name of the ship that Guybrush Threepwood uses in the game mode of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay?,The Screaming Narwhal,Who is the creator of the game series that includes Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay?,Ron Gilbert
technology_software,News Channel,input device,Wii Remote,What is the input device of News Channel?,Camera,0.0,"['Wii Remote', 'Camera', 'Keyboard', 'Microphone']",Which device is used as an input for the News Channel?,A. Wii Remote  B. Keyboard  C. Camera  D. Microphone,A,Is the input device of News Channel the Wii Remote?,Is the input device of News Channel the Camera?,What type of content does the News Channel typically broadcast?,Which channel uses the Wii Remote as an input device?,What is the primary input device used to control a News Channel?,Remote control,Which company manufactures the remote control used to control a News Channel?,Logitech,In which country is the company that manufactures the remote control used to control a News Channel headquartered?,Switzerland,What is the capital city of the country where the company that manufactures the remote control used to control a News Channel is headquartered?,Bern,Which river flows through the capital city of the country where the company that manufactures the remote control used to control a News Channel is headquartered?,Aare
technology_software,Real World Racing,has characteristic,indie game,What does Real World Racing have characteristic?,Realistic physics,0.0,"['indie game', 'Realistic physics', 'multiplayer mode', 'high-end graphics']",What characteristic does Real World Racing possess?,A. multiplayer mode  B. high-end graphics  C. indie game  D. Realistic physics,C,Does Real World Racing have the characteristic of being an indie game?,Does Real World Racing have the characteristic of Realistic physics?,What is the primary genre of Real World Racing?,Which game is characterized as an indie game?,What is a notable feature of Real World Racing?,Top-down view,Which technology is used to create the notable feature of Real World Racing?,Google Maps,Which company developed the technology used to create the notable feature of Real World Racing?,Google,In which year was the company that developed the technology used in Real World Racing founded?,1998,Who were the founders of the company that developed the technology used in Real World Racing?,Larry Page and Sergey Brin
