topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
entertainment_song,Maman,record label,Mercury Records,Mercury Records,What is the record label of Maman?,Maman's record label is Ninja Tune,0.0
entertainment_song,It's My Life,record label,Bertelsmann Music Group,Bertelsmann Music Group,What is the record label of It's My Life?,"Bon Jovi Records (or Island Records, depending on the release)",0.0
entertainment_song,It's My Life,lyricist,Dr. Alban,Dr. Alban,Who is the lyricist of It's My Life?,Bon Jovi (Jon Bon Jovi),0.0
entertainment_song,About You Now,distribution format,compact disc,compact disc,What is the distribution format of About You Now?,PDF,0.0
entertainment_song,Paris Latino,record label,Virgin Records,Virgin Records,What is the record label of Paris Latino?,Ultra Records,0.0
entertainment_song,No Promises,follows,Shed a Light,Shed a Light,What does No Promises follow?,Nothing. It's a song title,0.0
entertainment_song,All That She Wants,follows,Wheel of Fortune,Wheel of Fortune,What does All That She Wants follow?,More Lies,0.0
entertainment_song,Jeune et con,genre,pop rock,pop rock,What is the genre of Jeune et con?,Comedy,0.0
entertainment_song,Au soleil,follows,J'attends l'amour,J'attends l'amour,What does Au soleil follow?,Summer,0.0
entertainment_song,Cassé,producer,Pascal Obispo,Pascal Obispo,Who is the producer of Cassé?,Martin Solveig,0.0
entertainment_song,Qui a le droit...,record label,RCA Records,RCA Records,What is the record label of Qui a le droit...?,Ed Banger Records,0.0
entertainment_song,Zirochka,follows,Handsomely,Handsomely,What does Zirochka follow?,Stars,0.0
entertainment_song,Dommage,genre,French hip hop,French hip hop,What is the genre of Dommage?,Drama,0.0
entertainment_song,La Grenade,distribution format,music download,music download,What is the distribution format of La Grenade?,PDF,0.0
entertainment_song,Hips Don't Lie,record label,Epic Records,Epic Records,What is the record label of Hips Don't Lie?,Shakira (Independent),0.0
entertainment_song,Parisienne Walkways,record label,MCA Records,MCA Records,What is the record label of Parisienne Walkways?,Mike Oldfield Records (MOR),0.0
entertainment_song,My Humps,follows,Don't Lie,Don't Lie,What does My Humps follow?,Banana Rump Rump,0.0
entertainment_song,Supersonic,composer,Noel Gallagher,Noel Gallagher,Who is the composer of Supersonic?,Joris Voorn (remix) or The Prodigy (original,0.0
entertainment_song,Misery,genre,pop rock,pop rock,What is the genre of Misery?,Thriller,0.0
entertainment_song,Avant de partir,genre,synth-pop,synth-pop,What is the genre of Avant de partir?,Film (Drama),0.0
entertainment_song,You Never Can Tell,distribution format,vinyl record,vinyl record,What is the distribution format of You Never Can Tell?,PDF,0.0
entertainment_song,Space Oddity,producer,Gus Dudgeon,Gus Dudgeon,Who is the producer of Space Oddity?,David Bowie,0.0
entertainment_song,Dita,distribution format,music download,music download,What is the distribution format of Dita?,DITA (Darwin Information Typing Architecture) is an XML,0.0
