topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
entertainment_anime,Digimon Adventure Tri. 3,followed by,Digimon Adventure Tri. 4,What was Digimon Adventure Tri. 3 followed by?,Digimon Adventure tri,0.0,"['Digimon Adventure Tri. 4', 'Digimon Adventure tri', 'Digimon Adventure Tri. 2', 'Digimon Adventure Tri. 5']",Which series came after Digimon Adventure Tri. 3?,Was Digimon Adventure Tri. 3 followed by Digimon Adventure Tri. 4?,Was Digimon Adventure Tri. 3 followed by Digimon Adventure tri?,What genre is Digimon Adventure Tri. 3 known for?,What series follows Digimon Adventure Tri. 4?,A. Digimon Adventure tri  B. Digimon Adventure Tri. 5  C. Digimon Adventure Tri. 2  D. Digimon Adventure Tri. 4,D,Who directed the series that Digimon Adventure Tri. 3 was followed by?,Keitaro Motonaga,Which studio produced the series directed by Keitaro Motonaga that Digimon Adventure Tri. 3 was followed by?,Toei Animation,In which year was the series produced by Toei Animation and directed by Keitaro Motonaga that Digimon Adventure Tri. 3 was followed by released?,2017,"Who composed the music for the series released in 2017, produced by Toei Animation, and directed by Keitaro Motonaga that Digimon Adventure Tri. 3 was followed by?",Go Sakabe,"Which character did Go Sakabe compose music for in the series released in 2017, produced by Toei Animation, and directed by Keitaro Motonaga that Digimon Adventure Tri. 3 was followed by?",Tai Kamiya
entertainment_anime,Pan de Peace!,distributed by,Crunchyroll,What was Pan de Peace! distributed by?,Pan de Peace! distributed by: Pan de Peace!,0.0,"['Crunchyroll', 'Pan de Peace! distributed by: Pan de Peace!', 'Funimation', 'Netflix']",Who was responsible for distributing Pan de Peace!?,Was Pan de Peace! distributed by Crunchyroll?,Was Pan de Peace! distributed by Pan de Peace! distributed by: Pan de Peace!?,What genre is Pan de Peace! known for?,What did Crunchyroll distribute?,A. Netflix  B. Crunchyroll  C. Funimation  D. Pan de Peace! distributed by: Pan de Peace!,B,What is the parent company of the distributor of Pan de Peace!?,Sony,What is the headquarters location of the parent company of the distributor of Pan de Peace!?,"Tokyo, Japan",What is the population of the city where the headquarters of the parent company of the distributor of Pan de Peace! is located?,Approximately 14 million,What is the GDP of the country where the city is located that hosts the headquarters of the parent company of the distributor of Pan de Peace!?,Approximately $5 trillion,What is the currency used in the country where the city is located that hosts the headquarters of the parent company of the distributor of Pan de Peace!?,Japanese Yen
entertainment_anime,Chain Chronicle,input device,touchscreen,What is the input device of Chain Chronicle?,Keyboard,0.0,"['touchscreen', 'Keyboard', 'mouse', 'gamepad']",Which device is used for input in Chain Chronicle?,Is the input device of Chain Chronicle a touchscreen?,Is the input device of Chain Chronicle a Keyboard?,What genre does Chain Chronicle belong to?,Which game uses a touchscreen as its input device?,A. gamepad  B. touchscreen  C. mouse  D. Keyboard,B,What is the operating system that supports the input device of Chain Chronicle?,Android,Who developed the operating system that supports the input device of Chain Chronicle?,Google,In which year was the operating system that supports the input device of Chain Chronicle developed?,2008,What is the name of the first version of the operating system that supports the input device of Chain Chronicle?,Android 1.0,What is the codename of the first version of the operating system that supports the input device of Chain Chronicle?,Astro
entertainment_anime,This Boy Suffers from Crystallization,language of work or name,Japanese,What is the language of work or name of This Boy Suffers from Crystallization?,Crystallization,0.0,"['Japanese', 'Crystallization', 'English', 'Chinese']",In which language is 'This Boy Suffers from Crystallization' written?,Is the language of work or name of 'This Boy Suffers from Crystallization' Japanese?,Is the language of work or name of 'This Boy Suffers from Crystallization' Crystallization?,What is the genre of 'This Boy Suffers from Crystallization'?,What work or name is in Japanese?,A. Crystallization  B. Japanese  C. Chinese  D. English,B,Who is the author of the work that is in the language of work or name of This Boy Suffers from Crystallization?,Yuki Kamatani,What is another work by the author of the work that is in the language of work or name of This Boy Suffers from Crystallization?,Our Dreams at Dusk,Which publisher published another work by the author of the work that is in the language of work or name of This Boy Suffers from Crystallization?,Shogakukan,In which year was the publisher that published another work by the author of the work that is in the language of work or name of This Boy Suffers from Crystallization founded?,1922,Who was the founder of the publisher that published another work by the author of the work that is in the language of work or name of This Boy Suffers from Crystallization?,Takeo Ōga
entertainment_anime,Chō Supercar Gattiger,original broadcaster,TV Tokyo,What is the original broadcaster of Chō Supercar Gattiger?,Chō Supercar Gattiger is a Japanese anime series,0.0,"['TV Tokyo', 'Chō Supercar Gattiger is a Japanese anime series', 'Fuji TV', 'NHK']",Which network originally broadcasted Chō Supercar Gattiger?,Is TV Tokyo the original broadcaster of Chō Supercar Gattiger?,Is Chō Supercar Gattiger is a Japanese anime series the original broadcaster of Chō Supercar Gattiger?,What genre does Chō Supercar Gattiger belong to?,What show was originally broadcasted by TV Tokyo?,A. NHK  B. TV Tokyo  C. Chō Supercar Gattiger is a Japanese anime series  D. Fuji TV,B,What is the headquarters location of the original broadcaster of Chō Supercar Gattiger?,"Tokyo, Japan",What is the population of the city where the headquarters of the original broadcaster of Chō Supercar Gattiger is located?,Approximately 14 million,What is the area of the city with a population of approximately 14 million where the headquarters of the original broadcaster of Chō Supercar Gattiger is located?,"2,194 square kilometers","What is the name of the country where the city with an area of 2,194 square kilometers and a population of approximately 14 million, which is the headquarters location of the original broadcaster of Chō Supercar Gattiger, is located?",Japan,"What is the official language of the country where the city with an area of 2,194 square kilometers and a population of approximately 14 million, which is the headquarters location of the original broadcaster of Chō Supercar Gattiger, is located?",Japanese
entertainment_anime,THE LIFE OF GREAT HERMES,author,Ryūhō Ōkawa,Who is the author of THE LIFE OF GREAT HERMES?,The author of THE LIFE OF GREAT HERMES is the author of THE LIFE,0.0,"['Ryūhō Ōkawa', 'The author of THE LIFE OF GREAT HERMES is the author of THE LIFE', 'J.K. Rowling', 'George Orwell']",Who wrote THE LIFE OF GREAT HERMES?,Is Ryūhō Ōkawa the author of THE LIFE OF GREAT HERMES?,Is the author of THE LIFE OF GREAT HERMES the author of THE LIFE?,What is a famous work by Ryūhō Ōkawa?,Who is the author of Ryūhō Ōkawa's book THE LIFE OF GREAT HERMES?,A. Ryūhō Ōkawa  B. The author of THE LIFE OF GREAT HERMES is the author of THE LIFE  C. George Orwell  D. J.K. Rowling,A,What is the nationality of the author of THE LIFE OF GREAT HERMES?,Japanese,What is the primary language spoken in the country of the author of THE LIFE OF GREAT HERMES?,Japanese,What is the capital city of the country where the primary language is Japanese and the author of THE LIFE OF GREAT HERMES is from?,Tokyo,What is the population of the capital city of the country where the primary language is Japanese and the author of THE LIFE OF GREAT HERMES is from?,Approximately 14 million,"What is the name of the famous tower located in the capital city with a population of approximately 14 million, where the primary language is Japanese and the author of THE LIFE OF GREAT HERMES is from?",Tokyo Tower
entertainment_anime,Armitage III: Poly Matrix,original language of film or TV show,Japanese,What is the original language of film or TV show of Armitage III: Poly Matrix?,English,0.0,"['Japanese', 'English', 'French', 'Spanish']",In what language was the film Armitage III: Poly Matrix originally made?,Is the original language of the film Armitage III: Poly Matrix Japanese?,Is the original language of the film Armitage III: Poly Matrix English?,What genre is the film Armitage III: Poly Matrix known for?,Which film or TV show has Japanese as its original language?,A. French  B. Spanish  C. English  D. Japanese,D,Who is the director of the film or TV show with the original language Japanese of Armitage III: Poly Matrix?,Takuya Sato,What other film or TV show did the director of the film or TV show with the original language Japanese of Armitage III: Poly Matrix direct?,Steins;Gate,Who is the main character in the other film or TV show directed by the director of the film or TV show with the original language Japanese of Armitage III: Poly Matrix?,Rintarou Okabe,Who is the voice actor for the main character in the other film or TV show directed by the director of the film or TV show with the original language Japanese of Armitage III: Poly Matrix?,Mamoru Miyano,Which award did the voice actor for the main character in the other film or TV show directed by the director of the film or TV show with the original language Japanese of Armitage III: Poly Matrix win?,Seiyu Award
entertainment_anime,To Be Hero,followed by,To Be Heroine,What was To Be Hero followed by?,The Hero,0.0,"['To Be Heroine', 'The Hero', 'Heroic Age', 'The Heroic Legend of Arslan']",Which series came after To Be Hero?,Was To Be Hero followed by To Be Heroine?,Was To Be Hero followed by The Hero?,What genre is the series To Be Hero known for?,What series precedes To Be Heroine?,A. The Heroic Legend of Arslan  B. Heroic Age  C. The Hero  D. To Be Heroine,D,Who is the main character in the series that To Be Hero was followed by?,Hoshitani Futaba,Who is the voice actor for the main character in the series that To Be Hero was followed by?,Yukari Tamura,Which other anime series did the voice actor for the main character in the series that To Be Hero was followed by also voice a character in?,Magical Girl Lyrical Nanoha,Who is the main character in the other anime series that the voice actor for the main character in the series that To Be Hero was followed by also voiced a character in?,Nanoha Takamachi,Who is the creator of the other anime series that the main character in the series that To Be Hero was followed by also voiced a character in?,Masaki Tsuzuki
entertainment_anime,Chain Chronicle,developer,Sega Interactive,What is the developer of Chain Chronicle?,I am the developer of Chain Chronicle,0.0,"['Sega Interactive', 'I am the developer of Chain Chronicle', 'Nintendo', 'Square Enix']",Who developed Chain Chronicle?,Is Sega Interactive the developer of Chain Chronicle?,Am I the developer of Chain Chronicle?,What genre is Chain Chronicle known for?,What game was developed by Sega Interactive?,A. Sega Interactive  B. Square Enix  C. I am the developer of Chain Chronicle  D. Nintendo,A,What is another popular game developed by the developer of Chain Chronicle?,Sonic the Hedgehog,Who is the main character in another popular game developed by the developer of Chain Chronicle?,Sonic,What is the primary ability of the main character in another popular game developed by the developer of Chain Chronicle?,Super speed,"Who is the main antagonist in the game where the main character has super speed, developed by the developer of Chain Chronicle?",Dr. Robotnik,"What is the main goal of the antagonist in the game where the main character has super speed, developed by the developer of Chain Chronicle?",To conquer the world and capture animals to turn them into robots
entertainment_anime,Q.E.D.,language of work or name,Japanese,What is the language of work or name of Q.E.D.?,The language of work is English,0.0,"['Japanese', 'The language of work is English', 'Chinese', 'Korean']",In which language is Q.E.D. written?,Is the language of work or name of Q.E.D. Japanese?,Is the language of work or name of Q.E.D. English?,What genre does Q.E.D. belong to?,What work or name is in Japanese?,A. Korean  B. Chinese  C. The language of work is English  D. Japanese,D,Who is the author of the work that has Japanese as the language of work or name and is titled Q.E.D.?,Motohiro Katou,What is the genre of the work authored by Motohiro Katou that has Japanese as the language of work or name and is titled Q.E.D.?,Mystery,Which magazine serialized the work in the mystery genre authored by Motohiro Katou that has Japanese as the language of work or name and is titled Q.E.D.?,Magazine Great,Which publishing company publishes the magazine that serialized the work in the mystery genre authored by Motohiro Katou that has Japanese as the language of work or name and is titled Q.E.D.?,Kodansha,"In which country is the publishing company Kodansha located, which publishes the magazine that serialized the work in the mystery genre authored by Motohiro Katou that has Japanese as the language of work or name and is titled Q.E.D.?",Japan
