topic,type,subject,relation,object,question,label,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
places_landmark,wh,Greece,owned by,Parthenon,Which tourist attraction was owned by Greece?,Parthenon,Cyprus,0.0
places_landmark,wh,Panathenaic Stadium,occupant,Hellenic Olympic Committee,What is the occupant of Panathenaic Stadium?,Hellenic Olympic Committee,Athens University,0.0
places_landmark,wh,Panathenaic Stadium,sponsor,Stavros Niarchos Foundation,What does Panathenaic Stadium sponsor?,Stavros Niarchos Foundation,Athletic Games,0.0
places_landmark,wh,Panathenaic Stadium,culture,Ancient Greece,What is the culture of Panathenaic Stadium?,Ancient Greece,Historic,0.0
places_landmark,wh,Deloitte,sponsor,MUNCH,Which tourist attraction sponsor Deloitte?,MUNCH,The Guggenheim Museum,0.0
places_landmark,wh,Rosersberg Palace,founded by,Gabriel Bengtsson Oxenstierna,Who was Rosersberg Palace founded by?,Gabriel Bengtsson Oxenstierna,King Gustav V,0.0
places_landmark,wh,Rosersberg Palace,architectural style,Neoclassical architecture,What is the architectural style of Rosersberg Palace?,Neoclassical architecture,Baroque,0.0
places_landmark,wh,Rosersberg Palace,owned by,National Property Board of Sweden,What was Rosersberg Palace owned by?,National Property Board of Sweden,Nobility,0.0
places_landmark,wh,Mellieħa,located in the administrative territorial entity,Popeye Village,Which tourist attraction's located in the administrative territorial entity is Mellieħa?,Popeye Village,Golden Bay,0.0
places_landmark,wh,Gustavianum,has part(s),Valsgärde,Who does Gustavianum have part(s )?,Valsgärde,Uppsala University,0.0
places_landmark,wh,Prayerbook Cross,has part(s),Golden Gate Park,Which tourist attraction has part(s) Prayerbook Cross?,Golden Gate Park,Glastonbury,0.0
places_landmark,wh,Haw Par Villa,significant event,construction,What is the significant event of Haw Par Villa?,construction,Ten Courts of Hell,0.0
places_landmark,wh,Carlos Oswald,creator,Christ the Redeemer,Which tourist attraction's creator is Carlos Oswald?,Christ the Redeemer,Lascaux Cave,0.0
places_landmark,wh,Tsarskoye Selo,architect,Francesco Bartolomeo Rastrelli,Who does Tsarskoye Selo architect?,Francesco Bartolomeo Rastrelli,Vasily Petrovich Stasov,0.0
places_landmark,wh,Kungsholmen,located in/on physical feature,Stockholm City Hall,Which tourist attraction's located in/on physical feature is Kungsholmen?,Stockholm City Hall,Lake Mälaren,0.0
