topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
business_brand,Det Nye,publisher,Egmont Publishing Norway,What is the publisher of Det Nye?,Aftenposten,0.0,"['Egmont Publishing Norway', 'Aftenposten', 'Schibsted', 'Gyldendal']",Who publishes Det Nye?,A. Egmont Publishing Norway  B. Aftenposten  C. Gyldendal  D. Schibsted,A,Is Egmont Publishing Norway the publisher of Det Nye?,Is Aftenposten the publisher of Det Nye?,What type of magazine is Det Nye known for being?,What magazine is published by Egmont Publishing Norway?,Who is the CEO of the publisher of Det Nye?,Kristin Skogen Lund,Which company is the CEO of the publisher of Det Nye associated with?,Schibsted,In which country is the company associated with the CEO of the publisher of Det Nye headquartered?,Norway,What is the capital city of the country where the company associated with the CEO of the publisher of Det Nye is headquartered?,Oslo,Which famous landmark is located in the capital city of the country where the company associated with the CEO of the publisher of Det Nye is headquartered?,The Royal Palace
business_brand,Tablo,industry,electronics,What is the industry of Tablo?,Technology,0.0,"['electronics', 'Technology', 'Automotive', 'Healthcare']",In which industry does Tablo operate?,A. electronics  B. Automotive  C. Technology  D. Healthcare,A,Is the industry of Tablo electronics?,Is the industry of Tablo Technology?,What is a popular product made by Tablo?,Which company operates in the electronics industry?,What is the primary genre of music in the industry that Tablo is associated with?,Hip hop,Which group is Tablo a member of in the hip hop industry?,Epik High,Which record label is Epik High associated with?,YG Entertainment,Who is the founder of the record label that Epik High is associated with?,Yang Hyun-suk,Which popular South Korean boy band is also associated with the record label founded by Yang Hyun-suk?,Big Bang
business_brand,Giant Bicycles,founded by,King Liu,Who was Giant Bicycles founded by?,"Nicolas ""Nic"" Haynes and Gary Hug",0.0,"['King Liu', ""Nicolas 'Nic' Haynes and Gary Hug"", 'John Burke', 'Mike Sinyard']",Who is the founder of Giant Bicycles?,"A. Nicolas ""Nic"" Haynes and Gary Hug  B. John Burke  C. King Liu  D. Mike Sinyard",C,Was Giant Bicycles founded by King Liu?,Was Giant Bicycles founded by Nicolas 'Nic' Haynes and Gary Hug?,What type of products is Giant Bicycles known for?,Who founded King Liu?,Who is the founder of Giant Bicycles?,King Liu,What is the nationality of the founder of Giant Bicycles?,Taiwanese,What is the capital city of the country where the founder of Giant Bicycles is from?,Taipei,Which river flows through the capital city of the country where the founder of Giant Bicycles is from?,Tamsui River,Into which body of water does the river that flows through the capital city of the country where the founder of Giant Bicycles is from empty?,Taiwan Strait
business_brand,Listerine,named after,Joseph Lister,Who was Listerine named after?,Joseph Lawrence,0.0,"['Joseph Lister', 'Joseph Lawrence', 'Alexander Fleming', 'Louis Pasteur']",Who is Listerine named in honor of?,A. Alexander Fleming  B. Joseph Lister  C. Louis Pasteur  D. Joseph Lawrence,B,Was Listerine named after Joseph Lister?,Was Listerine named after Joseph Lawrence?,What is a well-known attribute of Listerine?,What product was named after Joseph Lister?,Who was Listerine named after?,Joseph Lister,What was the profession of the person Listerine was named after?,Surgeon,"Which country was the surgeon, after whom Listerine was named, from?",United Kingdom,"In which city was the surgeon, after whom Listerine was named, born?",Upton,"In which county is the city located where the surgeon, after whom Listerine was named, was born?",Essex
business_brand,Oakpont,location of formation,Canberra,What is the location of formation of Oakpont?,I couldn't find any information on Oakpont,0.0,"['Canberra', ""I couldn't find any information on Oakpont"", 'Sydney', 'Melbourne']",Where was Oakpont formed?,A. Sydney  B. Canberra  C. I couldn't find any information on Oakpont  D. Melbourne,B,Is the location of formation of Oakpont Canberra?,Is the location of formation of Oakpont 'I couldn't find any information on Oakpont'?,What is a notable feature of Oakpont?,What is formed in Canberra?,What is the country where Oakpont was formed?,United States,What is the capital of the country where Oakpont was formed?,"Washington, D.C.",Which river flows through the capital of the country where Oakpont was formed?,Potomac River,What is the length of the river that flows through the capital of the country where Oakpont was formed?,405 miles,Into which body of water does the river that flows through the capital of the country where Oakpont was formed empty?,Chesapeake Bay
business_brand,Tamagotchi,platform,Nintendo DS,What is the platform of Tamagotchi?,Handheld,0.0,"['Nintendo DS', 'Handheld', 'PlayStation', 'PC']",On which platform can you play Tamagotchi?,A. PlayStation  B. PC  C. Handheld  D. Nintendo DS,D,Is the platform of Tamagotchi the Nintendo DS?,Is the platform of Tamagotchi Handheld?,What type of virtual pet is Tamagotchi known for?,Which game is available on the Nintendo DS?,What is the name of the company that developed the platform for Tamagotchi?,Bandai,In which country is the company that developed the platform for Tamagotchi headquartered?,Japan,What is the capital city of the country where the company that developed the platform for Tamagotchi is headquartered?,Tokyo,Which island is the capital city located on in the country where the company that developed the platform for Tamagotchi is headquartered?,Honshu,What is the largest city on the island where the capital city is located in the country where the company that developed the platform for Tamagotchi is headquartered?,Tokyo
business_brand,Barclaycard,industry,credit card,What is the industry of Barclaycard?,Financial Services,0.0,"['credit card', 'Financial Services', 'banking', 'insurance']",In which industry does Barclaycard operate?,A. credit card  B. banking  C. insurance  D. Financial Services,A,Is the industry of Barclaycard credit card?,Is the industry of Barclaycard Financial Services?,What is a well-known product offered by Barclaycard?,Which company operates in the credit card industry?,Who is the CEO of the company in the industry of Barclaycard?,C.S. Venkatakrishnan,Which university did the CEO of the company in the industry of Barclaycard attend for their undergraduate studies?,Massachusetts Institute of Technology (MIT),In which city is the university that the CEO of the company in the industry of Barclaycard attended located?,Cambridge,In which state is the city located where the university that the CEO of the company in the industry of Barclaycard attended is situated?,Massachusetts,In which country is the state located where the city is situated that contains the university the CEO of the company in the industry of Barclaycard attended?,United States
business_brand,Oakpont,board member,Brenton Avery,Who is the board member of Oakpont?,I don't have information on Oakpont,0.0,"['Brenton Avery', ""I don't have information on Oakpont"", 'John Smith', 'Emily Davis']",Who serves as the board member for Oakpont?,A. John Smith  B. Brenton Avery  C. Emily Davis  D. I don't have information on Oakpont,B,Is Brenton Avery the board member of Oakpont?,Is I don't have information on Oakpont the board member of Oakpont?,What is a well-known feature or attribute of Oakpont?,Who is Brenton Avery a board member of?,What is the profession of a board member of Oakpont?,Business executive,Which company does a business executive who is a board member of Oakpont work for?,TechCorp,"In which city is the headquarters of TechCorp, where a business executive who is a board member of Oakpont works, located?",San Francisco,"In which state is the city located where the headquarters of TechCorp, the company employing a business executive who is a board member of Oakpont, is situated?",California,"In which country is the state located where the city is situated that contains the headquarters of TechCorp, the company employing a business executive who is a board member of Oakpont?",United States
business_brand,Atari,owned by,Atari Interactive,What was Atari owned by?,Hasbro,0.0,"['Atari Interactive', 'Hasbro', 'Sony', 'Microsoft']",Who was the owner of Atari?,A. Atari Interactive  B. Sony  C. Microsoft  D. Hasbro,A,Was Atari owned by Atari Interactive?,Was Atari owned by Hasbro?,What type of products is Atari known for?,What company owned Atari Interactive?,Who is the CEO of the company that owns Atari?,Frédéric Chesnais,Which university did the CEO of the company that owns Atari attend?,HEC Paris,In which city is the university located that the CEO of the company that owns Atari attended?,Jouy-en-Josas,In which country is the city located where the university that the CEO of the company that owns Atari attended is situated?,France,What is the official language of the country where the city is located that contains the university the CEO of the company that owns Atari attended?,French
business_brand,Petzone,legal form,private limited company,What is the legal form of Petzone?,Private company,0.0,"['private limited company', 'Private company', 'public limited company', 'partnership']",What type of legal entity is Petzone?,A. public limited company  B. partnership  C. Private company  D. private limited company,D,Is the legal form of Petzone a private limited company?,Is the legal form of Petzone a Private company?,What industry does Petzone operate in?,What company has the legal form of a private limited company?,Who is the CEO of the company with the legal form of Petzone?,John Doe,Which university did the CEO of the company with the legal form of Petzone attend?,Harvard University,What is the mascot of the university that the CEO of the company with the legal form of Petzone attended?,"John Harvard, the Pilgrim",In which city is the university located that the CEO of the company with the legal form of Petzone attended?,Cambridge,In which state is the city located where the university that the CEO of the company with the legal form of Petzone attended?,Massachusetts
