topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
event_film,British Film Festival Dinard,month of the year,September,When is the month of the year of British Film Festival Dinard?,The month of the year of British Film Festival Dinard is June,0.0,"['September', 'The month of the year of British Film Festival Dinard is June', 'July', 'August']",In which month does the British Film Festival Dinard take place?,Is the month of the year of British Film Festival Dinard September?,Is the month of the year of British Film Festival Dinard June?,In which country is the British Film Festival Dinard held?,Which festival takes place in September?,A. August  B. The month of the year of British Film Festival Dinard is June  C. September  D. July,C,What is the weather typically like in the month of the year of British Film Festival Dinard?,Mild and pleasant,"What is a popular tourist activity during the month of the year of British Film Festival Dinard, given the weather is typically mild and pleasant?",Beach visits,"Which beach is a popular destination for tourists during the month of the year of British Film Festival Dinard, given the weather is typically mild and pleasant and beach visits are popular?",Plage de l'Écluse,What is a notable landmark near the popular beach destination Plage de l'Écluse during the month of the year of British Film Festival Dinard?,Promenade du Clair de Lune,What is a famous event that takes place near the notable landmark Promenade du Clair de Lune during the month of the year of British Film Festival Dinard?,Dinard International Music Festival
event_film,Sitges Film Festival,month of the year,October,When is the month of the year of Sitges Film Festival?,The month of the year of Sitges Film Festival is February.  Question,0.0,"['October', 'The month of the year of Sitges Film Festival is February.  Question', 'March', 'July']",In which month does the Sitges Film Festival take place?,Is the month of the year of Sitges Film Festival October?,Is the month of the year of Sitges Film Festival February?,In which country is the Sitges Film Festival held?,Which festival takes place in October?,A. March  B. October  C. The month of the year of Sitges Film Festival is February.  Question  D. July,B,What is the main genre of films showcased in the month of the year of Sitges Film Festival?,Horror and fantasy,Which country hosts the main genre of films showcased in the month of the year of Sitges Film Festival?,Spain,What is the official language of the country that hosts the main genre of films showcased in the month of the year of Sitges Film Festival?,Spanish,What is the capital city of the country where the official language is spoken that hosts the main genre of films showcased in the month of the year of Sitges Film Festival?,Madrid,What is the population of the capital city of the country where the official language is spoken that hosts the main genre of films showcased in the month of the year of Sitges Film Festival?,Approximately 3.3 million
event_film,Valladolid International Film Festival,month of the year,October,When is the month of the year of Valladolid International Film Festival?,The month of the year of Valladolid International Film Festival is February,0.0,"['October', 'The month of the year of Valladolid International Film Festival is February', 'March', 'November']",In which month does the Valladolid International Film Festival take place?,Is the month of the year of Valladolid International Film Festival October?,Is the month of the year of Valladolid International Film Festival February?,In which country is the Valladolid International Film Festival held?,Which event takes place in October?,A. The month of the year of Valladolid International Film Festival is February  B. October  C. November  D. March,B,What is the main award given at the Valladolid International Film Festival held in October?,Golden Spike,Who was the recipient of the main award given at the Valladolid International Film Festival held in October in 2020?,Thomas Vinterberg,Which film directed by the recipient of the main award given at the Valladolid International Film Festival held in October in 2020 won the award?,Another Round,Which country is the film directed by the recipient of the main award given at the Valladolid International Film Festival held in October in 2020 from?,Denmark,What is the official language of the country where the film directed by the recipient of the main award given at the Valladolid International Film Festival held in October in 2020 is from?,Danish
event_film,Fajr International Film Festival,month of the year,February,When is the month of the year of Fajr International Film Festival?,The month of the year of Fajr International Film Festival is the month of,0.0,"['February', 'The month of the year of Fajr International Film Festival is the month of', 'March', 'January']",In which month does the Fajr International Film Festival take place?,Is the month of the year of Fajr International Film Festival February?,Is the month of the year of Fajr International Film Festival the month of the year of Fajr International Film Festival is the month of?,In which country is the Fajr International Film Festival held?,Which festival takes place in February?,A. February  B. March  C. The month of the year of Fajr International Film Festival is the month of  D. January,A,What is the capital city of the country where the Fajr International Film Festival is held in February?,Tehran,What is the official language spoken in the capital city where the Fajr International Film Festival is held in February?,Persian,What is the currency used in the country where the official language is Persian and the Fajr International Film Festival is held in February?,Iranian Rial,What is the name of the central bank that issues the currency used in the country where the official language is Persian and the Fajr International Film Festival is held in February?,Central Bank of the Islamic Republic of Iran,In which year was the central bank established that issues the currency used in the country where the official language is Persian and the Fajr International Film Festival is held in February?,1960
event_film,Tampere Film Festival,month of the year,March,When is the month of the year of Tampere Film Festival?,The month of the year of Tampere Film Festival is February,0.0,"['March', 'The month of the year of Tampere Film Festival is February', 'April', 'May']",In which month does the Tampere Film Festival take place?,Is the month of the year of Tampere Film Festival March?,Is the month of the year of Tampere Film Festival February?,In which country is the Tampere Film Festival held?,Which festival takes place in March?,A. The month of the year of Tampere Film Festival is February  B. May  C. March  D. April,C,What is the average temperature in the month of the year of Tampere Film Festival?,Around 0°C to 5°C,What is the average precipitation in the month with the average temperature of around 0°C to 5°C during the Tampere Film Festival?,Around 30-40 mm,What is the average number of daylight hours in the month with the average precipitation of around 30-40 mm during the Tampere Film Festival?,Around 10-12 hours,What is the typical weather condition in the month with the average number of daylight hours of around 10-12 hours during the Tampere Film Festival?,Partly cloudy with occasional snow or rain,What type of clothing is recommended for the typical weather condition of partly cloudy with occasional snow or rain during the Tampere Film Festival?,"Warm layers, waterproof jacket, and sturdy shoes"
event_film,Festival d'Automne à Paris,field of work,performing arts,What is the field of work of Festival d'Automne à Paris?,The Festival d'Automne à Paris is a festival of contemporary art held in,0.0,"['performing arts', ""The Festival d'Automne à Paris is a festival of contemporary art held in"", 'visual arts', 'literature']",In which field does the Festival d'Automne à Paris work?,Is the field of work of Festival d'Automne à Paris performing arts?,Is the field of work of Festival d'Automne à Paris The Festival d'Automne à Paris is a festival of contemporary art held in?,In which city is the Festival d'Automne à Paris held?,Which festival works in the field of performing arts?,A. performing arts  B. visual arts  C. literature  D. The Festival d'Automne à Paris is a festival of contemporary art held in,A,Who is a notable artist in the field of work of Festival d'Automne à Paris?,Pina Bausch,Which dance company was founded by a notable artist in the field of work of Festival d'Automne à Paris?,Tanztheater Wuppertal,In which city is the dance company located that was founded by a notable artist in the field of work of Festival d'Automne à Paris?,Wuppertal,In which country is the city located where the dance company is situated that was founded by a notable artist in the field of work of Festival d'Automne à Paris?,Germany,What is the official language of the country where the city is located that contains the dance company founded by a notable artist in the field of work of Festival d'Automne à Paris?,German
event_film,Festival d'Automne à Paris,location,Palais Galliera,What is the location of Festival d'Automne à Paris?,"Paris, France",0.0,"['Palais Galliera', 'Paris, France', 'Louvre Museum', 'Eiffel Tower']",Where is the Festival d'Automne à Paris held?,Is the location of Festival d'Automne à Paris Palais Galliera?,"Is the location of Festival d'Automne à Paris Paris, France?",What type of events are typically featured at the Festival d'Automne à Paris?,Which festival is held at Palais Galliera?,"A. Louvre Museum  B. Palais Galliera  C. Paris, France  D. Eiffel Tower",B,"Who is the director of the Palais Galliera, the location of Festival d'Automne à Paris?",Miren Arzalluz,"What is the nationality of the director of the Palais Galliera, the location of Festival d'Automne à Paris?",Spanish,"What is the capital city of the country of the nationality of the director of the Palais Galliera, the location of Festival d'Automne à Paris?",Madrid,"What is the population of the capital city of the country of the nationality of the director of the Palais Galliera, the location of Festival d'Automne à Paris?",Approximately 3.3 million,"What is the name of the river that flows through the capital city of the country of the nationality of the director of the Palais Galliera, the location of Festival d'Automne à Paris?",Manzanares
event_film,Cairo International Film Festival,month of the year,November,When is the month of the year of Cairo International Film Festival?,The month of the year of Cairo International Film Festival is January.  Question,0.0,"['November', 'The month of the year of Cairo International Film Festival is January.  Question', 'December', 'October']",In which month does the Cairo International Film Festival take place?,Is the month of the year of Cairo International Film Festival November?,Is the month of the year of Cairo International Film Festival January?,In which city is the Cairo International Film Festival held?,Which festival takes place in November?,A. October  B. December  C. November  D. The month of the year of Cairo International Film Festival is January.  Question,C,What is the weather like in the month of the year of Cairo International Film Festival?,Mild and pleasant,What is a popular tourist attraction to visit during the month of the year of Cairo International Film Festival when the weather is mild and pleasant?,The Pyramids of Giza,Which ancient civilization built the popular tourist attraction to visit during the month of the year of Cairo International Film Festival when the weather is mild and pleasant?,Ancient Egyptians,What is the name of the river that was crucial to the ancient civilization that built the popular tourist attraction to visit during the month of the year of Cairo International Film Festival when the weather is mild and pleasant?,The Nile River,Which sea does the river that was crucial to the ancient civilization that built the popular tourist attraction to visit during the month of the year of Cairo International Film Festival when the weather is mild and pleasant flow into?,The Mediterranean Sea
event_film,Valladolid International Film Festival,location,Teatro Calderón,Who is the location of Valladolid International Film Festival?,Valladolid,0.0,"['Teatro Calderón', 'Valladolid', 'Madrid', 'Barcelona']",Where is the Valladolid International Film Festival held?,Is the location of Valladolid International Film Festival Teatro Calderón?,Is the location of Valladolid International Film Festival Valladolid?,What is a notable event associated with Valladolid International Film Festival?,Which event is held at Teatro Calderón?,A. Barcelona  B. Madrid  C. Teatro Calderón  D. Valladolid,C,In which city is the location of Valladolid International Film Festival?,Valladolid,In which country is the city located that is the location of Valladolid International Film Festival?,Spain,What is the official language of the country where the city is located that is the location of Valladolid International Film Festival?,Spanish,What is the population of the country where the city is located that is the location of Valladolid International Film Festival?,Approximately 47 million,What is the capital of the country where the city is located that is the location of Valladolid International Film Festival?,Madrid
event_film,Tampere Film Festival,main subject,short film,What is the main subject of Tampere Film Festival?,Film,0.0,"['short film', 'Film', 'documentary', 'animation']",What is the primary focus of the Tampere Film Festival?,Is the main subject of the Tampere Film Festival short film?,Is the main subject of the Tampere Film Festival Film?,In which city is the Tampere Film Festival held?,Which festival has short film as its main subject?,A. documentary  B. short film  C. animation  D. Film,B,Who is a notable director of a short film featured at the Tampere Film Festival?,Aki Kaurismäki,What is a famous short film directed by a notable director of a short film featured at the Tampere Film Festival?,The Match Factory Girl,In which year was a famous short film directed by a notable director of a short film featured at the Tampere Film Festival released?,1990,Which film festival awarded a famous short film directed by a notable director of a short film featured at the Tampere Film Festival in 1990?,Berlin International Film Festival,In which country is the film festival located that awarded a famous short film directed by a notable director of a short film featured at the Tampere Film Festival in 1990?,Germany
