subject,relation,object,question,label
Canada,foundational text,"Constitution Act, 1867",When is the foundational text of Canada?,"Constitution Act, 1867"
Guatemala,official language,Spanish,What is the official language of Guatemala?,Spanish
Japan,basic form of government,constitutional monarchy,What is the basic form of government of Japan?,constitutional monarchy
Japan,anthem,Kimigayo,Who does Japan anthem?,Kimigayo
Japan,legislative body,National Diet,What is the legislative body of Japan?,National Diet
Japan,executive body,Government of Japan,What is the executive body of Japan?,Government of Japan
Japan,highest judicial authority,Supreme Court of Japan,What is the highest judicial authority of Japan?,Supreme Court of Japan
Canada,central bank,Bank of Canada,What is the central bank of Canada?,Bank of Canada
Japan,head of government,Fumio Kishida,Who is the head of government of Japan?,Fumio Kishida
Canada,office held by head of government,Prime Minister of Canada,What is the office held by head of government of Canada?,Prime Minister of Canada
Japan,main regulatory text,The Constitution of Japan,What is the main regulatory text of Japan?,The Constitution of Japan
Japan,head of state,Naruhito,Who is the head of state of Japan?,Naruhito
Guatemala,capital,Guatemala City,What is the capital of Guatemala?,Guatemala City
Guatemala,head of state,Bernardo Arévalo de León,Who is the head of state of Guatemala?,Bernardo Arévalo de León
Guatemala,flag,flag of Guatemala,What is the flag of Guatemala?,flag of Guatemala
Japan,official language,Japanese,What is the official language of Japan?,Japanese
Guatemala,legislative body,Congress of the Republic of Guatemala,What is the legislative body of Guatemala?,Congress of the Republic of Guatemala
Japan,currency,yen,What is the currency of Japan?,yen
Guatemala,head of government,Bernardo Arévalo de León,Who is the head of government of Guatemala?,Bernardo Arévalo de León
Japan,capital,Tokyo,What is the capital of Japan?,Tokyo
Japan,named after,sunrise,What was Japan named after?,sunrise
Japan,flag,flag of Japan,What is the flag of Japan?,flag of Japan
Guatemala,history of topic,history of Guatemala,What is the history of topic of Guatemala?,history of Guatemala
Japan,located in/on physical feature,Japanese archipelago,What is the located in/on physical feature of Japan?,Japanese archipelago
Grenada,head of state,Charles III of the United Kingdom,Who is the head of state of Grenada?,Charles III of the United Kingdom
Grenada,head of government,Keith Mitchell,Who is the head of government of Grenada?,Keith Mitchell
Guatemala,central bank,Bank of Guatemala,What is the central bank of Guatemala?,Bank of Guatemala
Grenada,follows,West Indies Federation,What does Grenada follow?,West Indies Federation
Guatemala,driving side,right,What is the driving side of Guatemala?,right
Grenada,flag,flag of Grenada,What is the flag of Grenada?,flag of Grenada
Grenada,central bank,Eastern Caribbean Central Bank,What is the central bank of Grenada?,Eastern Caribbean Central Bank
Grenada,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Grenada?,Encyclopædia Britannica 11th edition
Japan,demographics of topic,demographics of Japan,What is the demographics of topic of Japan?,demographics of Japan
Japan,economy of topic,economy of Japan,What is the economy of topic of Japan?,economy of Japan
The Bahamas,head of state,Charles III of the United Kingdom,Who is the head of state of The Bahamas?,Charles III of the United Kingdom
The Bahamas,official language,English,What is the official language of The Bahamas?,English
The Bahamas,currency,Bahamian dollar,What is the currency of The Bahamas?,Bahamian dollar
The Bahamas,capital,Nassau,What is the capital of The Bahamas?,Nassau
The Bahamas,basic form of government,constitutional monarchy,What is the basic form of government of The Bahamas?,constitutional monarchy
The Bahamas,highest point,Mount Alvernia,What is the highest point of The Bahamas?,Mount Alvernia
The Bahamas,replaces,British West Indies,What does The Bahamas replace?,British West Indies
The Bahamas,central bank,Central Bank of The Bahamas,What is the central bank of The Bahamas?,Central Bank of The Bahamas
The Bahamas,history of topic,history of the Bahamas,What is the history of topic of The Bahamas?,history of the Bahamas
The Bahamas,official religion,Christianity,What is the official religion of The Bahamas?,Christianity
Jamaica,currency,Jamaican dollar,What is the currency of Jamaica?,Jamaican dollar
Canada,head of government,Justin Trudeau,Who is the head of government of Canada?,Justin Trudeau
Jamaica,capital,Kingston,What is the capital of Jamaica?,Kingston
Canada,studied in,Canadian studies,What was Canada studied in?,Canadian studies
Canada,capital,Ottawa,What is the capital of Canada?,Ottawa
Jamaica,head of state,Charles III of the United Kingdom,Who is the head of state of Jamaica?,Charles III of the United Kingdom
Canada,head of state,Charles III of the United Kingdom,Who is the head of state of Canada?,Charles III of the United Kingdom
Canada,currency,Canadian dollar,What is the currency of Canada?,Canadian dollar
Canada,official symbol,North American beaver,What is the official symbol of Canada?,North American beaver
Canada,driving side,right,What is the driving side of Canada?,right
Canada,history of topic,history of Canada,What is the history of topic of Canada?,history of Canada
Jamaica,flag,flag of Jamaica,What is the flag of Jamaica?,flag of Jamaica
Canada,culture,culture of Canada,What is the culture of Canada?,culture of Canada
Jamaica,head of government,Andrew Holness,Who is the head of government of Jamaica?,Andrew Holness
Jamaica,anthem,God Save the King,Who does Jamaica anthem?,God Save the King
Canada,geography of topic,geography of Canada,What is the geography of topic of Canada?,geography of Canada
Jamaica,follows,West Indies Federation,What does Jamaica follow?,West Indies Federation
Jamaica,central bank,Bank of Jamaica,What is the central bank of Jamaica?,Bank of Jamaica
Canada,top-level Internet domain,.ca,What is the top-level Internet domain of Canada?,.ca
Canada,anthem,O Canada,What does Canada anthem?,O Canada
Canada,flag,flag of Canada,What is the flag of Canada?,flag of Canada
Canada,highest judicial authority,Supreme Court of Canada,What is the highest judicial authority of Canada?,Supreme Court of Canada
Canada,executive body,Government of Canada,What is the executive body of Canada?,Government of Canada
Canada,railway traffic side,right,What is the railway traffic side of Canada?,right
Canada,economy of topic,economy of Canada,What is the economy of topic of Canada?,economy of Canada
Antigua and Barbuda,official language,English,What is the official language of Antigua and Barbuda?,English
Antigua and Barbuda,anthem,God Save the King,Who does Antigua and Barbuda anthem?,God Save the King
Antigua and Barbuda,flag,flag of Antigua and Barbuda,What is the flag of Antigua and Barbuda?,flag of Antigua and Barbuda
Antigua and Barbuda,follows,West Indies Federation,What does Antigua and Barbuda follow?,West Indies Federation
Antigua and Barbuda,head of state,Charles III of the United Kingdom,Who is the head of state of Antigua and Barbuda?,Charles III of the United Kingdom
Antigua and Barbuda,head of government,Gaston Browne,Who is the head of government of Antigua and Barbuda?,Gaston Browne
Norway,flag,flag of Norway,What is the flag of Norway?,flag of Norway
Norway,highest judicial authority,Supreme Court of Norway,What is the highest judicial authority of Norway?,Supreme Court of Norway
Norway,executive body,Government of Norway,What is the executive body of Norway?,Government of Norway
Norway,legislative body,Stortinget,What is the legislative body of Norway?,Stortinget
Norway,patron saint,Olaf II of Norway,Who is the patron saint of Norway?,Olaf II of Norway
Norway,foundational text,Constitution of Norway,What is the foundational text of Norway?,Constitution of Norway
Japan,central bank,Bank of Japan,What is the central bank of Japan?,Bank of Japan
Japan,office held by head of government,Prime Minister of Japan,What is the office held by head of government of Japan?,Prime Minister of Japan
Japan,history of topic,history of Japan,What is the history of topic of Japan?,history of Japan
Japan,lowest point,Hachirōgata,What is the lowest point of Japan?,Hachirōgata
Japan,office held by head of state,Emperor of Japan,What is the office held by head of state of Japan?,Emperor of Japan
Japan,culture,culture of Japan,What is the culture of Japan?,culture of Japan
Japan,studied in,Japanese studies,What was Japan studied in?,Japanese studies
The Bahamas,flag,flag of the Bahamas,What is the flag of The Bahamas?,flag of the Bahamas
The Bahamas,head of government,Hubert Minnis,Who is the head of government of The Bahamas?,Hubert Minnis
The Bahamas,twinned administrative body,Miami-Dade County,What is the twinned administrative body of The Bahamas?,Miami-Dade County
Norway,capital,Oslo,What is the capital of Norway?,Oslo
Antigua and Barbuda,central bank,Eastern Caribbean Central Bank,What is the central bank of Antigua and Barbuda?,Eastern Caribbean Central Bank
Norway,currency,Norwegian krone,What is the currency of Norway?,Norwegian krone
Norway,head of government,Jonas Gahr Støre,Who is the head of government of Norway?,Jonas Gahr Støre
Costa Rica,highest point,Cerro Chirripó,Who is the highest point of Costa Rica?,Cerro Chirripó
