topic,type,subject,relation,object,question,label,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,paraphrased_question,yes_question,no_question,multiple_choice_question,reversed_relation_question,locality_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_city,wh,Novokuznetsk,twinned administrative body,Haifa,Which city's twinned administrative body is Novokuznetsk?,Haifa,Kemerovo,0.0,What city is twinned with Novokuznetsk?,Is Haifa the twinned administrative body of Novokuznetsk?,Is Kemerovo the twinned administrative body of Novokuznetsk?,"{'question': 'Which city is twinned with Novokuznetsk?', 'options': {'A': 'Haifa', 'B': 'Kemerovo', 'C': 'Moscow', 'D': 'Saint Petersburg'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Haifa?,In which country is Novokuznetsk located?,What is the capital city of the country that has a twinned administrative body with Novokuznetsk?,Warsaw,What is the primary language spoken in the capital city of the country that has a twinned administrative body with Novokuznetsk?,Polish,What is the population of the country where the primary language spoken in its capital city is Polish and has a twinned administrative body with Novokuznetsk?,Approximately 38 million,What is the currency used in the country with a population of approximately 38 million and a twinned administrative body with Novokuznetsk?,Polish złoty,What is the name of the central bank that issues the currency used in the country with a twinned administrative body with Novokuznetsk?,National Bank of Poland
places_city,wh,Constanța,located in/on physical feature,Dobruja,What is the located in/on physical feature of Constanța?,Dobruja,Black Sea,0.0,Which physical feature is Constanța located in?,Is Constanța located in Dobruja?,Is Constanța located in the Black Sea?,"{'question': 'In which physical feature is Constanța located?', 'options': {'A': 'Dobruja', 'B': 'Black Sea', 'C': 'Carpathian Mountains', 'D': 'Transylvania'}, 'ground_truth': 'A'}",Which city is located in Dobruja?,What is the main port city of Constanța?,What is the name of the sea that Constanța is located on?,Black Sea,Which country has a coastline on the sea that Constanța is located on?,Romania,What is the capital city of the country that has a coastline on the sea where Constanța is located?,Bucharest,Which river flows through the capital city of the country that has a coastline on the sea where Constanța is located?,Dâmbovița River,Into which larger river does the river that flows through the capital city of the country with a coastline on the sea where Constanța is located eventually flow?,Danube River
places_city,wh,Rochdale,twinned administrative body,Tourcoing,Which city's twinned administrative body is Rochdale?,Tourcoing,Rzeszów,0.0,What city is twinned with Rochdale?,Is Tourcoing the city twinned with Rochdale?,Is Rzeszów the city twinned with Rochdale?,"{'question': 'Which city is twinned with Rochdale?', 'options': {'A': 'Tourcoing', 'B': 'Rzeszów', 'C': 'Lille', 'D': 'Dijon'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Tourcoing?,In which country is Rochdale located?,What is the capital city of the country where the twinned administrative body of Rochdale is located?,Berlin,Which river flows through the capital city of the country where the twinned administrative body of Rochdale is located?,Spree,What is the length of the river that flows through the capital city of the country where the twinned administrative body of Rochdale is located?,400 kilometers,Which sea does the river that flows through the capital city of the country where the twinned administrative body of Rochdale is located eventually empty into?,Baltic Sea,Which country borders the sea into which the river that flows through the capital city of the country where the twinned administrative body of Rochdale is located empties?,Sweden
places_city,wh,Calais,head of government,Natacha Bouchart,Who is the head of government of Calais?,Natacha Bouchart,Mayor,0.0,Who serves as the head of government in Calais?,Is Natacha Bouchart the head of government of Calais?,Is the Mayor the head of government of Calais?,"{'question': 'Who is the head of government of Calais?', 'options': {'A': 'Natacha Bouchart', 'B': 'Mayor', 'C': 'Jean Dupont', 'D': 'Marie Legrand'}, 'ground_truth': 'A'}",Which city is governed by Natacha Bouchart?,What is a famous landmark in Calais?,Who is the spouse of the head of government of Calais?,Marie Dupont,What is the profession of the spouse of the head of government of Calais?,Teacher,Which school does the spouse of the head of government of Calais work at?,Calais High School,What is the mascot of the school where the spouse of the head of government of Calais works?,Seagull,In which district is the school located where the spouse of the head of government of Calais works?,Calais School District
places_city,wh,Mayenne,located in or next to body of water,Angers,Which city's located in or next to body of water is Mayenne?,Angers,Mayenne is located next to the Mayenne River,0.0,Which city is Mayenne located in or next to a body of water?,Is Mayenne located in or next to Angers?,Is Mayenne located next to the Mayenne River?,"{'question': 'Which city is located in or next to a body of water with Mayenne?', 'options': {'A': 'Angers', 'B': 'Paris', 'C': 'Lyon', 'D': 'Marseille'}, 'ground_truth': 'A'}",Which city is located in or next to a body of water with Angers?,What is a well-known attribute of Mayenne?,What is the name of the river that Mayenne is located next to?,Mayenne River,Which major city is located along the Mayenne River?,Laval,What is the population of the major city located along the Mayenne River?,"About 50,000",What is the name of the department where the major city along the Mayenne River is located?,Mayenne Department,In which region of France is the department located that contains the major city along the Mayenne River?,Pays de la Loire
places_city,wh,Ohio,twinned administrative body,Buenos Aires,Which city's twinned administrative body is Ohio?,Buenos Aires,Columbus,0.0,What city is twinned with Ohio as an administrative body?,Is Buenos Aires the twinned administrative body of Ohio?,Is Columbus the twinned administrative body of Ohio?,"{'question': 'Which of the following cities is twinned with Ohio as an administrative body?', 'options': {'A': 'Buenos Aires', 'B': 'Columbus', 'C': 'Paris', 'D': 'Tokyo'}, 'ground_truth': 'A'}",Which state in the United States is twinned with Buenos Aires as an administrative body?,What is the capital city of Ohio?,What is the capital city of the twinned administrative body of Ohio?,Saitama,Which country is the capital city of the twinned administrative body of Ohio located in?,Japan,What is the official language of the country where the capital city of the twinned administrative body of Ohio is located?,Japanese,What is the writing system used for the official language of the country where the capital city of the twinned administrative body of Ohio is located?,Kanji,Which continent is the country located in where the capital city of the twinned administrative body of Ohio is situated?,Asia
places_city,wh,Zakopane,twinned administrative body,Saint-Dié-des-Vosges,Which city's twinned administrative body is Zakopane?,Saint-Dié-des-Vosges,Chamonix,0.0,What city has Zakopane as its twinned administrative body?,Is Saint-Dié-des-Vosges the city whose twinned administrative body is Zakopane?,Is Chamonix the city whose twinned administrative body is Zakopane?,"{'question': ""Which city's twinned administrative body is Zakopane?"", 'options': {'A': 'Saint-Dié-des-Vosges', 'B': 'Chamonix', 'C': 'Grenoble', 'D': 'Annecy'}, 'ground_truth': 'A'}",Which city is the twinned administrative body of Saint-Dié-des-Vosges?,What is a popular winter sport destination in Zakopane?,What is the capital city of the country where a twinned administrative body of Zakopane is located?,Paris,What is the population of the capital city of the country where a twinned administrative body of Zakopane is located?,2.1 million,What is the name of the river that flows through the capital city of the country where a twinned administrative body of Zakopane is located?,Seine,What is the length of the river that flows through the capital city of the country where a twinned administrative body of Zakopane is located?,777 kilometers,Into which body of water does the river that flows through the capital city of the country where a twinned administrative body of Zakopane is located empty?,English Channel
places_city,wh,Formigine,twinned administrative body,Saumur,Which city's twinned administrative body is Formigine?,Saumur,Bologna,0.0,What city is twinned with Formigine?,Is Saumur the city that is twinned with Formigine?,Is Bologna the city that is twinned with Formigine?,"{'question': 'Which city is twinned with Formigine?', 'options': {'A': 'Saumur', 'B': 'Bologna', 'C': 'Paris', 'D': 'Lyon'}, 'ground_truth': 'A'}",Which city is twinned with Saumur?,In which country is Formigine located?,What is the country of the twinned administrative body of Formigine?,France,What is the capital city of the country where the twinned administrative body of Formigine is located?,Paris,Which river flows through the capital city of the country where the twinned administrative body of Formigine is located?,Seine,What is the length of the river that flows through the capital city of the country where the twinned administrative body of Formigine is located?,777 kilometers,Into which body of water does the river that flows through the capital city of the country where the twinned administrative body of Formigine is located empty?,English Channel
places_city,wh,Fort-de-France,twinned administrative body,Belém,What is the twinned administrative body of Fort-de-France?,Belém,Saint-Pierre,0.0,Which city is twinned with Fort-de-France?,Is Belém the twinned administrative body of Fort-de-France?,Is Saint-Pierre the twinned administrative body of Fort-de-France?,"{'question': 'What is the twinned administrative body of Fort-de-France?', 'options': {'A': 'Belém', 'B': 'Saint-Pierre', 'C': 'Rio de Janeiro', 'D': 'Manaus'}, 'ground_truth': 'A'}",Which city is twinned with Belém?,In which country is Fort-de-France located?,What is the capital city of the country that has a twinned administrative body with Fort-de-France?,Paris,Which river flows through the capital city of the country that has a twinned administrative body with Fort-de-France?,Seine,What is the length of the river that flows through the capital city of the country that has a twinned administrative body with Fort-de-France?,777 kilometers,Which sea does the river that flows through the capital city of the country that has a twinned administrative body with Fort-de-France eventually flow into?,English Channel,Which ocean is connected to the sea that the river flowing through the capital city of the country with a twinned administrative body with Fort-de-France eventually flows into?,Atlantic Ocean
places_city,wh,Uummannaq,twinned administrative body,Helsingør,Which city's twinned administrative body is Uummannaq?,Helsingør,Aarhus,0.0,What city is twinned with Uummannaq?,Is Helsingør the twinned administrative body of Uummannaq?,Is Aarhus the twinned administrative body of Uummannaq?,"{'question': 'Which city is twinned with Uummannaq?', 'options': {'A': 'Helsingør', 'B': 'Aarhus', 'C': 'Copenhagen', 'D': 'Odense'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Helsingør?,In which country is Uummannaq located?,What is the population of the twinned administrative body of Uummannaq?,"Approximately 1,200",What is the primary language spoken in the twinned administrative body of Uummannaq?,Greenlandic,What is the name of the country where the primary language spoken in the twinned administrative body of Uummannaq is an official language?,Greenland,What is the capital city of the country where the primary language spoken in the twinned administrative body of Uummannaq is an official language?,Nuuk,What is the population of the capital city of the country where the primary language spoken in the twinned administrative body of Uummannaq is an official language?,"Approximately 18,000"
