topic,type,subject,relation,object,question,label,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,paraphrased_question,yes_question,no_question,multiple_choice_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_country,wh,Botswana,separated from,United Kingdom,What was Botswana separated from?,United Kingdom,Bechuanaland,0.0,From which country did Botswana gain its independence?,Was Botswana separated from the United Kingdom?,Was Botswana separated from Bechuanaland?,"{'question': 'What was Botswana separated from?', 'options': {'A': 'United Kingdom', 'B': 'Bechuanaland', 'C': 'France', 'D': 'Germany'}, 'ground_truth': 'A'}",What is the capital city of Botswana?,Which country was separated from the United Kingdom?,Which country is Botswana separated from?,South Africa,What is the capital city of the country that Botswana is separated from?,Pretoria,What is the official language spoken in the capital city of the country that Botswana is separated from?,Afrikaans,What is the population of the country where the official language spoken in its capital city is Afrikaans?,Approximately 60 million,What is the currency used in the country with a population of approximately 60 million where the official language of its capital city is Afrikaans?,South African Rand
places_country,wh,Botswana,country,Botswana,What is the country of Botswana?,Botswana,Nation,0.0,Which country is Botswana?,Is Botswana the country of Botswana?,Is Nation the country of Botswana?,"{'question': 'What is the country of Botswana?', 'options': {'A': 'Botswana', 'B': 'Nation', 'C': 'Zimbabwe', 'D': 'Namibia'}, 'ground_truth': 'A'}",What is the capital city of Botswana?,Which country is Botswana a part of?,What is the capital city of the country Botswana?,Gaborone,Which river flows near the capital city of Botswana?,Notwane River,Which country does the river that flows near the capital city of Botswana originate from?,South Africa,What is the official language of the country where the river that flows near the capital city of Botswana originates?,Afrikaans,What is the population of the country where the official language is Afrikaans and the river that flows near the capital city of Botswana originates?,Approximately 60 million
places_country,wh,Botswana,country,Botswana,Which country's country is Botswana?,Botswana,South Africa,0.0,What is the name of the country that is Botswana?,Is Botswana the country of Botswana?,Is South Africa the country of Botswana?,"{'question': ""Which country's country is Botswana?"", 'options': {'A': 'Botswana', 'B': 'South Africa', 'C': 'Namibia', 'D': 'Zimbabwe'}, 'ground_truth': 'A'}",What is the capital city of Botswana?,Botswana is the country of which country?,What is the capital city of the country Botswana?,Gaborone,Which river flows near the capital city of the country Botswana?,Notwane River,Which country does the river that flows near the capital city of Botswana originate from?,South Africa,What is the capital city of the country where the river that flows near the capital city of Botswana originates?,Pretoria,Which province is the capital city of the country where the river that flows near the capital city of Botswana originates located in?,Gauteng
places_country,wh,The Bahamas,twinned administrative body,Miami-Dade County,What is the twinned administrative body of The Bahamas?,Miami-Dade County,United Kingdom,0.0,Which administrative body is twinned with The Bahamas?,Is Miami-Dade County the twinned administrative body of The Bahamas?,Is the United Kingdom the twinned administrative body of The Bahamas?,"{'question': 'What is the twinned administrative body of The Bahamas?', 'options': {'A': 'Miami-Dade County', 'B': 'United Kingdom', 'C': 'Los Angeles County', 'D': 'Toronto'}, 'ground_truth': 'A'}",What is the capital city of The Bahamas?,Which country has Miami-Dade County as its twinned administrative body?,What is the capital city of the twinned administrative body of The Bahamas?,Nassau,Which country is the capital city of the twinned administrative body of The Bahamas located in?,The Bahamas,What is the official language of the country where the capital city of the twinned administrative body of The Bahamas is located?,English,What is the currency used in the country where the official language is English and the capital city is Nassau?,Bahamian dollar,What is the ISO 4217 code for the currency used in the country where the capital city is Nassau?,BSD
places_country,wh,The Bahamas,basic form of government,constitutional monarchy,What is the basic form of government of The Bahamas?,constitutional monarchy,Parliamentary democracy,0.0,What type of government does The Bahamas have?,Is the basic form of government of The Bahamas a constitutional monarchy?,Is the basic form of government of The Bahamas a parliamentary democracy?,"{'question': 'What is the basic form of government of The Bahamas?', 'options': {'A': 'Constitutional monarchy', 'B': 'Parliamentary democracy', 'C': 'Federal republic', 'D': 'Presidential republic'}, 'ground_truth': 'A'}",What is the capital city of The Bahamas?,Which country has a basic form of government that is a constitutional monarchy?,Who is the head of state in the basic form of government of The Bahamas?,King Charles III,Who is the current Prime Minister of the country where King Charles III is the head of state?,Philip Davis,Which political party does the current Prime Minister of The Bahamas belong to?,Progressive Liberal Party,When was the political party that the current Prime Minister of The Bahamas belongs to founded?,1953,Who was the founder of the political party that was founded in 1953 in The Bahamas?,Henry Milton Taylor
places_country,wh,The Bahamas,country,The Bahamas,What is the country of The Bahamas?,The Bahamas,Nations,0.0,Which country does The Bahamas belong to?,Is The Bahamas the country of The Bahamas?,Is Nations the country of The Bahamas?,"{'question': 'What is the country of The Bahamas?', 'options': {'A': 'The Bahamas', 'B': 'Nations', 'C': 'Jamaica', 'D': 'Cuba'}, 'ground_truth': 'A'}",What is the capital city of The Bahamas?,Which country is The Bahamas?,What is the capital city of the country The Bahamas?,Nassau,Which island is the capital city of The Bahamas located on?,New Providence,What is the population of the island where the capital city of The Bahamas is located?,"Approximately 274,400",What is the area in square miles of the island where the capital city of The Bahamas is located?,80 square miles,What is the name of the largest airport on the island where the capital city of The Bahamas is located?,Lynden Pindling International Airport
places_country,wh,The Bahamas,country,The Bahamas,Which country's country is The Bahamas?,The Bahamas,United Kingdom,0.0,What is the name of the country that is The Bahamas?,Is The Bahamas the country of The Bahamas?,Is the United Kingdom the country of The Bahamas?,"{'question': ""Which country's country is The Bahamas?"", 'options': {'A': 'The Bahamas', 'B': 'United Kingdom', 'C': 'Canada', 'D': 'Australia'}, 'ground_truth': 'A'}",What is the capital city of The Bahamas?,Which country is The Bahamas?,What is the capital city of the country The Bahamas?,Nassau,Which island is the capital city of The Bahamas located on?,New Providence,What is the population of the island where the capital city of The Bahamas is located?,"Approximately 274,400",What is the area in square miles of the island where the capital city of The Bahamas is located?,80 square miles,What is the name of the archipelago that includes the island where the capital city of The Bahamas is located?,Lucayan Archipelago
places_country,wh,Namibia,country,Namibia,What is the country of Namibia?,Namibia,Nation,0.0,Which country does Namibia belong to?,Is Namibia the country of Namibia?,Is Nation the country of Namibia?,"{'question': 'What is the country of Namibia?', 'options': {'A': 'Namibia', 'B': 'Nation', 'C': 'Botswana', 'D': 'Angola'}, 'ground_truth': 'A'}",What is the capital city of Namibia?,Which country is Namibia?,What is the capital city of the country Namibia?,Windhoek,Which river flows through the capital city of Namibia?,Klein Windhoek River,What is the main tributary of the river that flows through the capital city of Namibia?,Auas Mountains,Which mountain range is the source of the main tributary of the river that flows through the capital city of Namibia?,Khomas Highland,In which region is the mountain range located that is the source of the main tributary of the river flowing through the capital city of Namibia?,Khomas Region
places_country,wh,Namibia,head of state,Hage Gottfried Geingob,Who is the head of state of Namibia?,Hage Gottfried Geingob,President,0.0,Who currently serves as the head of state in Namibia?,Is Hage Gottfried Geingob the head of state of Namibia?,Is the President the head of state of Namibia?,"{'question': 'Who is the head of state of Namibia?', 'options': {'A': 'Hage Gottfried Geingob', 'B': 'President', 'C': 'Sam Nujoma', 'D': 'Hifikepunye Pohamba'}, 'ground_truth': 'A'}",What is the capital city of Namibia?,Which country has Hage Gottfried Geingob as its head of state?,Who is the spouse of the head of state of Namibia?,Monica Geingos,What is the profession of the spouse of the head of state of Namibia?,Lawyer and businesswoman,Which university did the spouse of the head of state of Namibia attend?,University of Namibia,In which city is the university located that the spouse of the head of state of Namibia attended?,Windhoek,In which country is the city located where the university that the spouse of the head of state of Namibia attended is situated?,Namibia
places_country,wh,Namibia,country,Namibia,Which country's country is Namibia?,Namibia,South Africa,0.0,Namibia is the country of which nation?,Is Namibia the country of Namibia?,Is Namibia the country of South Africa?,"{'question': ""Which country's country is Namibia?"", 'options': {'A': 'Namibia', 'B': 'South Africa', 'C': 'Botswana', 'D': 'Angola'}, 'ground_truth': 'A'}",What is the capital city of Namibia?,Namibia is the country of which country?,What is the capital city of Namibia?,Windhoek,Which river flows through the capital city of Namibia?,Klein Windhoek River,What is the primary language spoken in the capital city through which the Klein Windhoek River flows?,English,"Which country has English as the primary language spoken in its capital city, Windhoek?",Namibia,What is the currency used in the country where the capital city is Windhoek?,Namibian dollar
