topic,subject,relation,object,question,output_gemma_1.1_2b_it,eval_gemma_1.1_2b_it,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels
places_city,Herzliya,named after,Theodor Herzl,Who was Herzliya named after?,Herzliya was named after the composer Franz Herzli,0.0,What is the nationality of the person Herzliya was named after?,Austro-Hungarian,What is the birthplace of the person whose nationality is Austro-Hungarian and after whom Herzliya was named?,Budapest,Which river flows through the birthplace of the person whose nationality is Austro-Hungarian and after whom Herzliya was named?,Danube,Which sea does the river that flows through the birthplace of the person whose nationality is Austro-Hungarian and after whom Herzliya was named empty into?,Black Sea,"Which country borders the sea that the river flows into, which passes through the birthplace of the person whose nationality is Austro-Hungarian and after whom Herzliya was named?",Ukraine,"['Theodor Herzl', 'Herzliya was named after the composer Franz Herzli', 'David Ben-Gurion', 'Golda Meir']",After whom was Herzliya named?,Was Herzliya named after Theodor Herzl?,Was Herzliya named after the composer Franz Herzli?,What is a well-known beach city in Israel?,Which city was named after Theodor Herzl?,A. Golda Meir  B. Herzliya was named after the composer Franz Herzli  C. David Ben-Gurion  D. Theodor Herzl,D
places_city,Fredericia,named after,Frederick III of Denmark,Who was Fredericia named after?,"Fredericia was named after the Roman goddess of wisdom and war, Minerva",0.0,What was the title of the person who Fredericia was named after?,King of Denmark and Norway,"Who was the predecessor of the person who held the title of King of Denmark and Norway, who Fredericia was named after?",Christian IV of Denmark,"Who was the spouse of the predecessor of the person who held the title of King of Denmark and Norway, who Fredericia was named after?",Anne Catherine of Brandenburg,"Who was the father of the spouse of the predecessor of the person who held the title of King of Denmark and Norway, who Fredericia was named after?","Joachim Frederick, Elector of Brandenburg","Who was the mother of the father of the spouse of the predecessor of the person who held the title of King of Denmark and Norway, who Fredericia was named after?",Catherine of Brandenburg-Küstrin,"['Frederick III of Denmark', 'Fredericia was named after the Roman goddess of wisdom and war, Minerva', 'Christian IV of Denmark', 'Queen Margrethe II of Denmark']",What is the name of the person after whom Fredericia was named?,Was Fredericia named after Frederick III of Denmark?,"Was Fredericia named after the Roman goddess of wisdom and war, Minerva?",In which country is the city of Fredericia located?,Which city was named after Frederick III of Denmark?,"A. Queen Margrethe II of Denmark  B. Fredericia was named after the Roman goddess of wisdom and war, Minerva  C. Christian IV of Denmark  D. Frederick III of Denmark",D
places_city,Martensville,located in time zone,Central Time Zone,What is the located in time zone of Martensville?,Martinsville is located in Eastern Time Zone,0.0,What is the largest city in the located in time zone of Martensville?,Chicago,What is the population of the largest city in the located in time zone of Martensville?,2.7 million,What is the name of the major airport in the largest city in the located in time zone of Martensville?,O'Hare International Airport,Which airline has a major hub at the major airport in the largest city in the located in time zone of Martensville?,United Airlines,What is the frequent flyer program of the airline that has a major hub at the major airport in the largest city in the located in time zone of Martensville?,MileagePlus,"['Central Time Zone', 'Martinsville is located in Eastern Time Zone', 'Pacific Time Zone', 'Mountain Time Zone']",In which time zone is Martensville located?,Is Martensville located in the Central Time Zone?,Is Martensville located in the Eastern Time Zone?,What province is Martensville located in?,Which city is located in the Central Time Zone?,A. Mountain Time Zone  B. Central Time Zone  C. Pacific Time Zone  D. Martinsville is located in Eastern Time Zone,B
places_city,Udine,patron saint,Hermagoras and Fortunatus,What is the patron saint of Udine?,San Giorgio,0.0,What is the feast day of the patron saint of Udine?,July 12,Which church celebrates the feast day of the patron saint of Udine?,The Catholic Church,Who is the head of the church that celebrates the feast day of the patron saint of Udine?,The Pope,In which city does the head of the church reside who celebrates the feast day of the patron saint of Udine?,Vatican City,In which country is the city located where the head of the church resides who celebrates the feast day of the patron saint of Udine?,Italy,"['Hermagoras and Fortunatus', 'San Giorgio', 'Saint Anthony', 'Saint Francis']",Who are the patron saints of Udine?,Are Hermagoras and Fortunatus the patron saints of Udine?,Is San Giorgio the patron saint of Udine?,What is a famous landmark in Udine?,Which city has Hermagoras and Fortunatus as its patron saints?,A. San Giorgio  B. Saint Francis  C. Hermagoras and Fortunatus  D. Saint Anthony,C
places_city,Saarlouis,named after,Louis XIV of France,Who was Saarlouis named after?,"Saarlouis was named after Louis the Great, the Holy Roman Emperor",0.0,What was the title of the person Saarlouis was named after?,King of France,Who was the predecessor of the person who held the title of King of France that Saarlouis was named after?,Louis XIII of France,Who was the spouse of the predecessor of the person who held the title of King of France that Saarlouis was named after?,Anne of Austria,Which country was the spouse of the predecessor of the person who held the title of King of France that Saarlouis was named after originally from?,Spain,Who was the father of the spouse of the predecessor of the person who held the title of King of France that Saarlouis was named after?,Philip III of Spain,"['Louis XIV of France', 'Saarlouis was named after Louis the Great, the Holy Roman Emperor', 'Napoleon Bonaparte', 'Charlemagne']",After whom was Saarlouis named?,Was Saarlouis named after Louis XIV of France?,"Was Saarlouis named after Louis the Great, the Holy Roman Emperor?",In which country is Saarlouis located?,Which city was named after Louis XIV of France?,"A. Napoleon Bonaparte  B. Louis XIV of France  C. Saarlouis was named after Louis the Great, the Holy Roman Emperor  D. Charlemagne",B
places_city,Vilkija,country,Lithuania,What is the country of Vilkija?,Vilkija is a fictional country from Finnish folklore,0.0,What is the capital of the country of Vilkija?,Vilnius,What is the population of the capital of the country of Vilkija?,"approximately 580,000",What is the main river that flows through the capital of the country of Vilkija?,Neris River,What is the length of the main river that flows through the capital of the country of Vilkija?,510 kilometers,Which sea does the main river that flows through the capital of the country of Vilkija eventually drain into?,Baltic Sea,"['Lithuania', 'Vilkija is a fictional country from Finnish folklore', 'Latvia', 'Estonia']",Which country is Vilkija located in?,Is Lithuania the country of Vilkija?,Is Vilkija a fictional country from Finnish folklore?,What is a well-known river that flows through Vilkija?,Which town in Lithuania is Vilkija?,A. Vilkija is a fictional country from Finnish folklore  B. Lithuania  C. Latvia  D. Estonia,B
places_city,Fresnillo,founded by,Francisco de Ibarra,Who was Fresnillo founded by?,Fresnillo was founded by Don Francisco Fresnillo,0.0,What was the occupation of the person who Fresnillo was founded by?,Conquistador,Which country did the conquistador who founded Fresnillo come from?,Spain,Who was the monarch of the country that the conquistador who founded Fresnillo came from during the time of the founding?,Philip II of Spain,Which empire was ruled by the monarch of the country that the conquistador who founded Fresnillo came from during the time of the founding?,Spanish Empire,What was the capital of the empire ruled by the monarch of the country that the conquistador who founded Fresnillo came from during the time of the founding?,Madrid,"['Francisco de Ibarra', 'Fresnillo was founded by Don Francisco Fresnillo', 'Hernán Cortés', 'Diego de Montemayor']",Who established the city of Fresnillo?,Was Fresnillo founded by Francisco de Ibarra?,Was Fresnillo founded by Don Francisco Fresnillo?,What is a well-known mining activity associated with Fresnillo?,Who did Francisco de Ibarra found?,A. Fresnillo was founded by Don Francisco Fresnillo  B. Francisco de Ibarra  C. Hernán Cortés  D. Diego de Montemayor,B
places_city,Modena,patron saint,Geminianus,What is the patron saint of Modena?,Saint George,0.0,What is the feast day of the patron saint of Modena?,January 31,In which century did the patron saint of Modena live?,4th century,Which Roman Emperor was ruling during the century when the patron saint of Modena lived?,Constantine the Great,Which city was the capital of the Roman Empire during the reign of the Roman Emperor ruling in the century when the patron saint of Modena lived?,Constantinople,In which modern-day country is the city located that was the capital of the Roman Empire during the reign of the Roman Emperor ruling in the century when the patron saint of Modena lived?,Turkey,"['Geminianus', 'Saint George', 'Saint Francis', 'Saint Anthony']",Who is the patron saint associated with Modena?,Is Geminianus the patron saint of Modena?,Is Saint George the patron saint of Modena?,What is a famous landmark in Modena?,Which city has Geminianus as its patron saint?,A. Saint George  B. Saint Anthony  C. Saint Francis  D. Geminianus,D
places_city,Teapa,country,Mexico,What is the country of Teapa?,Teapa is a city in Nicaragua,0.0,What is the capital of the country of Teapa?,Mexico City,What is the population of the capital of the country of Teapa?,Approximately 9 million,What is the area of the capital of the country of Teapa?,"1,485 square kilometers",What is the elevation of the capital of the country of Teapa?,"2,240 meters",What is the name of the international airport in the capital of the country of Teapa?,Benito Juárez International Airport,"['Mexico', 'Teapa is a city in Nicaragua', 'Guatemala', 'Honduras']",Which country is Teapa located in?,Is the country of Teapa Mexico?,Is the country of Teapa Teapa is a city in Nicaragua?,"What is a well-known city in the state of Tabasco, Mexico?",Which city in Mexico is Teapa?,A. Honduras  B. Guatemala  C. Teapa is a city in Nicaragua  D. Mexico,D
places_city,Washim,official language,Marathi,What is the official language of Washim?,"Washim does not have an official language, as it is not a recognized",0.0,What is the primary script used for the official language of Washim?,Devanagari,Which ancient language is the primary script used for the official language of Washim derived from?,Sanskrit,"In which country did the ancient language, from which the primary script used for the official language of Washim is derived, originate?",India,"What is the predominant religion in the country where the ancient language, from which the primary script used for the official language of Washim is derived, originated?",Hinduism,"Which major festival is celebrated by the followers of the predominant religion in the country where the ancient language, from which the primary script used for the official language of Washim is derived, originated?",Diwali,"['Marathi', 'Washim does not have an official language, as it is not a recognized', 'Hindi', 'English']",Which language is officially recognized in Washim?,Is Marathi the official language of Washim?,"Is it true that Washim does not have an official language, as it is not a recognized?",In which state of India is Washim located?,Which place has Marathi as its official language?,"A. Hindi  B. English  C. Marathi  D. Washim does not have an official language, as it is not a recognized",C
