topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
entertainment_anime,The Rebirth of Buddha,original language of film or TV show,Japanese,What is the original language of film or TV show of The Rebirth of Buddha?,Thai,0.0
entertainment_anime,The Rebirth of Buddha,country of origin,Japan,What is the country of origin of The Rebirth of Buddha?,Thailand,0.0
entertainment_anime,The Rebirth of Buddha,production company,Group TAC,What is the production company of The Rebirth of Buddha?,China Film Group,0.0
entertainment_anime,The Rebirth of Buddha,creator,IRH Press,What is the creator of The Rebirth of Buddha?,Unknown,0.0
entertainment_anime,The Rebirth of Buddha,director,Takaaki Ishiyama,Who is the director of The Rebirth of Buddha?,Chaplin Chang,0.0
entertainment_anime,The Rebirth of Buddha,screenwriter,Hiroshi,Who is the screenwriter of The Rebirth of Buddha?,Koichi Ohata,0.0
entertainment_anime,The Rebirth of Buddha,executive producer,Ryūhō Ōkawa,Who is the executive producer of The Rebirth of Buddha?,"I couldn't find any information on the movie ""The Rebirth of Buddha""",0.0
entertainment_anime,The Rebirth of Buddha,art director,Masaru Sato,Who is the art director of The Rebirth of Buddha?,Tetsuya Nishida,0.0
entertainment_anime,The Rebirth of Buddha,distributed by,Toei Company,What was The Rebirth of Buddha distributed by?,MGM,0.0
entertainment_anime,The Rebirth of Buddha,character designer,Masami Suda,Who is the character designer of The Rebirth of Buddha?,Kazuo Koike,0.0
entertainment_anime,Ehrgeiz,genre,mecha,What is the genre of Ehrgeiz?,3D Fighting,0.0
entertainment_anime,Kiitaro's Yokai Picture Diary,distributed by,Crunchyroll,What was Kiitaro's Yokai Picture Diary distributed by?,Shogakukan,0.0
entertainment_anime,Kiitaro's Yokai Picture Diary,distribution format,video on demand,What is the distribution format of Kiitaro's Yokai Picture Diary?,Manga,0.0
entertainment_anime,Tabimachi Late Show,distributed by,Crunchyroll,What was Tabimachi Late Show distributed by?,TBS,0.0
entertainment_anime,Holo no Graffiti,distributed by,Google,What was Holo no Graffiti distributed by?,Sega,0.0
entertainment_anime,Holo no Graffiti,publisher,Hololive Production,What is the publisher of Holo no Graffiti?,Kadokawa Shoten,0.0
entertainment_anime,Holo no Graffiti,original broadcaster,Bilibili,What is the original broadcaster of Holo no Graffiti?,NHK,0.0
entertainment_anime,Holo no Graffiti,genre,parody,What is the genre of Holo no Graffiti?,Mecha,0.0
entertainment_anime,Holo no Graffiti,main subject,VTuber,What is the main subject of Holo no Graffiti?,Anime,0.0
entertainment_anime,THE LIFE OF GREAT HERMES,country of origin,Japan,What is the country of origin of THE LIFE OF GREAT HERMES?,Egypt,0.0
entertainment_anime,THE LIFE OF GREAT HERMES,language of work or name,Japanese,What is the language of work or name of THE LIFE OF GREAT HERMES?,Demotic,0.0
entertainment_anime,THE LIFE OF GREAT HERMES,art director,Tatsuya Kushida,Who is the art director of THE LIFE OF GREAT HERMES?,H.R. Giger,0.0
entertainment_anime,THE LIFE OF GREAT HERMES,distributed by,Toei Company,What was THE LIFE OF GREAT HERMES distributed by?,L. Sprague de Camp,0.0
entertainment_anime,THE LIFE OF GREAT HERMES,executive producer,Ryūhō Ōkawa,Who is the executive producer of THE LIFE OF GREAT HERMES?,"I couldn't find any information on the movie ""THE LIFE OF GREAT HERMES",0.0
entertainment_anime,THE LIFE OF GREAT HERMES,production company,SONY PCL,What is the production company of THE LIFE OF GREAT HERMES?,BBC,0.0
entertainment_anime,THE LIFE OF GREAT HERMES,director,Tetsuo Imazawa,Who is the director of THE LIFE OF GREAT HERMES?,Giorgio Ferroni,0.0
