topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
technology_programming_language,Lua,described by source,The Evolution of an Extension Language: A History of Lua,What is the described by source of Lua?,Alfred Aho,0.0
technology_programming_language,COBOL,creator,CODASYL,What is the creator of COBOL?,Grace Hopper,0.0
technology_programming_language,Kawa,operating system,cross-platform,What is the operating system of Kawa?,Java,0.0
technology_programming_language,Swift,designed by,Chris Lattner,Who was Swift designed by?,Gordon Moore,0.0
technology_programming_language,Eiffel,designed by,Bertrand Meyer,Who was Eiffel designed by?,Gustave,0.0
technology_programming_language,Haxe,programmed in,OCaml,What was Haxe programmed in?,C++,0.0
technology_programming_language,AspectJ,developer,Eclipse Foundation,What is the developer of AspectJ?,Xerox,0.0
technology_programming_language,Cython,programmed in,Python,What was Cython programmed in?,C,0.0
technology_programming_language,Perl Data Language,developer,Karl Glazebrook,Who is the developer of Perl Data Language?,Daniel Stutzbach,0.0
technology_programming_language,Netwide Assembler,platform,x86,What is the platform of Netwide Assembler?,MS-DOS,0.0
technology_programming_language,Gforth,distributed by,Google Play,What was Gforth distributed by?,ANSI,0.0
technology_programming_language,PostScript,used by,PostScript font,What was PostScript used by?,Printers,0.0
technology_programming_language,Chez Scheme,dialect of computer language,Scheme,What is the dialect of computer language of Chez Scheme?,R6RS,0.0
technology_programming_language,Elixir,operating system,cross-platform,What is the operating system of Elixir?,Erlang,0.0
technology_programming_language,Squeak,developer,Apple,What is the developer of Squeak?,Alan Kay,0.0
technology_programming_language,Turbo Pascal,designed by,Anders Hejlsberg,Who was Turbo Pascal designed by?,Niklaus Wirth,0.0
technology_programming_language,ASP.NET,replaces,Active Server Pages,What does ASP.NET replace?,VBScript,0.0
technology_programming_language,Sass,designed by,Hampton Lintorn-Catlin,Who was Sass designed by?,Ian Hickson,0.0
technology_programming_language,Scilab,developer,Dassault Systèmes,What is the developer of Scilab?,INRIA,0.0
technology_programming_language,Forth,programming paradigm,procedural programming,What is the programming paradigm of Forth?,Stack-based,0.0
technology_programming_language,ROOT,creator,CERN,What is the creator of ROOT?,Jean-Louis Le Faure,0.0
technology_programming_language,Forth,designed by,Charles H. Moore,Who was Forth designed by?,Ken Thompson,0.0
technology_programming_language,ML,designed by,Robin Milner,Who was ML designed by?,Marvin Lee,0.0
technology_programming_language,Prolog,derivative work,Datalog,What is the derivative work of Prolog?,Haskell,0.0
technology_programming_language,XML User Interface Language,developer,Mozilla Foundation,What is the developer of XML User Interface Language?,Microsoft,0.0
technology_programming_language,Agda,operating system,Microsoft Windows,What is the operating system of Agda?,Haskell,0.0
technology_programming_language,OpenCL,developer,Khronos Group,What is the developer of OpenCL?,Apple,0.0
technology_programming_language,Chez Scheme,developer,Cisco,What is the developer of Chez Scheme?,R. Kent Dybvig,0.0
technology_programming_language,CoffeeScript,operating system,cross-platform,What is the operating system of CoffeeScript?,JavaScript,0.0
technology_programming_language,FreeBASIC,programmed in,BASIC,What was FreeBASIC programmed in?,FreePascal,0.0
technology_programming_language,XML User Interface Language,used by,Firefox,What was XML User Interface Language used by?,XUL,0.0
technology_programming_language,Ada,dialect of computer language,SPARK,What is the dialect of computer language of Ada?,Ada,0.0
technology_programming_language,ROOT,founded by,CERN,What was ROOT founded by?,Linus,0.0
technology_programming_language,JavaScript,said to be the same as,JScript,What did JavaScript say to be the same as?,"""undefined""",0.0
technology_programming_language,Squeak,programmed in,C,What was Squeak programmed in?,Smalltalk,0.0
technology_programming_language,MUMPS,operating system,cross-platform,What is the operating system of MUMPS?,"M |  (Note: MUMPS is a multi-user, multi-processing operating system",0.0
technology_programming_language,PostScript,programming paradigm,procedural programming,What is the programming paradigm of PostScript?,Functional,0.0
