topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
geography_forest,Veldensteiner Forst,located in the administrative territorial entity,Bayreuth,Bayreuth,What is the located in the administrative territorial entity of Veldensteiner Forst?,Forest,0.0
geography_forest,Stanislaus National Forest,significant place,Sonora,Sonora,What is the significant place of Stanislaus National Forest?,"Recreation, Timber, Wildlife Habitat",0.0
geography_forest,Flathead National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Flathead National Forest?,"IUCN category not applicable (as it's a forest, not a",0.0
geography_forest,Bienville National Forest,located in the administrative territorial entity,Mississippi,Mississippi,What is the located in the administrative territorial entity of Bienville National Forest?,Forest,0.0
geography_forest,Wenatchee National Forest,significant place,Wenatchee,Wenatchee,What is the significant place of Wenatchee National Forest?,"Recreation, Scenic Beauty, Wildlife Habitat",0.0
geography_forest,Wenatchee National Forest,located in the administrative territorial entity,Washington,Washington,What is the located in the administrative territorial entity of Wenatchee National Forest?,Forest,0.0
geography_forest,Nantahala National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Nantahala National Forest?,II (National Park) and V (Protected Landscape/Seascape,0.0
geography_forest,Tioga State Forest,located in the administrative territorial entity,Pennsylvania,Pennsylvania,What is the located in the administrative territorial entity of Tioga State Forest?,Forest,0.0
geography_forest,Okanogan-Wenatchee National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Okanogan-Wenatchee National Forest?,"Not applicable (it's a national forest, not a protected area)",0.0
geography_forest,Angeles National Forest,visitor center,Chilao Visitor Center,Chilao Visitor Center,What is the visitor center of Angeles National Forest?,Santa Clarita Ranger Station,0.0
geography_forest,Wallowa–Whitman National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Wallowa–Whitman National Forest?,Not Applicable (N/A) - National Forests are not categor,0.0
geography_forest,Umpqua National Forest,significant place,Roseburg,Roseburg,What is the significant place of Umpqua National Forest?,"Recreation, Scenic Beauty",0.0
geography_forest,Sequoia National Forest,located in the administrative territorial entity,California,California,What is the located in the administrative territorial entity of Sequoia National Forest?,Forest,0.0
geography_forest,Deschutes National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Deschutes National Forest?,IUCN Classification Not Applicable (IUCN does not class,0.0
geography_forest,White Mountain National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of White Mountain National Forest?,IUCN Category II (National Park),0.0
geography_forest,Ottawa National Forest,significant place,Ironwood,Ironwood,What is the significant place of Ottawa National Forest?,"Recreation, Wildlife Habitat",0.0
geography_forest,Delta National Forest,located in the administrative territorial entity,Mississippi,Mississippi,What is the located in the administrative territorial entity of Delta National Forest?,Forest,0.0
geography_forest,Angeles National Forest,located in the administrative territorial entity,Los Angeles County,Los Angeles County,What is the located in the administrative territorial entity of Angeles National Forest?,Mountains,0.0
geography_forest,Chugach National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Chugach National Forest?,Category IV (Human Modification),0.0
geography_forest,Los Padres National Forest,significant place,Santa Barbara,Santa Barbara,What is the significant place of Los Padres National Forest?,"Recreation, Wildlife Habitat",0.0
geography_forest,Los Padres National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Los Padres National Forest?,Category II (National Park),0.0
geography_forest,William B. Bankhead National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of William B. Bankhead National Forest?,II (National Park),0.0
geography_forest,Tahoe National Forest,located in the administrative territorial entity,California,California,What is the located in the administrative territorial entity of Tahoe National Forest?,Forest,0.0
geography_forest,Klamath National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Klamath National Forest?,Unassigned,0.0
geography_forest,Guttenberger Wald,located in the administrative territorial entity,Würzburg,Würzburg,What is the located in the administrative territorial entity of Guttenberger Wald?,Forest,0.0
geography_forest,Wildpark Potsdam,located in the administrative territorial entity,Potsdam,Potsdam,What is the located in the administrative territorial entity of Wildpark Potsdam?,Park,0.0
geography_forest,Tombigbee National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Tombigbee National Forest?,II (National Park),0.0
geography_forest,Shawnee National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Shawnee National Forest?,II (National Park),0.0
geography_forest,Gunnison National Forest,highest point,Castle Peak,Castle Peak,What is the highest point of Gunnison National Forest?,Uncompahgre Peak,0.0
geography_forest,Holly Springs National Forest,located in the administrative territorial entity,Mississippi,Mississippi,What is the located in the administrative territorial entity of Holly Springs National Forest?,Forest,0.0
geography_forest,Bois de la Cambre - Ter Kamerenbos,named after,La Cambre Abbey,La Cambre Abbey,What was Bois de la Cambre - Ter Kamerenbos named after?,Cambre (French) or Kameren (Dutch),0.0
geography_forest,Fremont National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Fremont National Forest?,IUCN Category II (National Park),0.0
geography_forest,Inyo National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Inyo National Forest?,Not Applicable (N/A) - Inyo National Forest is not,0.0
geography_forest,Winkelhofer Forst,located in the administrative territorial entity,Bamberg,Bamberg,What is the located in the administrative territorial entity of Winkelhofer Forst?,Forest,0.0
geography_forest,Hoosier National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Hoosier National Forest?,II (National Parks),0.0
geography_forest,El Yunque National Forest,significant place,Río Grande,Río Grande,What is the significant place of El Yunque National Forest?,Puerto Rico,0.0
geography_forest,Savernake Forest,located in the administrative territorial entity,Savernake,Savernake,What is the located in the administrative territorial entity of Savernake Forest?,Forest,0.0
geography_forest,Bighorn National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Bighorn National Forest?,Not specified (IUCN doesn't classify national forests),0.0
geography_forest,Wallowa–Whitman National Forest,located in the administrative territorial entity,Oregon,Oregon,What is the located in the administrative territorial entity of Wallowa–Whitman National Forest?,Forest,0.0
geography_forest,Francis Marion National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Francis Marion National Forest?,IUCN Category II (National Park) does not apply. It's,0.0
geography_forest,Delta National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Delta National Forest?,IUCN Category II (National Park),0.0
geography_forest,White Mountain National Forest,located in the administrative territorial entity,New Hampshire,New Hampshire,What is the located in the administrative territorial entity of White Mountain National Forest?,Forest,0.0
geography_forest,Palatinate Forest,highest point,Kalmit,Kalmit,Who is the highest point of Palatinate Forest?,Oberhochwald (Peak),0.0
geography_forest,Black Forest,located in the administrative territorial entity,Baden-Württemberg,Baden-Württemberg,What is the located in the administrative territorial entity of Black Forest?,Germany,0.0
geography_forest,Finger Lakes National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Finger Lakes National Forest?,IUCN category not applicable (National Forest),0.0
geography_forest,Helena National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Helena National Forest?,IUCN Category II (National Park),0.0
geography_forest,Carson National Forest,located in the administrative territorial entity,New Mexico,New Mexico,What is the located in the administrative territorial entity of Carson National Forest?,Forest,0.0
geography_forest,Umatilla National Forest,located in the administrative territorial entity,Oregon,Oregon,What is the located in the administrative territorial entity of Umatilla National Forest?,Forest,0.0
geography_forest,Aokigahara,heritage designation,natural monument,natural monument,What is the heritage designation of Aokigahara?,No designation (yet) as a UNESCO World Heritage Site,0.0
geography_forest,Waipoua Forest,located in the administrative territorial entity,Kaipara District,Kaipara District,What is the located in the administrative territorial entity of Waipoua Forest?,"Waipoua Forest is located in Northland, New Zealand",0.0
geography_forest,Forest of Rambouillet,located in the administrative territorial entity,Yvelines,Yvelines,What is the located in the administrative territorial entity of Forest of Rambouillet?,Rambouillet,0.0
geography_forest,Gunnison National Forest,named after,John Williams Gunnison,John Williams Gunnison,Who was Gunnison National Forest named after?,William Gunnison,0.0
geography_forest,Roosevelt National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Roosevelt National Forest?,IUCN Category II (National Park),0.0
geography_forest,Cherokee National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Cherokee National Forest?,II (National Park),0.0
geography_forest,Lolo National Forest,significant place,Missoula,Missoula,What is the significant place of Lolo National Forest?,"Recreation, Wildlife Habitat",0.0
geography_forest,Vienna Woods,named after,Vienna,Vienna,What was Vienna Woods named after?,"Glencree Valley, Ireland",0.0
geography_forest,Malheur National Forest,significant place,Canyon City,Canyon City,What is the significant place of Malheur National Forest?,"Recreation, Wildlife Habitat",0.0
geography_forest,Tahoe National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Tahoe National Forest?,II (National Park) and IV (Habitat/Species Management Area,0.0
geography_forest,Los Padres National Forest,located in the administrative territorial entity,California,California,What is the located in the administrative territorial entity of Los Padres National Forest?,Forest,0.0
geography_forest,Bighorn National Forest,significant place,Sheridan,Sheridan,Who is the significant place of Bighorn National Forest?,Bighorn Mountains,0.0
geography_forest,Stanislaus National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Stanislaus National Forest?,IUCN Category II (National Park),0.0
geography_forest,Sandarmokh,country,Russia,Russia,What is the country of Sandarmokh?,No country named Sandarmokh exists. It's a memorial site in,0.0
geography_forest,Aokigahara,located in protected area,Fuji-Hakone-Izu National Park,Fuji-Hakone-Izu National Park,What is the located in protected area of Aokigahara?,Trees,0.0
geography_forest,Superior National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Superior National Forest?,Unassigned,0.0
geography_forest,Six Rivers National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Six Rivers National Forest?,IUCN Category II (National Park),0.0
geography_forest,Shawnee National Forest,significant place,Harrisburg,Harrisburg,What is the significant place of Shawnee National Forest?,"Recreation, Scenery",0.0
geography_forest,Palatinate Forest,made from material,sedimentary rock,sedimentary rock,What is the made from material of Palatinate Forest?,Trees (Woodland),0.0
geography_forest,Inyo National Forest,significant place,Bishop,Bishop,What is the significant place of Inyo National Forest?,"Mountains (Sierras, White Mountains)",0.0
geography_forest,Midewin National Tallgrass Prairie,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Midewin National Tallgrass Prairie?,IUCN Category II (National Park),0.0
geography_forest,Biogradska Gora,significant place,Kolašin,Kolašin,What is the significant place of Biogradska Gora?,National Park,0.0
geography_forest,Białowieża Forest,located in the administrative territorial entity,Podlaskie Voivodeship,Podlaskie Voivodeship,What is the located in the administrative territorial entity of Białowieża Forest?,"Poland, Belarus",0.0
geography_forest,Talladega National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Talladega National Forest?,II (National Park),0.0
geography_forest,Homochitto National Forest,located in the administrative territorial entity,Mississippi,Mississippi,What is the located in the administrative territorial entity of Homochitto National Forest?,Forest,0.0
geography_forest,El Yunque National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of El Yunque National Forest?,IUCN Category II (National Park),0.0
