topic,subject,relation,object,question,output_gemma_1.1_2b_it,eval_gemma_1.1_2b_it,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
entertainment_anime,Armitage III: Poly Matrix,country of origin,Japan,What is the country of origin of Armitage III: Poly Matrix?,France,0.0,"['Japan', 'France', 'USA', 'Germany']",Which country produced Armitage III: Poly Matrix?,Is the country of origin of Armitage III: Poly Matrix Japan?,Is the country of origin of Armitage III: Poly Matrix France?,What genre is Armitage III: Poly Matrix known for?,Which anime has Japan as its country of origin?,A. Japan  B. USA  C. Germany  D. France,A,What is the official language of the country of origin of Armitage III: Poly Matrix?,Japanese,What is the capital city of the country whose official language is the same as the country of origin of Armitage III: Poly Matrix?,Tokyo,What is the population of the capital city of the country whose official language is Japanese and is the country of origin of Armitage III: Poly Matrix?,Approximately 14 million,What is the name of the famous tower located in the capital city with a population of approximately 14 million in the country of origin of Armitage III: Poly Matrix?,Tokyo Tower,What is the height of the famous tower located in the capital city of the country of origin of Armitage III: Poly Matrix?,333 meters
entertainment_anime,The Laws of the Sun,original language of film or TV show,Japanese,What is the original language of film or TV show of The Laws of the Sun?,Chinese,0.0,"['Japanese', 'Chinese', 'Korean', 'English']",In what language was the film The Laws of the Sun originally made?,Is the original language of the film The Laws of the Sun Japanese?,Is the original language of the film The Laws of the Sun Chinese?,Who directed the film The Laws of the Sun?,What film or TV show has Japanese as its original language?,A. Chinese  B. Korean  C. Japanese  D. English,C,Who is the director of the film or TV show with the original language Japanese of The Laws of the Sun?,Takahiro Tsurug,What is the birth year of the director of the film or TV show with the original language Japanese of The Laws of the Sun?,1960,In which city was the director born who directed the film or TV show with the original language Japanese of The Laws of the Sun?,Tokyo,What is the population of the city where the director was born who directed the film or TV show with the original language Japanese of The Laws of the Sun?,Approximately 14 million,What is the area in square kilometers of the city with a population of approximately 14 million where the director was born who directed the film or TV show with the original language Japanese of The Laws of the Sun?,"2,194 square kilometers"
entertainment_anime,Giovanni's Island,screenwriter,Yoshiki Sakurai,Who is the screenwriter of Giovanni's Island?,Akira Kurosawa,0.0,"['Yoshiki Sakurai', 'Akira Kurosawa', 'Hayao Miyazaki', 'Satoshi Kon']",Who wrote the screenplay for Giovanni's Island?,Is Yoshiki Sakurai the screenwriter of Giovanni's Island?,Is Akira Kurosawa the screenwriter of Giovanni's Island?,What genre is Giovanni's Island known for?,Who did Yoshiki Sakurai write the screenplay for?,A. Satoshi Kon  B. Akira Kurosawa  C. Hayao Miyazaki  D. Yoshiki Sakurai,D,What is the nationality of the screenwriter of Giovanni's Island?,Japanese,What is the primary language spoken in the country of the screenwriter of Giovanni's Island?,Japanese,"What is the capital city of the country where the primary language spoken is Japanese, the same country as the screenwriter of Giovanni's Island?",Tokyo,"What is the population of the capital city of the country where the primary language spoken is Japanese, the same country as the screenwriter of Giovanni's Island?",Approximately 14 million,"What is the name of the famous tower located in the capital city with a population of approximately 14 million, in the same country as the screenwriter of Giovanni's Island?",Tokyo Tower
entertainment_anime,Gakuen Handsome,distribution format,video on demand,What is the distribution format of Gakuen Handsome?,Anime,0.0,"['video on demand', 'Anime', 'DVD', 'Blu-ray']",In what format is Gakuen Handsome distributed?,Is the distribution format of Gakuen Handsome video on demand?,Is the distribution format of Gakuen Handsome Anime?,What genre does Gakuen Handsome belong to?,What is distributed in the format of video on demand?,A. video on demand  B. DVD  C. Blu-ray  D. Anime,A,Which company provides the video on demand distribution format of Gakuen Handsome?,Crunchyroll,Who is the CEO of the company that provides the video on demand distribution format of Gakuen Handsome?,Joanne Waage,Which university did the CEO of the company that provides the video on demand distribution format of Gakuen Handsome attend?,"University of California, Berkeley",In which city is the university located that the CEO of the company providing the video on demand distribution format of Gakuen Handsome attended?,Berkeley,In which state is the city located where the university is situated that the CEO of the company providing the video on demand distribution format of Gakuen Handsome attended?,California
entertainment_anime,Double Hard,distribution format,video on demand,What is the distribution format of Double Hard?,Double Hard follows a 2D lattice distribution format,0.0,"['video on demand', 'Double Hard follows a 2D lattice distribution format', 'streaming service', 'physical DVD']",In what format is Double Hard distributed?,Is the distribution format of Double Hard video on demand?,Is the distribution format of Double Hard Double Hard follows a 2D lattice distribution format?,What genre is Double Hard known for?,What is distributed in the format of video on demand?,A. Double Hard follows a 2D lattice distribution format  B. video on demand  C. streaming service  D. physical DVD,B,Which company provides the video on demand service for the distribution format of Double Hard?,Amazon Prime Video,Who is the CEO of the company that provides the video on demand service for the distribution format of Double Hard?,Andy Jassy,Which university did the CEO of the company that provides the video on demand service for the distribution format of Double Hard attend?,Harvard University,In which city is the university located that the CEO of the company providing the video on demand service for the distribution format of Double Hard attended?,Cambridge,In which state is the city located where the university is situated that the CEO of the company providing the video on demand service for the distribution format of Double Hard attended?,Massachusetts
entertainment_anime,Holo no Graffiti,distributed by,Google,What was Holo no Graffiti distributed by?,Holo no Graffiti was distributed by Valve,0.0,"['Google', 'Holo no Graffiti was distributed by Valve', 'Amazon', 'Microsoft']",Who was responsible for distributing Holo no Graffiti?,Was Holo no Graffiti distributed by Google?,Was Holo no Graffiti distributed by Valve?,What genre does Holo no Graffiti belong to?,What did Google distribute?,A. Google  B. Holo no Graffiti was distributed by Valve  C. Microsoft  D. Amazon,A,What is the parent company of the company that Holo no Graffiti was distributed by?,Alphabet Inc.,Who is the CEO of the parent company of the company that Holo no Graffiti was distributed by?,Sundar Pichai,Which university did the CEO of the parent company of the company that Holo no Graffiti was distributed by attend for their undergraduate studies?,Indian Institute of Technology Kharagpur,In which city is the university located where the CEO of the parent company of the company that Holo no Graffiti was distributed by attended for their undergraduate studies?,Kharagpur,In which state is the city located where the university is situated that the CEO of the parent company of the company that Holo no Graffiti was distributed by attended for their undergraduate studies?,West Bengal
entertainment_anime,Burglars of Baghdad Castle,based on,The Thief of Bagdad,What was Burglars of Baghdad Castle based on?,Historical record and cultural inspiration,0.0,"['The Thief of Bagdad', 'Historical record and cultural inspiration', 'Arabian Nights', 'The Adventures of Sinbad']",What is the source material for Burglars of Baghdad Castle?,Was Burglars of Baghdad Castle based on The Thief of Bagdad?,Was Burglars of Baghdad Castle based on Historical record and cultural inspiration?,What genre does Burglars of Baghdad Castle belong to?,What was The Thief of Bagdad the basis for?,A. The Adventures of Sinbad  B. The Thief of Bagdad  C. Arabian Nights  D. Historical record and cultural inspiration,B,Who directed the work that Burglars of Baghdad Castle was based on?,Raoul Walsh,Which actor starred in the work directed by Raoul Walsh that Burglars of Baghdad Castle was based on?,Douglas Fairbanks,Which production company was behind the work starring Douglas Fairbanks that was directed by Raoul Walsh and that Burglars of Baghdad Castle was based on?,United Artists,Who co-founded the production company behind the work starring Douglas Fairbanks that was directed by Raoul Walsh and that Burglars of Baghdad Castle was based on?,Charlie Chaplin,Which country was the co-founder of the production company behind the work starring Douglas Fairbanks that was directed by Raoul Walsh and that Burglars of Baghdad Castle was based on from?,United Kingdom
entertainment_anime,Holo no Graffiti,producer,Hololive Production,What is the producer of Holo no Graffiti?,Konami,0.0,"['Hololive Production', 'Konami', 'Sony Music', 'Bandai Namco']",Who is the producer of Holo no Graffiti?,Is Hololive Production the producer of Holo no Graffiti?,Is Konami the producer of Holo no Graffiti?,What type of content does Holo no Graffiti typically feature?,What does Hololive Production produce?,A. Sony Music  B. Bandai Namco  C. Hololive Production  D. Konami,C,Who is the CEO of the producer of Holo no Graffiti?,Tanigo Motoaki,Which company did the CEO of the producer of Holo no Graffiti found?,Cover Corp,In which year was the company founded by the CEO of the producer of Holo no Graffiti established?,2016,What is the primary industry of the company founded by the CEO of the producer of Holo no Graffiti?,Virtual YouTuber management,What is the name of a popular virtual YouTuber managed by the company founded by the CEO of the producer of Holo no Graffiti?,Gawr Gura
entertainment_anime,Cat Soup Theater,genre,anime,What is the genre of Cat Soup Theater?,Comedy,0.0,"['anime', 'Comedy', 'drama', 'horror']",What type of genre does Cat Soup Theater belong to?,Is the genre of Cat Soup Theater anime?,Is the genre of Cat Soup Theater Comedy?,What is a popular feature of Cat Soup Theater?,What is the genre that anime belongs to in the context of Cat Soup Theater?,A. Comedy  B. anime  C. drama  D. horror,B,Who is the director of the anime genre of Cat Soup Theater?,Tatsuo Sato,What is the birth year of the director of the anime genre of Cat Soup Theater?,1964,Which other anime did the director of the anime genre of Cat Soup Theater direct?,Martian Successor Nadesico,What is the main character's name in the other anime directed by the director of the anime genre of Cat Soup Theater?,Akito Tenkawa,What is the occupation of the main character in the other anime directed by the director of the anime genre of Cat Soup Theater?,Cook
entertainment_anime,Kowarekake no Orgel,director,Keiichiro Kawaguchi,Who is the director of Kowarekake no Orgel?,Hayao Kawajiri,0.0,"['Keiichiro Kawaguchi', 'Hayao Kawajiri', 'Makoto Shinkai', 'Mamoru Hosoda']",Who directed Kowarekake no Orgel?,Is Keiichiro Kawaguchi the director of Kowarekake no Orgel?,Is Hayao Kawajiri the director of Kowarekake no Orgel?,What genre is the anime Kowarekake no Orgel known for?,Who is directed by Keiichiro Kawaguchi in Kowarekake no Orgel?,A. Hayao Kawajiri  B. Makoto Shinkai  C. Mamoru Hosoda  D. Keiichiro Kawaguchi,D,What is the birth year of the director of Kowarekake no Orgel?,1979,In which city was the person born who is the director of Kowarekake no Orgel?,Tokyo,What is the population of the city where the person was born who is the director of Kowarekake no Orgel?,Approximately 14 million,What is the area in square kilometers of the city where the person was born who is the director of Kowarekake no Orgel?,"2,194 square kilometers",What is the name of the country where the city is located where the person was born who is the director of Kowarekake no Orgel?,Japan
