topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
health_medication,antibiotic,has characteristic,antibiotic resistance,What does antibiotic have characteristic?,Antibiotic has characteristic of killing bacteria,0.0,"['antibiotic resistance', 'Antibiotic has characteristic of killing bacteria', 'antiviral properties', 'pain relief']",What characteristic does an antibiotic have?,Does an antibiotic have the characteristic of antibiotic resistance?,Does an antibiotic have the characteristic of killing bacteria?,What is a common use of antibiotics?,What has the characteristic of antibiotic resistance?,A. Antibiotic has characteristic of killing bacteria  B. antibiotic resistance  C. antiviral properties  D. pain relief,B,What is a common cause of the characteristic that antibiotic has?,Overuse of antibiotics,What is a common illness that can result from the common cause of the characteristic that antibiotic has?,Clostridium difficile infection,What is a common treatment for the common illness that can result from the common cause of the characteristic that antibiotic has?,Fecal microbiota transplantation,Which medical professional typically performs the common treatment for the common illness that can result from the common cause of the characteristic that antibiotic has?,Gastroenterologist,Which medical association certifies the medical professional who typically performs the common treatment for the common illness that can result from the common cause of the characteristic that antibiotic has?,American Board of Internal Medicine
health_medication,corticotropin,encoded by,POMC,What was corticotropin encoded by?,ACTH,0.0,"['POMC', 'ACTH', 'CRH', 'MC2R']",Which gene encodes corticotropin?,Is corticotropin encoded by POMC?,Is corticotropin encoded by ACTH?,What is the primary function of corticotropin?,What does POMC encode?,A. MC2R  B. CRH  C. POMC  D. ACTH,C,What is the function of the gene that corticotropin is encoded by?,"It encodes a precursor protein that is cleaved to produce several peptides, including ACTH and MSH.",Which hormone is produced by the precursor protein encoded by the gene that corticotropin is encoded by?,Adrenocorticotropic hormone (ACTH),Which gland secretes the hormone produced by the precursor protein encoded by the gene that corticotropin is encoded by?,Pituitary gland,Which part of the brain regulates the gland that secretes the hormone produced by the precursor protein encoded by the gene that corticotropin is encoded by?,Hypothalamus,"Which hormone does the part of the brain that regulates the gland secrete, which in turn regulates the secretion of the hormone produced by the precursor protein encoded by the gene that corticotropin is encoded by?",Corticotropin-releasing hormone (CRH)
health_medication,immunoglobulin G,subject has role,immunologic factor,What is the subject has role of immunoglobulin G?,Immunoglobulin G,0.0,"['immunologic factor', 'Immunoglobulin G', 'antibody', 'protein']",What role does immunoglobulin G play?,Is the subject has role of immunoglobulin G an immunologic factor?,Is the subject has role of immunoglobulin G Immunoglobulin G?,What type of molecule is immunoglobulin G?,What is the role of the immunologic factor in relation to immunoglobulin G?,A. immunologic factor  B. Immunoglobulin G  C. protein  D. antibody,A,What is the function of the immunologic factor that is the subject has role of immunoglobulin G?,It plays a crucial role in the immune response by identifying and neutralizing pathogens such as bacteria and viruses.,Which cells produce the immunologic factor that is the subject has role of immunoglobulin G?,B cells,Where in the body are the cells located that produce the immunologic factor that is the subject has role of immunoglobulin G?,Bone marrow,Which organ system includes the bone marrow where the cells are located that produce the immunologic factor that is the subject has role of immunoglobulin G?,Skeletal system,Which type of tissue is found in the organ system that includes the bone marrow where the cells are located that produce the immunologic factor that is the subject has role of immunoglobulin G?,Hematopoietic tissue
health_medication,Serpin family A member 1,molecular function,protein binding,What is the molecular function of Serpin family A member 1?,Serpin family A member 1 is a serine protease inhibitor,0.0,"['protein binding', 'Serpin family A member 1 is a serine protease inhibitor', 'enzyme regulation', 'cell signaling']",What role does Serpin family A member 1 play at the molecular level?,Is the molecular function of Serpin family A member 1 protein binding?,Is the molecular function of Serpin family A member 1 that it is a serine protease inhibitor?,What type of inhibitor is Serpin family A member 1 known to be?,Which protein has the molecular function of protein binding?,A. cell signaling  B. Serpin family A member 1 is a serine protease inhibitor  C. protein binding  D. enzyme regulation,C,Which protein does the Serpin family A member 1 bind to?,Elastase,What is the primary function of the protein that Serpin family A member 1 binds to?,Breaks down elastin,In which organ is the primary function of the protein that Serpin family A member 1 binds to most critical?,Lungs,What disease is associated with the malfunction of the organ where the primary function of the protein that Serpin family A member 1 binds to is most critical?,Chronic obstructive pulmonary disease (COPD),What is a common cause of the disease associated with the malfunction of the organ where the primary function of the protein that Serpin family A member 1 binds to is most critical?,Smoking
health_medication,Serpin family A member 1,encoded by,SERPINA1,What was Serpin family A member 1 encoded by?,Serpin family A member 1 is a serine protease inhibitor,0.0,"['SERPINA1', 'Serpin family A member 1 is a serine protease inhibitor', 'SERPINA2', 'SERPINA3']",Which gene encodes Serpin family A member 1?,Is Serpin family A member 1 encoded by SERPINA1?,Is Serpin family A member 1 encoded by Serpin family A member 1 is a serine protease inhibitor?,What is the primary function of Serpin family A member 1?,What does SERPINA1 encode?,A. SERPINA1  B. SERPINA2  C. SERPINA3  D. Serpin family A member 1 is a serine protease inhibitor,A,What is the function of the gene that Serpin family A member 1 is encoded by?,"Inhibits proteases, particularly elastase",Which organ primarily produces the protein that is encoded by the gene that Serpin family A member 1 is encoded by?,Liver,What disease is associated with a deficiency in the protein produced by the organ that primarily produces the protein encoded by the gene that Serpin family A member 1 is encoded by?,Alpha-1 antitrypsin deficiency,What are the primary symptoms of the disease associated with a deficiency in the protein produced by the organ that primarily produces the protein encoded by the gene that Serpin family A member 1 is encoded by?,"Shortness of breath, wheezing, and chronic obstructive pulmonary disease (COPD)",What is a common treatment for the primary symptoms of the disease associated with a deficiency in the protein produced by the organ that primarily produces the protein encoded by the gene that Serpin family A member 1 is encoded by?,Augmentation therapy with alpha-1 antitrypsin protein
health_medication,aviptadil,has part(s),vasoactive intestinal peptide,What does aviptadil have part(s )?,Aventyl,0.0,"['vasoactive intestinal peptide', 'Aventyl', 'serotonin', 'dopamine']",What component does aviptadil contain?,Does aviptadil have part(s) vasoactive intestinal peptide?,Does aviptadil have part(s) Aventyl?,What is aviptadil commonly used for?,What contains vasoactive intestinal peptide?,A. Aventyl  B. dopamine  C. serotonin  D. vasoactive intestinal peptide,D,What is the function of the vasoactive intestinal peptide that aviptadil has part(s)?,It acts as a neurotransmitter and vasodilator.,Which organ system is primarily affected by the function of the vasoactive intestinal peptide that aviptadil has part(s)?,The digestive system,What is a common disorder associated with the organ system primarily affected by the function of the vasoactive intestinal peptide that aviptadil has part(s)?,Irritable bowel syndrome (IBS),What are the common symptoms of the disorder associated with the organ system primarily affected by the function of the vasoactive intestinal peptide that aviptadil has part(s)?,"Abdominal pain, bloating, and changes in bowel habits",What is a common treatment for the symptoms of the disorder associated with the organ system primarily affected by the function of the vasoactive intestinal peptide that aviptadil has part(s)?,Dietary changes and medications such as antispasmodics
health_medication,abacavir/dolutegravir/lamivudine,route of administration,oral administration,What is the route of administration of abacavir/dolutegravir/lamivudine?,Abacavir/dolutegravir/lamivudine is,0.0,"['oral administration', 'Abacavir/dolutegravir/lamivudine is', 'intravenous administration', 'topical administration']",How is abacavir/dolutegravir/lamivudine administered?,Is the route of administration of abacavir/dolutegravir/lamivudine oral administration?,Is the route of administration of abacavir/dolutegravir/lamivudine Abacavir/dolutegravir/lamivudine is?,What is a common use of abacavir/dolutegravir/lamivudine?,What medication is administered via oral administration?,A. topical administration  B. intravenous administration  C. oral administration  D. Abacavir/dolutegravir/lamivudine is,C,What is the common side effect of the route of administration of abacavir/dolutegravir/lamivudine?,Nausea,What is the recommended action to alleviate the common side effect of the route of administration of abacavir/dolutegravir/lamivudine?,Taking the medication with food,What is the dietary recommendation to follow the recommended action to alleviate the common side effect of the route of administration of abacavir/dolutegravir/lamivudine?,A balanced meal,What is a common component of a balanced meal that follows the dietary recommendation to alleviate the common side effect of the route of administration of abacavir/dolutegravir/lamivudine?,Vegetables,What is a vitamin commonly found in the common component of a balanced meal that follows the dietary recommendation to alleviate the common side effect of the route of administration of abacavir/dolutegravir/lamivudine?,Vitamin A
health_medication,tranylcypromine,significant drug interaction,procarbazine,What is the significant drug interaction of tranylcypromine?,Tranylcypromine is a MAOI. It is a strong inhibitor,0.0,"['procarbazine', 'Tranylcypromine is a MAOI. It is a strong inhibitor', 'phenelzine', 'isocarboxazid']",Which drug has a significant interaction with tranylcypromine?,Is procarbazine a significant drug interaction of tranylcypromine?,Is Tranylcypromine is a MAOI. It is a strong inhibitor a significant drug interaction of tranylcypromine?,What class of drugs does tranylcypromine belong to?,What drug has a significant interaction with procarbazine?,A. isocarboxazid  B. Tranylcypromine is a MAOI. It is a strong inhibitor  C. procarbazine  D. phenelzine,C,What is the brand name of the drug that has a significant drug interaction with tranylcypromine?,Matulane,Which company manufactures the brand name drug that has a significant drug interaction with tranylcypromine?,Sigma-Tau Pharmaceuticals,In which country is the company located that manufactures the brand name drug that has a significant drug interaction with tranylcypromine?,United States,What is the headquarters address of the company located in the country that manufactures the brand name drug that has a significant drug interaction with tranylcypromine?,"9841 Washingtonian Blvd, Suite 500, Gaithersburg, MD 20878",What is the phone number of the headquarters address of the company that manufactures the brand name drug that has a significant drug interaction with tranylcypromine?,+1 301-948-1041
health_medication,kanamycin (extract),produced by,Streptomyces kanamyceticus,What was kanamycin (extract) produced by?,A. Streptomyces griseus B. Streptomyces gr,0.0,"['Streptomyces kanamyceticus', 'A. Streptomyces griseus B. Streptomyces gr', 'Streptomyces albus', 'Streptomyces coelicolor']",Who is the producer of kanamycin (extract)?,Was kanamycin (extract) produced by Streptomyces kanamyceticus?,Was kanamycin (extract) produced by Streptomyces griseus?,What type of antibiotic is kanamycin (extract)?,What does Streptomyces kanamyceticus produce?,A. Streptomyces kanamyceticus  B. A. Streptomyces griseus B. Streptomyces gr  C. Streptomyces albus  D. Streptomyces coelicolor,A,What is the habitat of the organism that kanamycin (extract) was produced by?,Soil,What is the primary component of the habitat of the organism that kanamycin (extract) was produced by?,Organic matter,What is a common process that occurs in the primary component of the habitat of the organism that kanamycin (extract) was produced by?,Decomposition,Which organisms are primarily responsible for the common process that occurs in the primary component of the habitat of the organism that kanamycin (extract) was produced by?,Bacteria and fungi,What is a beneficial byproduct of the process carried out by the organisms responsible for the common process in the primary component of the habitat of the organism that kanamycin (extract) was produced by?,Nutrient recycling
health_medication,insulin,subject has role,anti-diabetic medication,What is the subject has role of insulin?,Insulin is a hormone that is produced by the pancreas,0.0,"['anti-diabetic medication', 'Insulin is a hormone that is produced by the pancreas', 'blood sugar regulator', 'glucose transporter']",What role does insulin play?,Is the subject has role of insulin anti-diabetic medication?,Is the subject has role of insulin that insulin is a hormone that is produced by the pancreas?,What organ produces insulin?,What is the role of anti-diabetic medication in relation to insulin?,A. blood sugar regulator  B. anti-diabetic medication  C. Insulin is a hormone that is produced by the pancreas  D. glucose transporter,B,What is the primary function of the anti-diabetic medication that is the subject has role of insulin?,Lowers blood sugar levels,Which organ is primarily affected by the anti-diabetic medication that lowers blood sugar levels and is the subject has role of insulin?,Pancreas,Which hormone is produced by the organ primarily affected by the anti-diabetic medication that lowers blood sugar levels and is the subject has role of insulin?,Glucagon,What is the primary function of the hormone produced by the organ primarily affected by the anti-diabetic medication that lowers blood sugar levels and is the subject has role of insulin?,Raises blood sugar levels,Which type of cells in the organ primarily affected by the anti-diabetic medication that lowers blood sugar levels and is the subject has role of insulin produce the hormone that raises blood sugar levels?,Alpha cells
