topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
business_corporation,Apple,named after,apple,apple,What was Apple named after?,A fruit,0.0
business_corporation,University of Alberta,legal form,corporation,corporation,What is the legal form of University of Alberta?,Public,0.0
business_corporation,Bell Renewables,parent organization,Bell Resources,Bell Resources,What is the parent organization of Bell Renewables?,Vestas Wind Systems,0.0
business_corporation,Brent Capital,chief executive officer,Brenton Avery,Brenton Avery,Who is the chief executive officer of Brent Capital?,"I'm sorry for any inconvenience, but I don't have",0.0
business_corporation,LASAK,owned by,Zdeněk Strnad,Zdeněk Strnad,Who was LASAK owned by?,Enron,0.0
business_corporation,IMC Financial Markets,location,address,address,What is the location of IMC Financial Markets?,London,0.0
business_corporation,Tailscale Inc.,industry,software industry,software industry,What is the industry of Tailscale Inc.?,Technology,0.0
business_corporation,Thomson Reuters,follows,The Thomson Corporation,The Thomson Corporation,What does Thomson Reuters follow?,News,0.0
business_corporation,IMC Financial Markets,participant,market maker,market maker,What is the participant of IMC Financial Markets?,Investor/Client,0.0
business_corporation,Inc & Co Group,board member,Dave Antrobus,Dave Antrobus,Who is the board member of Inc & Co Group?,Board member information is not publicly disclosed for Inc & Co Group,0.0
business_corporation,Omega AI Inc.,headquarters location,San Marcos,San Marcos,What is the headquarters location of Omega AI Inc.?,New York,0.0
business_corporation,Atmel,industry,semiconductor industry,semiconductor industry,What is the industry of Atmel?,Electronics,0.0
business_corporation,Imperial Chemical Industries,owned by,AkzoNobel,AkzoNobel,What was Imperial Chemical Industries owned by?,British Government (initially),0.0
business_corporation,Bell Hub,parent organization,Bell Resources,Bell Resources,What is the parent organization of Bell Hub?,Deutsche Telekom,0.0
business_corporation,Teko,headquarters location,Sydney,Sydney,What is the headquarters location of Teko?,Teko's headquarters is in Japan,0.0
business_corporation,Big Bazar,parent organization,Mirage Retail Group,Mirage Retail Group,What is the parent organization of Big Bazar?,Future Group,0.0
business_corporation,Scopely,industry,video game,video game,What is the industry of Scopely?,Games,0.0
business_corporation,CACI,founded by,Harry Markowitz,Harry Markowitz,Who was CACI founded by?,Dr. J. Patrick Caruso and Richard M. Corkery,0.0
business_corporation,Bell Resources,director / manager,Mark Avery,Mark Avery,Who is the director / manager of Bell Resources?,I don't have real-time data or direct access to databases,0.0
business_corporation,Athabasca University,has part(s),Athabasca University Faculty of Business,Athabasca University Faculty of Business,What does Athabasca University have part(s )?,"Programs, Courses",0.0
business_corporation,Bell Resources,founded by,Mark Avery,Mark Avery,Who was Bell Resources founded by?,Bell,0.0
business_corporation,Omega AI Inc.,owned by,Andrew Stokes,Andrew Stokes,Who was Omega AI Inc. owned by?,Acquired by Microsoft,0.0
business_corporation,Corporació Catalana de Mitjans Audiovisuals,industry,social communication,social communication,What is the industry of Corporació Catalana de Mitjans Audiovisuals?,Media,0.0
business_corporation,Aveco Capital,owned by,Mark Avery,Mark Avery,Who was Aveco Capital owned by?,Unicredit Group,0.0
