subject,relation,object,question,label
Cliff Richard,place of birth,Lucknow,What is the place of birth of Cliff Richard?,Lucknow
William Daniel Hillis,employer,Applied Minds,What is the employer of William Daniel Hillis?,Applied Minds
William Daniel Hillis,educated at,Massachusetts Institute of Technology,What was William Daniel Hillis educated at?,Massachusetts Institute of Technology
William Daniel Hillis,sex or gender,male,What is the sex or gender of William Daniel Hillis?,male
Cliff Richard,country of citizenship,United Kingdom,What is the country of citizenship of Cliff Richard?,United Kingdom
Willy Bogner,place of birth,Munich,What is the place of birth of Willy Bogner?,Munich
Willy Bogner,sport,alpine skiing,What is the sport of Willy Bogner?,alpine skiing
Willy Bogner,unmarried partner,Barbara Henneberger,Who is the unmarried partner of Willy Bogner?,Barbara Henneberger
Cliff Richard,sex or gender,male,What is the sex or gender of Cliff Richard?,male
Jimmy Wales,native language,American English,What is the native language of Jimmy Wales?,American English
Willy Bogner,sex or gender,male,What is the sex or gender of Willy Bogner?,male
Willy Bogner,family name,Bogner,Who is the family name of Willy Bogner?,Bogner
William Daniel Hillis,academic degree,Doctor of Philosophy,What is the academic degree of William Daniel Hillis?,Doctor of Philosophy
Willy Bogner,country of citizenship,Germany,What is the country of citizenship of Willy Bogner?,Germany
Jimmy Wales,religion or worldview,irreligion,What is the religion or worldview of Jimmy Wales?,irreligion
Jimmy Wales,employer,Fandom,What is the employer of Jimmy Wales?,Fandom
Jimmy Wales,place of birth,Huntsville,What is the place of birth of Jimmy Wales?,Huntsville
Robin Li,employer,Baidu,What is the employer of Robin Li?,Baidu
Robin Li,residence,Beijing,What is the residence of Robin Li?,Beijing
Jimmy Wales,sex or gender,male,What is the sex or gender of Jimmy Wales?,male
Seth Bullock,conflict,Spanish–American War,What is the conflict of Seth Bullock?,Spanish–American War
Alfons Schuhbeck,native language,German,What is the native language of Alfons Schuhbeck?,German
Seth Bullock,manner of death,natural causes,What is the manner of death of Seth Bullock?,natural causes
Robin Li,given name,Robin,Who is the given name of Robin Li?,Robin
Robin Li,sex or gender,male,What is the sex or gender of Robin Li?,male
Seth Bullock,cause of death,cancer,What is the cause of death of Seth Bullock?,cancer
John Bradshaw Layfield,sport,American football,What is the sport of John Bradshaw Layfield?,American football
Alfons Schuhbeck,country of citizenship,Germany,What is the country of citizenship of Alfons Schuhbeck?,Germany
Brewster Kahle,residence,San Francisco,What is the residence of Brewster Kahle?,San Francisco
John Bradshaw Layfield,writing language,English,What is the writing language of John Bradshaw Layfield?,English
Alfons Schuhbeck,sex or gender,male,What is the sex or gender of Alfons Schuhbeck?,male
John Bradshaw Layfield,given name,John,Who is the given name of John Bradshaw Layfield?,John
Muhammad Yunus,sex or gender,male,What is the sex or gender of Muhammad Yunus?,male
Seth Bullock,spouse,Martha Bullock,Who is the spouse of Seth Bullock?,Martha Bullock
Seth Bullock,place of birth,Amherstburg,What is the place of birth of Seth Bullock?,Amherstburg
Muhammad Yunus,native language,Bangla,What is the native language of Muhammad Yunus?,Bangla
Brewster Kahle,family name,Kahle,Who is the family name of Brewster Kahle?,Kahle
Seth Bullock,place of death,Deadwood,What is the place of death of Seth Bullock?,Deadwood
Seth Bullock,sex or gender,male,What is the sex or gender of Seth Bullock?,male
