topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
health_disease,osteochondroma,health specialty,oncology,What is the health specialty of osteochondroma?,Orthopedics,0.0
health_disease,apparent life-threatening event syndrome,health specialty,pulmonology,What is the health specialty of apparent life-threatening event syndrome?,Pediatrics,0.0
health_disease,staphylococcal meningitis,health specialty,neurology,What is the health specialty of staphylococcal meningitis?,Infectious Disease,0.0
health_disease,chronic traumatic encephalopathy,said to be the same as,Dementia pugilistica,What did chronic traumatic encephalopathy say to be the same as?,Repetitive head trauma,0.0
health_disease,Erythema induratum,health specialty,infectious diseases,What is the health specialty of Erythema induratum?,Dermatology,0.0
health_disease,alphavirus infections,has cause,infection,What does alphavirus infections have cause?,Fever,0.0
health_disease,anopsia,afflicts,visual field,What does anopsia afflict?,Eyes,0.0
health_disease,dysosmia,health specialty,neurology,What is the health specialty of dysosmia?,Otolaryngology,0.0
health_disease,precursor B-cell lymphoblastic leukemia,health specialty,oncology,What is the health specialty of precursor B-cell lymphoblastic leukemia?,Hematology,0.0
health_disease,medullary carcinoma,health specialty,oncology,What is the health specialty of medullary carcinoma?,Endocrinology,0.0
health_disease,herpesviral encephalitis,genetic association,TLR3,What is the genetic association of herpesviral encephalitis?,HLA-B27,0.0
health_disease,streptococcal infection,has cause,infection,What does streptococcal infection have cause?,Bacteria,0.0
health_disease,pulicosis,has cause,infestation,What does pulicosis have cause?,Pulmonary fibrosis,0.0
health_disease,hyperphenylalaninemia,genetic association,QDPR,What is the genetic association of hyperphenylalaninemia?,PAH,0.0
health_disease,tarsal coalition,health specialty,rheumatology,What is the health specialty of tarsal coalition?,Orthopedics,0.0
health_disease,angiomatosis,health specialty,cardiology,What is the health specialty of angiomatosis?,Dermatology,0.0
health_disease,retrognathism,health specialty,gastroenterology,What is the health specialty of retrognathism?,Orthodontics,0.0
health_disease,serum sickness,health specialty,emergency medicine,What is the health specialty of serum sickness?,Immunology,0.0
health_disease,alcohol withdrawal seizure,health specialty,neurology,What is the health specialty of alcohol withdrawal seizure?,Psychiatry,0.0
health_disease,cementoma,health specialty,oncology,What is the health specialty of cementoma?,Dentistry,0.0
health_disease,osteochondritis,health specialty,rheumatology,What is the health specialty of osteochondritis?,Orthopedics,0.0
health_disease,clostridial necrotizing enteritis,has cause,infection,What does clostridial necrotizing enteritis have cause?,Toxemia,0.0
health_disease,ocular albinism type 1,health specialty,endocrinology,What is the health specialty of ocular albinism type 1?,Ophthalmology,0.0
health_disease,acanthocheilonemiasis,health specialty,infectious diseases,What is the health specialty of acanthocheilonemiasis?,Parasitology,0.0
health_disease,hysteria,studied in,psychoanalysis,What was hysteria studied in?,Psychiatry,0.0
health_disease,fluoride toxicity,has cause,poisoning,What does fluoride toxicity have cause?,Discoloration,0.0
health_disease,type 2 diabetes,afflicts,Homo sapiens,What does type 2 diabetes afflict?,Pancreas,0.0
health_disease,Caput medusae,health specialty,cardiology,What is the health specialty of Caput medusae?,Gastroenterology,0.0
health_disease,jet lag,studied in,chronobiology,What was jet lag studied in?,Physiology,0.0
health_disease,osteoid osteoma,health specialty,oncology,What is the health specialty of osteoid osteoma?,Orthopedics,0.0
health_disease,perinatal disease,health specialty,pediatrics,What is the health specialty of perinatal disease?,Obstetrics,0.0
