topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
human_athlete,Dave Baillie,sport,weightlifting,weightlifting,What is the sport of Dave Baillie?,Hockey,0.0
human_athlete,Bolesław Orliński,sex or gender,male,male,What is the sex or gender of Bolesław Orliński?,Not specified (as per publicly available information),0.0
human_athlete,"Neville Bulwer-Lytton, 3rd Earl of Lytton",place of death,Paris,Paris,"What is the place of death of Neville Bulwer-Lytton, 3rd Earl of Lytton?","Kew, England",0.0
human_athlete,Roger Bannister,employer,University of Oxford,University of Oxford,What is the employer of Roger Bannister?,Oxford University (Medical Practitioner),0.0
human_athlete,Archelaus I of Macedon,place of death,Macedonia,Macedonia,What is the place of death of Archelaus I of Macedon?,Pella,0.0
human_athlete,Joe Gold,occupation,athlete,athlete,What is the occupation of Joe Gold?,Entrepreneur,0.0
human_athlete,Aleksei Alipov,occupation,athlete,athlete,What is the occupation of Aleksei Alipov?,Engineer,0.0
human_athlete,Mandy François-Elie,place of birth,Le Lamentin,Le Lamentin,What is the place of birth of Mandy François-Elie?,Haiti,0.0
human_athlete,Martin Straka,drafted by,Pittsburgh Penguins,Pittsburgh Penguins,What was Martin Straka drafted by?,New York Rangers,0.0
human_athlete,Jarmila Nygrýnová,manner of death,natural causes,natural causes,What is the manner of death of Jarmila Nygrýnová?,Hanging,0.0
human_athlete,Yang Chengfu,place of birth,Beijing,Beijing,What is the place of birth of Yang Chengfu?,Zhejiang,0.0
human_athlete,Jiřina Kudličková,sport,athletics,athletics,What is the sport of Jiřina Kudličková?,Tennis,0.0
human_athlete,Margaret Majer,sex or gender,female,female,What is the sex or gender of Margaret Majer?,Not specified in the provided information,0.0
human_athlete,Czesław Tański,genre,portrait,portrait,What is the genre of Czesław Tański?,Polish. (Assuming the question is about the nationality of Czesław,0.0
human_athlete,Moritz Sándor,place of death,Vienna,Vienna,What is the place of death of Moritz Sándor?,Budapest,0.0
human_athlete,Tom Danielson,place of birth,East Lyme,East Lyme,What is the place of birth of Tom Danielson?,Connecticut,0.0
human_athlete,Helge Wulff,occupation,athlete,athlete,What is the occupation of Helge Wulff?,Engineer,0.0
human_athlete,Tibor Pettkó-Szandtner,sex or gender,male,male,What is the sex or gender of Tibor Pettkó-Szandtner?,Not specified in the provided information,0.0
human_athlete,Rory Stewart,father,Brian Stewart,Brian Stewart,Who is the father of Rory Stewart?,Brandon Stewart,0.0
human_athlete,Christian Hosoi,place of birth,California,California,What is the place of birth of Christian Hosoi?,Hawaii,0.0
human_athlete,Miroslav Svoboda,member of sports team,Edmonton Oilers,Edmonton Oilers,What is the member of sports team of Miroslav Svoboda?,Tennis,0.0
human_athlete,Stanisław Karpiński,military or police rank,brigadier general,brigadier general,What is the military or police rank of Stanisław Karpiński?,Colonel,0.0
human_athlete,Grantley Berkeley,social classification,slave owner,slave owner,What is the social classification of Grantley Berkeley?,Aristocrat,0.0
human_athlete,Jet Li,place of birth,Beijing,Beijing,What is the place of birth of Jet Li?,China,0.0
human_athlete,Jim Poole,place of death,Blacksburg,Blacksburg,What is the place of death of Jim Poole?,Home,0.0
human_athlete,Anton Tkáč,sport,track cycling,track cycling,What is the sport of Anton Tkáč?,Tennis,0.0
human_athlete,Adam Papée,sport,fencing,fencing,What is the sport of Adam Papée?,Tennis,0.0
human_athlete,Jindřich Zeman,sport,luge,luge,What is the sport of Jindřich Zeman?,Ice Hockey,0.0
human_athlete,Stan Mikita,position played on team / speciality,centre,centre,What is the position played on team / speciality of Stan Mikita?,Center / Hockey,0.0
human_athlete,Adam Helcelet,spouse,Denisa Rosolová,Denisa Rosolová,Who is the spouse of Adam Helcelet?,Not provided (as of my last update),0.0
human_athlete,Hana Mandlíková,place of birth,Prague,Prague,What is the place of birth of Hana Mandlíková?,Czechoslovakia,0.0
human_athlete,Iloosh Khoshabe,sex or gender,male,male,What is the sex or gender of Iloosh Khoshabe?,Not specified in the provided information,0.0
human_athlete,Jiří Mužík,sport,athletics,athletics,What is the sport of Jiří Mužík?,Tennis,0.0
human_athlete,Florence Griffith Joyner,medical condition,epilepsy,epilepsy,What is the medical condition of Florence Griffith Joyner?,Deceased (1959-1998),0.0
human_athlete,Jock Semple,place of death,Peabody,Peabody,What is the place of death of Jock Semple?,"Gleneagles, Scotland",0.0
human_athlete,Georg Lurich,sex or gender,male,male,What is the sex or gender of Georg Lurich?,Not specified (or known),0.0
