topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
business_corporation,Guard-Lee,headquarters location,Apopka,What is the headquarters location of Guard-Lee?,Guard-Lee Headquarters,0.0,"['Apopka', 'Guard-Lee Headquarters', 'Orlando', 'Miami']",Where is the headquarters of Guard-Lee located?,Is the headquarters location of Guard-Lee in Apopka?,Is the headquarters location of Guard-Lee in Guard-Lee Headquarters?,What industry is Guard-Lee known for?,Which company's headquarters are located in Apopka?,A. Apopka  B. Guard-Lee Headquarters  C. Miami  D. Orlando,A,What is the population of the headquarters location of Guard-Lee?,"53,447",What is the area in square miles of the headquarters location of Guard-Lee?,32.6 square miles,What is the elevation in feet of the headquarters location of Guard-Lee?,131 feet,In which county is the headquarters location of Guard-Lee situated?,Orange County,In which state is the county located where the headquarters location of Guard-Lee is situated?,Florida
business_corporation,Atmel,parent organization,Microchip Technology,What is the parent organization of Atmel?,Atmel Corporation,0.0,"['Microchip Technology', 'Atmel Corporation', 'Intel', 'Texas Instruments']",Which company is the parent organization of Atmel?,Is Microchip Technology the parent organization of Atmel?,Is Atmel Corporation the parent organization of Atmel?,What type of products is Atmel known for?,What company is Microchip Technology the parent organization of?,A. Atmel Corporation  B. Intel  C. Texas Instruments  D. Microchip Technology,D,Who is the CEO of the parent organization of Atmel?,Ganesh Moorthy,Which university did the CEO of the parent organization of Atmel attend for their undergraduate studies?,"Indian Institute of Technology, Bombay",In which city is the university that the CEO of the parent organization of Atmel attended located?,Mumbai,In which state is the city located where the university that the CEO of the parent organization of Atmel attended is situated?,Maharashtra,In which country is the state located where the city is situated that contains the university the CEO of the parent organization of Atmel attended?,India
business_corporation,Pinnacle West Capital Corporation,stock exchange,New York Stock Exchange,What is the stock exchange of Pinnacle West Capital Corporation?,Pinnacle West Capital Corporation is a holding company,0.0,"['New York Stock Exchange', 'Pinnacle West Capital Corporation is a holding company', 'NASDAQ', 'London Stock Exchange']",On which stock exchange is Pinnacle West Capital Corporation listed?,Is the stock exchange of Pinnacle West Capital Corporation the New York Stock Exchange?,Is the stock exchange of Pinnacle West Capital Corporation Pinnacle West Capital Corporation is a holding company?,What type of company is Pinnacle West Capital Corporation?,Which company is listed on the New York Stock Exchange?,A. Pinnacle West Capital Corporation is a holding company  B. NASDAQ  C. London Stock Exchange  D. New York Stock Exchange,D,What is the ticker symbol of Pinnacle West Capital Corporation on the New York Stock Exchange?,PNW,What is the market capitalization of the company with the ticker symbol PNW on the New York Stock Exchange?,Approximately $8 billion,Who is the CEO of the company with the market capitalization of approximately $8 billion and the ticker symbol PNW on the New York Stock Exchange?,Jeffrey B. Guldner,Which university did the CEO of the company with the market capitalization of approximately $8 billion and the ticker symbol PNW on the New York Stock Exchange attend?,University of Arizona,In which city is the university located that the CEO of the company with the market capitalization of approximately $8 billion and the ticker symbol PNW on the New York Stock Exchange attended?,Tucson
business_corporation,Corporació Catalana de Mitjans Audiovisuals,industry,social communication,What is the industry of Corporació Catalana de Mitjans Audiovisuals?,Media,0.0,"['social communication', 'Media', 'Broadcasting', 'Entertainment']",In which industry does Corporació Catalana de Mitjans Audiovisuals operate?,Is the industry of Corporació Catalana de Mitjans Audiovisuals social communication?,Is the industry of Corporació Catalana de Mitjans Audiovisuals Media?,What is the headquarters location of Corporació Catalana de Mitjans Audiovisuals?,Which organization operates in the social communication industry?,A. Media  B. social communication  C. Broadcasting  D. Entertainment,B,What is a major company in the industry of Corporació Catalana de Mitjans Audiovisuals?,Televisió de Catalunya,Who is the CEO of a major company in the industry of Corporació Catalana de Mitjans Audiovisuals?,Vicent Sanchis,Which university did the CEO of a major company in the industry of Corporació Catalana de Mitjans Audiovisuals attend?,University of Valencia,In which city is the university located that the CEO of a major company in the industry of Corporació Catalana de Mitjans Audiovisuals attended?,Valencia,In which country is the city located where the university is situated that the CEO of a major company in the industry of Corporació Catalana de Mitjans Audiovisuals attended?,Spain
business_corporation,Bell Hub,operator,Bell Resources,What is the operator of Bell Hub?,Operator,0.0,"['Bell Resources', 'Operator', 'Bell Communications', 'Bell Systems']",Who operates Bell Hub?,Is Bell Resources the operator of Bell Hub?,Is Operator the operator of Bell Hub?,What type of services does Bell Hub provide?,What does Bell Resources operate?,A. Bell Systems  B. Bell Communications  C. Bell Resources  D. Operator,C,Who is the CEO of the operator of Bell Hub?,John Smith,Which university did the CEO of the operator of Bell Hub attend for their undergraduate studies?,Harvard University,In which city is the university that the CEO of the operator of Bell Hub attended located?,Cambridge,In which state is the city located where the university that the CEO of the operator of Bell Hub attended is situated?,Massachusetts,In which country is the state located where the city is situated that contains the university the CEO of the operator of Bell Hub attended?,United States
business_corporation,Hello Games,industry,video game industry,What is the industry of Hello Games?,"Hello Games is an independent game developer based in Guildford, UK",0.0,"['video game industry', 'Hello Games is an independent game developer based in Guildford, UK', 'film industry', 'music industry']",In which industry does Hello Games operate?,Is the industry of Hello Games the video game industry?,"Is the industry of Hello Games Hello Games is an independent game developer based in Guildford, UK?",Where is Hello Games based?,Which company operates in the video game industry?,"A. Hello Games is an independent game developer based in Guildford, UK  B. video game industry  C. music industry  D. film industry",B,What is a popular game developed by a company in the video game industry?,No Man's Sky,What is the genre of a popular game developed by a company in the video game industry?,"Action-adventure, survival","Which platforms is the action-adventure, survival game developed by a company in the video game industry available on?","PlayStation 4, Xbox One, Microsoft Windows","Who is the publisher of the action-adventure, survival game available on PlayStation 4, Xbox One, and Microsoft Windows developed by a company in the video game industry?",Hello Games,"In which year was the action-adventure, survival game published by Hello Games and available on PlayStation 4, Xbox One, and Microsoft Windows released?",2016
business_corporation,Bell Resources,external auditor,BDO Australia,What is the external auditor of Bell Resources?,The external auditor of Bell Resources is PricewaterhouseCoopers.  Question,0.0,"['BDO Australia', 'The external auditor of Bell Resources is PricewaterhouseCoopers.  Question', 'Deloitte', 'KPMG']",Who serves as the external auditor for Bell Resources?,Is the external auditor of Bell Resources BDO Australia?,Is the external auditor of Bell Resources PricewaterhouseCoopers?,What industry does Bell Resources operate in?,Which company is audited by BDO Australia?,A. Deloitte  B. KPMG  C. BDO Australia  D. The external auditor of Bell Resources is PricewaterhouseCoopers.  Question,C,Who is the CEO of the external auditor of Bell Resources?,Tony Schiffmann,Which university did the CEO of the external auditor of Bell Resources attend?,University of Queensland,In which city is the university that the CEO of the external auditor of Bell Resources attended located?,Brisbane,In which state is the city located where the university that the CEO of the external auditor of Bell Resources attended is situated?,Queensland,In which country is the state located where the city is situated that contains the university the CEO of the external auditor of Bell Resources attended?,Australia
business_corporation,Bell Hub,legal form,corporation,What is the legal form of Bell Hub?,The legal form of Bell Hub is a partnership,0.0,"['corporation', 'The legal form of Bell Hub is a partnership', 'sole proprietorship', 'limited liability company']",What type of legal entity is Bell Hub?,Is the legal form of Bell Hub a corporation?,Is the legal form of Bell Hub a partnership?,What industry does Bell Hub operate in?,What entity is a corporation in this context?,A. sole proprietorship  B. limited liability company  C. corporation  D. The legal form of Bell Hub is a partnership,C,Who is the CEO of the corporation that is the legal form of Bell Hub?,John Doe,Which university did the CEO of the corporation that is the legal form of Bell Hub attend for their undergraduate studies?,Harvard University,In which city is the university that the CEO of the corporation that is the legal form of Bell Hub attended located?,Cambridge,In which state is the city located where the university that the CEO of the corporation that is the legal form of Bell Hub attended is situated?,Massachusetts,In which country is the state located where the city is situated that contains the university the CEO of the corporation that is the legal form of Bell Hub attended?,United States
business_corporation,Athabasca University,legal form,corporation,What is the legal form of Athabasca University?,"Athabasca University is a private, non-profit, post-secondary institution",0.0,"['corporation', 'Athabasca University is a private, non-profit, post-secondary institution', 'public university', 'educational institution']",What type of legal entity is Athabasca University?,Is the legal form of Athabasca University a corporation?,"Is the legal form of Athabasca University a private, non-profit, post-secondary institution?",In which country is Athabasca University located?,Which university has the legal form of a corporation?,"A. corporation  B. public university  C. educational institution  D. Athabasca University is a private, non-profit, post-secondary institution",A,Who is the president of the corporation that is the legal form of Athabasca University?,Peter Scott,Which university did the president of the corporation that is the legal form of Athabasca University attend for their undergraduate studies?,University of Edinburgh,In which city is the university that the president of the corporation that is the legal form of Athabasca University attended located?,Edinburgh,In which country is the city located where the university that the president of the corporation that is the legal form of Athabasca University attended is situated?,United Kingdom,What is the official language of the country where the city is located that contains the university the president of the corporation that is the legal form of Athabasca University attended?,English
business_corporation,OFRA Cosmetics,accredited by,People for the Ethical Treatment of Animals,What was OFRA Cosmetics accredited by?,The American Society for Testing and Materials (ASTM),0.0,"['People for the Ethical Treatment of Animals', 'The American Society for Testing and Materials (ASTM)', 'The Environmental Protection Agency (EPA)', 'The Food and Drug Administration (FDA)']",Which organization accredited OFRA Cosmetics?,Was OFRA Cosmetics accredited by People for the Ethical Treatment of Animals?,Was OFRA Cosmetics accredited by The American Society for Testing and Materials (ASTM)?,What type of products is OFRA Cosmetics known for?,Which company was accredited by People for the Ethical Treatment of Animals?,A. The Environmental Protection Agency (EPA)  B. The Food and Drug Administration (FDA)  C. People for the Ethical Treatment of Animals  D. The American Society for Testing and Materials (ASTM),C,Who is the founder of the organization that accredited OFRA Cosmetics?,Ingrid Newkirk,What is the nationality of the founder of the organization that accredited OFRA Cosmetics?,British,In which city was the founder of the organization that accredited OFRA Cosmetics born?,Surrey,In which country is the city located where the founder of the organization that accredited OFRA Cosmetics was born?,United Kingdom,What is the official language of the country where the city is located that the founder of the organization that accredited OFRA Cosmetics was born?,English
