topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
event_sport,Olympic Games,sponsor,Visa Inc.,What does Olympic Games sponsor?,The Olympic Games,0.0,"['Visa Inc.', 'The Olympic Games', 'Coca-Cola', 'Samsung']",Who is the sponsor of the Olympic Games?,Does Visa Inc. sponsor the Olympic Games?,Does The Olympic Games sponsor the Olympic Games?,In which city were the first modern Olympic Games held?,What does Visa Inc. sponsor?,A. Coca-Cola  B. Visa Inc.  C. The Olympic Games  D. Samsung,B,Who is the CEO of the company that the Olympic Games sponsor?,Alfred F. Kelly Jr.,Which university did the CEO of the company that the Olympic Games sponsor attend for their undergraduate studies?,Iona College,In which city is the university that the CEO of the company that the Olympic Games sponsor attended located?,New Rochelle,In which state is the city located where the university that the CEO of the company that the Olympic Games sponsor attended is situated?,New York,In which country is the state located where the city is situated that contains the university the CEO of the company that the Olympic Games sponsor attended?,United States
event_sport,Berlin Marathon,month of the year,September,When is the month of the year of Berlin Marathon?,The month of the year of Berlin Marathon is April,0.0,"['September', 'The month of the year of Berlin Marathon is April', 'June', 'November']",In which month does the Berlin Marathon take place?,Is the month of the year of Berlin Marathon September?,Is the month of the year of Berlin Marathon April?,In which city is the Berlin Marathon held?,What event takes place in September?,A. June  B. September  C. November  D. The month of the year of Berlin Marathon is April,B,What is the average temperature in the month of the year of Berlin Marathon?,15°C (59°F),What is the average rainfall in the month with the average temperature of 15°C (59°F) during the Berlin Marathon?,45 mm,What is the average number of rainy days in the month with the average rainfall of 45 mm during the Berlin Marathon?,10 days,What is the average humidity in the month with the average number of 10 rainy days during the Berlin Marathon?,75%,What is the average daylight duration in hours in the month with the average humidity of 75% during the Berlin Marathon?,12 hours
event_sport,Berlin Marathon,sport,athletics,What is the sport of Berlin Marathon?,The sport of Berlin Marathon is running,0.0,"['athletics', 'The sport of Berlin Marathon is running', 'cycling', 'swimming']",Which sport is associated with the Berlin Marathon?,Is the sport of Berlin Marathon athletics?,Is the sport of Berlin Marathon running?,In which city is the Berlin Marathon held?,Which event is associated with the sport of athletics?,A. The sport of Berlin Marathon is running  B. athletics  C. swimming  D. cycling,B,Who is the current world record holder in the sport of Berlin Marathon?,Eliud Kipchoge,What is the nationality of the current world record holder in the sport of Berlin Marathon?,Kenyan,Which city is the birthplace of the current world record holder in the sport of Berlin Marathon?,Kapsisiywa,In which county is the city located where the current world record holder in the sport of Berlin Marathon was born?,Nandi County,In which country is the county located where the city is situated that is the birthplace of the current world record holder in the sport of Berlin Marathon?,Kenya
event_sport,Olympic Games,sport,Olympic sport,What is the sport of Olympic Games?,The Olympic Games is a multi-sport event held every four years,0.0,"['Olympic sport', 'The Olympic Games is a multi-sport event held every four years', 'World Championship', 'Commonwealth Games']",Which sport is associated with the Olympic Games?,Is the sport of Olympic Games an Olympic sport?,Is the sport of Olympic Games a multi-sport event held every four years?,In which city were the first modern Olympic Games held?,What event is associated with the Olympic sport?,A. World Championship  B. The Olympic Games is a multi-sport event held every four years  C. Commonwealth Games  D. Olympic sport,D,Who is a famous athlete in the sport of Olympic Games?,Usain Bolt,Which country does the famous athlete in the sport of Olympic Games represent?,Jamaica,What is the capital city of the country that the famous athlete in the sport of Olympic Games represents?,Kingston,What is the population of the capital city of the country that the famous athlete in the sport of Olympic Games represents?,"Approximately 670,000",What is the main language spoken in the capital city of the country that the famous athlete in the sport of Olympic Games represents?,English
event_sport,Berlin Marathon,sponsor,BMW,What does Berlin Marathon sponsor?,"The Berlin Marathon is a marathon held in Berlin, Germany",0.0,"['BMW', 'The Berlin Marathon is a marathon held in Berlin, Germany', 'Adidas', 'Nike']",Who is the sponsor of the Berlin Marathon?,Is BMW the sponsor of the Berlin Marathon?,"Is the sponsor of the Berlin Marathon 'The Berlin Marathon is a marathon held in Berlin, Germany'?",In which city is the Berlin Marathon held?,What event is sponsored by BMW?,"A. Adidas  B. BMW  C. Nike  D. The Berlin Marathon is a marathon held in Berlin, Germany",B,What is the headquarters location of the company that Berlin Marathon sponsors?,"Munich, Germany","Who is the CEO of the company headquartered in Munich, Germany that Berlin Marathon sponsors?",Oliver Zipse,"Which university did the CEO of the company headquartered in Munich, Germany that Berlin Marathon sponsors attend?",Technische Universität Darmstadt,"In which city is the university located that the CEO of the company headquartered in Munich, Germany that Berlin Marathon sponsors attended?",Darmstadt,"In which state is the city located where the university is situated that the CEO of the company headquartered in Munich, Germany that Berlin Marathon sponsors attended?",Hesse
event_sport,Nemean Games,time period,classical antiquity,What is the time period of Nemean Games?,The Nemean Games are held every four years,0.0,"['classical antiquity', 'The Nemean Games are held every four years', 'medieval period', 'modern era']",During which era were the Nemean Games held?,Were the Nemean Games held during classical antiquity?,Were the Nemean Games held every four years?,What type of event were the Nemean Games?,Which games were held during classical antiquity?,A. classical antiquity  B. The Nemean Games are held every four years  C. medieval period  D. modern era,A,What is a notable event that took place during the time period of Nemean Games?,The Olympic Games,"Where were the Olympic Games held, which is a notable event that took place during the time period of Nemean Games?","Olympia, Greece","Who was a famous athlete that competed in the Olympic Games held in Olympia, Greece, during the time period of Nemean Games?",Milo of Croton,"What was the profession of Milo of Croton, a famous athlete who competed in the Olympic Games held in Olympia, Greece, during the time period of Nemean Games?",Wrestler,"Which city-state was Milo of Croton, a famous wrestler who competed in the Olympic Games held in Olympia, Greece, during the time period of Nemean Games, associated with?",Croton
event_sport,Nemean Games,culture,Ancient Greece,What is the culture of Nemean Games?,Nemean Games is a culture of excellence,0.0,"['Ancient Greece', 'Nemean Games is a culture of excellence', 'Roman Empire', 'Medieval Europe']",Which culture is associated with the Nemean Games?,Is the culture of Nemean Games Ancient Greece?,Is the culture of Nemean Games Nemean Games is a culture of excellence?,In which country were the Nemean Games held?,What games are associated with Ancient Greece?,A. Medieval Europe  B. Nemean Games is a culture of excellence  C. Roman Empire  D. Ancient Greece,D,What is the primary language of the culture of Nemean Games?,Ancient Greek,Who is a famous philosopher that spoke the primary language of the culture of Nemean Games?,Socrates,Who was a student of the famous philosopher that spoke the primary language of the culture of Nemean Games?,Plato,What is a famous work written by the student of the famous philosopher that spoke the primary language of the culture of Nemean Games?,The Republic,What is the main theme of the famous work written by the student of the famous philosopher that spoke the primary language of the culture of Nemean Games?,Justice
event_sport,Dakar Rally,organizer,Amaury Sport Organisation,What is the organizer of Dakar Rally?,Dakar,0.0,"['Amaury Sport Organisation', 'Dakar', ""Fédération Internationale de l'Automobile"", 'Rallye Raid']",Who organizes the Dakar Rally?,Is Amaury Sport Organisation the organizer of Dakar Rally?,Is Dakar the organizer of Dakar Rally?,In which continent does the Dakar Rally primarily take place?,What event is organized by Amaury Sport Organisation?,A. Dakar  B. Amaury Sport Organisation  C. Fédération Internationale de l'Automobile  D. Rallye Raid,B,Who is the CEO of the organizer of Dakar Rally?,Yann Le Moenner,Which company is the CEO of the organizer of Dakar Rally associated with?,Amaury Group,What is the primary business of the company associated with the CEO of the organizer of Dakar Rally?,Media and sports event management,In which country is the primary business of the company associated with the CEO of the organizer of Dakar Rally headquartered?,France,What is the capital city of the country where the primary business of the company associated with the CEO of the organizer of Dakar Rally is headquartered?,Paris
event_sport,London Marathon,sport,running,What is the sport of London Marathon?,"The London Marathon is a 26.2 mile race that takes place in London,",0.0,"['running', 'The London Marathon is a 26.2 mile race that takes place in London,', 'cycling', 'swimming']",Which sport is associated with the London Marathon?,Is the sport of the London Marathon running?,Is the sport of the London Marathon The London Marathon is a 26.2 mile race that takes place in London?,In which city does the London Marathon take place?,Which event is associated with the sport of running?,"A. running  B. cycling  C. The London Marathon is a 26.2 mile race that takes place in London,  D. swimming",A,Who won the most recent London Marathon in the sport of running?,Shura Kitata,Which country is the winner of the most recent London Marathon in the sport of running from?,Ethiopia,What is the capital city of the country that the winner of the most recent London Marathon in the sport of running is from?,Addis Ababa,What is the population of the capital city of the country that the winner of the most recent London Marathon in the sport of running is from?,Approximately 3.4 million,What is the primary language spoken in the capital city of the country that the winner of the most recent London Marathon in the sport of running is from?,Amharic
event_sport,London Marathon,country,United Kingdom,What is the country of London Marathon?,London,0.0,"['United Kingdom', 'London', 'France', 'Germany']",Which country hosts the London Marathon?,Is the country of the London Marathon the United Kingdom?,Is the country of the London Marathon London?,In which city is the London Marathon held?,What marathon is held in the United Kingdom?,A. France  B. United Kingdom  C. Germany  D. London,B,What is the capital city of the country of London Marathon?,London,What is the population of the capital city of the country of London Marathon?,Approximately 9 million,What is the name of the river that flows through the capital city of the country of London Marathon?,River Thames,What is the length of the river that flows through the capital city of the country of London Marathon?,215 miles,Into which body of water does the river that flows through the capital city of the country of London Marathon empty?,North Sea
