topic,subject,relation,object,question,output_gemma_1.1_2b_it,eval_gemma_1.1_2b_it,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
human_scientist,Guglielmo Marconi,conflict,World War I,What is the conflict of Guglielmo Marconi?,The conflict of Guglielmo Marconi was his opposition to the interference of religious authorities in,0.0,"['World War I', 'The conflict of Guglielmo Marconi was his opposition to the interference of religious authorities in', 'World War II', 'The Spanish Civil War']",In which conflict was Guglielmo Marconi involved?,Was Guglielmo Marconi involved in World War I?,Was Guglielmo Marconi's conflict his opposition to the interference of religious authorities?,What is Guglielmo Marconi famous for inventing?,Who was involved in World War I?,A. World War II  B. The Spanish Civil War  C. World War I  D. The conflict of Guglielmo Marconi was his opposition to the interference of religious authorities in,C,Which country was Guglielmo Marconi associated with during the conflict?,Italy,Who was the leader of the country Guglielmo Marconi was associated with during the conflict?,Vittorio Emanuele III,What was the title of the leader of the country Guglielmo Marconi was associated with during the conflict?,King of Italy,In which year did the leader of the country Guglielmo Marconi was associated with during the conflict become the King of Italy?,1900,Which major event marked the end of the conflict Guglielmo Marconi was involved in?,Treaty of Versailles
human_scientist,Ömer Özsoy,field of work,digital humanities,What is the field of work of Ömer Özsoy?,"Ömer Özsoy is a software engineer and entrepreneur, known for his work in",0.0,"['digital humanities', 'Ömer Özsoy is a software engineer and entrepreneur, known for his work in', 'computer science', 'data analysis']",In which field does Ömer Özsoy work?,Is Ömer Özsoy's field of work digital humanities?,"Is Ömer Özsoy a software engineer and entrepreneur, known for his work in?",What is a notable achievement or contribution of Ömer Özsoy?,Who works in the field of digital humanities?,"A. data analysis  B. computer science  C. Ömer Özsoy is a software engineer and entrepreneur, known for his work in  D. digital humanities",D,What is a notable project in the field of work of Ömer Özsoy?,Digital Ottoman Platform,Which institution is associated with a notable project in the field of work of Ömer Özsoy?,Harvard University,Who is a prominent researcher at the institution associated with a notable project in the field of work of Ömer Özsoy?,Gülru Necipoğlu,What is a significant publication by a prominent researcher at the institution associated with a notable project in the field of work of Ömer Özsoy?,The Age of Sinan: Architectural Culture in the Ottoman Empire,In which year was a significant publication by a prominent researcher at the institution associated with a notable project in the field of work of Ömer Özsoy published?,2005
human_scientist,S. Yizhar,spouse,Noemi Smilansky,Who is the spouse of S. Yizhar?,"This information is not provided in the given context, so I am unable to answer",0.0,"['Noemi Smilansky', 'This information is not provided in the given context, so I am unable to answer', 'Rachel Cohen', 'Leah Goldberg']",Who is married to S. Yizhar?,Is Noemi Smilansky the spouse of S. Yizhar?,"Is This information is not provided in the given context, so I am unable to answer the spouse of S. Yizhar?",What is S. Yizhar known for?,Who is the spouse of Noemi Smilansky?,"A. Leah Goldberg  B. This information is not provided in the given context, so I am unable to answer  C. Rachel Cohen  D. Noemi Smilansky",D,What is the profession of the spouse of S. Yizhar?,Writer,What is the title of a notable work by the spouse of S. Yizhar?,The Smell of Blue,In which year was the notable work by the spouse of S. Yizhar published?,1983,Which publishing house published the notable work by the spouse of S. Yizhar?,Am Oved,In which city is the publishing house located that published the notable work by the spouse of S. Yizhar?,Tel Aviv
human_scientist,Carl Dorno,occupation,scientist,What is the occupation of Carl Dorno?,Psychologist,0.0,"['scientist', 'Psychologist', 'Engineer', 'Teacher']",What profession does Carl Dorno have?,Is Carl Dorno's occupation a scientist?,Is Carl Dorno's occupation a Psychologist?,What field is Carl Dorno known for?,Who is a scientist by occupation?,A. Teacher  B. Psychologist  C. scientist  D. Engineer,C,What is the field of study of the scientist Carl Dorno?,bioclimatology,What is a notable contribution of the scientist Carl Dorno in the field of bioclimatology?,research on the effects of climate on human health,Which institution was Carl Dorno associated with for his research on the effects of climate on human health?,Institute of Bioclimatology in Davos,"In which country is the Institute of Bioclimatology in Davos, where Carl Dorno conducted his research, located?",Switzerland,"What is the official language of the country where the Institute of Bioclimatology in Davos, associated with Carl Dorno, is located?",German
human_scientist,Lewis Elton,country of citizenship,United Kingdom,What is the country of citizenship of Lewis Elton?,"Lewis Elton is an American singer and songwriter, so he is a US citizen",0.0,"['United Kingdom', 'Lewis Elton is an American singer and songwriter, so he is a US citizen', 'Canada', 'Australia']",Which country is Lewis Elton a citizen of?,Is the United Kingdom the country of citizenship of Lewis Elton?,Is the US the country of citizenship of Lewis Elton?,What is Lewis Elton known for in the field of education?,Who is a citizen of the United Kingdom?,"A. Lewis Elton is an American singer and songwriter, so he is a US citizen  B. Canada  C. Australia  D. United Kingdom",D,Who is the sibling of the person whose country of citizenship is the United Kingdom and is named Lewis Elton?,Geoffrey Elton,What is the profession of the sibling of the person whose country of citizenship is the United Kingdom and is named Lewis Elton?,Historian,Which university did the sibling of the person whose country of citizenship is the United Kingdom and is named Lewis Elton work at?,University of Cambridge,In which city is the university located where the sibling of the person whose country of citizenship is the United Kingdom and is named Lewis Elton worked?,Cambridge,In which country is the city located where the university is situated that the sibling of the person whose country of citizenship is the United Kingdom and is named Lewis Elton worked?,United Kingdom
human_scientist,Benedikt Buchner,country of citizenship,Germany,What is the country of citizenship of Benedikt Buchner?,The provided text does not contain any information regarding Benedikt Buchner's country of,0.0,"['Germany', ""The provided text does not contain any information regarding Benedikt Buchner's country of"", 'France', 'Italy']",Which country is Benedikt Buchner a citizen of?,Is Germany the country of citizenship of Benedikt Buchner?,Is the provided text does not contain any information regarding Benedikt Buchner's country of the country of citizenship of Benedikt Buchner?,What is a well-known attribute of Benedikt Buchner?,Who is a citizen of Germany?,A. The provided text does not contain any information regarding Benedikt Buchner's country of  B. Germany  C. Italy  D. France,B,What is the capital of the country of citizenship of Benedikt Buchner?,Berlin,What is the population of the capital of the country of citizenship of Benedikt Buchner?,Approximately 3.6 million,What is the area of the capital of the country of citizenship of Benedikt Buchner?,Approximately 891.8 square kilometers,What is the name of the river that flows through the capital of the country of citizenship of Benedikt Buchner?,Spree,What is the length of the river that flows through the capital of the country of citizenship of Benedikt Buchner?,Approximately 400 kilometers
human_scientist,Guglielmo Marconi,place of death,Rome,What is the place of death of Guglielmo Marconi?,"Genoa, Italy",0.0,"['Rome', 'Genoa, Italy', 'Milan', 'Naples']",Where did Guglielmo Marconi pass away?,Did Guglielmo Marconi die in Rome?,"Did Guglielmo Marconi die in Genoa, Italy?",What is Guglielmo Marconi famous for?,Who died in Rome?,"A. Genoa, Italy  B. Naples  C. Rome  D. Milan",C,What is the population of the place of death of Guglielmo Marconi?,2.8 million,"What is the area in square kilometers of the place with a population of 2.8 million, which is the place of death of Guglielmo Marconi?","1,285 km²","What is the name of the river that flows through the place with an area of 1,285 km², which is the place of death of Guglielmo Marconi?",Tiber,"What is the length of the river that flows through the place with an area of 1,285 km², which is the place of death of Guglielmo Marconi?",406 km,"What is the source of the river that is 406 km long and flows through the place with an area of 1,285 km², which is the place of death of Guglielmo Marconi?",Mount Fumaiolo
human_scientist,Leonardo da Vinci,country of citizenship,Republic of Florence,What is the country of citizenship of Leonardo da Vinci?,Italian,0.0,"['Republic of Florence', 'Italian', 'France', 'Spain']",Which country was Leonardo da Vinci a citizen of?,Is the Republic of Florence the country of citizenship of Leonardo da Vinci?,Is Italian the country of citizenship of Leonardo da Vinci?,What is Leonardo da Vinci famous for?,Who is a citizen of the Republic of Florence?,A. Italian  B. Republic of Florence  C. Spain  D. France,B,Who was the ruler of the Republic of Florence during the time of Leonardo da Vinci?,Lorenzo de' Medici,What was the title held by the ruler of the Republic of Florence during the time of Leonardo da Vinci?,de facto ruler,Which family did the ruler of the Republic of Florence during the time of Leonardo da Vinci belong to?,Medici,What was the primary occupation of the family that the ruler of the Republic of Florence during the time of Leonardo da Vinci belonged to?,Banking,Which famous art patronage institution was established by the family that the ruler of the Republic of Florence during the time of Leonardo da Vinci belonged to?,Uffizi Gallery
human_scientist,Andre Geim,spouse,Irina Grigorieva,Who is the spouse of Andre Geim?,"The provided text does not contain any information regarding Andre Geim's spouse,",0.0,"['Irina Grigorieva', ""The provided text does not contain any information regarding Andre Geim's spouse,"", 'Maria Sharapova', 'Elena Vesnina']",Who is Andre Geim married to?,Is Irina Grigorieva the spouse of Andre Geim?,Is the provided text does not contain any information regarding Andre Geim's spouse the spouse of Andre Geim?,What notable award has Andre Geim won?,Who is the spouse of Irina Grigorieva?,"A. The provided text does not contain any information regarding Andre Geim's spouse,  B. Maria Sharapova  C. Elena Vesnina  D. Irina Grigorieva",D,What is the profession of the spouse of Andre Geim?,Physicist,Which university is the spouse of Andre Geim affiliated with?,University of Manchester,In which city is the university that the spouse of Andre Geim is affiliated with located?,Manchester,In which country is the city located where the university that the spouse of Andre Geim is affiliated with situated?,United Kingdom,What is the official language of the country where the city is located that contains the university the spouse of Andre Geim is affiliated with?,English
human_scientist,Camillo Golgi,sex or gender,male,What is the sex or gender of Camillo Golgi?,"Gender information for Camillo Golgi is not provided in the given context, so I",0.0,"['male', 'Gender information for Camillo Golgi is not provided in the given context, so I', 'female', 'unknown']",Can you tell me the gender of Camillo Golgi?,Is the sex or gender of Camillo Golgi male?,Is the sex or gender of Camillo Golgi not provided in the given context?,What is Camillo Golgi known for in the field of science?,Who is male in the context of this fact?,"A. male  B. unknown  C. female  D. Gender information for Camillo Golgi is not provided in the given context, so I",A,Who is the spouse of the male Camillo Golgi?,Donna Lina Aletti,What is the nationality of the spouse of the male Camillo Golgi?,Italian,In which city was the spouse of the male Camillo Golgi born?,Pavia,In which region is the city located where the spouse of the male Camillo Golgi was born?,Lombardy,In which country is the region located where the city is situated that the spouse of the male Camillo Golgi was born?,Italy
