topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
human_writer,Albert Johnson,place of death,American Lake,American Lake,What is the place of death of Albert Johnson?,St. Louis,0.0
human_writer,Harold C. Ostertag,occupation,politician,politician,What is the occupation of Harold C. Ostertag?,Scientist,0.0
human_writer,Clinton Clauson,place of birth,Mitchell,Mitchell,Who is the place of birth of Clinton Clauson?,Indiana,0.0
human_writer,Daniel Morgan,military branch,Continental Army,Continental Army,What is the military branch of Daniel Morgan?,U.S. Army,0.0
human_writer,Susan Rice,father,Emmett J. Rice,Emmett J. Rice,Who is the father of Susan Rice?,Walter Rice,0.0
human_writer,Thomas Jefferson,social classification,slave owner,slave owner,What is the social classification of Thomas Jefferson?,Founding Father,0.0
human_writer,Yuri Baturin,astronaut mission,Soyuz TM-31,Soyuz TM-31,What is the astronaut mission of Yuri Baturin?,Mars Exploration (Mir),0.0
human_writer,Thomas Monteagle Bayly,member of political party,Federalist Party,Federalist Party,What is the member of political party of Thomas Monteagle Bayly?,Conservative Party (UK),0.0
human_writer,Harold C. Ostertag,conflict,World War I,World War I,What is the conflict of Harold C. Ostertag?,Patent Infringement,0.0
human_writer,David A. Bokee,work location,"Washington, D.C.","Washington, D.C.",What is the work location of David A. Bokee?,Office (assuming based on typical job titles),0.0
human_writer,John Gregg,cause of death,killed in action,killed in action,What is the cause of death of John Gregg?,Heart Attack,0.0
human_writer,Nancy Reagan,religion or worldview,Presbyterianism,Presbyterianism,What is the religion or worldview of Nancy Reagan?,Roman Catholic,0.0
human_writer,John Marshall,work location,"Washington, D.C.","Washington, D.C.",What is the work location of John Marshall?,Office (assuming John Marshall is an employee),0.0
human_writer,Nancy Reagan,father,Kenneth Seymour Robbins,Kenneth Seymour Robbins,Who is the father of Nancy Reagan?,Edward Giles Reagan Sr,0.0
human_writer,John Lefferts,occupation,politician,politician,What is the occupation of John Lefferts?,Merchant,0.0
human_writer,Mukhu Aliyev,member of political party,Communist Party of the Soviet Union,Communist Party of the Soviet Union,What is the member of political party of Mukhu Aliyev?,Azerbaijan's New Azerbaijan Party (Y,0.0
human_writer,Viktor Kress,sex or gender,male,male,What is the sex or gender of Viktor Kress?,Not specified in the provided context,0.0
human_writer,William S. Miller,work location,"Washington, D.C.","Washington, D.C.",What is the work location of William S. Miller?,Office (assuming he works in an office environment),0.0
