topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
event_history,French Revolution,has part(s),Reign of Terror,What does French Revolution have part(s )?,The French Revolution was a series of events that took place in France from 1789,0.0,"['Reign of Terror', 'The French Revolution was a series of events that took place in France from 1789', 'Storming of the Bastille', 'Declaration of the Rights of Man and of the Citizen']",What is a component of the French Revolution?,Does the French Revolution have part(s) Reign of Terror?,Does the French Revolution have part(s) The French Revolution was a series of events that took place in France from 1789?,In which country did the French Revolution take place?,What event is part of the Reign of Terror?,A. Storming of the Bastille  B. Declaration of the Rights of Man and of the Citizen  C. The French Revolution was a series of events that took place in France from 1789  D. Reign of Terror,D,"Who was a key figure during the Reign of Terror, which is a part of the French Revolution?",Maximilien Robespierre,"What was the political group led by the key figure during the Reign of Terror, which is a part of the French Revolution?",The Jacobins,"What was the primary goal of the political group led by the key figure during the Reign of Terror, which is a part of the French Revolution?",To establish a republic and eliminate enemies of the revolution,"What was the name of the committee that the political group led by the key figure during the Reign of Terror, which is a part of the French Revolution, dominated?",Committee of Public Safety,"What was the outcome for the key figure who led the political group during the Reign of Terror, which is a part of the French Revolution, after the fall of the committee they dominated?",He was executed by guillotine
event_history,Glorious Revolution,location,British Isles,What is the location of Glorious Revolution?,England,0.0,"['British Isles', 'England', 'France', 'Scotland']",Where did the Glorious Revolution take place?,Is the location of the Glorious Revolution the British Isles?,Is the location of the Glorious Revolution England?,What year did the Glorious Revolution occur?,What event took place in the British Isles?,A. England  B. Scotland  C. France  D. British Isles,D,What is the capital city of the location of Glorious Revolution?,London,Who is the current mayor of the capital city of the location of Glorious Revolution?,Sadiq Khan,Which political party does the current mayor of the capital city of the location of Glorious Revolution belong to?,Labour Party,Who is the leader of the political party that the current mayor of the capital city of the location of Glorious Revolution belongs to?,Keir Starmer,What is the constituency of the leader of the political party that the current mayor of the capital city of the location of Glorious Revolution belongs to?,Holborn and St Pancras
event_history,Velvet Revolution,has cause,totalitarianism,What does Velvet Revolution have cause?,Velvet Revolution has cause to be a revolutionary organization,0.0,"['totalitarianism', 'Velvet Revolution has cause to be a revolutionary organization', 'democracy', 'freedom']",What is the cause of the Velvet Revolution?,Does the Velvet Revolution have cause due to totalitarianism?,Does the Velvet Revolution have cause to be a revolutionary organization?,What type of government was opposed by the Velvet Revolution?,What has totalitarianism caused?,A. freedom  B. totalitarianism  C. Velvet Revolution has cause to be a revolutionary organization  D. democracy,B,Who was the leader that the Velvet Revolution has cause against?,Gustáv Husák,What position did the leader hold that the Velvet Revolution has cause against?,President of Czechoslovakia,In which year did the leader become the President of Czechoslovakia that the Velvet Revolution has cause against?,1975,Which political party was the leader a member of when he became the President of Czechoslovakia that the Velvet Revolution has cause against?,Communist Party of Czechoslovakia,What was the ideology of the political party that the leader was a member of when he became the President of Czechoslovakia that the Velvet Revolution has cause against?,Marxism-Leninism
event_history,Xinhai Revolution,location,Qing dynasty,What is the location of Xinhai Revolution?,Xinhai Revolution is located in China,0.0,"['Qing dynasty', 'Xinhai Revolution is located in China', 'Republic of China', 'Beijing']",Where did the Xinhai Revolution take place?,Is the location of the Xinhai Revolution the Qing dynasty?,Is the location of the Xinhai Revolution Xinhai Revolution is located in China?,What year did the Xinhai Revolution occur?,What revolution took place in the Qing dynasty?,A. Republic of China  B. Xinhai Revolution is located in China  C. Beijing  D. Qing dynasty,D,"Who was the last emperor of the Qing dynasty, the location of the Xinhai Revolution?",Puyi,"Who was the regent for the last emperor of the Qing dynasty, the location of the Xinhai Revolution?","Zaifeng, Prince Chun","What was the title of the regent for the last emperor of the Qing dynasty, the location of the Xinhai Revolution?",Prince Chun,"Which palace did the regent for the last emperor of the Qing dynasty, the location of the Xinhai Revolution, reside in?",Forbidden City,"In which city is the palace located where the regent for the last emperor of the Qing dynasty, the location of the Xinhai Revolution, resided?",Beijing
event_history,Russian Revolution of 1905,followed by,Russian Revolution,What was Russian Revolution of 1905 followed by?,Revolution of 1905,0.0,"['Russian Revolution', 'Revolution of 1905', 'October Revolution', 'Bolshevik Revolution']",What event came after the Russian Revolution of 1905?,Was the Russian Revolution of 1905 followed by the Russian Revolution?,Was the Russian Revolution of 1905 followed by the Revolution of 1905?,What year did the Russian Revolution of 1905 occur?,What event was followed by the Russian Revolution?,A. Revolution of 1905  B. October Revolution  C. Russian Revolution  D. Bolshevik Revolution,C,Who was the leader of the revolution that followed the Russian Revolution of 1905?,Vladimir Lenin,What political party did the leader of the revolution that followed the Russian Revolution of 1905 belong to?,Bolshevik Party,What was the main ideology of the political party that the leader of the revolution that followed the Russian Revolution of 1905 belonged to?,Marxism-Leninism,Which country was primarily influenced by the main ideology of the political party that the leader of the revolution that followed the Russian Revolution of 1905 belonged to?,Soviet Union,What was the capital of the country that was primarily influenced by the main ideology of the political party that the leader of the revolution that followed the Russian Revolution of 1905 belonged to?,Moscow
event_history,February Revolution,has cause,World War I,What does February Revolution have cause?,February Revolution,0.0,"['World War I', 'February Revolution', 'Great Depression', 'Industrial Revolution']",What was the cause of the February Revolution?,Did the February Revolution have cause World War I?,Did the February Revolution have cause February Revolution?,In which month did the February Revolution occur?,What event was caused by World War I?,A. Industrial Revolution  B. Great Depression  C. World War I  D. February Revolution,C,What was a major event that occurred during the cause of the February Revolution?,The Russian Revolution of 1917,Who was a key leader during the major event that occurred during the cause of the February Revolution?,Vladimir Lenin,Which political party was led by the key leader during the major event that occurred during the cause of the February Revolution?,Bolshevik Party,What was the primary ideology of the political party led by the key leader during the major event that occurred during the cause of the February Revolution?,Marxism-Leninism,Which country was primarily influenced by the primary ideology of the political party led by the key leader during the major event that occurred during the cause of the February Revolution?,Soviet Union
event_history,April Revolution,country,First Republic of South Korea,What is the country of April Revolution?,Cuba,0.0,"['First Republic of South Korea', 'Cuba', 'France', 'India']",Which country was involved in the April Revolution?,Is the First Republic of South Korea the country of the April Revolution?,Is Cuba the country of the April Revolution?,In which year did the April Revolution take place?,What revolution took place in the First Republic of South Korea?,A. First Republic of South Korea  B. France  C. India  D. Cuba,A,Who was the president of the country of April Revolution?,Syngman Rhee,Who succeeded the president of the country of April Revolution?,Yun Posun,Which political party did the successor of the president of the country of April Revolution belong to?,Democratic Party,Who was the leader of the political party that the successor of the president of the country of April Revolution belonged to?,Chang Myon,What position did the leader of the political party that the successor of the president of the country of April Revolution belonged to hold?,Prime Minister of South Korea
event_history,neolithic revolution,location,Fertile Crescent,What is the location of neolithic revolution?,The neolithic revolution was the transition from the hunter-gatherer lifestyle to the,0.0,"['Fertile Crescent', 'The neolithic revolution was the transition from the hunter-gatherer lifestyle to the', 'Mesopotamia', 'Nile Valley']",Where did the neolithic revolution take place?,Is the location of the neolithic revolution the Fertile Crescent?,Is the location of the neolithic revolution the transition from the hunter-gatherer lifestyle to the?,What major development is associated with the neolithic revolution?,What significant event took place in the Fertile Crescent?,A. The neolithic revolution was the transition from the hunter-gatherer lifestyle to the  B. Nile Valley  C. Fertile Crescent  D. Mesopotamia,C,What is the modern-day country that encompasses the location of the neolithic revolution?,Iraq,What is the capital city of the modern-day country that encompasses the location of the neolithic revolution?,Baghdad,What is the population of the capital city of the modern-day country that encompasses the location of the neolithic revolution?,Approximately 8.1 million,What is the main river that flows through the capital city of the modern-day country that encompasses the location of the neolithic revolution?,Tigris River,What is the length of the main river that flows through the capital city of the modern-day country that encompasses the location of the neolithic revolution?,"Approximately 1,850 kilometers"
event_history,Cuban Revolution,participant,26th of July Movement,When is the participant of Cuban Revolution?,The Cuban Revolution was in 1959,0.0,"['26th of July Movement', 'The Cuban Revolution was in 1959', 'Bay of Pigs Invasion', 'Granma Expedition']",Who took part in the Cuban Revolution?,Is the 26th of July Movement a participant of the Cuban Revolution?,Is 'The Cuban Revolution was in 1959' a participant of the Cuban Revolution?,What was the main goal of the Cuban Revolution?,What revolution did the 26th of July Movement participate in?,A. The Cuban Revolution was in 1959  B. Granma Expedition  C. Bay of Pigs Invasion  D. 26th of July Movement,D,"Who was the leader of the 26th of July Movement, the participant of the Cuban Revolution?",Fidel Castro,"What was the profession of the leader of the 26th of July Movement, the participant of the Cuban Revolution?",Lawyer,"Which university did the leader of the 26th of July Movement, the participant of the Cuban Revolution, attend for their law degree?",University of Havana,"In which city is the university located where the leader of the 26th of July Movement, the participant of the Cuban Revolution, attended for their law degree?",Havana,"In which country is the city located where the university is situated that the leader of the 26th of July Movement, the participant of the Cuban Revolution, attended for their law degree?",Cuba
event_history,Arab Spring,location,Arab world,What is the location of Arab Spring?,Egypt,0.0,"['Arab world', 'Egypt', 'Middle East', 'North Africa']",Where did the Arab Spring take place?,Is the location of Arab Spring the Arab world?,Is the location of Arab Spring Egypt?,What was a major cause of the Arab Spring?,What event took place in the Arab world?,A. Egypt  B. Middle East  C. Arab world  D. North Africa,C,Which countries are part of the location of Arab Spring?,"Tunisia, Egypt, Libya, Yemen, Syria, Bahrain",Who was the president of one of the countries that are part of the location of Arab Spring?,Zine El Abidine Ben Ali,What year did the president of one of the countries that are part of the location of Arab Spring leave office?,2011,What event led to the president of one of the countries that are part of the location of Arab Spring leaving office in 2011?,Tunisian Revolution,What was the primary cause of the event that led to the president of one of the countries that are part of the location of Arab Spring leaving office in 2011?,"Protests against corruption, unemployment, and political repression"
