topic,type,subject,relation,object,question,label,output_gemma_2_9b_it
places_city,wh,Novokuznetsk,twinned administrative body,Haifa,Which city's twinned administrative body is Novokuznetsk?,Haifa,Cheyenne
places_city,wh,Constanța,located in the administrative territorial entity,Constanța County,What is the located in the administrative territorial entity of Constanța?,Constanța County,Constanța  
places_city,wh,Constanța,located in/on physical feature,Dobruja,What is the located in/on physical feature of Constanța?,Dobruja,Black Sea coast.  
places_city,wh,Constanța,country,Romania,What is the country of Constanța?,Romania,Romania.  
places_city,wh,Constanța,replaces,Tomis,What does Constanța replace?,Tomis,"Constanța replaces ""Constanta"".  "
places_city,wh,Rochdale,twinned administrative body,Tourcoing,Which city's twinned administrative body is Rochdale?,Tourcoing,Grenoble
places_city,wh,Calais,head of government,Natacha Bouchart,Who is the head of government of Calais?,Natacha Bouchart,Mayor.  
places_city,wh,Mayenne,located in or next to body of water,Angers,Which city's located in or next to body of water is Mayenne?,Angers,Laval.  
places_city,wh,Ohio,twinned administrative body,Buenos Aires,Which city's twinned administrative body is Ohio?,Buenos Aires,Frankfurt
places_city,wh,Zakopane,twinned administrative body,Saint-Dié-des-Vosges,Which city's twinned administrative body is Zakopane?,Saint-Dié-des-Vosges,Harrogate
places_city,wh,Bruges,official language,Dutch,What is the official language of Bruges?,Dutch,Dutch  
places_city,wh,Formigine,twinned administrative body,Saumur,Which city's twinned administrative body is Formigine?,Saumur,Leicester  
places_city,wh,Christophe Béchu,head of government,Angers,Which city's head of government is Christophe Béchu?,Angers,Angers  
places_city,wh,Fort-de-France,twinned administrative body,Belém,What is the twinned administrative body of Fort-de-France?,Belém,Saint-Pierre.  
places_city,wh,Long Island Sound,located in or next to body of water,New York City,Which city's located in or next to body of water is Long Island Sound?,New York City,New York City  
places_city,wh,Uummannaq,twinned administrative body,Helsingør,Which city's twinned administrative body is Uummannaq?,Helsingør,Ilulissat  
places_city,wh,Ashkelon,country,Israel,What is the country of Ashkelon?,Israel,Israel.  
places_city,wh,Marne,named after,Champigny-sur-Marne,Which city was named after Marne?,Champigny-sur-Marne,Marne-la-Vallée  
places_city,wh,Częstochowa,official language,Polish,What is the official language of Częstochowa?,Polish,Polish
places_city,wh,Gorlice,twinned administrative body,Nyíregyháza,Which city's twinned administrative body is Gorlice?,Nyíregyháza,Cracow  
places_city,wh,Conakry,located in time zone,Greenwich Mean Time,What is the located in time zone of Conakry?,Greenwich Mean Time,GMT.  
places_city,wh,Conakry,twinned administrative body,Freetown,Which city's twinned administrative body is Conakry?,Freetown,Bordeaux
places_city,wh,Islam,named after,Islamabad,Which city was named after Islam?,Islamabad,Islamabad  
places_city,wh,Henry Morton Stanley,founded by,Kinshasa,Which city was founded by Henry Morton Stanley?,Kinshasa,Stanleyville
places_city,wh,Cape Coast,replaces,Accra,Which city replaces Cape Coast?,Accra,Accra  
places_city,wh,Beersheba,office held by head of government,mayor,What is the office held by head of government of Beersheba?,mayor,Mayor  
places_city,wh,Beersheba,country,Israel,What is the country of Beersheba?,Israel,Israel  
places_city,wh,Rzeszów,located in the administrative territorial entity,Subcarpathian Voivodeship,What is the located in the administrative territorial entity of Rzeszów?,Subcarpathian Voivodeship,Rzeszów  
places_city,wh,Veneti,named after,Venice,Which city was named after Veneti?,Venice,Venice
places_city,wh,Brčko,twinned administrative body,Samsun,Which city's twinned administrative body is Brčko?,Samsun,Brčko District  
places_city,wh,Erzurum Province,located in the administrative territorial entity,Erzurum,Which city's located in the administrative territorial entity is Erzurum Province?,Erzurum,Erzurum  
places_city,wh,Apia,twinned administrative body,Compton,What is the twinned administrative body of Apia?,Compton,None.  
places_city,wh,Uman,twinned administrative body,Gniezno,Which city's twinned administrative body is Uman?,Gniezno,Kiev
places_city,wh,Boulder,twinned administrative body,Dushanbe,Which city's twinned administrative body is Boulder?,Dushanbe,Tsukuba
places_city,wh,Asahikawa,twinned administrative body,Harbin,Which city's twinned administrative body is Asahikawa?,Harbin,Fairbanks  
places_city,wh,Saint-Valery-en-Caux,twinned administrative body,Inverness,Which city's twinned administrative body is Saint-Valery-en-Caux?,Inverness,Newhaven  
places_city,wh,Bakersfield,twinned administrative body,Amritsar,Which city's twinned administrative body is Bakersfield?,Amritsar,Tijuana  
places_city,wh,Benno,patron saint,Munich,Which city's patron saint is Benno?,Munich,Hamburg
places_city,wh,Kalamazoo,twinned administrative body,Kingston,Which city's twinned administrative body is Kalamazoo?,Kingston,Tsukuba
places_city,wh,Naperville,twinned administrative body,Cancun,Which city's twinned administrative body is Naperville?,Cancun,Nara
places_city,wh,Argenteuil,twinned administrative body,Alessandria,Which city's twinned administrative body is Argenteuil?,Alessandria,London
places_city,wh,Piana degli Albanesi,twinned administrative body,Tirana,Which city's twinned administrative body is Piana degli Albanesi?,Tirana,Berat
places_city,wh,Argentina,located in the administrative territorial entity,Buenos Aires,Which city's located in the administrative territorial entity is Argentina?,Buenos Aires,Buenos Aires  
places_city,wh,Waregem,twinned administrative body,Pardubice,Which city's twinned administrative body is Waregem?,Pardubice,Wareham
places_city,wh,Emil Boc,head of government,Cluj-Napoca,Which city's head of government is Emil Boc?,Cluj-Napoca,Cluj-Napoca  
