topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
technology_programming_language,Haml,developer,Hampton Lintorn-Catlin,Who is the developer of Haml?,Ruby,0.0,"['Hampton Lintorn-Catlin', 'Ruby', 'Sass', 'Chris Eppstein']",Who developed Haml?,Is Hampton Lintorn-Catlin the developer of Haml?,Is Ruby the developer of Haml?,What is Haml primarily used for?,Who was developed by Hampton Lintorn-Catlin?,A. Hampton Lintorn-Catlin  B. Sass  C. Ruby  D. Chris Eppstein,A,Who is the spouse of the developer of Haml?,Michael Lintorn-Catlin,What is the profession of the spouse of the developer of Haml?,Software Developer,Which company does the spouse of the developer of Haml work for?,Rent the Runway,In which city is the company located where the spouse of the developer of Haml works?,New York City,In which state is the city located where the company is situated that employs the spouse of the developer of Haml?,New York
technology_programming_language,Squeak,platform,cross-platform,What is the platform of Squeak?,Squeak is a Smalltalk-based programming language,0.0,"['cross-platform', 'Squeak is a Smalltalk-based programming language', 'Windows', 'Linux']",On which platform does Squeak operate?,Is the platform of Squeak cross-platform?,Is the platform of Squeak Squeak is a Smalltalk-based programming language?,What programming language is Squeak based on?,What software operates on a cross-platform?,A. cross-platform  B. Windows  C. Linux  D. Squeak is a Smalltalk-based programming language,A,Who is the creator of the platform of Squeak?,Alan Kay,What is the notable invention of the creator of the platform of Squeak?,Smalltalk,Which company did the creator of the platform of Squeak work for when he invented his notable invention?,Xerox PARC,In which city is the company located where the creator of the platform of Squeak worked when he invented his notable invention?,Palo Alto,In which state is the city located where the company is situated that employed the creator of the platform of Squeak when he invented his notable invention?,California
technology_programming_language,dBase,programming paradigm,imperative programming,What is the programming paradigm of dBase?,dBase is a database management system,0.0,"['imperative programming', 'dBase is a database management system', 'object-oriented programming', 'functional programming']",Which programming paradigm does dBase follow?,Is the programming paradigm of dBase imperative programming?,Is the programming paradigm of dBase dBase is a database management system?,What type of software is dBase known for being?,Which software follows the imperative programming paradigm?,A. object-oriented programming  B. functional programming  C. imperative programming  D. dBase is a database management system,C,What is a popular programming language that follows the programming paradigm of dBase?,C,Who is the creator of a popular programming language that follows the programming paradigm of dBase?,Dennis Ritchie,Which company did the creator of a popular programming language that follows the programming paradigm of dBase work for?,Bell Labs,In which year was the company founded where the creator of a popular programming language that follows the programming paradigm of dBase worked?,1925,Who was the founder of the company that was founded in 1925 where the creator of a popular programming language that follows the programming paradigm of dBase worked?,Alexander Graham Bell
technology_programming_language,Gambit,operating system,GNU/Linux,What is the operating system of Gambit?,Gambit is a free and open source operating system,0.0,"['GNU/Linux', 'Gambit is a free and open source operating system', 'Windows', 'macOS']",Which operating system does Gambit use?,Is the operating system of Gambit GNU/Linux?,Is the operating system of Gambit Gambit is a free and open source operating system?,What type of software is Gambit known for?,What is the operating system that uses Gambit?,A. macOS  B. Windows  C. GNU/Linux  D. Gambit is a free and open source operating system,C,Who is the creator of the operating system of Gambit?,Linus Torvalds,What is the nationality of the creator of the operating system of Gambit?,Finnish,What is the capital city of the country of the creator of the operating system of Gambit?,Helsinki,What is the population of the capital city of the country of the creator of the operating system of Gambit?,"Approximately 631,695",What is the official language spoken in the capital city of the country of the creator of the operating system of Gambit?,Finnish
technology_programming_language,CoffeeScript,copyright license,MIT License,What is the copyright license of CoffeeScript?,"Copyright © 2011-2012, Jeremy Ashkenas",0.0,"['MIT License', 'Copyright © 2011-2012, Jeremy Ashkenas', 'GPL License', 'Apache License']",Under which license is CoffeeScript copyrighted?,Is the copyright license of CoffeeScript the MIT License?,"Is the copyright license of CoffeeScript Copyright © 2011-2012, Jeremy Ashkenas?",What programming language is CoffeeScript often compiled into?,Which programming language is licensed under the MIT License?,"A. GPL License  B. MIT License  C. Apache License  D. Copyright © 2011-2012, Jeremy Ashkenas",B,Who is the author of the copyright license of CoffeeScript?,Massachusetts Institute of Technology,In which city is the author of the copyright license of CoffeeScript located?,Cambridge,In which state is the city located where the author of the copyright license of CoffeeScript is situated?,Massachusetts,In which country is the state located where the city is situated that contains the author of the copyright license of CoffeeScript?,United States,What is the official language of the country where the state is located that contains the city where the author of the copyright license of CoffeeScript is situated?,English
technology_programming_language,SCM,maintained by,Aubrey Jaffer,Who was SCM maintained by?,SCM was maintained by the SCM team,0.0,"['Aubrey Jaffer', 'SCM was maintained by the SCM team', 'Richard Stallman', 'Linus Torvalds']",Who is responsible for maintaining SCM?,Is SCM maintained by Aubrey Jaffer?,Is SCM maintained by the SCM team?,What programming language is SCM associated with?,Who maintains Aubrey Jaffer?,A. Linus Torvalds  B. Aubrey Jaffer  C. Richard Stallman  D. SCM was maintained by the SCM team,B,What is the profession of the person who maintained SCM?,Computer Scientist,Which university did the computer scientist who maintained SCM attend?,MIT,In which city is the university located that the computer scientist who maintained SCM attended?,Cambridge,In which state is the city located where the university that the computer scientist who maintained SCM attended is situated?,Massachusetts,In which country is the state located where the city is situated that contains the university the computer scientist who maintained SCM attended?,United States
technology_programming_language,Swift,creator,Apple,What is the creator of Swift?,Swift,0.0,"['Apple', 'Swift', 'Google', 'Microsoft']",Who developed Swift?,Is Apple the creator of Swift?,Is Swift the creator of Swift?,What type of programming language is Swift?,What did Apple create?,A. Google  B. Swift  C. Microsoft  D. Apple,D,Who is the CEO of the company that is the creator of Swift?,Tim Cook,Which university did the CEO of the company that is the creator of Swift attend for their undergraduate studies?,Auburn University,In which city is the university that the CEO of the company that is the creator of Swift attended located?,Auburn,In which state is the city located where the university that the CEO of the company that is the creator of Swift attended is situated?,Alabama,In which country is the state located where the city is situated that contains the university the CEO of the company that is the creator of Swift attended?,United States
technology_programming_language,Gauche,programmed in,Scheme,What was Gauche programmed in?,Gauche,0.0,"['Scheme', 'Gauche', 'Python', 'Java']",In which programming language was Gauche developed?,Was Gauche programmed in Scheme?,Was Gauche programmed in Gauche?,What type of software is Gauche?,Which software was programmed in Scheme?,A. Scheme  B. Gauche  C. Java  D. Python,A,Who is the creator of the language that Gauche was programmed in?,Guy L. Steele and Gerald Jay Sussman,Which university did the creator of the language that Gauche was programmed in attend?,Massachusetts Institute of Technology (MIT),In which city is the university located that the creator of the language that Gauche was programmed in attended?,Cambridge,In which state is the city located where the university is situated that the creator of the language that Gauche was programmed in attended?,Massachusetts,In which country is the state located where the city is situated that contains the university the creator of the language that Gauche was programmed in attended?,United States
technology_programming_language,GNU Octave,writable file format,Hierarchical Data Format,What is the writable file format of GNU Octave?,Octave uses the GNU Octave format,0.0,"['Hierarchical Data Format', 'Octave uses the GNU Octave format', 'Comma-Separated Values', 'Extensible Markup Language']",Which file format can GNU Octave write to?,Is the writable file format of GNU Octave Hierarchical Data Format?,Is the writable file format of GNU Octave Octave uses the GNU Octave format?,What type of software is GNU Octave known for being?,Which software can write to the Hierarchical Data Format?,A. Extensible Markup Language  B. Comma-Separated Values  C. Hierarchical Data Format  D. Octave uses the GNU Octave format,C,What is the primary use of the writable file format of GNU Octave?,Storing and managing large amounts of data,Which organization developed the primary use of the writable file format of GNU Octave?,National Center for Supercomputing Applications (NCSA),In which year was the organization that developed the primary use of the writable file format of GNU Octave founded?,1986,Who was the founding director of the organization that developed the primary use of the writable file format of GNU Octave?,Larry Smarr,Which university is affiliated with the founding director of the organization that developed the primary use of the writable file format of GNU Octave?,University of Illinois at Urbana-Champaign
technology_programming_language,CLISP,creator,Bruno Haible,Who is the creator of CLISP?,Lisp,0.0,"['Bruno Haible', 'Lisp', 'Richard Stallman', 'John McCarthy']",Who developed CLISP?,Is Bruno Haible the creator of CLISP?,Is Lisp the creator of CLISP?,What programming language is CLISP an implementation of?,Who did Bruno Haible create?,A. Bruno Haible  B. John McCarthy  C. Lisp  D. Richard Stallman,A,What is the nationality of the creator of CLISP?,German,What is the primary programming language used by the creator of CLISP?,Common Lisp,Which organization is associated with the primary programming language used by the creator of CLISP?,ANSI (American National Standards Institute),In which year did the organization associated with the primary programming language used by the creator of CLISP standardize it?,1994,Who was the chair of the committee that standardized the primary programming language used by the creator of CLISP in 1994?,Guy L. Steele Jr.
