topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
human_athlete,Bohuslav Ebermann,place of birth,Vochov,Who is the place of birth of Bohuslav Ebermann?,Prague,0.0
human_athlete,Josef Pešice,position played on team / speciality,midfielder,What is the position played on team / speciality of Josef Pešice?,Goalkeeper,0.0
human_athlete,Tibor Pettkó-Szandtner,place of birth,Pezinok,What is the place of birth of Tibor Pettkó-Szandtner?,Budapest,0.0
human_athlete,Alfredo Deza,place of birth,Talara Province,What is the place of birth of Alfredo Deza?,Lima,0.0
human_athlete,Peter Blake,field of work,sailing,What is the field of work of Peter Blake?,Art,0.0
human_athlete,Léonce Deprez,work location,Paris,What is the work location of Léonce Deprez?,Brussels,0.0
human_athlete,Sheila Taormina,place of birth,Livonia,What is the place of birth of Sheila Taormina?,California,0.0
human_athlete,Jorge Rodas,place of birth,Jalapa,What is the place of birth of Jorge Rodas?,Guatemala,0.0
human_athlete,Cédric Fèvre-Chevalier,occupation,athlete,What is the occupation of Cédric Fèvre-Chevalier?,Chef,0.0
human_athlete,Arnold Green,place of death,Tallinn,What is the place of death of Arnold Green?,London,0.0
human_athlete,Laurent Cadot,place of birth,Aurillac,What is the place of birth of Laurent Cadot?,Paris,0.0
human_athlete,Marian Borzemski,place of death,Limanowa,What is the place of death of Marian Borzemski?,Warsaw,0.0
human_athlete,Callias II,spouse,Elpinice,What is the spouse of Callias II?,Phryne,0.0
human_athlete,Adam Wolff,place of death,Warsaw,What is the place of death of Adam Wolff?,Berlin,0.0
human_athlete,Bo Munthe,occupation,athlete,What is the occupation of Bo Munthe?,Doctor,0.0
human_athlete,Franciszek Hynek,conflict,World War I,What is the conflict of Franciszek Hynek?,Nationalism,0.0
human_athlete,Christine Theiss,work location,Bayreuth,What is the work location of Christine Theiss?,Germany,0.0
human_athlete,Jan Řehula,place of birth,Cheb,What is the place of birth of Jan Řehula?,Prague,0.0
human_athlete,Miloslav Hořava,drafted by,Edmonton Oilers,What was Miloslav Hořava drafted by?,Cleveland Browns,0.0
human_athlete,Josef Sloup-Štaplík,coach of sports team,SK Slavia Prague,What is the coach of sports team of Josef Sloup-Štaplík?,Vlastimil Kopecký,0.0
human_athlete,Jock Semple,place of death,Peabody,What is the place of death of Jock Semple?,Boston,0.0
human_athlete,Kevin Peter Hall,place of death,Hollywood,What is the place of death of Kevin Peter Hall?,Pennsylvania,0.0
human_athlete,Adam Skoczylas,place of birth,Bielsko-Biała,What is the place of birth of Adam Skoczylas?,Poland,0.0
human_athlete,Jan Marek,drafted by,New York Rangers,What was Jan Marek drafted by?,Anaheim,0.0
