topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
human_scientist,Berthold Vogl,sex or gender,male,male,What is the sex or gender of Berthold Vogl?,Not specified in the provided information,0.0
human_scientist,Benjamin Constant,sex or gender,male,male,What is the sex or gender of Benjamin Constant?,"Not applicable (Benjamin Constant was a historical figure, not a living person",0.0
human_scientist,Boris Vladimirtsov,sex or gender,male,male,What is the sex or gender of Boris Vladimirtsov?,Not specified in the provided information,0.0
human_scientist,Boris Petrovich Komrakow,place of birth,Ivano-Frankivsk,Ivano-Frankivsk,What is the place of birth of Boris Petrovich Komrakow?,Russia,0.0
human_scientist,Leonhard Euler,medical condition,blindness,blindness,What is the medical condition of Leonhard Euler?,Deceased (died 1783),0.0
human_scientist,Hugh H. Young,member of political party,Democratic Party,Democratic Party,What is the member of political party of Hugh H. Young?,Republican,0.0
human_scientist,Anna Heer,partner in business or sport,Marie Heim-Vögtlin,Marie Heim-Vögtlin,Who is the partner in business or sport of Anna Heer?,Kader Abderhamane,0.0
human_scientist,Francesco Redi,place of birth,Arezzo,Arezzo,What is the place of birth of Francesco Redi?,Florence,0.0
human_scientist,Leonardo da Vinci,country of citizenship,Republic of Florence,Republic of Florence,What is the country of citizenship of Leonardo da Vinci?,Italy,0.0
human_scientist,Charles K. Kao,doctoral advisor,Harold Barlow,Harold Barlow,Who is the doctoral advisor of Charles K. Kao?,Ellis Silvio  (Note: This is the name of the,0.0
human_scientist,Gregory Goodwin Pincus,place of birth,Woodbine,Woodbine,What is the place of birth of Gregory Goodwin Pincus?,United States,0.0
human_scientist,Étienne-Jules Marey,place of death,Paris,Paris,What is the place of death of Étienne-Jules Marey?,Algiers,0.0
human_scientist,Lawrence Summers,spouse,Elisa New,Elisa New,Who is the spouse of Lawrence Summers?,Elaine Chao,0.0
human_scientist,Karl Friedrich Wilhelm Peters,place of death,Königsberg,Königsberg,What is the place of death of Karl Friedrich Wilhelm Peters?,Tahiti,0.0
human_scientist,Sergei Izotov,field of work,aircraft industry,aircraft industry,What is the field of work of Sergei Izotov?,Physics,0.0
human_scientist,Semyon Lavochkin,conflict,Eastern Front,Eastern Front,What is the conflict of Semyon Lavochkin?,Lavochkin's conflict (in the context of space history) refers to,0.0
human_scientist,Robert Winston,employer,Imperial College London,Imperial College London,What is the employer of Robert Winston?,BBC (British Broadcasting Corporation),0.0
human_scientist,Hans Jenny,sex or gender,male,male,What is the sex or gender of Hans Jenny?,Not specified (or known),0.0
human_scientist,Carl Dorno,sex or gender,male,male,What is the sex or gender of Carl Dorno?,Not specified in the provided context,0.0
human_scientist,Alberto Granado,second family name in Spanish name,Romero,Romero,Who is the second family name in Spanish name of Alberto Granado?,Granado,0.0
human_scientist,Ben Goldacre,employer,University of Oxford,University of Oxford,What is the employer of Ben Goldacre?,The Guardian (UK),0.0
human_scientist,Alfred Jante,sex or gender,male,male,What is the sex or gender of Alfred Jante?,"Alfred Jante is a fictional character, and therefore does not have a sex",0.0
human_scientist,Janko Ferk,sex or gender,male,male,What is the sex or gender of Janko Ferk?,Not specified in the provided information,0.0
human_scientist,Étienne Pariset,place of birth,Grand,Grand,What is the place of birth of Étienne Pariset?,France,0.0
human_scientist,Luboš Kohoutek,place of death,Bergedorf,Bergedorf,What is the place of death of Luboš Kohoutek?,Prague,0.0
human_scientist,Émile Coué,place of death,Nancy,Nancy,Who is the place of death of Émile Coué?,"Saint-Maurice-sur-Aveyron, France",0.0
