topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
health_disease,pseudoporphyria,health specialty,endocrinology,What is the health specialty of pseudoporphyria?,Dermatology,0.0
health_disease,apparent life-threatening event syndrome,health specialty,pulmonology,What is the health specialty of apparent life-threatening event syndrome?,Emergency Medicine,0.0
health_disease,aneurysm,health specialty,vascular surgery,What is the health specialty of aneurysm?,Neurosurgery or Radiology (Interventional),0.0
health_disease,microtia,health specialty,medical genetics,What is the health specialty of microtia?,Plastic surgery,0.0
health_disease,folate deficiency,health specialty,endocrinology,What is the health specialty of folate deficiency?,Nutrition/Metabolism,0.0
health_disease,Lymphangiectasia,health specialty,angiology,What is the health specialty of Lymphangiectasia?,Gastroenterology,0.0
health_disease,dermatochalasis,genetic association,ATP6V0A2,What is the genetic association of dermatochalasis?,Genetic,0.0
health_disease,venous ulcer,drug or therapy used for treatment,becaplermin,What is the drug or therapy used for treatment of venous ulcer?,Compression therapy,0.0
health_disease,anopsia,medical examination,visual field test,What is the medical examination of anopsia?,Neurological examination (or MRI/CT scan if needed),0.0
health_disease,adenovirus infection,has cause,Adenoviridae,What does adenovirus infection have cause?,Human contact or environment,0.0
health_disease,vitreous hemorrhage,anatomical location,vitreous humour,What is the anatomical location of vitreous hemorrhage?,Eye,0.0
health_disease,Erythema induratum,health specialty,infectious diseases,What is the health specialty of Erythema induratum?,Dermatology,0.0
health_disease,osteochondritis,health specialty,rheumatology,What is the health specialty of osteochondritis?,Orthopedics,0.0
health_disease,receptive aphasia,health specialty,neurology,What is the health specialty of receptive aphasia?,Language Disorders (Speech-Language Pathology),0.0
health_disease,fetal death,main subject,death,What is the main subject of fetal death?,Deceased Fetus,0.0
health_disease,anopsia,health specialty,ophthalmology,What is the health specialty of anopsia?,"Anopsia is a visual field defect, not a health specialty. It",0.0
health_disease,Plagiocephaly,health specialty,medical genetics,What is the health specialty of Plagiocephaly?,Pediatrics,0.0
health_disease,nymphomania,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of nymphomania?,Richard von Krafft-Ebing,0.0
health_disease,cerebrospinal fluid leak,has cause,blunt trauma,What does cerebrospinal fluid leak have cause?,Trauma or abnormal pressure,0.0
health_disease,borreliosis,has cause,infection,What does borreliosis have cause?,Borrelia bacteria,0.0
health_disease,radiation burn,has cause,irradiation,What does radiation burn have cause?,Nuclear or atomic reaction,0.0
health_disease,kidney neoplasm,anatomical location,kidney,What is the anatomical location of kidney neoplasm?,Abdomen,0.0
health_disease,ocular albinism type 1,health specialty,endocrinology,What is the health specialty of ocular albinism type 1?,Ocular albinism type 1 is an ophthalmological condition,0.0
health_disease,urogenital neoplasm,health specialty,oncology,What is the health specialty of urogenital neoplasm?,Urology,0.0
health_disease,bone cyst,health specialty,rheumatology,What is the health specialty of bone cyst?,Orthopedics,0.0
health_disease,pretibial myxedema,health specialty,endocrinology,What is the health specialty of pretibial myxedema?,Dermatology,0.0
health_disease,air embolism,afflicts,diver,What does air embolism afflict?,Person,0.0
health_disease,recurrent pneumonia,health specialty,infectious diseases,What is the health specialty of recurrent pneumonia?,Pulmonology,0.0
health_disease,aboulia,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of aboulia?,Phineas Gage,0.0
