topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
places_city,Barcelona,patron saint,Virgin of Mercy,Virgin of Mercy,What is the patron saint of Barcelona?,Saint George,0.0
places_city,Świerzawa,located in the administrative territorial entity,Gmina Świerzawa,Gmina Świerzawa,Who is the located in the administrative territorial entity of Świerzawa?,"Świerzawa is a village, so it is not located in any specific",0.0
places_city,Oni,country,Georgia,Georgia,What is the country of Oni?,Japan,0.0
places_city,Merca,located in the administrative territorial entity,Lower Shebelle,Lower Shebelle,What is the located in the administrative territorial entity of Merca?,Capital,0.0
places_city,Siddharthanagar,located in the administrative territorial entity,Rupandehi District,Rupandehi District,What is the located in the administrative territorial entity of Siddharthanagar?,District (Nawalparasi),0.0
places_city,Reyes,located in the administrative territorial entity,José Ballivián Province,José Ballivián Province,Who is the located in the administrative territorial entity of Reyes?,"Reyes is a municipality in Cuba, so the people are Cuban",0.0
places_city,Przedbórz,located in the administrative territorial entity,Gmina Przedbórz,Gmina Przedbórz,Who is the located in the administrative territorial entity of Przedbórz?,Poland,0.0
places_city,Altena,located in the administrative territorial entity,Märkischer Kreis,Märkischer Kreis,Who is the located in the administrative territorial entity of Altena?,City,0.0
places_city,Salt,heritage designation,World Heritage Site,World Heritage Site,What is the heritage designation of Salt?,Salt does not have a heritage designation. It is a common mineral,0.0
places_city,Łódź,head of government,Hanna Zdanowska,Hanna Zdanowska,Who is the head of government of Łódź?,Halski (as of 2021),0.0
places_city,Viekšniai,located in or next to body of water,Venta,Venta,What is the located in or next to body of water of Viekšniai?,Lake (or Lithuanian: Viekšnių ežeras,0.0
places_city,Pilar,located in the administrative territorial entity,Ñeembucú Department,Ñeembucú Department,What is the located in the administrative territorial entity of Pilar?,"Pilar (Argentina) is a city, not an administrative territorial",0.0
places_city,Peja,located in the administrative territorial entity,Peja Municipality,Peja Municipality,What is the located in the administrative territorial entity of Peja?,Peja is the city,0.0
places_city,Ozimek,located in the administrative territorial entity,Gmina Ozimek,Gmina Ozimek,Who is the located in the administrative territorial entity of Ozimek?,Poland,0.0
places_city,Ain Aouda,located in the administrative territorial entity,Skhirat-Témara Prefecture,Skhirat-Témara Prefecture,What is the located in the administrative territorial entity of Ain Aouda?,Casablanca,0.0
places_city,Taichung,country,Republic of China,Republic of China,What is the country of Taichung?,Taiwan,0.0
places_city,Bulgan,located in the administrative territorial entity,Bulgan Province,Bulgan Province,What is the located in the administrative territorial entity of Bulgan?,Mongolia,0.0
places_city,Punta Alta,located in the administrative territorial entity,Coronel Rosales Partido,Coronel Rosales Partido,Who is the located in the administrative territorial entity of Punta Alta?,Varese is not located in Punta Alta. Punta Alta,0.0
places_city,Pattaya,located in the administrative territorial entity,Bang Lamung,Bang Lamung,Who is the located in the administrative territorial entity of Pattaya?,Thailand,0.0
places_city,Skępe,located in the administrative territorial entity,Gmina Skępe,Gmina Skępe,What is the located in the administrative territorial entity of Skępe?,Skępe (a village in Poland) is located in the Kuyav,0.0
places_city,Tianjin,head of government,Huang Xingguo,Huang Xingguo,Who is the head of government of Tianjin?,"The head of government of Tianjin is the Mayor, currently Wang D",0.0
places_city,Moncton,located in the administrative territorial entity,Westmorland County,Westmorland County,What is the located in the administrative territorial entity of Moncton?,Moncton (city) is located in New Brunswick (province,0.0
places_city,Kibuye,located in the administrative territorial entity,Western Province,Western Province,What is the located in the administrative territorial entity of Kibuye?,Lake Kivu,0.0
places_city,Isparta,located in the administrative territorial entity,Isparta Province,Isparta Province,What is the located in the administrative territorial entity of Isparta?,City of Isparta,0.0
places_city,Toliara,located in the administrative territorial entity,Atsimo-Andrefana,Atsimo-Andrefana,What is the located in the administrative territorial entity of Toliara?,"Region of Atsimo-Atsinanana, Madagascar",0.0
places_city,Wyszków,located in the administrative territorial entity,Gmina Wyszków,Gmina Wyszków,Who is the located in the administrative territorial entity of Wyszków?,Poland,0.0
places_city,Arvida,country,Canada,Canada,What is the country of Arvida?,Finland,0.0
places_city,Cochabamba,head of government,Manfred Reyes Villa,Manfred Reyes Villa,Who is the head of government of Cochabamba?,"I'm sorry for any inconvenience, but I'm unable to",0.0
places_city,Woodstock,country,Canada,Canada,What is the country of Woodstock?,USA,0.0
places_city,Antibes,located in or next to body of water,Brague,Brague,What is the located in or next to body of water of Antibes?,Harbor,0.0
places_city,Maipú,located in the administrative territorial entity,Maipú Department,Maipú Department,What is the located in the administrative territorial entity of Maipú?,City (or Municipality),0.0
places_city,Mbalmayo,located in the administrative territorial entity,Nyong-et-So'o,Nyong-et-So'o,Who is the located in the administrative territorial entity of Mbalmayo?,Cameroon,0.0
places_city,Berat,located in the administrative territorial entity,Berat Municipality,Berat Municipality,What is the located in the administrative territorial entity of Berat?,Berat is the city,0.0
