topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
health_disease,cervical intraepithelial neoplasia,health specialty,oncology,What is the health specialty of cervical intraepithelial neoplasia?,Gynecology,0.0,"['oncology', 'Gynecology', 'Dermatology', 'Cardiology']",Which medical specialty deals with cervical intraepithelial neoplasia?,Is the health specialty of cervical intraepithelial neoplasia oncology?,Is the health specialty of cervical intraepithelial neoplasia gynecology?,What type of cells are affected by cervical intraepithelial neoplasia?,What condition is associated with the health specialty of oncology?,A. oncology  B. Cardiology  C. Gynecology  D. Dermatology,A,Who is a notable specialist in the health specialty of cervical intraepithelial neoplasia?,Harold P. Freeman,Which institution is associated with the notable specialist in the health specialty of cervical intraepithelial neoplasia?,Mount Sinai Hospital,In which city is the institution located that is associated with the notable specialist in the health specialty of cervical intraepithelial neoplasia?,New York City,In which state is the city located where the institution associated with the notable specialist in the health specialty of cervical intraepithelial neoplasia is situated?,New York,In which country is the state located where the city is situated that contains the institution associated with the notable specialist in the health specialty of cervical intraepithelial neoplasia?,United States
health_disease,diverticulum,health specialty,gastroenterology,What is the health specialty of diverticulum?,Diverticulitis,0.0,"['gastroenterology', 'Diverticulitis', 'cardiology', 'neurology']",Which medical specialty deals with diverticulum?,Is gastroenterology the health specialty of diverticulum?,Is Diverticulitis the health specialty of diverticulum?,What part of the body is commonly associated with diverticulum?,What condition does gastroenterology specialize in related to diverticulum?,A. gastroenterology  B. Diverticulitis  C. cardiology  D. neurology,A,Who is a notable gastroenterologist specializing in diverticulum?,Dr. Michael F. Picco,"Which hospital is Dr. Michael F. Picco, a notable gastroenterologist specializing in diverticulum, affiliated with?",Mayo Clinic,"In which city is the hospital located where Dr. Michael F. Picco, a notable gastroenterologist specializing in diverticulum, is affiliated?",Rochester,"In which state is the city located where the hospital is situated that Dr. Michael F. Picco, a notable gastroenterologist specializing in diverticulum, is affiliated?",Minnesota,"In which country is the state located where the city is situated that contains the hospital Dr. Michael F. Picco, a notable gastroenterologist specializing in diverticulum, is affiliated?",United States
health_disease,abnormal uterine bleeding,health specialty,gynaecology,What is the health specialty of abnormal uterine bleeding?,OBGYN,0.0,"['gynaecology', 'OBGYN', 'cardiology', 'neurology']",Which medical specialty deals with abnormal uterine bleeding?,Is gynaecology the health specialty of abnormal uterine bleeding?,Is OBGYN the health specialty of abnormal uterine bleeding?,What is a common symptom associated with abnormal uterine bleeding?,What condition does gynaecology specialize in treating?,A. cardiology  B. OBGYN  C. neurology  D. gynaecology,D,What is a common diagnostic procedure used in the health specialty of abnormal uterine bleeding?,Ultrasound,What is a common treatment for conditions diagnosed by the procedure used in the health specialty of abnormal uterine bleeding?,Hormonal therapy,What is a common side effect of the treatment for conditions diagnosed by the procedure used in the health specialty of abnormal uterine bleeding?,Weight gain,What is a common method to manage the side effect of the treatment for conditions diagnosed by the procedure used in the health specialty of abnormal uterine bleeding?,Diet and exercise,What is a common recommendation for diet to manage the side effect of the treatment for conditions diagnosed by the procedure used in the health specialty of abnormal uterine bleeding?,Balanced diet with reduced sugar intake
health_disease,dwarfism,model item,Peter Dinklage,Who is the model item of dwarfism?,Dwarfism,0.0,"['Peter Dinklage', 'Dwarfism', 'Warwick Davis', 'Verne Troyer']",Who serves as the model item for dwarfism?,Is Peter Dinklage the model item of dwarfism?,Is Dwarfism the model item of dwarfism?,What is a well-known characteristic of dwarfism?,What condition is Peter Dinklage a model item for?,A. Warwick Davis  B. Dwarfism  C. Verne Troyer  D. Peter Dinklage,D,Who is the spouse of the model item of dwarfism?,Erica Schmidt,What is the profession of the spouse of the model item of dwarfism?,Theatre director,Which theatre company is associated with the profession of the spouse of the model item of dwarfism?,Rattlestick Playwrights Theater,In which city is the theatre company associated with the profession of the spouse of the model item of dwarfism located?,New York City,In which state is the city located where the theatre company associated with the profession of the spouse of the model item of dwarfism is situated?,New York
health_disease,dysplasia,health specialty,oncology,What is the health specialty of dysplasia?,Gastroenterology,0.0,"['oncology', 'Gastroenterology', 'Cardiology', 'Neurology']",Which medical specialty deals with dysplasia?,Is the health specialty of dysplasia oncology?,Is the health specialty of dysplasia gastroenterology?,What is a common treatment method used in oncology?,What condition is associated with the health specialty of oncology?,A. Cardiology  B. Gastroenterology  C. oncology  D. Neurology,C,What is a common treatment method in the health specialty of dysplasia?,chemotherapy,What is a common side effect of the treatment method in the health specialty of dysplasia?,nausea,What medication is often prescribed to manage the common side effect of the treatment method in the health specialty of dysplasia?,ondansetron,Which pharmaceutical company manufactures the medication often prescribed to manage the common side effect of the treatment method in the health specialty of dysplasia?,GlaxoSmithKline,In which country is the headquarters of the pharmaceutical company that manufactures the medication often prescribed to manage the common side effect of the treatment method in the health specialty of dysplasia?,United Kingdom
health_disease,pigeon toe,health specialty,medical genetics,What is the health specialty of pigeon toe?,Podiatry,0.0,"['medical genetics', 'Podiatry', 'Orthopedics', 'Physiotherapy']",Which health specialty deals with pigeon toe?,Is the health specialty of pigeon toe medical genetics?,Is the health specialty of pigeon toe podiatry?,What is a common symptom associated with pigeon toe?,What condition is associated with the health specialty of medical genetics?,A. Podiatry  B. medical genetics  C. Physiotherapy  D. Orthopedics,B,Who is a notable specialist in the health specialty of pigeon toe?,Victor A. McKusick,Which institution did the notable specialist in the health specialty of pigeon toe work at?,Johns Hopkins University,In which city is the institution located where the notable specialist in the health specialty of pigeon toe worked?,Baltimore,In which state is the city located where the institution is situated that the notable specialist in the health specialty of pigeon toe worked?,Maryland,In which country is the state located where the city is situated that contains the institution the notable specialist in the health specialty of pigeon toe worked?,United States
health_disease,radiation burn,has cause,irradiation,What does radiation burn have cause?,Radiation burns are caused by radiation,0.0,"['irradiation', 'Radiation burns are caused by radiation', 'sun exposure', 'chemical exposure']",What is the cause of a radiation burn?,Does radiation burn have cause irradiation?,Does radiation burn have cause Radiation burns are caused by radiation?,What is a common symptom of a radiation burn?,What does irradiation cause?,A. Radiation burns are caused by radiation  B. sun exposure  C. chemical exposure  D. irradiation,D,What is a common source of the irradiation that causes radiation burn?,X-rays,Who discovered the common source of the irradiation that causes radiation burn?,Wilhelm Conrad Roentgen,In which year did the discoverer of the common source of the irradiation that causes radiation burn make his discovery?,1895,Which country was the discoverer of the common source of the irradiation that causes radiation burn from?,Germany,What is the capital city of the country where the discoverer of the common source of the irradiation that causes radiation burn was from?,Berlin
health_disease,hypertriglyceridemia,health specialty,endocrinology,What is the health specialty of hypertriglyceridemia?,Lipidology,0.0,"['endocrinology', 'Lipidology', 'Cardiology', 'Gastroenterology']",Which medical specialty deals with hypertriglyceridemia?,Is the health specialty of hypertriglyceridemia endocrinology?,Is the health specialty of hypertriglyceridemia lipidology?,What is a common treatment approach for hypertriglyceridemia?,What condition does endocrinology specialize in treating?,A. Lipidology  B. Cardiology  C. Gastroenterology  D. endocrinology,D,Who is a notable endocrinologist specializing in the health specialty of hypertriglyceridemia?,Robert Lustig,Which university is the notable endocrinologist specializing in the health specialty of hypertriglyceridemia affiliated with?,"University of California, San Francisco",In which city is the university located where the notable endocrinologist specializing in the health specialty of hypertriglyceridemia is affiliated?,San Francisco,In which state is the city located where the university is situated that the notable endocrinologist specializing in the health specialty of hypertriglyceridemia is affiliated with?,California,In which country is the state located where the city is situated that contains the university the notable endocrinologist specializing in the health specialty of hypertriglyceridemia is affiliated with?,United States
health_disease,pulmonary cryptococcosis,drug or therapy used for treatment,5-fluorocytosine,What is the drug or therapy used for treatment of pulmonary cryptococcosis?,Fluconazole,0.0,"['5-fluorocytosine', 'Fluconazole', 'Amphotericin B', 'Itraconazole']",Which drug or therapy is utilized for treating pulmonary cryptococcosis?,Is 5-fluorocytosine the drug or therapy used for treatment of pulmonary cryptococcosis?,Is Fluconazole the drug or therapy used for treatment of pulmonary cryptococcosis?,What type of infection is pulmonary cryptococcosis?,What condition is treated with 5-fluorocytosine?,A. Amphotericin B  B. 5-fluorocytosine  C. Itraconazole  D. Fluconazole,B,What is the mechanism of action of the drug or therapy used for treatment of pulmonary cryptococcosis?,Inhibition of fungal DNA and RNA synthesis,Which enzyme is inhibited by the mechanism of action of the drug or therapy used for treatment of pulmonary cryptococcosis?,Cytosine deaminase,In which type of organism is the enzyme inhibited by the mechanism of action of the drug or therapy used for treatment of pulmonary cryptococcosis found?,Fungi,What is a common disease caused by the type of organism in which the enzyme inhibited by the mechanism of action of the drug or therapy used for treatment of pulmonary cryptococcosis is found?,Candidiasis,Which part of the body is commonly affected by the disease caused by the type of organism in which the enzyme inhibited by the mechanism of action of the drug or therapy used for treatment of pulmonary cryptococcosis is found?,Mouth and throat
health_disease,femoral hernia,health specialty,gastroenterology,What is the health specialty of femoral hernia?,Surgery,0.0,"['gastroenterology', 'Surgery', 'Cardiology', 'Neurology']",Which medical specialty deals with femoral hernia?,Is gastroenterology the health specialty of femoral hernia?,Is surgery the health specialty of femoral hernia?,What part of the body is typically affected by a femoral hernia?,What condition is treated by the health specialty of gastroenterology?,A. gastroenterology  B. Surgery  C. Cardiology  D. Neurology,A,Who is a notable specialist in the health specialty of femoral hernia?,Dr. John Smith,Which hospital is the notable specialist in the health specialty of femoral hernia affiliated with?,Mayo Clinic,In which city is the hospital located where the notable specialist in the health specialty of femoral hernia is affiliated?,Rochester,In which state is the city located where the hospital is situated that the notable specialist in the health specialty of femoral hernia is affiliated?,Minnesota,In which country is the state located where the city is situated that contains the hospital the notable specialist in the health specialty of femoral hernia is affiliated?,United States
health_disease,type-1 diabetes,afflicts,Homo sapiens,What does type-1 diabetes afflict?,Type-1 diabetes is a chronic disease that affects the body’s ability,0.0,"['Homo sapiens', 'Type-1 diabetes is a chronic disease that affects the body’s ability', 'Canis lupus', 'Felis catus']",Who is affected by type-1 diabetes?,Does type-1 diabetes afflict Homo sapiens?,Does type-1 diabetes afflict Type-1 diabetes is a chronic disease that affects the body’s ability?,Is type-1 diabetes an autoimmune disease?,What afflicts Homo sapiens?,A. Canis lupus  B. Type-1 diabetes is a chronic disease that affects the body’s ability  C. Homo sapiens  D. Felis catus,C,What is a common treatment for the condition that type-1 diabetes afflicts?,Insulin therapy,Who discovered the common treatment for the condition that type-1 diabetes afflicts?,Frederick Banting,In which year was the common treatment for the condition that type-1 diabetes afflicts discovered?,1921,Which university was associated with the discovery of the common treatment for the condition that type-1 diabetes afflicts?,University of Toronto,In which country is the university located that was associated with the discovery of the common treatment for the condition that type-1 diabetes afflicts?,Canada
health_disease,upper respiratory tract infection,health specialty,pulmonology,What is the health specialty of upper respiratory tract infection?,ENT,0.0,"['pulmonology', 'ENT', 'cardiology', 'dermatology']",Which medical specialty deals with upper respiratory tract infections?,Is the health specialty of upper respiratory tract infection pulmonology?,Is the health specialty of upper respiratory tract infection ENT?,What part of the body is primarily affected by an upper respiratory tract infection?,What condition does pulmonology specialize in treating?,A. dermatology  B. cardiology  C. pulmonology  D. ENT,C,Who is a notable pulmonologist specializing in upper respiratory tract infection?,Dr. John Doe,Which hospital is the notable pulmonologist specializing in upper respiratory tract infection affiliated with?,Mayo Clinic,In which city is the hospital located where the notable pulmonologist specializing in upper respiratory tract infection is affiliated?,Rochester,In which state is the city located where the hospital is situated that the notable pulmonologist specializing in upper respiratory tract infection is affiliated with?,Minnesota,In which country is the state located where the city is situated that contains the hospital the notable pulmonologist specializing in upper respiratory tract infection is affiliated with?,United States
health_disease,Lujan–Fryns syndrome,genetic association,MED12,What is the genetic association of Lujan–Fryns syndrome?,The genetic association of Lujan–Fryns syndrome is X-linked recess,0.0,"['MED12', 'The genetic association of Lujan–Fryns syndrome is X-linked recess', 'FMR1', 'MECP2']",Which gene is associated with Lujan–Fryns syndrome?,Is MED12 the genetic association of Lujan–Fryns syndrome?,Is X-linked recess the genetic association of Lujan–Fryns syndrome?,What type of disorder is Lujan–Fryns syndrome?,What syndrome is associated with the gene MED12?,A. MECP2  B. MED12  C. The genetic association of Lujan–Fryns syndrome is X-linked recess  D. FMR1,B,What is the function of the gene that is genetically associated with Lujan–Fryns syndrome?,MED12 is involved in transcriptional regulation and chromatin remodeling.,Which complex is the gene that is genetically associated with Lujan–Fryns syndrome a part of?,Mediator complex,What is the role of the complex that the gene associated with Lujan–Fryns syndrome is a part of?,The Mediator complex acts as a bridge conveying information from gene-specific regulatory proteins to the RNA polymerase II transcription machinery.,In which cellular process is the complex involved that includes the gene associated with Lujan–Fryns syndrome?,Transcription,In which cellular organelle does the process occur that involves the complex including the gene associated with Lujan–Fryns syndrome?,Nucleus
health_disease,accessory nerve injury,health specialty,neurology,What is the health specialty of accessory nerve injury?,Accessory nerve injury,0.0,"['neurology', 'Accessory nerve injury', 'cardiology', 'dermatology']",Which medical field deals with accessory nerve injury?,Is neurology the health specialty of accessory nerve injury?,Is Accessory nerve injury the health specialty of accessory nerve injury?,What is a common symptom associated with accessory nerve injury?,What injury is associated with the health specialty of neurology?,A. Accessory nerve injury  B. neurology  C. cardiology  D. dermatology,B,Who is a famous neurologist associated with the health specialty of accessory nerve injury?,Oliver Sacks,What is a well-known book written by the famous neurologist associated with the health specialty of accessory nerve injury?,The Man Who Mistook His Wife for a Hat,In which year was the well-known book written by the famous neurologist associated with the health specialty of accessory nerve injury published?,1985,Which publishing house released the well-known book written by the famous neurologist associated with the health specialty of accessory nerve injury?,Summit Books,Who was the founder of the publishing house that released the well-known book written by the famous neurologist associated with the health specialty of accessory nerve injury?,Richard E. Snyder
health_disease,radiation burn,health specialty,dermatology,What is the health specialty of radiation burn?,Radiation burns are burns caused by radiation.  The following is a list of,0.0,"['dermatology', 'Radiation burns are burns caused by radiation.  The following is a list of', 'oncology', 'radiology']",Which medical field specializes in treating radiation burns?,Is dermatology the health specialty for radiation burn?,Is Radiation burns are burns caused by radiation. The following is a list of the health specialty for radiation burn?,What type of medical condition does dermatology primarily deal with?,What condition does dermatology specialize in treating?,A. dermatology  B. Radiation burns are burns caused by radiation.  The following is a list of  C. radiology  D. oncology,A,Who is a famous dermatologist specializing in the health specialty of radiation burn?,Dr. Howard Murad,Which university did the famous dermatologist specializing in the health specialty of radiation burn attend for medical school?,"University of California, Irvine",In which city is the university located where the famous dermatologist specializing in the health specialty of radiation burn attended medical school?,Irvine,In which state is the city located where the university is situated that the famous dermatologist specializing in the health specialty of radiation burn attended medical school?,California,In which country is the state located where the city is situated that contains the university the famous dermatologist specializing in the health specialty of radiation burn attended medical school?,United States
