topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
places_landmark,Piazza San Marco,architectural style,Renaissance architecture,Renaissance architecture,What is the architectural style of Piazza San Marco?,Venetian-Byzantine,0.0
places_landmark,Trafalgar Square,designed by,Charles Barry,Charles Barry,Who was Trafalgar Square designed by?,John Nash,0.0
places_landmark,The Cloisters,located in the administrative territorial entity,Manhattan,Manhattan,What is the located in the administrative territorial entity of The Cloisters?,Metropolitan New York,0.0
places_landmark,Sultan Ahmed Mosque,commissioned by,Ahmed I,Ahmed I,Who was Sultan Ahmed Mosque commissioned by?,Sultan Ahmed commissioned it,0.0
places_landmark,Gyeongbokgung,closed on,Tuesday,Tuesday,When did Gyeongbokgung close on?,Gyeongbokgung did not close on a specific date. It,0.0
places_landmark,Disneyland,derivative work,Kinect: Disneyland Adventures,Kinect: Disneyland Adventures,What is the derivative work of Disneyland?,Disneyland Park (or simply Disneyland) is not a derivative work. It,0.0
places_landmark,Stonehenge,operator,English Heritage,English Heritage,What is the operator of Stonehenge?,"None (It's a prehistoric monument, not operated by anyone.)",0.0
places_landmark,Mariinsky Theatre,musical conductor,Valery Gergiev,Valery Gergiev,Who is the musical conductor of Mariinsky Theatre?,Yuri Temirkanov,0.0
places_landmark,Singapore Indoor Stadium,architect,Kenzō Tange,Kenzō Tange,Who does Singapore Indoor Stadium architect?,KLP Architects (previously known as Kumpulan Arquitect,0.0
places_landmark,Yıldız Palace,significant event,renovation,renovation,What is the significant event of Yıldız Palace?,Construction,0.0
places_landmark,Stockholm Palace,owned by,National Property Board of Sweden,National Property Board of Sweden,What was Stockholm Palace owned by?,Monarchy (Sweden),0.0
places_landmark,Museo Nacional de Arte,location,Historic downtown of Mexico City,Historic downtown of Mexico City,What is the location of Museo Nacional de Arte?,"Mexico City, Mexico",0.0
places_landmark,Skokloster Castle,architect,Caspar Vogel,Caspar Vogel,Who does Skokloster Castle architect?,Castenius,0.0
places_landmark,Western Wall,significant event,Isra and Mi'raj,Isra and Mi'raj,What is the significant event of Western Wall?,Prayer,0.0
places_landmark,The Pentagon,location,Arlington County,Arlington County,What is the location of The Pentagon?,"Washington, D.C",0.0
places_landmark,Castle of the Masovian Dukes in Ciechanów,activity policy in this place,smoking ban,smoking ban,What is the activity policy in this place of Castle of the Masovian Dukes in Ciechanów?,Visitor guidelines,0.0
places_landmark,Tribes' Gate,location,Old City of Jerusalem,Old City of Jerusalem,What is the location of Tribes' Gate?,Azeroth (Warcraft universe),0.0
places_landmark,Mariinsky Theatre,architect,Alberto Cavos,Alberto Cavos,Who does Mariinsky Theatre architect?,Alfred Alexander von Balcon,0.0
places_landmark,Empire State Building,heritage designation,National Historic Landmark,National Historic Landmark,What is the heritage designation of Empire State Building?,Landmarked,0.0
places_landmark,Centro de Arte Moderna Gulbenkian,location,Calouste Gulbenkian Foundation,Calouste Gulbenkian Foundation,What is the location of Centro de Arte Moderna Gulbenkian?,"Lisbon, Portugal",0.0
places_landmark,London Eye,located in the administrative territorial entity,Lambeth,Lambeth,What is the located in the administrative territorial entity of London Eye?,Greater London,0.0
places_landmark,Acropolis of Athens,director of archaeological fieldwork,Panagiotis Kavvadias,Panagiotis Kavvadias,Who is the director of archaeological fieldwork of Acropolis of Athens?,Ioannis Kouris,0.0
places_landmark,Berlin Cathedral,heritage designation,architectural heritage monument,architectural heritage monument,What is the heritage designation of Berlin Cathedral?,Berlin Cathedral is not a designated UNESCO World Heritage site,0.0
places_landmark,Cathedral of the Archangel,architect,Aloisio the New,Aloisio the New,Who does Cathedral of the Archangel architect?,Brunelleschi,0.0
places_landmark,Hundertwasserhaus,named after,Friedensreich Hundertwasser,Friedensreich Hundertwasser,Who was Hundertwasserhaus named after?,Friedrich Hundertwasser,0.0
places_landmark,Årsta Castle,architect,Erik Dahlbergh,Erik Dahlbergh,Who does Årsta Castle architect?,Gunnar Asplund,0.0
places_landmark,Atherton Tableland,mountain range,Great Dividing Range,Great Dividing Range,What is the mountain range of Atherton Tableland?,"No mountain range. Atherton Tableland is a plateau in Queensland,",0.0
places_landmark,Melbourne Aquarium,location,Melbourne central business district,Melbourne central business district,What is the location of Melbourne Aquarium?,"Docklands, Melbourne",0.0
places_landmark,Karlsborg Fortress,owned by,National Property Board of Sweden,National Property Board of Sweden,What was Karlsborg Fortress owned by?,Swedish State,0.0
places_landmark,Kronoberg Castle Ruin,located in or next to body of water,Helgasjön,Helgasjön,What is the located in or next to body of water of Kronoberg Castle Ruin?,Lake Alster,0.0
places_landmark,Skånelaholm Castle,architectural style,Renaissance,Renaissance,What is the architectural style of Skånelaholm Castle?,Medieval,0.0
places_landmark,Alcatraz Island,located in the administrative territorial entity,San Francisco,San Francisco,What is the located in the administrative territorial entity of Alcatraz Island?,Prison,0.0
