topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
geography_glacier,Glärnisch,key col,Klausen Pass,Who is the key col of Glärnisch?,Grosser Mythen,0.0
geography_glacier,Portage Glacier,located in the administrative territorial entity,Alaska,What is the located in the administrative territorial entity of Portage Glacier?,Kenai Fjords National Park,0.0
geography_glacier,Glärnisch,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Glärnisch?,Pilatus,0.0
geography_glacier,Gangotri Glacier,located in the administrative territorial entity,Uttarkashi district,What is the located in the administrative territorial entity of Gangotri Glacier?,Uttarakhand,0.0
geography_glacier,Biafo Glacier,mountain range,Karakoram,What is the mountain range of Biafo Glacier?,Masherbrum,0.0
geography_glacier,Miage Glacier,located in the administrative territorial entity,Courmayeur,What is the located in the administrative territorial entity of Miage Glacier?,Italy,0.0
geography_glacier,Skelton Glacier,mountain range,Royal Society Range,What is the mountain range of Skelton Glacier?,Transantarctic Mountains,0.0
geography_glacier,Juneau Icefield,has part(s),Devils Paw,What does Juneau Icefield have part(s )?,Glaciers,0.0
geography_glacier,Baltoro Glacier,located in the administrative territorial entity,Gilgit-Baltistan,What is the located in the administrative territorial entity of Baltoro Glacier?,Pakistan,0.0
geography_glacier,Öræfajökull,time period,Pleistocene,What is the time period of Öræfajökull?,Holocene,0.0
geography_glacier,Biafo Glacier,located in the administrative territorial entity,Gilgit-Baltistan,What is the located in the administrative territorial entity of Biafo Glacier?,Pakistan,0.0
geography_glacier,Öræfajökull,located in the administrative territorial entity,Sveitarfélagið Hornafjörður,Who is the located in the administrative territorial entity of Öræfajökull?,Iceland,0.0
geography_glacier,Öræfajökull,highest point,Hvannadalshnúkur,What is the highest point of Öræfajökull?,Hvannadalshnjúkur,0.0
geography_glacier,Taku Glacier,mountain range,Boundary Ranges,What is the mountain range of Taku Glacier?,St. Elias,0.0
