topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
entertainment_anime,Idol Land PriPara,part of the series,Pretty Rhythm,What is the part of the series of Idol Land PriPara?,Spin-off,0.0
entertainment_anime,IDOLM@STER SideM,distribution format,video on demand,What is the distribution format of IDOLM@STER SideM?,"Mobile, PC, and Console",0.0
entertainment_anime,Chain Chronicle,distribution format,video on demand,What is the distribution format of Chain Chronicle?,Mobile game,0.0
entertainment_anime,The Laws of the Sun,country of origin,Japan,What is the country of origin of The Laws of the Sun?,Egypt,0.0
entertainment_anime,The Rebirth of Buddha,art director,Masaru Sato,Who is the art director of The Rebirth of Buddha?,Tetsuya Nishida,0.0
entertainment_anime,Holo no Graffiti,genre,parody,What is the genre of Holo no Graffiti?,Mecha,0.0
entertainment_anime,The Rebirth of Buddha,character designer,Masami Suda,Who is the character designer of The Rebirth of Buddha?,Kazuo Koike,0.0
entertainment_anime,Digimon Adventure Tri. 6,part of the series,Digimon Adventure tri.,What is the part of the series of Digimon Adventure Tri. 6?,Kocchi no Megamitama,0.0
entertainment_anime,To Be Hero,distribution format,video on demand,What is the distribution format of To Be Hero?,Web series,0.0
entertainment_anime,Lupin VIII,director,Rintaro,Who is the director of Lupin VIII?,I couldn't find any information on Lupin VIII,0.0
entertainment_anime,Bible Black,game mode,single-player video game,What is the game mode of Bible Black?,Visual novel,0.0
entertainment_anime,Armitage III: Poly Matrix,director,Takuya Satō,Who is the director of Armitage III: Poly Matrix?,Takuya Sato,0.0
entertainment_anime,Kurokan,distributed by,Crunchyroll,What was Kurokan distributed by?,Sega,0.0
entertainment_anime,Schick x Evangelion,voice actor,Fumihiko Tachiki,Who is the voice actor of Schick x Evangelion?,Mamoru Miyano,0.0
entertainment_anime,W Wish,game mode,single-player video game,What is the game mode of W Wish?,Battle Royale,0.0
entertainment_anime,Kinnikuman Nisei,main subject,sport,What is the main subject of Kinnikuman Nisei?,Professional wrestling,0.0
entertainment_anime,Tabimachi Late Show,distributed by,Crunchyroll,What was Tabimachi Late Show distributed by?,TBS,0.0
entertainment_anime,Holo no Graffiti,production company,Hololive Production,What is the production company of Holo no Graffiti?,Studio Pierrot,0.0
entertainment_anime,Giovanni's Island,distributed by,Warner Bros.,What was Giovanni's Island distributed by?,Manga Entertainment,0.0
entertainment_anime,THE LIFE OF GREAT HERMES,author,Ryūhō Ōkawa,Who is the author of THE LIFE OF GREAT HERMES?,Corbin,0.0
entertainment_anime,Burglars of Baghdad Castle,based on,The Thief of Bagdad,What was Burglars of Baghdad Castle based on?,Aladdin,0.0
entertainment_anime,Rescue Me!,intended public,shōnen,What is the intended public of Rescue Me!?,Young adults,0.0
entertainment_anime,Schick x Evangelion,media franchise,Neon Genesis Evangelion,What is the media franchise of Schick x Evangelion?,Collaboration,0.0
entertainment_anime,Euphoria,language of work or name,Japanese,What is the language of work or name of Euphoria?,Haskell,0.0
entertainment_anime,Doraemon: Nobita and the Green Giant Legend,film editor,Toshihiko Kojima,Who is the film editor of Doraemon: Nobita and the Green Giant Legend?,Toshio Henmi,0.0
entertainment_anime,Armitage III: Poly Matrix,genre,cyberpunk,What is the genre of Armitage III: Poly Matrix?,Science fiction,0.0
entertainment_anime,Holo no Graffiti,publisher,Hololive Production,What is the publisher of Holo no Graffiti?,Kadokawa Shoten,0.0
entertainment_anime,The Laws of the Sun,language of work or name,Japanese,What is the language of work or name of The Laws of the Sun?,Sanskrit,0.0
entertainment_anime,Kiratto Pri Chan,followed by,Pretty All Friends Selection,What was Kiratto Pri Chan followed by?,Kiratto Pri Chan My Mystery,0.0
entertainment_anime,Peeping Life,distribution format,video on demand,What is the distribution format of Peeping Life?,Web series,0.0
entertainment_anime,This Boy Suffers from Crystallization,distributed by,Crunchyroll,What was This Boy Suffers from Crystallization distributed by?,Mute Records,0.0
entertainment_anime,Chain Chronicle,genre,J-pop,What is the genre of Chain Chronicle?,RPG,0.0
