topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
human_entrepreneur,Hans Stern,occupation,entrepreneur,What is the occupation of Hans Stern?,Jeweler,0.0
human_entrepreneur,Denis Thatcher,place of burial,Royal Hospital Chelsea,What is the place of burial of Denis Thatcher?,Hastings,0.0
human_entrepreneur,Jakub Kryštof Rad,place of death,Vienna,What is the place of death of Jakub Kryštof Rad?,Prague,0.0
human_entrepreneur,Wilhelm Keppler,place of death,Friedrichshafen,What is the place of death of Wilhelm Keppler?,Berlin,0.0
human_entrepreneur,Claudius Dornier,place of death,Zug,What is the place of death of Claudius Dornier?,Medebach,0.0
human_entrepreneur,Albert Böhler,place of death,Vienna,What is the place of death of Albert Böhler?,Innsbruck,0.0
human_entrepreneur,Adolf Rosenberger,place of birth,Pforzheim,What is the place of birth of Adolf Rosenberger?,Berlin,0.0
human_entrepreneur,Günther Fielmann,place of birth,Stafstedt,What is the place of birth of Günther Fielmann?,Lübeck,0.0
human_entrepreneur,Konrad Gobel,place of birth,Frankfurt,What is the place of birth of Konrad Gobel?,Breslau,0.0
human_entrepreneur,Otto Fahr,sport,swimming,What is the sport of Otto Fahr?,Rowing,0.0
human_entrepreneur,Jimmy Wales,religion or worldview,irreligion,What is the religion or worldview of Jimmy Wales?,Agnostic,0.0
human_entrepreneur,Eduard Schulte,place of birth,Düsseldorf,What is the place of birth of Eduard Schulte?,Breslau,0.0
human_entrepreneur,Christian von Stetten,affiliation,CDU/CSU Bundestag fraction,What is the affiliation of Christian von Stetten?,German,0.0
human_entrepreneur,Otto Röhm,place of death,Berlin,What is the place of death of Otto Röhm?,Perchtoldsdorf,0.0
human_entrepreneur,Sebastián Piñera,spouse,Cecilia Morel,Who is the spouse of Sebastián Piñera?,Macarena,0.0
human_entrepreneur,Carl Vincent Krogmann,father,Richard Carl Krogmann,Who is the father of Carl Vincent Krogmann?,Friedrich Krogmann,0.0
human_entrepreneur,Snoop Dogg,partner in business or sport,Nipsey Hussle,Who is the partner in business or sport of Snoop Dogg?,Wiz Khalifa,0.0
human_entrepreneur,Friedrich Bayer,place of death,Würzburg,What is the place of death of Friedrich Bayer?,Leverkusen,0.0
human_entrepreneur,Karl Wlaschek,instrument,piano,What is the instrument of Karl Wlaschek?,Violin,0.0
human_entrepreneur,Seth Bullock,spouse,Martha Bullock,Who is the spouse of Seth Bullock?,Jane Kean,0.0
human_entrepreneur,Meg Whitman,religion or worldview,Presbyterianism,What is the religion or worldview of Meg Whitman?,Judaism,0.0
human_entrepreneur,Udo Proksch,spouse,Erika Pluhar,Who is the spouse of Udo Proksch?,Hannelore Funk,0.0
human_entrepreneur,Dieter Zetsche,unmarried partner,Désirée Nosbusch,Who is the unmarried partner of Dieter Zetsche?,Christa,0.0
human_entrepreneur,Thomas Edison,ethnic group,Americans,What is the ethnic group of Thomas Edison?,Scotch-Irish,0.0
human_entrepreneur,Jenna Jameson,hair color,blond hair,What is the hair color of Jenna Jameson?,Red,0.0
human_entrepreneur,Heinz Nixdorf,manner of death,natural causes,What is the manner of death of Heinz Nixdorf?,Suicide,0.0
human_entrepreneur,Michael Jackson,lifestyle,perfectionism,What is the lifestyle of Michael Jackson?,Private,0.0
human_entrepreneur,Barbara Uthmann,occupation,entrepreneur,What is the occupation of Barbara Uthmann?,Mathematician,0.0
human_entrepreneur,Paul Daimler,place of death,Berlin,What is the place of death of Paul Daimler?,Stuttgart,0.0
human_entrepreneur,Henry Clay Frick,place of birth,West Overton,What is the place of birth of Henry Clay Frick?,Johnstown,0.0
human_entrepreneur,William Norris,residence,Minneapolis,What is the residence of William Norris?,London,0.0
human_entrepreneur,William Norris,place of birth,Red Cloud,What is the place of birth of William Norris?,Birmingham,0.0
human_entrepreneur,Anton Magnis,father,Wilhelm von Magnis,Who is the father of Anton Magnis?,Karl,0.0
