topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
technology_software,Deep Dungeons of Doom,developer,Bossa Studios,What is the developer of Deep Dungeons of Doom?,I am the developer of Deep Dungeons of Doom,0.0,"['Bossa Studios', 'I am the developer of Deep Dungeons of Doom', 'Epic Games', 'Valve Corporation']",Who developed Deep Dungeons of Doom?,Is Bossa Studios the developer of Deep Dungeons of Doom?,Is I am the developer of Deep Dungeons of Doom the developer of Deep Dungeons of Doom?,What genre does Deep Dungeons of Doom belong to?,What game was developed by Bossa Studios?,A. Epic Games  B. Bossa Studios  C. Valve Corporation  D. I am the developer of Deep Dungeons of Doom,B,Who is the CEO of the developer of Deep Dungeons of Doom?,Henrique Olifiers,Which country is the CEO of the developer of Deep Dungeons of Doom from?,Brazil,What is the official language of the country the CEO of the developer of Deep Dungeons of Doom is from?,Portuguese,What is the population of the country where the official language is Portuguese and the CEO of the developer of Deep Dungeons of Doom is from?,Approximately 213 million,What is the capital city of the country with a population of approximately 213 million where the official language is Portuguese and the CEO of the developer of Deep Dungeons of Doom is from?,Brasília
technology_software,Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay,publisher,"LCG Entertainment, Inc.",What is the publisher of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay?,Telltale Games.  The game is a point-and-click adventure,0.0,"['LCG Entertainment, Inc.', 'Telltale Games.  The game is a point-and-click adventure', 'LucasArts', 'Double Fine Productions']",Who published Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay?,"Is the publisher of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay LCG Entertainment, Inc.?",Is the publisher of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay Telltale Games?,What genre is Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay?,"What game was published by LCG Entertainment, Inc.?","A. LucasArts  B. Double Fine Productions  C. Telltale Games.  The game is a point-and-click adventure  D. LCG Entertainment, Inc.",D,Who is the CEO of the publisher of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay?,Jamie Ottilie,Which company did the CEO of the publisher of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay previously co-found?,Galaxy Pest Control,What type of games did the company co-founded by the CEO of the publisher of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay develop?,Mobile games,In which year was the company that developed mobile games and was co-founded by the CEO of the publisher of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay established?,2010,Which city is the headquarters of the company that developed mobile games and was co-founded by the CEO of the publisher of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay located?,Dallas
technology_software,Cainiao,parent organization,Alibaba Group,What is the parent organization of Cainiao?,Cainiao,0.0,"['Alibaba Group', 'Cainiao', 'JD.com', 'Tencent']",Which company is the parent organization of Cainiao?,Is Alibaba Group the parent organization of Cainiao?,Is Cainiao the parent organization of Cainiao?,What is a well-known service provided by Cainiao?,What company is Alibaba Group the parent organization of?,A. Alibaba Group  B. JD.com  C. Cainiao  D. Tencent,A,Who is the founder of the parent organization of Cainiao?,Jack Ma,What is the nationality of the founder of the parent organization of Cainiao?,Chinese,Which university did the founder of the parent organization of Cainiao attend?,Hangzhou Normal University,In which city is the university located that the founder of the parent organization of Cainiao attended?,Hangzhou,In which province is the city located where the university is situated that the founder of the parent organization of Cainiao attended?,Zhejiang
technology_software,Wartile,software engine,Unreal Engine 4,What is the software engine of Wartile?,Wartile is a software engine,0.0,"['Unreal Engine 4', 'Wartile is a software engine', 'Unity', 'CryEngine']",Which software engine does Wartile use?,Is the software engine of Wartile Unreal Engine 4?,Is the software engine of Wartile Wartile is a software engine?,What genre of game is Wartile?,What game uses Unreal Engine 4 as its software engine?,A. Wartile is a software engine  B. CryEngine  C. Unreal Engine 4  D. Unity,C,Who is the developer of the software engine of Wartile?,Epic Games,In which year was the developer of the software engine of Wartile founded?,1991,Who is the founder of the developer of the software engine of Wartile?,Tim Sweeney,What is the name of the first game developed by the founder of the developer of the software engine of Wartile?,ZZT,In which year was the first game developed by the founder of the developer of the software engine of Wartile released?,1991
technology_software,The Adventures of Tintin: The Secret of the Unicorn,genre,action-adventure game,What is the genre of The Adventures of Tintin: The Secret of the Unicorn?,Comic book,0.0,"['action-adventure game', 'Comic book', 'puzzle game', 'strategy game']",Which genre does The Adventures of Tintin: The Secret of the Unicorn belong to?,Is the genre of The Adventures of Tintin: The Secret of the Unicorn an action-adventure game?,Is the genre of The Adventures of Tintin: The Secret of the Unicorn a Comic book?,Who is the main character in The Adventures of Tintin: The Secret of the Unicorn?,What game genre is an action-adventure game associated with?,A. strategy game  B. puzzle game  C. Comic book  D. action-adventure game,D,Who is the developer of the action-adventure game The Adventures of Tintin: The Secret of the Unicorn?,Ubisoft Montpellier,Who is the founder of the developer of the action-adventure game The Adventures of Tintin: The Secret of the Unicorn?,Christian Guillemot,What is the nationality of the founder of the developer of the action-adventure game The Adventures of Tintin: The Secret of the Unicorn?,French,What is the capital city of the country of the founder of the developer of the action-adventure game The Adventures of Tintin: The Secret of the Unicorn?,Paris,What is the population of the capital city of the country of the founder of the developer of the action-adventure game The Adventures of Tintin: The Secret of the Unicorn?,Approximately 2.1 million
technology_software,Chuchel,developer,Amanita Design,What is the developer of Chuchel?,"Chuchel is a free, open-source, cross-platform, cross",0.0,"['Amanita Design', 'Chuchel is a free, open-source, cross-platform, cross', 'Double Fine Productions', 'LucasArts']",Who developed Chuchel?,Is Amanita Design the developer of Chuchel?,"Is Chuchel is a free, open-source, cross-platform, cross the developer of Chuchel?",What genre of games is Amanita Design known for?,What game was developed by Amanita Design?,"A. LucasArts  B. Amanita Design  C. Double Fine Productions  D. Chuchel is a free, open-source, cross-platform, cross",B,What is another game developed by the developer of Chuchel?,Machinarium,What is the main character's name in another game developed by the developer of Chuchel?,Josef,"What is the genre of the game that features the main character Josef, developed by the developer of Chuchel?",Puzzle-adventure,"In which year was the game that features the main character Josef, developed by the developer of Chuchel, released?",2009,"Which platform was the game that features the main character Josef, developed by the developer of Chuchel, initially released on?",PC
technology_software,Zapier,investor,Y Combinator,What does Zapier investor?,I am an investor in Zapier,0.0,"['Y Combinator', 'I am an investor in Zapier', 'Sequoia Capital', 'Andreessen Horowitz']",Who is an investor in Zapier?,Is Y Combinator an investor in Zapier?,Is I am an investor in Zapier an investor in Zapier?,What type of service does Zapier provide?,Who is Y Combinator an investor in?,A. Andreessen Horowitz  B. Y Combinator  C. Sequoia Capital  D. I am an investor in Zapier,B,Who is the co-founder of the company that Zapier investor invested in?,Paul Graham,What is the nationality of the co-founder of the company that Zapier investor invested in?,British,Which university did the co-founder of the company that Zapier investor invested in attend?,Harvard University,In which city is the university located that the co-founder of the company that Zapier investor invested in attended?,Cambridge,In which state is the city located where the university is situated that the co-founder of the company that Zapier investor invested in attended?,Massachusetts
technology_software,Xiaohongshu,legal form,public company,What is the legal form of Xiaohongshu?,"The legal form of Xiaohongshu is ""Xiaohongsh",0.0,"['public company', 'The legal form of Xiaohongshu is ""Xiaohongsh', 'private company', 'non-profit organization']",What type of legal entity is Xiaohongshu?,Is the legal form of Xiaohongshu a public company?,Is the legal form of Xiaohongshu Xiaohongsh?,What is a popular feature of Xiaohongshu?,Which company has the legal form of a public company?,"A. The legal form of Xiaohongshu is ""Xiaohongsh  B. public company  C. private company  D. non-profit organization",B,Who is the CEO of the public company that is Xiaohongshu?,Charlwin Mao,Which university did the CEO of the public company that is Xiaohongshu attend?,Tsinghua University,In which city is the university located that the CEO of the public company that is Xiaohongshu attended?,Beijing,In which country is the city located where the university that the CEO of the public company that is Xiaohongshu attended is situated?,China,What is the official language of the country where the city is located that contains the university the CEO of the public company that is Xiaohongshu attended?,Mandarin Chinese
technology_software,Google Arts & Culture,used by,National Portrait Gallery,What was Google Arts & Culture used by?,Google Arts & Culture was used by Google to help people find art and culture,0.0,"['National Portrait Gallery', 'Google Arts & Culture was used by Google to help people find art and culture', 'Louvre Museum', 'Smithsonian Institution']",Which institution utilized Google Arts & Culture?,Was Google Arts & Culture used by the National Portrait Gallery?,Was Google Arts & Culture used by Google to help people find art and culture?,What is a famous feature of Google Arts & Culture?,Who used the National Portrait Gallery?,A. Smithsonian Institution  B. Google Arts & Culture was used by Google to help people find art and culture  C. Louvre Museum  D. National Portrait Gallery,D,Who is the director of the National Portrait Gallery that Google Arts & Culture was used by?,Nicholas Cullinan,Which university did the director of the National Portrait Gallery that Google Arts & Culture was used by attend?,Courtauld Institute of Art,In which city is the university located that the director of the National Portrait Gallery that Google Arts & Culture was used by attended?,London,In which country is the city located where the university is situated that the director of the National Portrait Gallery that Google Arts & Culture was used by attended?,United Kingdom,What is the official language of the country where the city is located that contains the university the director of the National Portrait Gallery that Google Arts & Culture was used by attended?,English
technology_software,Hieroglyphika,distributed by,Steam,What was Hieroglyphika distributed by?,The Hieroglyphika project was distributed by the Hieroglyphika project,0.0,"['Steam', 'The Hieroglyphika project was distributed by the Hieroglyphika project', 'Epic Games', 'GOG']",Who was responsible for distributing Hieroglyphika?,Was Hieroglyphika distributed by Steam?,Was Hieroglyphika distributed by The Hieroglyphika project was distributed by the Hieroglyphika project?,What genre of game is Hieroglyphika?,What game was distributed by Steam?,A. Steam  B. GOG  C. Epic Games  D. The Hieroglyphika project was distributed by the Hieroglyphika project,A,Who is the founder of the platform that Hieroglyphika was distributed by?,Gabe Newell,Which company did the founder of the platform that Hieroglyphika was distributed by previously work for?,Microsoft,What is the headquarters location of the company that the founder of the platform that Hieroglyphika was distributed by previously worked for?,"Redmond, Washington","In which year was the company founded that is headquartered in Redmond, Washington, where the founder of the platform that Hieroglyphika was distributed by previously worked?",1975,"Who were the founders of the company that was founded in 1975 and is headquartered in Redmond, Washington, where the founder of the platform that Hieroglyphika was distributed by previously worked?",Bill Gates and Paul Allen
technology_software,Flame Over,has characteristic,indie game,What does Flame Over have characteristic?,Flame Over has characteristic of a flame,0.0,"['indie game', 'Flame Over has characteristic of a flame', 'action game', 'puzzle game']",What characteristic does Flame Over possess?,Does Flame Over have the characteristic of an indie game?,Does Flame Over have the characteristic of a flame?,What genre is Flame Over known for?,What has the characteristic of an indie game?,A. Flame Over has characteristic of a flame  B. puzzle game  C. indie game  D. action game,C,Who is the developer of the indie game that Flame Over has characteristic?,Laughing Jackal,What is another game developed by the developer of the indie game that Flame Over has characteristic?,OMG HD Zombies!,What is the genre of the other game developed by the developer of the indie game that Flame Over has characteristic?,Puzzle,On which platform can you play the other game developed by the developer of the indie game that Flame Over has characteristic?,PlayStation Vita,In which year was the platform released where you can play the other game developed by the developer of the indie game that Flame Over has characteristic?,2012
