topic,type,subject,relation,object,question,label,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
places_landmark,wh,Panathenaic Stadium,occupant,Hellenic Olympic Committee,What is the occupant of Panathenaic Stadium?,Hellenic Olympic Committee,Athletes (for events) or spectators (when not in use),0.0
places_landmark,wh,Panathenaic Stadium,sponsor,Stavros Niarchos Foundation,What does Panathenaic Stadium sponsor?,Stavros Niarchos Foundation,The Panathenaic Stadium does not have a sponsor. It is,0.0
places_landmark,wh,Panathenaic Stadium,architectural style,ancient Greek architecture,What is the architectural style of Panathenaic Stadium?,ancient Greek architecture,Neoclassical,0.0
places_landmark,wh,Deloitte,sponsor,MUNCH,Which tourist attraction sponsor Deloitte?,MUNCH,Deloitte does not sponsor a specific tourist attraction. Deloitte is,0.0
places_landmark,wh,Rosersberg Palace,founded by,Gabriel Bengtsson Oxenstierna,Who was Rosersberg Palace founded by?,Gabriel Bengtsson Oxenstierna,King Carl XI of Sweden,0.0
places_landmark,wh,Rosersberg Palace,architectural style,Neoclassical architecture,What is the architectural style of Rosersberg Palace?,Neoclassical architecture,Baroque,0.0
places_landmark,wh,Rosersberg Palace,owned by,National Property Board of Sweden,What was Rosersberg Palace owned by?,National Property Board of Sweden,King of Sweden,0.0
places_landmark,wh,Gustavianum,has part(s),Valsgärde,Who does Gustavianum have part(s )?,Valsgärde,Gustavianum has collections.,0.0
places_landmark,wh,Prayerbook Cross,has part(s),Golden Gate Park,Which tourist attraction has part(s) Prayerbook Cross?,Golden Gate Park,St. Peter's Basilica (Vatican City),0.0
places_landmark,wh,Haw Par Villa,significant event,construction,What is the significant event of Haw Par Villa?,construction,Haw Par Villa is known for its display of Chinese mythology and legends through,0.0
places_landmark,wh,Carlos Oswald,creator,Christ the Redeemer,Which tourist attraction's creator is Carlos Oswald?,Christ the Redeemer,"The Teatro Colón in Buenos Aires, Argentina.",0.0
places_landmark,wh,Tsarskoye Selo,architect,Francesco Bartolomeo Rastrelli,Who does Tsarskoye Selo architect?,Francesco Bartolomeo Rastrelli,"Catherine the Great (commissioned), Quarenghi (main architect)",0.0
places_landmark,wh,Kungsholmen,located in/on physical feature,Stockholm City Hall,Which tourist attraction's located in/on physical feature is Kungsholmen?,Stockholm City Hall,Djurgården Ferry. (Kungsholmen is not,0.0
places_landmark,wh,Göta älv,located in or next to body of water,Bohus Fortress,Which tourist attraction's located in or next to body of water is Göta älv?,Bohus Fortress,"Göta Canal (Göta älv is a river, not",0.0
places_landmark,wh,Alfred Parland,architect,Church of the Savior on Blood,Which tourist attraction architect Alfred Parland?,Church of the Savior on Blood,Guggenheim Museum Bilbao,0.0
places_landmark,wh,Science Centre Singapore,located in the administrative territorial entity,Jurong East,What is the located in the administrative territorial entity of Science Centre Singapore?,Jurong East,Science Centre Singapore,0.0
places_landmark,wh,Grand Kremlin Palace,architect,Konstantin Thon,Who does Grand Kremlin Palace architect?,Konstantin Thon,"Unknown (Historically, various architects have worked on the Grand K",0.0
places_landmark,wh,Grand Kremlin Palace,architectural style,Byzantine Revival architecture,What is the architectural style of Grand Kremlin Palace?,Byzantine Revival architecture,Russian Baroque and Neoclassical,0.0
places_landmark,wh,Grand Kremlin Palace,commissioned by,Nicholas I of Russia,Who was Grand Kremlin Palace commissioned by?,Nicholas I of Russia,Ivan III (Ivan the Great),0.0
places_landmark,wh,Stourton with Gasper,located in the administrative territorial entity,Stourhead,Which tourist attraction's located in the administrative territorial entity is Stourton with Gasper?,Stourhead,Stourton with Gasper is not associated with a specific tourist attraction. It,0.0
places_landmark,wh,Sunset Strip,named after,Las Vegas Strip,Which tourist attraction was named after Sunset Strip?,Las Vegas Strip,The Walk of Fame.,0.0
places_landmark,wh,İzmir Clock Tower,architect,Raymond Charles Péré,Who does İzmir Clock Tower architect?,Raymond Charles Péré,Sarkis Balabansian,0.0
places_landmark,wh,Tor Hagfors,director / manager,Arecibo Observatory,Which tourist attraction's director / manager is Tor Hagfors?,Arecibo Observatory,Abisko National Park (Sweden),0.0
places_landmark,wh,Potala Palace,located in the administrative territorial entity,Lhasa,What is the located in the administrative territorial entity of Potala Palace?,Lhasa,Tibet (China),0.0
places_landmark,wh,Saviour Church on Nereditsa,religion or worldview,Eastern Orthodoxy,What is the religion or worldview of Saviour Church on Nereditsa?,Eastern Orthodoxy,Pentecostal Christianity.,0.0
places_landmark,wh,South Street Seaport,architectural style,Greek Revival architecture,What is the architectural style of South Street Seaport?,Greek Revival architecture,Federal and Victorian,0.0
places_landmark,wh,Louis de Hoÿm de Marien,architect,Montparnasse Tower,Which tourist attraction architect Louis de Hoÿm de Marien?,Montparnasse Tower,Louvre Palace,0.0
places_landmark,wh,Rothenburg ob der Tauber,located in the administrative territorial entity,Ansbach,What is the located in the administrative territorial entity of Rothenburg ob der Tauber?,Ansbach,"Rothenburg ob der Tauber is a town in Bavaria, Germany",0.0
places_landmark,wh,Konya Province,located in the administrative territorial entity,Lake Tuz,Which tourist attraction's located in the administrative territorial entity is Konya Province?,Lake Tuz,"Konya, Turkey (province) has the Mevlana Museum",0.0
places_landmark,wh,Now You See Me 2,present in work,Royal Observatory,Which tourist attraction's present in work is Now You See Me 2?,Royal Observatory,The Louvre. (It's a setting in the movie.),0.0
places_landmark,wh,Abu Dhabi,located in the administrative territorial entity,Louvre Abu Dhabi,Which tourist attraction's located in the administrative territorial entity is Abu Dhabi?,Louvre Abu Dhabi,Sheikh Zayed Grand Mosque (located in Abu Dhabi,0.0
places_landmark,wh,Stadshuskällaren,has part(s),Stockholm City Hall,Which tourist attraction has part(s) Stadshuskällaren?,Stockholm City Hall,Gamla Stan (Stockholm),0.0
places_landmark,wh,Taj Mahal,religion or worldview,Islam,What is the religion or worldview of Taj Mahal?,Islam,"The Taj Mahal is a mausoleum, not associated with any",0.0
places_landmark,wh,Taj Mahal,significant event,construction,What is the significant event of Taj Mahal?,construction,"Mausoleum of Shah Jahan's wife, Mumtaz Mah",0.0
places_landmark,wh,Kane County,located in the administrative territorial entity,Lake Powell,Which tourist attraction's located in the administrative territorial entity is Kane County?,Lake Powell,"Fox River Valley (no specific attraction mentioned, as Kane County has multiple tourist",0.0
places_landmark,wh,Prague Castle,operator,Správa Pražského hradu,Who is the operator of Prague Castle?,Správa Pražského hradu,President of the Czech Republic,0.0
places_landmark,wh,Works Progress Administration,main building contractor,Arkansas Museum of Fine Arts,Which tourist attraction's main building contractor is Works Progress Administration?,Arkansas Museum of Fine Arts,The Empire State Building.,0.0
places_landmark,wh,National Garden of Athens,founded by,Amalia of Oldenburg,Who was National Garden of Athens founded by?,Amalia of Oldenburg,Melina Mercouri,0.0
