topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
geography_volcano,Cerro Macá,made from material,basalt,What is the made from material of Cerro Macá?,Granite,0.0
geography_volcano,Mount Taftan,made from material,andesite,What is the made from material of Mount Taftan?,Lava,0.0
geography_volcano,Cerro Macá,country,Chile,What is the country of Cerro Macá?,Panama,0.0
geography_volcano,Mutnovsky,mountain range,Eastern Range,What is the mountain range of Mutnovsky?,Kamchatka,0.0
geography_volcano,North Head,location,Devonport,What is the location of North Head?,Sydney,0.0
geography_volcano,Cumbal,continent,Americas,What is the continent of Cumbal?,South America,0.0
geography_volcano,Beerenberg,country,Norway,What is the country of Beerenberg?,Greenland,0.0
geography_volcano,Mount Unzen,named after,onsen,What was Mount Unzen named after?,Unzen,0.0
geography_volcano,Zavodovski Island,country,United Kingdom,What is the country of Zavodovski Island?,South Georgia,0.0
geography_volcano,Pular,country,Chile,What is the country of Pular?,Senegal,0.0
geography_volcano,Calbuco,continent,Americas,What is the continent of Calbuco?,South America,0.0
geography_volcano,Aracar,continent,Americas,What is the continent of Aracar?,Non-existent,0.0
geography_volcano,Ichinsky,made from material,andesite,What is the made from material of Ichinsky?,Granite,0.0
geography_volcano,Mount Haku,located in protected area,Hakusan National Park,What is the located in protected area of Mount Haku?,Shirakawa-go,0.0
geography_volcano,Lonquimay,continent,Americas,What is the continent of Lonquimay?,South America,0.0
geography_volcano,Ankaratra,made from material,trachyte,What is the made from material of Ankaratra?,Stone,0.0
geography_volcano,Zhupanovsky,made from material,andesite,What is the made from material of Zhupanovsky?,Quartz,0.0
geography_volcano,Momotombo,volcano observatory,Nicaraguan Institute for Territorial Studies,What is the volcano observatory of Momotombo?,"León, Nicaragua",0.0
geography_volcano,Beerenberg,located in/on physical feature,Jan Mayen,Who is the located in/on physical feature of Beerenberg?,Vestmannaeyjar,0.0
geography_volcano,Avachinsky,mountain range,Sredinny Range,Who is the mountain range of Avachinsky?,Kamchatka,0.0
geography_volcano,Puy de Dôme,volcano observatory,Observatoire de physique du globe de Clermont-Ferrand,What is the volcano observatory of Puy de Dôme?,Observatoire Volcanologique de Paris,0.0
geography_volcano,Baluan Island,located in/on physical feature,Admiralty Islands,What is the located in/on physical feature of Baluan Island?,Palau,0.0
geography_volcano,Gareloi Volcano,mountain range,Aleutian Range,What is the mountain range of Gareloi Volcano?,Andreanof,0.0
geography_volcano,Lonquimay,made from material,andesite,What is the made from material of Lonquimay?,Wood,0.0
geography_volcano,Tristan da Cunha,country,United Kingdom,What is the country of Tristan da Cunha?,"Saint Helena, Ascension and Tristan da Cunha",0.0
geography_volcano,Nevado del Ruiz,time period,Pleistocene,What is the time period of Nevado del Ruiz?,1985,0.0
geography_volcano,Mount Boucherie,made from material,rhyolite,What is the made from material of Mount Boucherie?,Basalt,0.0
geography_volcano,Mount Scenery,time period,Holocene,What is the time period of Mount Scenery?,Miocene,0.0
geography_volcano,Zavodovski Island,located in/on physical feature,South Sandwich Islands,What is the located in/on physical feature of Zavodovski Island?,Volcano,0.0
geography_volcano,Volcán de Agua,volcano observatory,"Instituto Nacional de Sismología, Vulcanología, Meteorología e Hidrología",What is the volcano observatory of Volcán de Agua?,"Instituto Nacional de Sismología, Vulcanología, Meteorología e Hydro",0.0
geography_volcano,Lastarria,made from material,andesite,What is the made from material of Lastarria?,Leather,0.0
geography_volcano,North Head,country,New Zealand,What is the country of North Head?,Australia,0.0
