topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
human_scientist,Aleksandr Norden,place of birth,Saratov,What is the place of birth of Aleksandr Norden?,Russia,0.0,"['Saratov', 'Russia', 'Moscow', 'Saint Petersburg']",Where was Aleksandr Norden born?,Is Aleksandr Norden's place of birth Saratov?,Is Aleksandr Norden's place of birth Russia?,What is Aleksandr Norden known for?,Who was born in Saratov?,A. Russia  B. Moscow  C. Saint Petersburg  D. Saratov,D,What is the population of the place of birth of Aleksandr Norden?,"837,900","What is the primary language spoken in the place with a population of 837,900, which is the place of birth of Aleksandr Norden?",Russian,"What is the currency used in the country where the primary language is Russian, which is spoken in the place with a population of 837,900, the place of birth of Aleksandr Norden?",Russian Ruble,"What is the capital city of the country that uses the Russian Ruble, which is the currency used in the country where the primary language is Russian, spoken in the place with a population of 837,900, the place of birth of Aleksandr Norden?",Moscow,"What is the population of the capital city, Moscow, of the country that uses the Russian Ruble, where the primary language is Russian, spoken in the place with a population of 837,900, the place of birth of Aleksandr Norden?",12.5 million
human_scientist,Leonhard Euler,medical condition,blindness,What is the medical condition of Leonhard Euler?,Euler was a mathematician,0.0,"['blindness', 'Euler was a mathematician', 'deafness', 'arthritis']",What medical condition did Leonhard Euler have?,Is blindness the medical condition of Leonhard Euler?,Is Euler was a mathematician the medical condition of Leonhard Euler?,What field of study is Leonhard Euler known for?,Who had the medical condition of blindness?,A. arthritis  B. deafness  C. Euler was a mathematician  D. blindness,D,What is the cause of the medical condition of Leonhard Euler?,Cataracts,Which eye condition led to the cause of the medical condition of Leonhard Euler?,Cataracts,Which part of the eye is affected by the eye condition that led to the cause of the medical condition of Leonhard Euler?,Lens,What is the primary function of the part of the eye affected by the eye condition that led to the cause of the medical condition of Leonhard Euler?,Focusing light onto the retina,Which type of surgery is commonly performed to treat the eye condition that led to the cause of the medical condition of Leonhard Euler?,Cataract surgery
human_scientist,Alberto Santos-Dumont,manner of death,suicide,What is the manner of death of Alberto Santos-Dumont?,He died in a plane crash,0.0,"['suicide', 'He died in a plane crash', 'natural causes', 'accidental drowning']",How did Alberto Santos-Dumont die?,Did Alberto Santos-Dumont die by suicide?,Did Alberto Santos-Dumont die in a plane crash?,What is Alberto Santos-Dumont famous for?,Who died by suicide?,A. suicide  B. accidental drowning  C. He died in a plane crash  D. natural causes,A,What was the cause of the manner of death of Alberto Santos-Dumont?,hanging,Where did the cause of the manner of death of Alberto Santos-Dumont occur?,"Guarujá, São Paulo, Brazil","In which year did the cause of the manner of death of Alberto Santos-Dumont occur in Guarujá, São Paulo, Brazil?",1932,"Who was the president of Brazil in the year when the cause of the manner of death of Alberto Santos-Dumont occurred in Guarujá, São Paulo, Brazil?",Getúlio Vargas,"What was the political party of the president of Brazil in the year when the cause of the manner of death of Alberto Santos-Dumont occurred in Guarujá, São Paulo, Brazil?",Brazilian Labour Party (PTB)
human_scientist,Karl Friedrich Wilhelm Peters,place of death,Königsberg,What is the place of death of Karl Friedrich Wilhelm Peters?,Karl Friedrich Wilhelm Peters died in 1842,0.0,"['Königsberg', 'Karl Friedrich Wilhelm Peters died in 1842', 'Berlin', 'Munich']",Where did Karl Friedrich Wilhelm Peters pass away?,Did Karl Friedrich Wilhelm Peters die in Königsberg?,Did Karl Friedrich Wilhelm Peters die in 1842?,What was Karl Friedrich Wilhelm Peters known for?,Who died in Königsberg?,A. Munich  B. Karl Friedrich Wilhelm Peters died in 1842  C. Königsberg  D. Berlin,C,In which country is the place of death of Karl Friedrich Wilhelm Peters located?,Germany,What is the capital city of the country where the place of death of Karl Friedrich Wilhelm Peters is located?,Berlin,Which river flows through the capital city of the country where the place of death of Karl Friedrich Wilhelm Peters is located?,Spree,What is the length of the river that flows through the capital city of the country where the place of death of Karl Friedrich Wilhelm Peters is located?,400 kilometers,Into which river does the river that flows through the capital city of the country where the place of death of Karl Friedrich Wilhelm Peters is located eventually flow?,Havel
human_scientist,Émile Coué,place of death,Nancy,Who is the place of death of Émile Coué?,The place of death of Émile Coué is the cemetery.  Question,0.0,"['Nancy', 'The place of death of Émile Coué is the cemetery.  Question', 'Paris', 'Lyon']",Where did Émile Coué pass away?,Did Émile Coué die in Nancy?,Did Émile Coué die in the cemetery?,What was Émile Coué known for?,Who died in Nancy?,A. Nancy  B. The place of death of Émile Coué is the cemetery.  Question  C. Lyon  D. Paris,A,In which country is the place of death of Émile Coué located?,France,What is the population of the country where the place of death of Émile Coué is located?,Approximately 67 million,What is the capital city of the country where the place of death of Émile Coué is located?,Paris,What is the most famous landmark in the capital city of the country where the place of death of Émile Coué is located?,Eiffel Tower,Who designed the most famous landmark in the capital city of the country where the place of death of Émile Coué is located?,Gustave Eiffel
human_scientist,Louis Nirenberg,employer,"Courant Institute of Mathematical Sciences, NYU",What is the employer of Louis Nirenberg?,The University of Chicago,0.0,"['Courant Institute of Mathematical Sciences, NYU', 'The University of Chicago', 'Harvard University', 'Princeton University']",Who employs Louis Nirenberg?,"Is the employer of Louis Nirenberg the Courant Institute of Mathematical Sciences, NYU?",Is the employer of Louis Nirenberg The University of Chicago?,Which prestigious institute is Louis Nirenberg associated with?,"Who is employed by the Courant Institute of Mathematical Sciences, NYU?","A. The University of Chicago  B. Courant Institute of Mathematical Sciences, NYU  C. Princeton University  D. Harvard University",B,Who is the director of the employer of Louis Nirenberg?,Russell Caflisch,Which university did the director of the employer of Louis Nirenberg attend for their undergraduate studies?,Harvard University,In which city is the university that the director of the employer of Louis Nirenberg attended located?,Cambridge,In which state is the city located where the university that the director of the employer of Louis Nirenberg attended is situated?,Massachusetts,In which country is the state located where the city is situated that contains the university the director of the employer of Louis Nirenberg attended?,United States
human_scientist,Robert Winston,country of citizenship,United Kingdom,What is the country of citizenship of Robert Winston?,United States of America,0.0,"['United Kingdom', 'United States of America', 'Canada', 'Australia']",Which country is Robert Winston a citizen of?,Is Robert Winston's country of citizenship the United Kingdom?,Is Robert Winston's country of citizenship the United States of America?,What is Robert Winston's profession?,Who is a citizen of the United Kingdom?,A. Australia  B. United Kingdom  C. Canada  D. United States of America,B,Who is the current monarch of the country of citizenship of Robert Winston?,King Charles III,Who is the spouse of the current monarch of the country of citizenship of Robert Winston?,"Camilla, Queen Consort",What is the title of the spouse of the current monarch of the country of citizenship of Robert Winston?,Queen Consort,Which palace is the official residence of the current monarch of the country of citizenship of Robert Winston?,Buckingham Palace,In which city is the official residence of the current monarch of the country of citizenship of Robert Winston located?,London
human_scientist,Hamao Umezawa,employer,University of Tokyo,What is the employer of Hamao Umezawa?,The employer of Hamao Umezawa is the Japanese government. Question,0.0,"['University of Tokyo', 'The employer of Hamao Umezawa is the Japanese government. Question', 'Kyoto University', 'Osaka University']",Who employs Hamao Umezawa?,Is the employer of Hamao Umezawa the University of Tokyo?,Is the employer of Hamao Umezawa the Japanese government?,Which university is Hamao Umezawa associated with?,Who is employed by the University of Tokyo?,A. University of Tokyo  B. Kyoto University  C. Osaka University  D. The employer of Hamao Umezawa is the Japanese government. Question,A,What is the location of the employer of Hamao Umezawa?,"Tokyo, Japan",What is the population of the location of the employer of Hamao Umezawa?,Approximately 14 million,What is the area of the location with the population of approximately 14 million where the employer of Hamao Umezawa is situated?,"2,194 square kilometers","What is the name of the governor of the location with an area of 2,194 square kilometers where the employer of Hamao Umezawa is situated?",Yuriko Koike,"What is the political party of the governor of the location with an area of 2,194 square kilometers where the employer of Hamao Umezawa is situated?",Tomin First no Kai
human_scientist,James Rhyne Killian,employer,Massachusetts Institute of Technology,What is the employer of James Rhyne Killian?,The employer of James Rhyne Killian is the United States government,0.0,"['Massachusetts Institute of Technology', 'The employer of James Rhyne Killian is the United States government', 'Harvard University', 'Stanford University']",Who employed James Rhyne Killian?,Is the employer of James Rhyne Killian the Massachusetts Institute of Technology?,Is the employer of James Rhyne Killian the United States government?,What is a notable achievement of James Rhyne Killian?,Who is employed by the Massachusetts Institute of Technology?,A. The employer of James Rhyne Killian is the United States government  B. Stanford University  C. Harvard University  D. Massachusetts Institute of Technology,D,Who is the current president of the employer of James Rhyne Killian?,L. Rafael Reif,What is the field of study of the current president of the employer of James Rhyne Killian?,Electrical Engineering,Which university did the current president of the employer of James Rhyne Killian attend for their undergraduate studies?,Universidad de Carabobo,In which country is the university located where the current president of the employer of James Rhyne Killian attended for their undergraduate studies?,Venezuela,What is the official language of the country where the university is located that the current president of the employer of James Rhyne Killian attended for their undergraduate studies?,Spanish
human_scientist,Konstantin Tsiolkovskii,place of birth,Izhevskoe,Who is the place of birth of Konstantin Tsiolkovskii?,Russia,0.0,"['Izhevskoe', 'Russia', 'Moscow', 'Saint Petersburg']",Where was Konstantin Tsiolkovskii born?,Is Izhevskoe the place of birth of Konstantin Tsiolkovskii?,Is Russia the place of birth of Konstantin Tsiolkovskii?,What is Konstantin Tsiolkovskii known for in the field of science?,Who was born in Izhevskoe?,A. Russia  B. Saint Petersburg  C. Moscow  D. Izhevskoe,D,In which country is the place of birth of Konstantin Tsiolkovskii located?,Russia,What is the capital city of the country where the place of birth of Konstantin Tsiolkovskii is located?,Moscow,Which river flows through the capital city of the country where the place of birth of Konstantin Tsiolkovskii is located?,Moskva River,What is the length of the river that flows through the capital city of the country where the place of birth of Konstantin Tsiolkovskii is located?,502 kilometers,Into which larger body of water does the river that flows through the capital city of the country where the place of birth of Konstantin Tsiolkovskii is located ultimately drain?,Oka River
