topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
human_athlete,Yevgeniy Abalakov,place of burial,Novodevichy Cemetery,What is the place of burial of Yevgeniy Abalakov?,The place of burial of Yevgeniy Abalakov is in the cemetery,0.0,"['Novodevichy Cemetery', 'The place of burial of Yevgeniy Abalakov is in the cemetery', 'Kremlin Wall Necropolis', 'Alexander Nevsky Lavra']",Where is Yevgeniy Abalakov buried?,Is Yevgeniy Abalakov buried in Novodevichy Cemetery?,Is Yevgeniy Abalakov buried in the cemetery?,What is Yevgeniy Abalakov known for?,Who is buried in Novodevichy Cemetery?,A. Alexander Nevsky Lavra  B. The place of burial of Yevgeniy Abalakov is in the cemetery  C. Kremlin Wall Necropolis  D. Novodevichy Cemetery,D,In which city is the place of burial of Yevgeniy Abalakov located?,Moscow,What is the population of the city where the place of burial of Yevgeniy Abalakov is located?,Approximately 12.5 million,What is the name of the river that flows through the city where the place of burial of Yevgeniy Abalakov is located?,Moskva River,What is the length of the river that flows through the city where the place of burial of Yevgeniy Abalakov is located?,502 kilometers,Into which larger body of water does the river that flows through the city where the place of burial of Yevgeniy Abalakov is located eventually flow?,Oka River
human_athlete,Josef Pešice,place of birth,Prague,What is the place of birth of Josef Pešice?,Czechoslovakia,0.0,"['Prague', 'Czechoslovakia', 'Brno', 'Ostrava']",Where was Josef Pešice born?,Is Prague the place of birth of Josef Pešice?,Is Czechoslovakia the place of birth of Josef Pešice?,What sport is Josef Pešice known for?,Who was born in Prague?,A. Czechoslovakia  B. Prague  C. Brno  D. Ostrava,B,What is the population of the place of birth of Josef Pešice?,1.3 million,"What is the area in square kilometers of the place with a population of 1.3 million, which is the place of birth of Josef Pešice?",496 square kilometers,"What is the name of the river that flows through the place with an area of 496 square kilometers, which is the place of birth of Josef Pešice?",Vltava,"What is the length of the river that flows through the place with an area of 496 square kilometers, which is the place of birth of Josef Pešice?",430 kilometers,"Into which body of water does the river that is 430 kilometers long and flows through the place with an area of 496 square kilometers, which is the place of birth of Josef Pešice, empty?",Elbe River
human_athlete,Hugó Payr,sport,wrestling,What is the sport of Hugó Payr?,Hugó Payr is a sport played by the people of the village of Hug,0.0,"['wrestling', 'Hugó Payr is a sport played by the people of the village of Hug', 'soccer', 'basketball']",Which sport is associated with Hugó Payr?,Is Hugó Payr's sport wrestling?,Is Hugó Payr's sport Hugó Payr is a sport played by the people of the village of Hug?,What nationality is Hugó Payr?,Who is associated with the sport of wrestling?,A. basketball  B. Hugó Payr is a sport played by the people of the village of Hug  C. soccer  D. wrestling,D,What is the weight class of Hugó Payr in wrestling?,Lightweight,Which championship did Hugó Payr compete in within the lightweight class in wrestling?,European Wrestling Championships,In which year did Hugó Payr compete in the European Wrestling Championships within the lightweight class?,1931,In which city was the European Wrestling Championships held in the year Hugó Payr competed in the lightweight class?,Prague,In which country is the city located where the European Wrestling Championships were held in the year Hugó Payr competed in the lightweight class?,Czechoslovakia
human_athlete,Robert Pražák,field of work,sport,What is the field of work of Robert Pražák?,Aesthetics,0.0,"['sport', 'Aesthetics', 'literature', 'science']",In which field does Robert Pražák work?,Is Robert Pražák's field of work sport?,Is Robert Pražák's field of work Aesthetics?,What nationality is Robert Pražák?,Who works in the field of sport?,A. Aesthetics  B. sport  C. literature  D. science,B,What is the specific sport that Robert Pražák is associated with?,Gymnastics,Which country did Robert Pražák represent in gymnastics?,Czechoslovakia,In which year did Robert Pražák win his first Olympic medal representing Czechoslovakia in gymnastics?,1924,In which city were the Olympics held where Robert Pražák won his first medal representing Czechoslovakia in gymnastics?,Paris,In which country is the city located where Robert Pražák won his first Olympic medal representing Czechoslovakia in gymnastics?,France
human_athlete,Adam Helcelet,sport,athletics,What is the sport of Adam Helcelet?,Golf,0.0,"['athletics', 'Golf', 'tennis', 'swimming']",Which sport does Adam Helcelet participate in?,Is athletics the sport of Adam Helcelet?,Is Golf the sport of Adam Helcelet?,What is the nationality of Adam Helcelet?,Who participates in athletics?,A. swimming  B. Golf  C. athletics  D. tennis,C,What is the event in athletics that Adam Helcelet competes in?,decathlon,Which country does Adam Helcelet represent in the event in athletics that he competes in?,Czech Republic,What is the capital city of the country that Adam Helcelet represents in the event in athletics that he competes in?,Prague,What is the population of the capital city of the country that Adam Helcelet represents in the event in athletics that he competes in?,1.3 million,What is the main river that flows through the capital city of the country that Adam Helcelet represents in the event in athletics that he competes in?,Vltava
human_athlete,Olga Fikotová,spouse,Hal Connolly,Who is the spouse of Olga Fikotová?,Olga Fikotová is the spouse of Olga Fikot,0.0,"['Hal Connolly', 'Olga Fikotová is the spouse of Olga Fikot', 'John Smith', 'Michael Johnson']",Who is married to Olga Fikotová?,Is Hal Connolly the spouse of Olga Fikotová?,Is Olga Fikotová the spouse of Olga Fikot?,What sport is Olga Fikotová known for?,Who is the spouse of Hal Connolly?,A. Hal Connolly  B. Michael Johnson  C. John Smith  D. Olga Fikotová is the spouse of Olga Fikot,A,What sport did the spouse of Olga Fikotová compete in?,Hammer throw,In which year did the spouse of Olga Fikotová win an Olympic gold medal in hammer throw?,1956,In which city were the Olympics held where the spouse of Olga Fikotová won a gold medal in hammer throw?,Melbourne,In which country is the city located where the spouse of Olga Fikotová won an Olympic gold medal in hammer throw?,Australia,On which continent is the country located where the city is situated that hosted the Olympics where the spouse of Olga Fikotová won a gold medal in hammer throw?,Australia
human_athlete,Karl Majcen,occupation,athlete,What is the occupation of Karl Majcen?,I am a student,0.0,"['athlete', 'I am a student', 'teacher', 'engineer']",What does Karl Majcen do for a living?,Is Karl Majcen an athlete?,Is Karl Majcen a student?,What is Karl Majcen's nationality?,Who is an athlete?,A. athlete  B. teacher  C. engineer  D. I am a student,A,What sport does the athlete Karl Majcen play?,Soccer,Which team does the athlete Karl Majcen play for?,NK Maribor,In which league does the team that the athlete Karl Majcen plays for compete?,Slovenian PrvaLiga,In which country is the league located where the team that the athlete Karl Majcen plays for competes?,Slovenia,What is the capital city of the country where the league is located that the team Karl Majcen plays for competes?,Ljubljana
human_athlete,Tibor Pettkó-Szandtner,place of birth,Pezinok,What is the place of birth of Tibor Pettkó-Szandtner?,Hungary,0.0,"['Pezinok', 'Hungary', 'Bratislava', 'Vienna']",Where was Tibor Pettkó-Szandtner born?,Is Pezinok the place of birth of Tibor Pettkó-Szandtner?,Is Hungary the place of birth of Tibor Pettkó-Szandtner?,What was Tibor Pettkó-Szandtner's profession?,Who was born in Pezinok?,A. Vienna  B. Hungary  C. Pezinok  D. Bratislava,C,In which country is the place of birth of Tibor Pettkó-Szandtner located?,Slovakia,What is the official language of the country where the place of birth of Tibor Pettkó-Szandtner is located?,Slovak,What is the population of the country where the place of birth of Tibor Pettkó-Szandtner is located?,Approximately 5.4 million,What is the capital city of the country where the place of birth of Tibor Pettkó-Szandtner is located?,Bratislava,What river flows through the capital city of the country where the place of birth of Tibor Pettkó-Szandtner is located?,Danube
human_athlete,Milan Chalupa,member of sports team,Detroit Red Wings,What is the member of sports team of Milan Chalupa?,Milan Chalupa,0.0,"['Detroit Red Wings', 'Milan Chalupa', 'Chicago Blackhawks', 'New York Rangers']",Which sports team is Milan Chalupa a member of?,Is Milan Chalupa a member of the Detroit Red Wings?,Is Milan Chalupa a member of Milan Chalupa?,What position did Milan Chalupa play in his sports career?,Who is a member of the sports team Detroit Red Wings?,A. Milan Chalupa  B. Detroit Red Wings  C. New York Rangers  D. Chicago Blackhawks,B,"Who is the head coach of the Detroit Red Wings, the team that Milan Chalupa is a member of?",Jeff Blashill,"Which university did the head coach of the Detroit Red Wings, the team that Milan Chalupa is a member of, attend?",Ferris State University,"In which city is the university located that the head coach of the Detroit Red Wings, the team that Milan Chalupa is a member of, attended?",Big Rapids,"In which state is the city located where the university is situated that the head coach of the Detroit Red Wings, the team that Milan Chalupa is a member of, attended?",Michigan,"In which country is the state located where the city is situated that contains the university the head coach of the Detroit Red Wings, the team that Milan Chalupa is a member of, attended?",United States
human_athlete,Akebono Tarō,manner of death,natural causes,What is the manner of death of Akebono Tarō?,He died of a heart attack,0.0,"['natural causes', 'He died of a heart attack', 'accident', 'suicide']",How did Akebono Tarō pass away?,Did Akebono Tarō die of natural causes?,Did Akebono Tarō die of a heart attack?,What sport is Akebono Tarō famous for?,Who died of natural causes?,A. He died of a heart attack  B. accident  C. suicide  D. natural causes,D,What is the birth name of the person who died of natural causes and is related to Akebono Tarō?,Chadwick Haheo Rowan,"What is the birthplace of Chadwick Haheo Rowan, the person who died of natural causes and is related to Akebono Tarō?","Waimānalo, Hawaii","What is the population of Waimānalo, Hawaii, the birthplace of Chadwick Haheo Rowan, the person who died of natural causes and is related to Akebono Tarō?","Approximately 5,451","What is the area in square miles of Waimānalo, Hawaii, the birthplace of Chadwick Haheo Rowan, the person who died of natural causes and is related to Akebono Tarō?",4.5 square miles,"What is the ZIP code of Waimānalo, Hawaii, the birthplace of Chadwick Haheo Rowan, the person who died of natural causes and is related to Akebono Tarō?",96795
