topic,subject,relation,object,question,output_vicuna_7b_v1.5,eval_vicuna_7b_v1.5,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
health_symptom,tunnel vision,afflicts,peripheral vision,What does tunnel vision afflict?,Tunnel vision afflicts the eyes,0.0,"['peripheral vision', 'the eyes', 'central vision', 'color perception']",What is affected by tunnel vision?,A. Tunnel vision afflicts the eyes  B. peripheral vision  C. central vision  D. color perception,B,Does tunnel vision afflict peripheral vision?,Does tunnel vision afflict the eyes?,What is a common symptom of tunnel vision?,What afflicts peripheral vision?,What is a common cause of the condition that tunnel vision afflicts?,Glaucoma,Which part of the eye is primarily affected by the common cause of the condition that tunnel vision afflicts?,Optic nerve,What is a common symptom of damage to the part of the eye primarily affected by the common cause of the condition that tunnel vision afflicts?,Loss of peripheral vision,What is a common diagnostic test used to detect damage to the part of the eye primarily affected by the common cause of the condition that tunnel vision afflicts?,Visual field test,Which medical specialist commonly performs the diagnostic test used to detect damage to the part of the eye primarily affected by the common cause of the condition that tunnel vision afflicts?,Ophthalmologist
health_symptom,tunnel vision,health specialty,ophthalmology,What is the health specialty of tunnel vision?,Tunnel vision is a condition in which a person's field of vision is,0.0,"['ophthalmology', ""Tunnel vision is a condition in which a person's field of vision is"", 'neurology', 'cardiology']",Which medical field deals with tunnel vision?,A. neurology  B. ophthalmology  C. cardiology  D. Tunnel vision is a condition in which a person's field of vision is,B,Is the health specialty of tunnel vision ophthalmology?,Is the health specialty of tunnel vision Tunnel vision is a condition in which a person's field of vision is?,What part of the body is primarily associated with tunnel vision?,What condition is treated in the field of ophthalmology?,Which medical professional specializes in treating tunnel vision?,Ophthalmologist,What is the primary condition that an ophthalmologist treats which can cause tunnel vision?,Glaucoma,What is a common symptom of glaucoma that an ophthalmologist might look for?,Increased intraocular pressure,What diagnostic tool might an ophthalmologist use to measure intraocular pressure?,Tonometer,Which part of the eye does a tonometer measure to assess intraocular pressure?,Cornea
health_symptom,fatigue,health specialty,primary care,What is the health specialty of fatigue?,Fatigue is a common symptom that can be caused by a variety of,0.0,"['primary care', 'Fatigue is a common symptom that can be caused by a variety of', 'cardiology', 'neurology']",Which medical specialty deals with fatigue?,A. primary care  B. Fatigue is a common symptom that can be caused by a variety of  C. cardiology  D. neurology,A,Is primary care the health specialty of fatigue?,Is Fatigue is a common symptom that can be caused by a variety of the health specialty of fatigue?,What is a common symptom that primary care physicians treat?,What condition is managed by primary care?,Which type of doctor specializes in treating fatigue?,Endocrinologist,What is a common condition that an endocrinologist might treat that can cause fatigue?,Hypothyroidism,What is a common symptom of hypothyroidism?,Weight gain,What is a common dietary recommendation for managing weight gain due to hypothyroidism?,Low-calorie diet,What is a common nutrient that should be included in a low-calorie diet to help manage hypothyroidism?,Iodine
health_symptom,bleeding gums,health specialty,oral and maxillofacial surgery,What is the health specialty of bleeding gums?,Bleeding gums are a symptom of a dental condition known as ging,0.0,"['oral and maxillofacial surgery', 'Bleeding gums are a symptom of a dental condition known as ging', 'periodontology', 'dentistry']",Which health specialty deals with bleeding gums?,A. dentistry  B. Bleeding gums are a symptom of a dental condition known as ging  C. oral and maxillofacial surgery  D. periodontology,C,Is oral and maxillofacial surgery the health specialty for bleeding gums?,Is Bleeding gums are a symptom of a dental condition known as ging the health specialty for bleeding gums?,What is a common symptom associated with bleeding gums?,What condition is treated by oral and maxillofacial surgery?,Which health specialty deals with bleeding gums?,Periodontology,What is a common treatment provided by the health specialty that deals with bleeding gums?,Scaling and root planing,What tool is commonly used in the treatment provided by the health specialty that deals with bleeding gums?,Ultrasonic scaler,Which company manufactures a popular ultrasonic scaler used in the treatment provided by the health specialty that deals with bleeding gums?,Dentsply Sirona,In which country is the company located that manufactures a popular ultrasonic scaler used in the treatment provided by the health specialty that deals with bleeding gums?,United States
health_symptom,gummatous syphilis,health specialty,infectious diseases,What is the health specialty of gummatous syphilis?,Gummatous syphilis is a type of syphilis that affect,0.0,"['Infectious diseases', 'Gummatous syphilis is a type of syphilis that affect', 'Cardiology', 'Dermatology']",Which medical specialty deals with gummatous syphilis?,A. infectious diseases  B. Gummatous syphilis is a type of syphilis that affect  C. Cardiology  D. Dermatology,A,Is the health specialty of gummatous syphilis infectious diseases?,Is the health specialty of gummatous syphilis Gummatous syphilis is a type of syphilis that affect?,What type of bacteria causes gummatous syphilis?,What condition is associated with the health specialty of infectious diseases?,Which medical specialty deals with the treatment of gummatous syphilis?,Dermatology,What is a common diagnostic test used in the medical specialty that treats gummatous syphilis?,VDRL test,What type of pathogen is detected by the diagnostic test commonly used in the medical specialty that treats gummatous syphilis?,Treponema pallidum,Who discovered the pathogen detected by the diagnostic test used in the medical specialty that treats gummatous syphilis?,Fritz Schaudinn,In which year was the pathogen discovered by Fritz Schaudinn that is detected by the diagnostic test used in the medical specialty that treats gummatous syphilis?,1905
health_symptom,red eye,afflicts,conjunctiva,What does red eye afflict?,Red eye affliction is a condition that causes redness and irritation,0.0,"['conjunctiva', 'Red eye affliction is a condition that causes redness and irritation', 'cornea', 'retina']",What part of the body is affected by red eye?,A. cornea  B. Red eye affliction is a condition that causes redness and irritation  C. retina  D. conjunctiva,D,Does red eye afflict the conjunctiva?,Does red eye afflict a condition that causes redness and irritation?,What is a common symptom of red eye?,What afflicts the conjunctiva?,What is a common symptom of the condition that afflicts people with red eye?,Eye redness,What is a common cause of the symptom that afflicts people with red eye?,Allergies,What is a common treatment for the cause of the symptom that afflicts people with red eye?,Antihistamines,What is a common side effect of the treatment for the cause of the symptom that afflicts people with red eye?,Drowsiness,What is a common remedy to counteract the side effect of the treatment for the cause of the symptom that afflicts people with red eye?,Caffeine
health_symptom,red eye,health specialty,ophthalmology,What is the health specialty of red eye?,"Red eye is a condition that affects the blood vessels in the eye, causing",0.0,"['ophthalmology', 'Red eye is a condition that affects the blood vessels in the eye, causing', 'dermatology', 'cardiology']",Which medical field specializes in treating red eye?,"A. dermatology  B. Red eye is a condition that affects the blood vessels in the eye, causing  C. ophthalmology  D. cardiology",C,Is ophthalmology the health specialty for red eye?,"Is Red eye is a condition that affects the blood vessels in the eye, causing the health specialty for red eye?",What part of the body is primarily affected by red eye?,What condition does ophthalmology specialize in treating?,What is a common treatment for the health specialty related to red eye?,Antibiotic eye drops,What is a common side effect of the treatment for the health specialty related to red eye?,Eye irritation,What is a common remedy for the side effect of the treatment for the health specialty related to red eye?,Artificial tears,What is a common ingredient in the remedy for the side effect of the treatment for the health specialty related to red eye?,Glycerin,What is a common use of the ingredient in the remedy for the side effect of the treatment for the health specialty related to red eye?,Moisturizing
health_symptom,bone fracture,health specialty,osteology,What is the health specialty of bone fracture?,Orthopedics,0.0,"['Osteology', 'Orthopedics', 'Cardiology', 'Neurology']",Which health specialty deals with bone fractures?,A. Cardiology  B. osteology  C. Neurology  D. Orthopedics,B,Is the health specialty of bone fracture osteology?,Is the health specialty of bone fracture orthopedics?,What is a common treatment method for bone fractures?,What condition does osteology specialize in?,What is the medical specialty that deals with bone fractures?,Orthopedics,Who is a famous doctor in the field of orthopedics?,Dr. James Andrews,Which university did Dr. James Andrews attend for his medical degree?,Louisiana State University,In which city is Louisiana State University located?,Baton Rouge,In which state is the city of Baton Rouge located?,Louisiana
health_symptom,myoclonus,health specialty,neurology,What is the health specialty of myoclonus?,Myoclonus is a type of muscle spasm or twitch that,0.0,"['neurology', 'Myoclonus is a type of muscle spasm or twitch that', 'cardiology', 'dermatology']",Which medical field specializes in myoclonus?,A. dermatology  B. Myoclonus is a type of muscle spasm or twitch that  C. neurology  D. cardiology,C,Is the health specialty of myoclonus neurology?,Is the health specialty of myoclonus 'Myoclonus is a type of muscle spasm or twitch that'?,What part of the body is primarily affected by myoclonus?,What condition does neurology specialize in?,Which medical professional specializes in the health specialty related to myoclonus?,Neurologist,What is a common diagnostic tool used by the medical professional who specializes in the health specialty related to myoclonus?,Electroencephalogram (EEG),What condition can be diagnosed using the diagnostic tool commonly used by the medical professional who specializes in the health specialty related to myoclonus?,Epilepsy,Which medication is often prescribed for the condition that can be diagnosed using the diagnostic tool commonly used by the medical professional who specializes in the health specialty related to myoclonus?,Valproate,What is a common side effect of the medication often prescribed for the condition that can be diagnosed using the diagnostic tool commonly used by the medical professional who specializes in the health specialty related to myoclonus?,Weight gain
health_symptom,hostility,said to be the same as,aggression,What did hostility say to be the same as?,"""Be the same as"" is a phrase that can be used to describe a",0.0,"['aggression', '""Be the same as"" is a phrase that can be used to describe a', 'friendliness', 'calmness']",What is hostility said to be equivalent to?,"A. aggression  B. calmness  C. friendliness  D. ""Be the same as"" is a phrase that can be used to describe a",A,Is hostility said to be the same as aggression?,"Is hostility said to be the same as ""Be the same as"" is a phrase that can be used to describe a?",What is a common emotion associated with hostility?,What is aggression said to be the same as?,What is a synonym for the term that is said to be the same as hostility?,antagonism,What is an antonym for the synonym of the term that is said to be the same as hostility?,friendliness,What is a common behavior associated with the antonym of the synonym of the term that is said to be the same as hostility?,kindness,What is a common outcome of the behavior associated with the antonym of the synonym of the term that is said to be the same as hostility?,harmony,What is a societal benefit of the common outcome of the behavior associated with the antonym of the synonym of the term that is said to be the same as hostility?,peace
