topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
entertainment_song,Lose You to Love Me,published in,Rare,What was Lose You to Love Me published in?,2018,0.0
entertainment_song,Mademoiselle Juliette,record label,RCA Records,What is the record label of Mademoiselle Juliette?,Universal Music,0.0
entertainment_song,The Night They Drove Old Dixie Down,record label,Capitol Records,What is the record label of The Night They Drove Old Dixie Down?,Warner Bros,0.0
entertainment_song,Run Boy Run,performer,Yoann Lemoine,Who does Run Boy Run performer?,Burak Yeter,0.0
entertainment_song,Le souvenir de ce jour,composer,Nicolas Chassagne,Who is the composer of Le souvenir de ce jour?,Gabriel Fauré,0.0
entertainment_song,Sailing,form of creative work,song,What is the form of creative work of Sailing?,Poetry,0.0
entertainment_song,word/sample,performer,Sakanaction,What does word/sample performer?,Rapper,0.0
entertainment_song,Island in the Sun,follows,Hash Pipe,What does Island in the Sun follow?,We Jam Econo,0.0
entertainment_song,Medellín,record label,Interscope Records,What is the record label of Medellín?,Universal Music,0.0
entertainment_song,Uptown Funk,record label,Sony Music,What is the record label of Uptown Funk?,RCA Records,0.0
entertainment_song,Laugh Now Cry Later,distribution format,music download,What is the distribution format of Laugh Now Cry Later?,Streaming,0.0
entertainment_song,Space Oddity,recorded at studio or venue,Trident Studios,What is the recorded at studio or venue of Space Oddity?,Olympic Sound Studios,0.0
entertainment_song,Cassé,producer,Pascal Obispo,Who is the producer of Cassé?,Kavinsky,0.0
entertainment_song,Donne-moi le temps,follows,Des mots qui résonnent!,What does Donne-moi le temps follow?,Donne-moi le temps suit le temps,0.0
entertainment_song,Uptown Funk,follows,Anywhere in the World,What does Uptown Funk follow?,Funk,0.0
entertainment_song,Oblivion,record label,4AD,What is the record label of Oblivion?,Roadrunner,0.0
entertainment_song,Solaar pleure,record label,Warner Music Group,What is the record label of Solaar pleure?,Delabel,0.0
entertainment_song,A Thousand Years,distribution format,music download,What is the distribution format of A Thousand Years?,"CD, digital download, and streaming",0.0
entertainment_song,Bitches Broken Hearts,follows,&Burn,What does Bitches Broken Hearts follow?,The Bachelorette,0.0
entertainment_song,word/sample,place of publication,Japan,What is the place of publication of word/sample?,New York,0.0
entertainment_song,Rolling Stone,genre,pop music,What is the genre of Rolling Stone?,Music magazine,0.0
entertainment_song,Blonde,composer,Pascal Obispo,Who is the composer of Blonde?,Andrew Dominik,0.0
entertainment_song,word/sample,language of work or name,Japanese,What is the language of work or name of word/sample?,Python,0.0
entertainment_song,Niggas in Paris,composer,Hit-Boy,What is the composer of Niggas in Paris?,Kanye West,0.0
entertainment_song,Take Me Home,followed by,Murder on the Dancefloor,What was Take Me Home followed by?,One Way or Another,0.0
entertainment_song,Alors on danse,producer,Stromae,Who is the producer of Alors on danse?,Mirwais,0.0
entertainment_song,À quoi je sers...,performer,Mylène Farmer,Who does À quoi je sers... performer?,Celine Dion,0.0
entertainment_song,Nothing Breaks Like a Heart,record label,RCA Records,What is the record label of Nothing Breaks Like a Heart?,Atlantic Records,0.0
entertainment_song,J'ai tout oublié,composer,Georges Lunghini,Who is the composer of J'ai tout oublié?,Serge Gainsbourg,0.0
entertainment_song,Paris-Seychelles,performer,Julien Doré,Who does Paris-Seychelles performer?,Air France,0.0
entertainment_song,Say My Name,follows,I'm a Mess,What does Say My Name follow?,Drag It Out,0.0
entertainment_song,Les gens qui doutent,performer,Coline Rio,Who does Les gens qui doutent performer?,Marcel Marceau,0.0
entertainment_song,The Look of Love,language of work or name,English,What is the language of work or name of The Look of Love?,French,0.0
