topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
human_scientist,Alain Badiou,member of political party,Unified Socialist Party,What is the member of political party of Alain Badiou?,Communist,0.0,"['Unified Socialist Party', 'Communist', 'Socialist Workers Party', 'Democratic Socialist Party']",Which political party is Alain Badiou a member of?,A. Unified Socialist Party  B. Socialist Workers Party  C. Communist  D. Democratic Socialist Party,A,Is Alain Badiou a member of the Unified Socialist Party?,Is Alain Badiou a member of the Communist party?,What is Alain Badiou well-known for in the field of philosophy?,Who is a member of the Unified Socialist Party?,Who is a notable member of the political party that Alain Badiou is a member of?,Jean-Luc Mélenchon,What is the political position held by a notable member of the political party that Alain Badiou is a member of?,Member of the European Parliament,Which country does the political position held by a notable member of the political party that Alain Badiou is a member of represent?,France,What is the capital city of the country represented by the political position held by a notable member of the political party that Alain Badiou is a member of?,Paris,What is a famous landmark located in the capital city of the country represented by the political position held by a notable member of the political party that Alain Badiou is a member of?,Eiffel Tower
human_scientist,Hamza Hakimzade Niyazi,member of political party,Communist Party of the Soviet Union,What is the member of political party of Hamza Hakimzade Niyazi?,Turkish Constitutional Congress Party,0.0,"['Communist Party of the Soviet Union', 'Turkish Constitutional Congress Party', 'Social Democratic Party', 'Nationalist Party']",Which political party was Hamza Hakimzade Niyazi a member of?,A. Nationalist Party  B. Social Democratic Party  C. Turkish Constitutional Congress Party  D. Communist Party of the Soviet Union,D,Was Hamza Hakimzade Niyazi a member of the Communist Party of the Soviet Union?,Was Hamza Hakimzade Niyazi a member of the Turkish Constitutional Congress Party?,What is a notable work or contribution of Hamza Hakimzade Niyazi?,Who is a member of the Communist Party of the Soviet Union?,Who was the leader of the political party that Hamza Hakimzade Niyazi was a member of?,Vladimir Lenin,What was the birthplace of the leader of the political party that Hamza Hakimzade Niyazi was a member of?,Simbirsk,In which country is the birthplace of the leader of the political party that Hamza Hakimzade Niyazi was a member of located?,Russia,What is the official language of the country where the birthplace of the leader of the political party that Hamza Hakimzade Niyazi was a member of is located?,Russian,What is the writing system used for the official language of the country where the birthplace of the leader of the political party that Hamza Hakimzade Niyazi was a member of is located?,Cyrillic
human_scientist,Vitaly Ginzburg,doctoral advisor,Igor Tamm,Who is the doctoral advisor of Vitaly Ginzburg?,Ivan E. Tamm,0.0,"['Igor Tamm', 'Ivan E. Tamm', 'Lev Landau', 'Andrei Sakharov']",Who supervised Vitaly Ginzburg's doctoral studies?,A. Lev Landau  B. Ivan E. Tamm  C. Igor Tamm  D. Andrei Sakharov,C,Is Igor Tamm the doctoral advisor of Vitaly Ginzburg?,Is Ivan E. Tamm the doctoral advisor of Vitaly Ginzburg?,What notable prize did Vitaly Ginzburg win?,Who was advised by Igor Tamm for their doctorate?,Who was the doctoral advisor of Vitaly Ginzburg?,Lev Landau,Which university did the doctoral advisor of Vitaly Ginzburg work at?,Moscow State University,In which city is the university located where the doctoral advisor of Vitaly Ginzburg worked?,Moscow,In which country is the city located where the university is situated that the doctoral advisor of Vitaly Ginzburg worked at?,Russia,What is the official language of the country where the city is located that contains the university where the doctoral advisor of Vitaly Ginzburg worked?,Russian
human_scientist,Catherine Coleman,spouse,Josh Simpson,Who is the spouse of Catherine Coleman?,John C. Coleman,0.0,"['Josh Simpson', 'John C. Coleman', 'Michael Collins', 'Neil Armstrong']",Who is Catherine Coleman's spouse?,A. Josh Simpson  B. Michael Collins  C. John C. Coleman  D. Neil Armstrong,A,Is Josh Simpson the spouse of Catherine Coleman?,Is John C. Coleman the spouse of Catherine Coleman?,What is Catherine Coleman known for in her professional career?,Who is the spouse of Josh Simpson?,Who is the spouse of Catherine Coleman?,Josh Simpson,What is the profession of the spouse of Catherine Coleman?,Glass artist,In which state does the spouse of Catherine Coleman primarily work?,Massachusetts,Which university did the spouse of Catherine Coleman attend?,Hartwick College,In which city is the university located that the spouse of Catherine Coleman attended?,Oneonta
human_scientist,Franz-Josef Ulm,place of birth,Fürth,What is the place of birth of Franz-Josef Ulm?,Austria,0.0,"['Fürth', 'Austria', 'Munich', 'Berlin']",Where was Franz-Josef Ulm born?,A. Fürth  B. Munich  C. Austria  D. Berlin,A,Is Franz-Josef Ulm's place of birth Fürth?,Is Franz-Josef Ulm's place of birth Austria?,What is Franz-Josef Ulm known for?,Who was born in Fürth?,What is the country of the place of birth of Franz-Josef Ulm?,Germany,What is the capital city of the country where Franz-Josef Ulm was born?,Berlin,Which river flows through the capital city of the country where Franz-Josef Ulm was born?,Spree,What is the length of the river that flows through the capital city of the country where Franz-Josef Ulm was born?,400 kilometers,Into which river does the river that flows through the capital city of the country where Franz-Josef Ulm was born eventually flow?,Havel
human_scientist,Tamara Braun,field of work,digital humanities,What is the field of work of Tamara Braun?,Acting,0.0,"['digital humanities', 'Acting', 'Computer Science', 'Literature']",In which field does Tamara Braun work?,A. Literature  B. digital humanities  C. Computer Science  D. Acting,B,Is Tamara Braun's field of work digital humanities?,Is Tamara Braun's field of work Acting?,What is a notable achievement or role associated with Tamara Braun?,Who works in the field of digital humanities?,Who is a notable co-star of Tamara Braun in her field of work?,Maurice Benard,Which television show features both Tamara Braun and her notable co-star?,General Hospital,Who created the television show that features both Tamara Braun and her notable co-star?,Frank and Doris Hursley,Which network broadcasts the television show created by Frank and Doris Hursley that features Tamara Braun?,ABC,In which year did the network that broadcasts the television show featuring Tamara Braun first air the show?,1963
human_scientist,Werner Riess,doctoral advisor,Géza Alföldy,Who is the doctoral advisor of Werner Riess?,Hans-Heinrich Nolte,0.0,"['Géza Alföldy', 'Hans-Heinrich Nolte', 'Wolfgang Schuller', 'Karl Christ']",Who supervised Werner Riess's doctoral studies?,A. Wolfgang Schuller  B. Hans-Heinrich Nolte  C. Géza Alföldy  D. Karl Christ,C,Is Géza Alföldy the doctoral advisor of Werner Riess?,Is Hans-Heinrich Nolte the doctoral advisor of Werner Riess?,What is Werner Riess known for in the field of history?,Who is the doctoral student of Géza Alföldy?,Who is the doctoral advisor of Werner Riess?,Unknown,Which university did the doctoral advisor of Werner Riess work at?,Unknown,In which city is the university located where the doctoral advisor of Werner Riess worked?,Unknown,In which state is the city located where the university is situated that the doctoral advisor of Werner Riess worked?,Unknown,In which country is the state located where the city is situated that contains the university where the doctoral advisor of Werner Riess worked?,Unknown
human_scientist,David P. Lane,place of birth,Wimbledon,What is the place of birth of David P. Lane?,Birmingham,0.0,"['Wimbledon', 'Birmingham', 'Manchester', 'Liverpool']",Where was David P. Lane born?,A. Liverpool  B. Manchester  C. Birmingham  D. Wimbledon,D,Is David P. Lane's place of birth Wimbledon?,Is David P. Lane's place of birth Birmingham?,What is David P. Lane known for?,Who was born in Wimbledon?,What is the capital city of the country where David P. Lane was born?,"Washington, D.C.",Which river flows through the capital city of the country where David P. Lane was born?,Potomac River,What is the name of the famous monument located near the river that flows through the capital city of the country where David P. Lane was born?,Washington Monument,"Who was the first president of the country where the capital city, which has a famous monument near the river that flows through it, is located?",George Washington,"In which year did the first president of the country, where the capital city with a famous monument near the river that flows through it is located, take office?",1789
human_scientist,Dēmētrios Nikolaou Darvaris,place of death,Vienna,What is the place of death of Dēmētrios Nikolaou Darvaris?,Athens,0.0,"['Vienna', 'Athens', 'Paris', 'Berlin']",Where did Dēmētrios Nikolaou Darvaris pass away?,A. Paris  B. Vienna  C. Athens  D. Berlin,B,Did Dēmētrios Nikolaou Darvaris die in Vienna?,Did Dēmētrios Nikolaou Darvaris die in Athens?,What was Dēmētrios Nikolaou Darvaris known for?,Who died in Vienna?,What is the country of the place where Dēmētrios Nikolaou Darvaris died?,Greece,What is the capital city of the country where Dēmētrios Nikolaou Darvaris died?,Athens,What is the population of the capital city of the country where Dēmētrios Nikolaou Darvaris died?,"Approximately 664,046",What is the main language spoken in the capital city of the country where Dēmētrios Nikolaou Darvaris died?,Greek,"What is the currency used in the country where the capital city is located, where Dēmētrios Nikolaou Darvaris died?",Euro
human_scientist,Abraham von Humbert,place of birth,Berlin,What is the place of birth of Abraham von Humbert?,Bologna,0.0,"['Berlin', 'Bologna', 'Munich', 'Hamburg']",Where was Abraham von Humbert born?,A. Bologna  B. Munich  C. Berlin  D. Hamburg,C,Is Berlin the place of birth of Abraham von Humbert?,Is Bologna the place of birth of Abraham von Humbert?,What is Abraham von Humbert known for?,Who was born in Berlin?,What is the capital city of the country where Abraham von Humbert was born?,Bern,Which river flows through the capital city of the country where Abraham von Humbert was born?,Aare,What is the length of the river that flows through the capital city of the country where Abraham von Humbert was born?,295 kilometers,Into which larger body of water does the river that flows through the capital city of the country where Abraham von Humbert was born eventually flow?,Rhine River,Which sea does the larger body of water that the river flowing through the capital city of the country where Abraham von Humbert was born eventually flow into?,North Sea
