subject,relation,object,question,label
John Adams,sex or gender,male,What is the sex or gender of John Adams?,male
John Adams,mother,Susanna Boylston,Who is the mother of John Adams?,Susanna Boylston
John Adams,spouse,Abigail Adams,Who is the spouse of John Adams?,Abigail Adams
John Adams,native language,English,What is the native language of John Adams?,English
John Adams,member of political party,Federalist Party,What is the member of political party of John Adams?,Federalist Party
John Adams,place of burial,United First Parish Church,What is the place of burial of John Adams?,United First Parish Church
John Adams,family,Adams family,Who is the family of John Adams?,Adams family
John Adams,father,"John Adams, Sr.",Who is the father of John Adams?,"John Adams, Sr."
John McCain,field of work,politics,What is the field of work of John McCain?,politics
John McCain,native language,English,What is the native language of John McCain?,English
John McCain,spouse,Cindy McCain,Who is the spouse of John McCain?,Cindy McCain
John McCain,place of burial,United States Naval Academy Cemetery,What is the place of burial of John McCain?,United States Naval Academy Cemetery
John McCain,place of death,Cornville,What is the place of death of John McCain?,Cornville
John McCain,father,"John S. McCain, Jr.",Who is the father of John McCain?,"John S. McCain, Jr."
Martin Luther King Jr.,writing language,English,What is the writing language of Martin Luther King Jr.?,English
John McCain,military branch,United States Navy,What is the military branch of John McCain?,United States Navy
John McCain,child,Meghan McCain,Who is the child of John McCain?,Meghan McCain
John McCain,mother,Roberta McCain,Who is the mother of John McCain?,Roberta McCain
John McCain,place of birth,Coco Solo,Who is the place of birth of John McCain?,Coco Solo
James Brown,ethnic group,African Americans,What is the ethnic group of James Brown?,African Americans
John McCain,sex or gender,male,What is the sex or gender of John McCain?,male
Martin Luther King Jr.,father,Martin Luther King Sr.,Who is the father of Martin Luther King Jr.?,Martin Luther King Sr.
James Brown,sex or gender,male,What is the sex or gender of James Brown?,male
Martin Luther King Jr.,spouse,Coretta Scott King,Who is the spouse of Martin Luther King Jr.?,Coretta Scott King
Martin Luther King Jr.,sex or gender,male,What is the sex or gender of Martin Luther King Jr.?,male
Mitt Romney,native language,English,What is the native language of Mitt Romney?,English
Mitt Romney,father,George W. Romney,Who is the father of Mitt Romney?,George W. Romney
Mitt Romney,religion or worldview,The Church of Jesus Christ of Latter-day Saints,What is the religion or worldview of Mitt Romney?,The Church of Jesus Christ of Latter-day Saints
Mitt Romney,spouse,Ann Romney,Who is the spouse of Mitt Romney?,Ann Romney
Mitt Romney,mother,Lenore Romney,Who is the mother of Mitt Romney?,Lenore Romney
Mitt Romney,handedness,right-handedness,What is the handedness of Mitt Romney?,right-handedness
Martin Luther King Jr.,ethnic group,African Americans,What is the ethnic group of Martin Luther King Jr.?,African Americans
Martin Luther King Jr.,killed by,James Earl Ray,Who was Martin Luther King Jr. killed by?,James Earl Ray
Martin Luther King Jr.,religion or worldview,Baptists,What is the religion or worldview of Martin Luther King Jr.?,Baptists
Mitt Romney,sex or gender,male,What is the sex or gender of Mitt Romney?,male
Martin Luther King Jr.,named after,Martin Luther King Sr.,Who was Martin Luther King Jr. named after?,Martin Luther King Sr.
Martin Luther King Jr.,doctoral advisor,Lotan Harold DeWolf,Who is the doctoral advisor of Martin Luther King Jr.?,Lotan Harold DeWolf
Martin Luther King Jr.,place of burial,Martin Luther King Jr. National Historical Park,Who is the place of burial of Martin Luther King Jr.?,Martin Luther King Jr. National Historical Park
Martin Luther King Jr.,nominated for,Nobel Peace Prize,What was Martin Luther King Jr. nominated for?,Nobel Peace Prize
Mitt Romney,writing language,English,What is the writing language of Mitt Romney?,English
Martin Luther King Jr.,manner of death,homicide,What is the manner of death of Martin Luther King Jr.?,homicide
