topic,subject,relation,object,question,output_gemma_1.1_2b_it,eval_gemma_1.1_2b_it,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
geography_glacier,Glärnisch,key col,Klausen Pass,Who is the key col of Glärnisch?,"The key column of Glärnisch is the ""Glärnisch-Index""",0.0,"['Klausen Pass', 'The key column of Glärnisch is the ""Glärnisch-Index""', 'Susten Pass', 'Gotthard Pass']",What is the key col of Glärnisch?,Is Klausen Pass the key col of Glärnisch?,Is the key column of Glärnisch the 'Glärnisch-Index'?,What mountain range is Glärnisch a part of?,What mountain has Klausen Pass as its key col?,"A. Susten Pass  B. Gotthard Pass  C. The key column of Glärnisch is the ""Glärnisch-Index""  D. Klausen Pass",D,What is the elevation of the key col of Glärnisch?,"1,948 meters",In which mountain range is the key col of Glärnisch located?,Glarus Alps,Which country is home to the mountain range that contains the key col of Glärnisch?,Switzerland,What is the capital city of the country that is home to the mountain range containing the key col of Glärnisch?,Bern,Which river flows through the capital city of the country that is home to the mountain range containing the key col of Glärnisch?,Aare
geography_glacier,Bering Glacier,located in the administrative territorial entity,Alaska,What is the located in the administrative territorial entity of Bering Glacier?,Bering Sea,0.0,"['Alaska', 'Bering Sea', 'Canada', 'Greenland']",In which administrative territorial entity is Bering Glacier located?,Is Bering Glacier located in the administrative territorial entity of Alaska?,Is Bering Glacier located in the administrative territorial entity of Bering Sea?,What is a well-known feature of Bering Glacier?,What glacier is located in the administrative territorial entity of Alaska?,A. Alaska  B. Canada  C. Bering Sea  D. Greenland,A,What is the capital of the administrative territorial entity where Bering Glacier is located?,Juneau,What is the population of the capital of the administrative territorial entity where Bering Glacier is located?,"32,255",What is the area in square miles of the capital of the administrative territorial entity where Bering Glacier is located?,"3,254.7 square miles",What is the name of the mayor of the capital of the administrative territorial entity where Bering Glacier is located?,Beth Weldon,What is the name of the high school in the capital of the administrative territorial entity where Bering Glacier is located?,Juneau-Douglas High School
geography_glacier,Portage Glacier,located in the administrative territorial entity,Alaska,What is the located in the administrative territorial entity of Portage Glacier?,Portage Glacier is located in the Yukon Territory,0.0,"['Alaska', 'Portage Glacier is located in the Yukon Territory', 'British Columbia', 'Northwest Territories']",In which administrative territorial entity is Portage Glacier located?,Is Portage Glacier located in the administrative territorial entity of Alaska?,Is Portage Glacier located in the administrative territorial entity of the Yukon Territory?,What is a famous natural feature of Portage Glacier?,Where is Alaska located in relation to Portage Glacier?,A. Alaska  B. British Columbia  C. Portage Glacier is located in the Yukon Territory  D. Northwest Territories,A,What is the capital of the administrative territorial entity where Portage Glacier is located?,Juneau,What is the population of the capital of the administrative territorial entity where Portage Glacier is located?,"32,255",What is the area in square miles of the capital of the administrative territorial entity where Portage Glacier is located?,"3,254.7 square miles",What is the name of the mayor of the capital of the administrative territorial entity where Portage Glacier is located?,Beth Weldon,What is the name of the high school in the capital of the administrative territorial entity where Portage Glacier is located?,Juneau-Douglas High School
geography_glacier,Worthington Glacier,located in the administrative territorial entity,Alaska,What is the located in the administrative territorial entity of Worthington Glacier?,Mount Worthington,0.0,"['Alaska', 'Mount Worthington', 'Canada', 'Greenland']",In which administrative territorial entity is Worthington Glacier located?,Is Worthington Glacier located in the administrative territorial entity of Alaska?,Is Worthington Glacier located in the administrative territorial entity of Mount Worthington?,What is a well-known feature of Worthington Glacier?,What glacier is located in the administrative territorial entity of Alaska?,A. Greenland  B. Mount Worthington  C. Canada  D. Alaska,D,What is the capital of the administrative territorial entity where Worthington Glacier is located?,Juneau,What is the population of the capital of the administrative territorial entity where Worthington Glacier is located?,"32,255",What is the area in square miles of the capital of the administrative territorial entity where Worthington Glacier is located?,"3,255 square miles",What is the name of the largest city in the administrative territorial entity where Worthington Glacier is located?,Anchorage,What is the population of the largest city in the administrative territorial entity where Worthington Glacier is located?,"291,538"
geography_glacier,Biafo Glacier,mountain range,Karakoram,What is the mountain range of Biafo Glacier?,Biafo Glacier is a mountain range in the Himalayas,0.0,"['Karakoram', 'Biafo Glacier is a mountain range in the Himalayas', 'Andes', 'Rocky Mountains']",Which mountain range does Biafo Glacier belong to?,Is the mountain range of Biafo Glacier the Karakoram?,Is the mountain range of Biafo Glacier the Himalayas?,In which country is the Biafo Glacier located?,Which glacier is part of the Karakoram mountain range?,A. Rocky Mountains  B. Karakoram  C. Biafo Glacier is a mountain range in the Himalayas  D. Andes,B,What is the highest peak in the mountain range of Biafo Glacier?,K2,Who was the first person to reach the highest peak in the mountain range of Biafo Glacier?,Achille Compagnoni,In which year did the first person reach the highest peak in the mountain range of Biafo Glacier?,1954,Which country is the highest peak in the mountain range of Biafo Glacier located?,Pakistan,What is the capital city of the country where the highest peak in the mountain range of Biafo Glacier is located?,Islamabad
geography_glacier,Miage Glacier,located in the administrative territorial entity,Courmayeur,What is the located in the administrative territorial entity of Miage Glacier?,"Miage Glacier is located in the Yukon Territory, Canada",0.0,"['Courmayeur', 'Miage Glacier is located in the Yukon Territory, Canada', 'Aosta Valley', 'Chamonix']",In which administrative territorial entity is Miage Glacier located?,Is Miage Glacier located in the administrative territorial entity of Courmayeur?,"Is Miage Glacier located in the administrative territorial entity of the Yukon Territory, Canada?",What mountain range is Miage Glacier part of?,What glacier is located in the administrative territorial entity of Courmayeur?,"A. Miage Glacier is located in the Yukon Territory, Canada  B. Aosta Valley  C. Chamonix  D. Courmayeur",D,What is the population of the town that is located in the administrative territorial entity of Miage Glacier?,"2,790","What is the elevation of the town that has a population of 2,790 and is located in the administrative territorial entity of Miage Glacier?","1,224 meters","What is the primary language spoken in the town that has an elevation of 1,224 meters and is located in the administrative territorial entity of Miage Glacier?",Italian,What is the main economic activity in the town where the primary language spoken is Italian and is located in the administrative territorial entity of Miage Glacier?,Tourism,What is a popular tourist attraction in the town where the main economic activity is tourism and is located in the administrative territorial entity of Miage Glacier?,Mont Blanc
geography_glacier,Argentière Glacier,located in the administrative territorial entity,Chamonix-Mont-Blanc,What is the located in the administrative territorial entity of Argentière Glacier?,Argentière Glacier,0.0,"['Chamonix-Mont-Blanc', 'Argentière Glacier', 'Mont Blanc', 'Haute-Savoie']",In which administrative territorial entity is Argentière Glacier located?,Is Argentière Glacier located in the administrative territorial entity of Chamonix-Mont-Blanc?,Is Argentière Glacier located in the administrative territorial entity of Argentière Glacier?,What is a famous mountain near Argentière Glacier?,What glacier is located in the administrative territorial entity of Chamonix-Mont-Blanc?,A. Argentière Glacier  B. Chamonix-Mont-Blanc  C. Mont Blanc  D. Haute-Savoie,B,What is the population of the town that is the located in the administrative territorial entity of Argentière Glacier?,"Approximately 8,900","What is the elevation of the town that has a population of approximately 8,900 and is the located in the administrative territorial entity of Argentière Glacier?","1,035 meters","What is the name of the mountain range near the town that has an elevation of 1,035 meters and is the located in the administrative territorial entity of Argentière Glacier?",Mont Blanc Massif,What is the highest peak in the mountain range near the town that is the located in the administrative territorial entity of Argentière Glacier?,Mont Blanc,What is the height of the highest peak in the mountain range near the town that is the located in the administrative territorial entity of Argentière Glacier?,"4,808 meters"
geography_glacier,Skelton Glacier,mountain range,Royal Society Range,What is the mountain range of Skelton Glacier?,Skelton Glacier is part of the Southern Alps,0.0,"['Royal Society Range', 'Skelton Glacier is part of the Southern Alps', 'Transantarctic Mountains', 'Queen Maud Mountains']",Which mountain range does Skelton Glacier belong to?,Is the mountain range of Skelton Glacier the Royal Society Range?,Is the mountain range of Skelton Glacier the Southern Alps?,What continent is Skelton Glacier located on?,Which glacier is part of the Royal Society Range?,A. Queen Maud Mountains  B. Skelton Glacier is part of the Southern Alps  C. Royal Society Range  D. Transantarctic Mountains,C,What is the highest peak in the mountain range of Skelton Glacier?,Mount Lister,Who was the first person to ascend the highest peak in the mountain range of Skelton Glacier?,Thomas Griffith Taylor,Which expedition was the first person to ascend the highest peak in the mountain range of Skelton Glacier a part of?,Terra Nova Expedition,Who led the expedition that the first person to ascend the highest peak in the mountain range of Skelton Glacier was a part of?,Robert Falcon Scott,What was the primary objective of the expedition led by the person who led the expedition that the first person to ascend the highest peak in the mountain range of Skelton Glacier was a part of?,Scientific research and exploration of Antarctica
geography_glacier,Skelton Glacier,named after,Skelton Inlet,What was Skelton Glacier named after?,"The name ""Skelton"" is derived from the shape of the glacier, resembling",0.0,"['Skelton Inlet', 'The name ""Skelton"" is derived from the shape of the glacier, resembling', 'Ross Ice Shelf', 'McMurdo Sound']",What is the namesake of Skelton Glacier?,Was Skelton Glacier named after Skelton Inlet?,"Was Skelton Glacier named after the shape of the glacier, resembling?",Where is Skelton Glacier located?,What is named after Skelton Inlet?,"A. McMurdo Sound  B. Skelton Inlet  C. Ross Ice Shelf  D. The name ""Skelton"" is derived from the shape of the glacier, resembling",B,Who discovered the Skelton Inlet that Skelton Glacier was named after?,Robert Falcon Scott,What was the name of the expedition led by the person who discovered the Skelton Inlet that Skelton Glacier was named after?,Discovery Expedition,In which year did the expedition take place that was led by the person who discovered the Skelton Inlet that Skelton Glacier was named after?,1901-1904,Which ship was used in the expedition that took place in the year 1901-1904 led by the person who discovered the Skelton Inlet that Skelton Glacier was named after?,RRS Discovery,Which organization funded the ship used in the expedition that took place in the year 1901-1904 led by the person who discovered the Skelton Inlet that Skelton Glacier was named after?,Royal Geographical Society
geography_glacier,Juneau Icefield,has part(s),Devils Paw,What does Juneau Icefield have part(s )?,Juneau Icefield has glaciers,0.0,"['Devils Paw', 'Juneau Icefield has glaciers', 'Taku Glacier', 'Mendenhall Glacier']",What is a part of the Juneau Icefield?,Does Juneau Icefield have part(s) Devils Paw?,Does Juneau Icefield have part(s) Juneau Icefield has glaciers?,Where is the Juneau Icefield located?,What is Devils Paw a part of?,A. Taku Glacier  B. Juneau Icefield has glaciers  C. Mendenhall Glacier  D. Devils Paw,D,What is the elevation of the part that Juneau Icefield has?,"8,584 feet",In which mountain range is the part that Juneau Icefield has located?,Boundary Ranges,Which country contains the mountain range where the part that Juneau Icefield has is located?,Canada,What is the capital city of the country that contains the mountain range where the part that Juneau Icefield has is located?,Ottawa,In which province is the capital city of the country that contains the mountain range where the part that Juneau Icefield has is located?,Ontario
