topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
event_history,French Revolution,has part(s),Reign of Terror,Reign of Terror,What does French Revolution have part(s )?,"Regime, Monarchy, Reign, Enlightenment, Terror",0.0
event_history,Glorious Revolution,location,British Isles,British Isles,What is the location of Glorious Revolution?,England,0.0
event_history,Velvet Revolution,has cause,totalitarianism,totalitarianism,What does Velvet Revolution have cause?,Dissatisfaction,0.0
event_history,Xinhai Revolution,location,Qing dynasty,Qing dynasty,What is the location of Xinhai Revolution?,China,0.0
event_history,February Revolution,has cause,World War I,World War I,What does February Revolution have cause?,"Unrest, Discontent",0.0
event_history,April Revolution,country,First Republic of South Korea,First Republic of South Korea,What is the country of April Revolution?,Azerbaijan,0.0
event_history,Russian Revolution,follows,Russian Revolution of 1905,Russian Revolution of 1905,What does Russian Revolution follow?,Soviet Union,0.0
event_history,Cuban Revolution,participant,26th of July Movement,26th of July Movement,When is the participant of Cuban Revolution?,1953-1959,0.0
event_history,American Revolution,significant event,Boston Tea Party,Boston Tea Party,What is the significant event of American Revolution?,Declaration of Independence,0.0
event_history,American Revolution,location,Thirteen Colonies,Thirteen Colonies,What is the location of American Revolution?,United States,0.0
event_history,Carnation Revolution,has cause,Estado Novo,Estado Novo,What does Carnation Revolution have cause?,Independence (from Portugal),0.0
event_history,July Revolution,derivative work,Liberty Leading the People,Liberty Leading the People,What is the derivative work of July Revolution?,The July Revolution's derivative work is the French Second Republic,0.0
event_history,French Revolution of 1848,location,July Monarchy,July Monarchy,What is the location of French Revolution of 1848?,France,0.0
event_history,French Revolution of 1848,follows,Louis-Philippe I,Louis-Philippe I,Who does French Revolution of 1848 follow?,French Revolution of 1848 follows the French Revolution of 17,0.0
event_history,July Revolution,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of July Revolution?,Bourgeoisie,0.0
event_history,French Revolution of 1848,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of French Revolution of 1848?,Louis-Napoleon Bonaparte,0.0
event_history,Second Punic War,followed by,Third Punic War,Third Punic War,What was Second Punic War followed by?,Peace of Lutatius Catulus (201 BC),0.0
