topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
human_writer,James K. Polk,religion or worldview,Methodism,What is the religion or worldview of James K. Polk?,Presbyterianism,0.0
human_writer,James Monroe,spouse,Elizabeth Monroe,Who is the spouse of James Monroe?,Elizabeth Kortright Monroe,0.0
human_writer,Tatyana Yumasheva,influenced by,Boris Berezovsky,Who was Tatyana Yumasheva influenced by?,Boris Yeltsin,0.0
human_writer,James De La Montanya,place of birth,New York City,What is the place of birth of James De La Montanya?,Spain,0.0
human_writer,Barack Obama,place of birth,Kapiolani Medical Center for Women and Children,What is the place of birth of Barack Obama?,Honolulu,0.0
human_writer,Pavel Grachev,cause of death,infectious disease,What is the cause of death of Pavel Grachev?,Heart attack,0.0
human_writer,Earle Bradford Mayfield,work location,"Washington, D.C.",What is the work location of Earle Bradford Mayfield?,Texas,0.0
human_writer,Jonas P. Phoenix,father,Daniel Phoenix,Who is the father of Jonas P. Phoenix?,John Lee Bottom,0.0
human_writer,George Washington,present in work,Civilization V,What is the present in work of George Washington?,Mount Vernon,0.0
human_writer,Genrikh Yagoda,conflict,World War I,What is the conflict of Genrikh Yagoda?,Purges,0.0
human_writer,Dwight Filley Davis Sr.,religion or worldview,Baptists,What is the religion or worldview of Dwight Filley Davis Sr.?,Episcopalian,0.0
human_writer,Lyndon B. Johnson,father,Samuel Ealy Johnson,Who is the father of Lyndon B. Johnson?,Sam Ealy Johnson Jr,0.0
human_writer,John D. Works,place of birth,Rising Sun,What is the place of birth of John D. Works?,Cincinnati,0.0
human_writer,Valery Zorkin,professorship,full professor,What is the professorship of Valery Zorkin?,Chairman of the Constitutional Court,0.0
human_writer,Trent Lott,place of birth,Grenada,What is the place of birth of Trent Lott?,Greenwood,0.0
human_writer,Andrew Johnson,military or police rank,general,What is the military or police rank of Andrew Johnson?,Colonel,0.0
human_writer,Natalya Narochnitskaya,father,Aleksei Narochnitsky,Who is the father of Natalya Narochnitskaya?,Nikolai Narochnitskii,0.0
human_writer,Herbert B. Maw,conflict,World War I,What is the conflict of Herbert B. Maw?,Macon County War,0.0
human_writer,John Tyler,place of burial,Hollywood Cemetery,What is the place of burial of John Tyler?,Laurel Hill Cemetery,0.0
human_writer,Boris Yeltsin,partner in business or sport,Bill Clinton,Who is the partner in business or sport of Boris Yeltsin?,Anatoly Chubais,0.0
human_writer,Edward C. Stokes,place of burial,New Jersey,What is the place of burial of Edward C. Stokes?,Woodlawn Cemetery,0.0
human_writer,Alina Kabayeva,head coach,Irina Viner-Usmanova,Who is the head coach of Alina Kabayeva?,Igor Vasilyev,0.0
human_writer,Hillary Clinton,blood type,AB,What is the blood type of Hillary Clinton?,O+,0.0
human_writer,Yevgeny Primakov,member of political party,Communist Party of the Soviet Union,What is the member of political party of Yevgeny Primakov?,Independent,0.0
human_writer,Ted Stevens,military branch,United States Air Force,What is the military branch of Ted Stevens?,US Army Air Corps,0.0
human_writer,Jay Garner,place of birth,Arcadia,What is the place of birth of Jay Garner?,High Point,0.0
human_writer,Harry S. Truman,work location,"Washington, D.C.",What is the work location of Harry S. Truman?,The White House,0.0
human_writer,Pak Noja,native language,Russian,What is the native language of Pak Noja?,Bacama,0.0
human_writer,James S. Sherman,manner of death,natural causes,What is the manner of death of James S. Sherman?,Stroke,0.0
human_writer,Robert P. Casey,manner of death,natural causes,What is the manner of death of Robert P. Casey?,Homicide,0.0
human_writer,Viktor Kulikov,place of burial,Novodevichy Cemetery,What is the place of burial of Viktor Kulikov?,Moscow,0.0
human_writer,Svetlana Savitskaya,astronaut mission,Soyuz T-5,What is the astronaut mission of Svetlana Savitskaya?,Salyut 7,0.0
human_writer,John Jay,place of death,Westchester County,What is the place of death of John Jay?,Bedford,0.0
human_writer,Natalya Narochnitskaya,member of political party,Rodina,Who is the member of political party of Natalya Narochnitskaya?,Liberal Democratic Party of Russia,0.0
human_writer,Ramazan Abdulatipov,employer,Murmansk State Technical University,What is the employer of Ramazan Abdulatipov?,Dagestan Government,0.0
human_writer,George Washington,place of burial,Washington's Tomb,What is the place of burial of George Washington?,Mount Vernon,0.0
human_writer,Edward Kent,manner of death,natural causes,What is the manner of death of Edward Kent?,Hanging,0.0
human_writer,Sharron Angle,work location,"Washington, D.C.",What is the work location of Sharron Angle?,Nevada,0.0
human_writer,Lyubov Sliska,occupation,politician,What is the occupation of Lyubov Sliska?,Poet,0.0
human_writer,James Madison,influenced by,John Witherspoon,Who was James Madison influenced by?,Montesquieu,0.0
human_writer,Vladimir Medinsky,employer,Moscow State Institute of International Relations,What is the employer of Vladimir Medinsky?,Russian government,0.0
human_writer,Benjamin Spock,conflict,World War II,What is the conflict of Benjamin Spock?,Permissive parenting,0.0
human_writer,David A. Bokee,place of birth,New York City,What is the place of birth of David A. Bokee?,I couldn't find any information on David A. Bokee,0.0
human_writer,Shawn Bradley,notable work,Space Jam,What is the notable work of Shawn Bradley?,NBA player,0.0
human_writer,Gennady Zyuganov,eye color,blue,What is the eye color of Gennady Zyuganov?,Brown,0.0
human_writer,Eduard Limonov,movement,postmodernism,What is the movement of Eduard Limonov?,National Bolsheviks,0.0
human_writer,Richard Nixon,manner of death,natural causes,What is the manner of death of Richard Nixon?,Cardiovascular disease,0.0
human_writer,Gennady Yanayev,place of birth,Perevoz,What is the place of birth of Gennady Yanayev?,Kazan,0.0
human_writer,Samuel M. Shortridge,place of death,Atherton,Who is the place of death of Samuel M. Shortridge?,Sacramento,0.0
human_writer,Andrey Lavrov,place of birth,Krasnodar,What is the place of birth of Andrey Lavrov?,Leningrad,0.0
human_writer,James Madison,work location,"Washington, D.C.",What is the work location of James Madison?,Montpelier,0.0
human_writer,William Trousdale,military branch,United States Army,What is the military branch of William Trousdale?,Confederate Army,0.0
human_writer,Irina Arkhipova,genre,opera,What is the genre of Irina Arkhipova?,Classical,0.0
human_writer,Paul Warburg,place of death,New York City,What is the place of death of Paul Warburg?,"The Bronx, New York",0.0
human_writer,Nikolay Basov,member of political party,Communist Party of the Soviet Union,What is the member of political party of Nikolay Basov?,United Russia,0.0
human_writer,William E. Smith,place of burial,Forest Home Cemetery,What is the place of burial of William E. Smith?,Arlington National Cemetery,0.0
human_writer,Svetlana Zakharova,employer,Bolshoi Ballet,What is the employer of Svetlana Zakharova?,Mariinsky Ballet,0.0
human_writer,William Terry,work location,"Washington, D.C.",What is the work location of William Terry?,Washington D.C,0.0
human_writer,Andrey Vorobyov,place of birth,Krasnoyarsk,What is the place of birth of Andrey Vorobyov?,Moscow,0.0
human_writer,Willoughby Newton,member of political party,Whig Party,What is the member of political party of Willoughby Newton?,Liberal,0.0
human_writer,William Spry,place of birth,Windsor,What is the place of birth of William Spry?,England,0.0
human_writer,Harry S. Truman,manner of death,natural causes,What is the manner of death of Harry S. Truman?,Pneumonia,0.0
human_writer,James Jones,place of birth,Nottoway County,What is the place of birth of James Jones?,"Robinson, Illinois",0.0
human_writer,Alina Kabayeva,religion or worldview,Eastern Orthodoxy,What is the religion or worldview of Alina Kabayeva?,Islam,0.0
human_writer,Gury Marchuk,conflict,Eastern Front,What is the conflict of Gury Marchuk?,Ukrainian-Russian,0.0
human_writer,Viktor Lisitsky,employer,D. Mendeleev University of Chemical Technology of Russia,What is the employer of Viktor Lisitsky?,FC Dynamo Moscow,0.0
human_writer,Edward Lucas,place of death,Harpers Ferry,What is the place of death of Edward Lucas?,London,0.0
human_writer,Franklin Pierce,work location,"Washington, D.C.",What is the work location of Franklin Pierce?,"Concord, New Hampshire",0.0
human_writer,Sergey Karaganov,father,Aleksandr Karaganov,Who is the father of Sergey Karaganov?,Vasily Karaganov,0.0
human_writer,Irina Arkhipova,employer,Moscow Conservatory,What is the employer of Irina Arkhipova?,Russian Railways,0.0
human_writer,John Tyler,mother,Mary Marot Armistead,Who is the mother of John Tyler?,Dolley Madison,0.0
human_writer,Bill Clinton,lifestyle,vegetarianism,What is the lifestyle of Bill Clinton?,Private,0.0
human_writer,John Tyler,manner of death,natural causes,What is the manner of death of John Tyler?,Stroke,0.0
human_writer,Heidi Heitkamp,work location,"Washington, D.C.",What is the work location of Heidi Heitkamp?,Washington D.C,0.0
human_writer,Daniel Morgan,member of political party,Federalist Party,What is the member of political party of Daniel Morgan?,Republican,0.0
human_writer,Barack Obama,stepparent,Lolo Soetoro,Who is the stepparent of Barack Obama?,Ann Dunham,0.0
human_writer,Leonid Abalkin,doctoral advisor,Aleksandr Mihajlovič Birman,Who is the doctoral advisor of Leonid Abalkin?,Vladimir Nemchinov,0.0
human_writer,Anderson Mitchell,social classification,slave owner,What is the social classification of Anderson Mitchell?,Unknown,0.0
human_writer,James Madison,father,"James Madison, Sr.",Who is the father of James Madison?,Colonel James Madison,0.0
human_writer,Henry Paulson,religion or worldview,Christian Science,What is the religion or worldview of Henry Paulson?,Episcopalian,0.0
human_writer,John Quincy Adams,member of political party,Whig Party,What is the member of political party of John Quincy Adams?,Democratic-Republican,0.0
human_writer,Clarence Thomas,affiliation,Federalist Society,What is the affiliation of Clarence Thomas?,Conservative,0.0
human_writer,F. Ray Keyser,place of death,Brandon,Who is the place of death of F. Ray Keyser?,Hanover,0.0
human_writer,Jim Geringer,religion or worldview,Lutheranism,What is the religion or worldview of Jim Geringer?,Methodist,0.0
human_writer,Vladimir Dolgikh,conflict,Eastern Front,What is the conflict of Vladimir Dolgikh?,Ukrainian-Russian,0.0
human_writer,John Adams,father,"John Adams, Sr.",Who is the father of John Adams?,Joseph Adams,0.0
human_writer,William Henry Harrison,manner of death,natural causes,What is the manner of death of William Henry Harrison?,Pneumonia,0.0
human_writer,Yuri Afanasiev,professorship,full professor,What is the professorship of Yuri Afanasiev?,Professor of Theology,0.0
human_writer,James Madison,eye color,blue,What is the eye color of James Madison?,Unknown,0.0
human_writer,Henry Kissinger,subject has role,centenarian,What is the subject has role of Henry Kissinger?,Diplomacy,0.0
human_writer,Edward Irving Edwards,member of political party,Democratic Party,What is the member of political party of Edward Irving Edwards?,Republican,0.0
